recvSeq,recvNum,compute1num,compute2num,timestamp
243,175,132,37,51975.0
243,175,132,37,52025.0
245,176,133,37,52075.0
245,176,133,37,52125.0
247,177,134,37,52175.0
247,177,134,37,52225.0
249,178,135,37,52275.0
250,179,135,38,52325.0
251,180,135,39,52375.0
252,181,136,39,52425.0
253,182,137,39,52475.0
254,183,137,40,52525.0
255,184,138,40,52575.0
256,185,139,40,52625.0
257,186,140,40,52675.0
258,187,140,41,52725.0
259,188,141,41,52775.0
259,188,141,41,52825.0
259,188,141,41,52875.0
262,189,142,41,52925.0
262,189,142,41,52975.0
264,190,143,41,53025.0
265,191,143,42,53075.0
266,192,144,42,53125.0
267,193,145,42,53175.0
268,194,146,42,53225.0
269,195,146,43,53275.0
270,196,147,43,53325.0
270,196,147,43,53375.0
270,196,147,43,53425.0
273,197,148,43,53475.0
274,198,149,43,53525.0
274,198,149,43,53575.0
276,199,150,43,53625.0
277,200,150,44,53675.0
277,200,150,44,53725.0
277,200,150,44,53775.0
280,201,151,44,53825.0
280,201,151,44,53875.0
282,202,152,44,53925.0
283,203,153,44,53975.0
284,204,154,44,54025.0
284,204,154,44,54075.0
286,205,155,44,54125.0
287,206,156,44,54175.0
287,206,156,44,54225.0
287,206,156,44,54275.0
290,207,157,44,54325.0
291,208,158,44,54375.0
292,209,159,44,54425.0
293,210,160,44,54475.0
293,210,160,44,54525.0
295,211,161,44,54575.0
295,211,161,44,54625.0
297,212,162,44,54675.0
298,213,162,45,54725.0
298,213,162,45,54775.0
300,214,163,45,54825.0
301,215,164,45,54875.0
301,215,164,45,54925.0
303,216,165,45,54975.0
304,217,166,45,55025.0
305,218,167,45,55075.0
306,219,168,45,55125.0
307,220,169,45,55175.0
308,221,170,45,55225.0
308,221,170,45,55275.0
310,222,171,45,55325.0
311,223,172,45,55375.0
311,223,172,45,55425.0
311,223,172,45,55475.0
314,224,173,45,55525.0
314,224,173,45,55575.0
316,225,174,45,55625.0
317,226,174,46,55675.0
318,227,175,46,55725.0
318,227,175,46,55775.0
318,227,175,46,55825.0
321,228,176,46,55875.0
322,229,177,46,55925.0
322,229,177,46,55975.0
324,230,178,46,56025.0
325,231,179,46,56075.0
326,232,179,47,56125.0
326,232,179,47,56175.0
328,233,180,47,56225.0
329,234,180,48,56275.0
329,234,180,48,56325.0
329,234,180,48,56375.0
329,234,180,48,56425.0
329,234,180,48,56475.0
334,235,181,48,56525.0
334,235,181,48,56575.0
336,236,182,48,56625.0
337,237,183,48,56675.0
338,238,183,49,56725.0
339,239,183,50,56775.0
340,240,184,50,56825.0
340,240,184,50,56875.0
342,241,185,50,56925.0
342,241,185,50,56975.0
344,242,186,50,57025.0
345,243,187,50,57075.0
346,244,188,50,57125.0
346,244,188,50,57175.0
346,244,188,50,57225.0
349,245,189,50,57275.0
350,246,189,51,57325.0
351,247,190,51,57375.0
352,248,191,51,57425.0
353,249,192,51,57475.0
354,250,193,51,57525.0
355,251,194,51,57575.0
355,251,194,51,57625.0
357,252,195,51,57675.0
357,252,195,51,57725.0
357,252,195,51,57775.0
360,253,196,51,57825.0
360,253,196,51,57875.0
362,254,197,51,57925.0
362,254,197,51,57975.0
364,255,198,51,58025.0
364,255,198,51,58075.0
364,255,198,51,58125.0
364,255,198,51,58175.0
368,256,198,51,58225.0
369,257,199,51,58275.0
370,258,199,52,58325.0
371,259,200,52,58375.0
372,260,200,53,58425.0
373,261,201,53,58475.0
373,261,201,53,58525.0
375,262,202,53,58575.0
376,263,203,53,58625.0
377,264,204,53,58675.0
378,265,205,53,58725.0
379,266,205,54,58775.0
380,267,206,54,58825.0
381,268,207,54,58875.0
382,269,207,55,58925.0
383,270,208,55,58975.0
384,271,208,56,59025.0
384,271,208,56,59075.0
386,272,209,56,59125.0
387,273,210,56,59175.0
388,274,211,56,59225.0
389,275,212,56,59275.0
390,276,212,57,59325.0
391,277,212,58,59375.0
392,278,213,58,59425.0
392,278,213,58,59475.0
394,279,214,58,59525.0
395,280,215,58,59575.0
395,280,215,58,59625.0
397,281,215,59,59675.0
397,281,215,59,59725.0
397,281,215,59,59775.0
400,282,216,59,59825.0
400,282,216,59,59875.0
402,283,217,59,59925.0
402,283,217,59,59975.0
404,284,218,59,60025.0
405,285,218,60,60075.0
406,286,219,60,60125.0
406,286,219,60,60175.0
408,287,220,60,60225.0
409,288,221,60,60275.0
410,289,221,61,60325.0
411,290,222,61,60375.0
411,290,222,61,60425.0
413,291,223,61,60475.0
413,291,223,61,60525.0
415,292,224,61,60575.0
415,292,224,61,60625.0
417,293,225,61,60675.0
417,293,225,61,60725.0
419,294,226,61,60775.0
420,295,226,62,60825.0
420,295,226,62,60875.0
422,296,227,62,60925.0
423,297,227,63,60975.0
423,297,227,63,61025.0
423,297,227,63,61075.0
426,298,228,63,61125.0
427,299,228,64,61175.0
428,300,229,64,61225.0
429,301,229,65,61275.0
429,301,229,65,61325.0
429,301,229,65,61375.0
429,301,229,65,61425.0
