recvSeq,recvNum,compute1num,compute2num,timestamp
15836,1690,986,698,38990.0
15837,1691,986,699,39010.0
15838,1692,986,700,39030.0
15839,1693,986,701,39050.0
15840,1694,986,702,39070.0
15841,1695,986,703,39090.0
15842,1696,986,704,39110.0
15843,1697,986,705,39130.0
15844,1698,986,706,39150.0
15845,1699,986,707,39170.0
15846,1700,986,708,39190.0
15847,1701,986,709,39210.0
15848,1702,986,710,39230.0
15849,1703,986,711,39250.0
15850,1704,986,712,39270.0
15851,1705,986,713,39290.0
15852,1706,986,714,39310.0
15853,1707,986,715,39330.0
15854,1708,986,716,39350.0
15855,1709,986,717,39370.0
15856,1710,986,718,39390.0
15857,1711,986,719,39410.0
15858,1712,986,720,39430.0
15859,1713,986,721,39450.0
15860,1714,986,722,39470.0
15861,1715,986,723,39490.0
15862,1716,986,724,39510.0
15863,1717,986,725,39530.0
15864,1718,986,726,39550.0
15865,1719,986,727,39570.0
15866,1720,986,728,39590.0
15867,1721,986,729,39610.0
15868,1722,986,730,39630.0
15869,1723,986,731,39650.0
15870,1724,986,732,39670.0
15871,1725,986,733,39690.0
15872,1726,986,734,39710.0
15873,1727,986,735,39730.0
15874,1728,986,736,39750.0
15875,1729,986,737,39770.0
15876,1730,986,738,39790.0
15877,1731,986,739,39810.0
15878,1732,986,740,39830.0
15879,1733,986,741,39850.0
15880,1734,986,742,39870.0
15881,1735,986,743,39890.0
15882,1736,986,744,39910.0
15883,1737,986,745,39930.0
15884,1738,986,746,39950.0
15885,1739,986,747,39970.0
15886,1740,986,748,39990.0
15887,1741,986,749,40010.0
15888,1742,986,750,40030.0
15889,1743,986,751,40050.0
15890,1744,986,752,40070.0
15891,1745,986,753,40090.0
15892,1746,986,754,40110.0
15893,1747,986,755,40130.0
15894,1748,986,756,40150.0
15895,1749,986,757,40170.0
15896,1750,986,758,40190.0
15897,1751,986,759,40210.0
15898,1752,986,760,40230.0
15899,1753,986,761,40250.0
15900,1754,986,762,40270.0
15901,1755,986,763,40290.0
15902,1756,986,764,40310.0
15903,1757,986,765,40330.0
15904,1758,986,766,40350.0
15905,1759,986,767,40370.0
15906,1760,986,768,40390.0
15907,1761,986,769,40410.0
15908,1762,986,770,40430.0
15909,1763,986,771,40450.0
15910,1764,986,772,40470.0
15911,1765,986,773,40490.0
15912,1766,986,774,40510.0
15913,1767,986,775,40530.0
15914,1768,986,776,40550.0
15915,1769,986,777,40570.0
15916,1770,986,778,40590.0
15916,1770,986,778,40610.0
15917,1771,986,779,40630.0
15919,1773,986,781,40650.0
15919,1773,986,781,40670.0
15920,1774,986,782,40690.0
15921,1775,986,783,40710.0
15922,1776,986,784,40730.0
15923,1777,986,785,40750.0
15924,1778,986,786,40770.0
15925,1779,986,787,40790.0
15926,1780,986,788,40810.0
15927,1781,986,789,40830.0
15928,1782,986,790,40850.0
15929,1783,986,791,40870.0
15930,1784,986,792,40890.0
15931,1785,986,793,40910.0
15932,1786,986,794,40930.0
15933,1787,986,795,40950.0
15934,1788,986,796,40970.0
15935,1789,987,796,40990.0
15936,1790,987,797,41010.0
15937,1791,987,798,41030.0
15938,1792,987,799,41050.0
15939,1793,987,800,41070.0
15940,1794,987,801,41090.0
15941,1795,987,802,41110.0
15942,1796,987,803,41130.0
15943,1797,987,804,41150.0
15944,1798,987,805,41170.0
15945,1799,987,806,41190.0
15946,1800,987,807,41210.0
15947,1801,987,808,41230.0
15948,1802,987,809,41250.0
15949,1803,987,810,41270.0
15950,1804,987,811,41290.0
15951,1805,987,812,41310.0
15952,1806,987,813,41330.0
15953,1807,987,814,41350.0
15954,1808,987,815,41370.0
15955,1809,987,816,41390.0
15956,1810,987,817,41410.0
15957,1811,987,818,41430.0
15958,1812,987,819,41450.0
15959,1813,987,820,41470.0
15960,1814,987,821,41490.0
15961,1815,987,822,41510.0
15962,1816,987,823,41530.0
15963,1817,987,824,41550.0
15964,1818,987,825,41570.0
15965,1819,987,826,41590.0
15966,1820,987,827,41610.0
15967,1821,987,828,41630.0
15968,1822,987,829,41650.0
15969,1823,987,830,41670.0
15970,1824,987,831,41690.0
15971,1825,987,832,41710.0
15972,1826,987,833,41730.0
15973,1827,987,834,41750.0
15974,1828,987,835,41770.0
15975,1829,987,836,41790.0
15976,1830,987,837,41810.0
15977,1831,987,838,41830.0
15978,1832,987,839,41850.0
15979,1833,987,840,41870.0
15980,1834,987,841,41890.0
15981,1835,987,842,41910.0
15982,1836,987,843,41930.0
15983,1837,987,844,41950.0
15984,1838,987,845,41970.0
15985,1839,987,846,41990.0
15986,1840,987,847,42010.0
15987,1841,988,847,42030.0
15988,1842,989,847,42050.0
15989,1843,989,848,42070.0
15990,1844,989,849,42090.0
15991,1845,990,849,42110.0
15992,1846,991,849,42130.0
15993,1847,992,849,42150.0
15994,1848,993,849,42170.0
15995,1849,994,849,42190.0
15996,1850,995,849,42210.0
15997,1851,996,849,42230.0
15998,1852,997,849,42250.0
15999,1853,998,849,42270.0
16000,1854,999,849,42290.0
16001,1855,1000,849,42310.0
16002,1856,1001,849,42330.0
16003,1857,1002,849,42350.0
16004,1858,1003,849,42370.0
16005,1859,1004,849,42390.0
16006,1860,1005,849,42410.0
16007,1861,1006,849,42430.0
16008,1862,1007,849,42450.0
16009,1863,1008,849,42470.0
16010,1864,1009,849,42490.0
