recvSeq,recvNum,compute1num,compute2num,timestamp
186,169,109,21,38354.0
187,170,110,21,38404.0
188,171,111,21,38454.0
189,172,112,21,38504.0
190,173,113,21,38554.0
191,174,114,21,38604.0
191,174,114,21,38654.0
193,175,114,21,38704.0
194,176,115,21,38754.0
195,177,116,21,38804.0
195,177,116,21,38854.0
195,177,116,21,38904.0
195,177,116,21,38954.0
199,178,116,21,39004.0
200,179,117,21,39054.0
201,180,118,21,39104.0
202,181,119,21,39154.0
202,181,119,21,39204.0
202,181,119,21,39254.0
205,182,119,21,39304.0
206,183,119,21,39354.0
207,184,120,21,39404.0
208,185,120,22,39454.0
209,186,121,22,39504.0
210,187,122,22,39554.0
210,187,122,22,39604.0
212,188,122,22,39654.0
213,189,123,22,39704.0
214,190,124,22,39754.0
214,190,124,22,39804.0
214,190,124,22,39854.0
214,190,124,22,39904.0
214,190,124,22,39954.0
214,190,124,22,40004.0
214,190,124,22,40054.0
214,190,124,22,40104.0
222,191,124,22,40154.0
223,192,124,23,40204.0
224,193,124,24,40254.0
225,194,125,24,40304.0
225,194,125,24,40354.0
227,195,125,24,40404.0
227,195,125,24,40454.0
229,196,125,24,40504.0
230,197,125,24,40554.0
231,198,126,24,40604.0
232,199,127,24,40654.0
233,200,128,24,40704.0
234,201,129,24,40754.0
234,201,129,24,40804.0
236,202,129,24,40854.0
237,203,129,24,40904.0
237,203,129,24,40954.0
239,204,129,24,41004.0
240,205,130,24,41054.0
241,206,130,25,41104.0
242,207,130,26,41154.0
242,207,130,26,41204.0
244,208,130,26,41254.0
245,209,130,27,41304.0
245,209,130,27,41354.0
247,210,130,27,41404.0
248,211,131,27,41454.0
249,212,132,27,41504.0
250,213,133,27,41554.0
250,213,133,27,41604.0
252,214,133,27,41654.0
252,214,133,27,41704.0
254,215,133,27,41754.0
255,216,134,27,41804.0
256,217,135,27,41854.0
256,217,135,27,41904.0
258,218,135,27,41954.0
259,219,136,27,42004.0
260,220,137,27,42054.0
261,221,137,28,42104.0
262,222,138,28,42154.0
262,222,138,28,42204.0
264,223,138,28,42254.0
265,224,139,28,42304.0
266,225,140,28,42354.0
267,226,141,28,42404.0
268,227,142,28,42454.0
268,227,142,28,42504.0
270,228,142,28,42554.0
270,228,142,28,42604.0
272,229,142,28,42654.0
273,230,143,28,42704.0
274,231,144,28,42754.0
275,232,145,28,42804.0
276,233,146,28,42854.0
276,233,146,28,42904.0
278,234,146,28,42954.0
279,235,146,28,43004.0
279,235,146,28,43054.0
281,236,146,28,43104.0
282,237,147,28,43154.0
283,238,147,29,43204.0
283,238,147,29,43254.0
283,238,147,29,43304.0
286,239,147,29,43354.0
286,239,147,29,43404.0
288,240,147,29,43454.0
289,241,147,29,43504.0
289,241,147,29,43554.0
291,242,147,29,43604.0
292,243,148,29,43654.0
292,243,148,29,43704.0
294,244,148,29,43754.0
295,245,148,29,43804.0
295,245,148,29,43854.0
297,246,148,29,43904.0
298,247,149,29,43954.0
299,248,150,29,44004.0
300,249,151,29,44054.0
301,250,152,29,44104.0
301,250,152,29,44154.0
301,250,152,29,44204.0
304,251,152,29,44254.0
305,252,153,29,44304.0
306,253,153,30,44354.0
306,253,153,30,44404.0
306,253,153,30,44454.0
309,254,153,30,44504.0
310,255,153,30,44554.0
311,256,153,30,44604.0
312,257,154,30,44654.0
312,257,154,30,44704.0
314,258,154,30,44754.0
315,259,155,30,44804.0
316,260,155,31,44854.0
317,261,156,31,44904.0
317,261,156,31,44954.0
319,262,156,31,45004.0
320,263,157,31,45054.0
321,264,158,31,45104.0
322,265,158,32,45154.0
323,266,159,32,45204.0
324,267,160,32,45254.0
325,268,161,32,45304.0
326,269,162,32,45354.0
327,270,163,32,45404.0
328,271,163,33,45454.0
329,272,163,34,45504.0
330,273,164,34,45554.0
331,274,165,34,45604.0
332,275,166,34,45654.0
332,275,166,34,45704.0
332,275,166,34,45754.0
335,276,166,34,45804.0
336,277,167,34,45854.0
337,278,168,34,45904.0
338,279,169,34,45954.0
338,279,169,34,46004.0
340,280,169,34,46054.0
341,281,170,34,46104.0
342,282,171,34,46154.0
343,283,172,34,46204.0
344,284,172,35,46254.0
345,285,173,35,46304.0
346,286,174,35,46354.0
346,286,174,35,46404.0
348,287,174,35,46454.0
348,287,174,35,46504.0
350,288,174,35,46554.0
351,289,175,35,46604.0
352,290,176,35,46654.0
353,291,177,35,46704.0
354,292,178,35,46754.0
