recvSeq,recvNum,compute1num,compute2num,timestamp
1190,820,623,176,98200.0
1190,820,623,176,98250.0
1190,820,623,176,98300.0
1190,820,623,176,98350.0
1194,821,623,176,98400.0
1195,822,624,176,98450.0
1196,823,625,176,98500.0
1196,823,625,176,98550.0
1196,823,625,176,98600.0
1196,823,625,176,98650.0
1200,824,625,176,98700.0
1201,825,625,177,98750.0
1202,826,626,177,98800.0
1203,827,627,177,98850.0
1204,828,628,177,98900.0
1205,829,628,178,98950.0
1206,830,629,178,99000.0
1207,831,630,178,99050.0
1208,832,631,178,99100.0
1208,832,631,178,99150.0
1210,833,632,178,99200.0
1211,834,633,178,99250.0
1211,834,633,178,99300.0
1213,835,634,178,99350.0
1214,836,635,178,99400.0
1215,837,636,178,99450.0
1216,838,637,178,99500.0
1216,838,637,178,99550.0
1216,838,637,178,99600.0
1216,838,637,178,99650.0
1220,839,637,178,99700.0
1221,840,638,178,99750.0
1222,841,639,178,99800.0
1222,841,639,178,99850.0
1224,842,640,178,99900.0
1225,843,641,178,99950.0
1226,844,642,178,100000.0
1226,844,642,178,100050.0
1226,844,642,178,100100.0
1229,845,643,178,100150.0
1230,846,644,178,100200.0
1231,847,644,179,100250.0
1231,847,644,179,100300.0
1233,848,645,179,100350.0
1234,849,645,180,100400.0
1234,849,645,180,100450.0
1236,850,645,181,100500.0
1236,850,645,181,100550.0
1236,850,645,181,100600.0
1236,850,645,181,100650.0
1236,850,645,181,100700.0
1236,850,645,181,100750.0
1242,851,646,181,100800.0
1243,852,647,181,100850.0
1244,853,647,182,100900.0
1245,854,647,183,100950.0
1246,855,648,183,101000.0
1246,855,648,183,101050.0
1248,856,649,183,101100.0
1249,857,649,184,101150.0
1250,858,650,184,101200.0
1251,859,650,185,101250.0
1252,860,651,185,101300.0
1252,860,651,185,101350.0
1254,861,652,185,101400.0
1254,861,652,185,101450.0
1256,862,653,185,101500.0
1257,863,654,185,101550.0
1258,864,655,185,101600.0
1259,865,655,186,101650.0
1260,866,656,186,101700.0
1261,867,656,187,101750.0
1262,868,656,188,101800.0
1262,868,656,188,101850.0
1264,869,657,188,101900.0
1264,869,657,188,101950.0
1266,870,658,188,102000.0
1267,871,659,188,102050.0
1268,872,660,188,102100.0
1268,872,660,188,102150.0
1268,872,660,188,102200.0
1268,872,660,188,102250.0
1272,873,660,188,102300.0
1273,874,660,189,102350.0
1274,875,661,189,102400.0
1274,875,661,189,102450.0
1274,875,661,189,102500.0
1274,875,661,189,102550.0
1278,876,661,189,102600.0
1279,877,662,189,102650.0
1280,878,663,189,102700.0
1281,879,664,189,102750.0
1282,880,665,189,102800.0
1282,880,665,189,102850.0
1282,880,665,189,102900.0
1282,880,665,189,102950.0
1282,880,665,189,103000.0
1287,881,665,189,103050.0
1287,881,665,189,103100.0
1289,882,666,189,103150.0
1289,882,666,189,103200.0
1289,882,666,189,103250.0
1292,883,667,189,103300.0
1292,883,667,189,103350.0
1292,883,667,189,103400.0
1295,884,668,189,103450.0
1296,885,668,190,103500.0
1297,886,668,191,103550.0
1297,886,668,191,103600.0
1299,887,669,191,103650.0
1300,888,670,191,103700.0
1300,888,670,191,103750.0
1300,888,670,191,103800.0
1300,888,670,191,103850.0
1300,888,670,191,103900.0
1300,888,670,191,103950.0
1306,889,670,191,104000.0
1306,889,670,191,104050.0
1306,889,670,191,104100.0
1309,890,671,191,104150.0
1310,891,671,192,104200.0
1310,891,671,192,104250.0
1310,891,671,192,104300.0
1310,891,671,192,104350.0
1310,891,671,192,104400.0
1310,891,671,192,104450.0
1316,892,672,192,104500.0
1317,893,672,193,104550.0
1318,894,672,194,104600.0
1318,894,672,194,104650.0
1318,894,672,194,104700.0
1318,894,672,194,104750.0
1318,894,672,194,104800.0
1318,894,672,194,104850.0
1324,895,672,195,104900.0
1325,896,672,196,104950.0
1326,897,672,197,105000.0
1327,898,672,198,105050.0
1328,899,672,199,105100.0
1328,899,672,199,105150.0
1328,899,672,199,105200.0
1331,900,673,199,105250.0
1331,900,673,199,105300.0
1333,901,674,199,105350.0
1334,902,674,200,105400.0
1334,902,674,200,105450.0
1336,903,674,201,105500.0
