recvSeq2,recvNum2,compute1num2,compute2num2,timestamp
189,169,138,27,39014.0
190,170,139,27,39074.0
191,171,140,27,39134.0
192,172,141,27,39194.0
192,172,141,27,39254.0
194,173,142,27,39314.0
195,174,143,27,39374.0
196,175,144,27,39434.0
196,175,144,27,39494.0
198,176,145,27,39554.0
199,177,146,27,39614.0
200,178,147,27,39674.0
201,179,148,27,39734.0
202,180,149,27,39794.0
203,181,150,27,39854.0
204,182,150,28,39914.0
205,183,151,28,39974.0
206,184,152,28,40034.0
207,185,153,28,40094.0
208,186,154,28,40154.0
209,187,155,28,40214.0
210,188,156,28,40274.0
211,189,157,28,40334.0
212,190,158,28,40394.0
213,191,159,28,40454.0
214,192,160,28,40514.0
215,193,161,28,40574.0
216,194,162,28,40634.0
217,195,163,28,40694.0
218,196,164,28,40754.0
219,197,165,28,40814.0
220,198,166,28,40874.0
221,199,167,28,40934.0
221,199,167,28,40994.0
221,199,167,28,41054.0
224,200,168,28,41114.0
225,201,169,28,41174.0
226,202,170,28,41234.0
227,203,171,28,41294.0
228,204,172,28,41354.0
228,204,172,28,41414.0
230,205,173,28,41474.0
231,206,173,29,41534.0
232,207,173,30,41594.0
233,208,174,30,41654.0
234,209,175,30,41714.0
235,210,176,30,41774.0
236,211,177,30,41834.0
237,212,177,31,41894.0
238,213,178,31,41954.0
239,214,179,31,42014.0
240,215,180,31,42074.0
240,215,180,31,42134.0
242,216,181,31,42194.0
242,216,181,31,42254.0
244,217,182,31,42314.0
244,217,182,31,42374.0
246,218,183,31,42434.0
246,218,183,31,42494.0
248,219,184,31,42554.0
249,220,185,31,42614.0
250,221,186,31,42674.0
251,222,187,31,42734.0
252,223,188,31,42794.0
253,224,189,31,42854.0
254,225,190,31,42914.0
255,226,191,31,42974.0
256,227,191,32,43034.0
257,228,191,33,43094.0
258,229,192,33,43154.0
259,230,193,33,43214.0
260,231,194,33,43274.0
260,231,194,33,43334.0
262,232,195,33,43394.0
263,233,196,33,43454.0
263,233,196,33,43514.0
265,234,197,33,43574.0
266,235,198,33,43634.0
267,236,199,33,43694.0
268,237,200,33,43754.0
269,238,201,33,43814.0
270,239,202,33,43874.0
271,240,203,33,43934.0
271,240,203,33,43994.0
273,241,204,33,44054.0
274,242,204,34,44114.0
275,243,204,35,44174.0
276,244,205,35,44234.0
277,245,206,35,44294.0
278,246,207,35,44354.0
278,246,207,35,44414.0
280,247,208,35,44474.0
281,248,209,35,44534.0
282,249,210,35,44594.0
283,250,211,35,44654.0
284,251,212,35,44714.0
285,252,213,35,44774.0
286,253,214,35,44834.0
287,254,215,35,44894.0
288,255,215,36,44954.0
288,255,215,36,45014.0
290,256,216,36,45074.0
291,257,217,36,45134.0
292,258,218,36,45194.0
293,259,219,36,45254.0
294,260,220,36,45314.0
294,260,220,36,45374.0
296,261,221,36,45434.0
296,261,221,36,45494.0
298,262,222,36,45554.0
299,263,223,36,45614.0
300,264,223,37,45674.0
301,265,224,37,45734.0
302,266,225,37,45794.0
302,266,225,37,45854.0
304,267,226,37,45914.0
305,268,227,37,45974.0
306,269,227,38,46034.0
307,270,228,38,46094.0
308,271,229,38,46154.0
309,272,229,39,46214.0
309,272,229,39,46274.0
311,273,230,39,46334.0
312,274,231,39,46394.0
312,274,231,39,46454.0
314,275,232,39,46514.0
315,276,233,39,46574.0
315,276,233,39,46634.0
317,277,234,39,46694.0
318,278,235,39,46754.0
319,279,236,39,46814.0
320,280,237,39,46874.0
321,281,238,39,46934.0
322,282,239,39,46994.0
323,283,240,39,47054.0
324,284,241,39,47114.0
325,285,242,39,47174.0
326,286,243,39,47234.0
327,287,244,39,47294.0
327,287,244,39,47354.0
329,288,245,39,47414.0
330,289,245,40,47474.0
331,290,246,40,47534.0
332,291,247,40,47594.0
332,291,247,40,47654.0
332,291,247,40,47714.0
335,292,248,40,47774.0
336,293,249,40,47834.0
337,294,249,41,47894.0
338,295,250,41,47954.0
339,296,251,41,48014.0
340,297,252,41,48074.0
341,298,253,41,48134.0
342,299,254,41,48194.0
343,300,254,42,48254.0
343,300,254,42,48314.0
345,301,255,42,48374.0
346,302,256,42,48434.0
347,303,257,42,48494.0
348,304,258,42,48554.0
349,305,259,42,48614.0
350,306,260,42,48674.0
351,307,261,42,48734.0
352,308,262,42,48794.0
353,309,263,42,48854.0
354,310,264,42,48914.0
355,311,265,42,48974.0
356,312,265,43,49034.0
357,313,266,43,49094.0
358,314,267,43,49154.0
358,314,267,43,49214.0
358,314,267,43,49274.0
361,315,268,43,49334.0
362,316,269,43,49394.0
363,317,270,43,49454.0
364,318,271,43,49514.0
365,319,272,43,49574.0
366,320,273,43,49634.0
367,321,274,43,49694.0
368,322,275,43,49754.0
369,323,276,43,49814.0
370,324,277,43,49874.0
371,325,277,44,49934.0
372,326,278,44,49994.0
373,327,279,44,50054.0
374,328,280,44,50114.0
374,328,280,44,50174.0
376,329,281,44,50234.0
377,330,282,44,50294.0
378,331,282,45,50354.0
379,332,283,45,50414.0
380,333,284,45,50474.0
381,334,285,45,50534.0
382,335,286,45,50594.0
383,336,286,46,50654.0
384,337,287,46,50714.0
385,338,288,46,50774.0
385,338,288,46,50834.0
387,339,289,46,50894.0
388,340,290,46,50954.0
389,341,291,46,51014.0
390,342,292,46,51074.0
391,343,293,46,51134.0
392,344,294,46,51194.0
393,345,294,47,51254.0
393,345,294,47,51314.0
395,346,295,47,51374.0
396,347,296,47,51434.0
396,347,296,47,51494.0
398,348,297,47,51554.0
398,348,297,47,51614.0
398,348,297,47,51674.0
401,349,298,47,51734.0
402,350,299,47,51794.0
403,351,299,47,51854.0
404,352,300,47,51914.0
405,353,301,47,51974.0
406,354,302,47,52034.0
407,355,303,47,52094.0
407,355,303,47,52154.0
409,356,304,47,52214.0
410,357,304,48,52274.0
411,358,305,48,52334.0
412,359,306,48,52394.0
413,360,307,48,52454.0
414,361,307,49,52514.0
415,362,308,49,52574.0
416,363,309,49,52634.0
417,364,310,49,52694.0
418,365,311,49,52754.0
419,366,312,49,52814.0
420,367,313,49,52874.0
421,368,314,49,52934.0
421,368,314,49,52994.0
423,369,315,49,53054.0
424,370,316,49,53114.0
425,371,317,49,53174.0
426,372,318,49,53234.0
427,373,319,49,53294.0
428,374,320,49,53354.0
429,375,320,50,53414.0
430,376,321,50,53474.0
430,376,321,50,53534.0
430,376,321,50,53594.0
430,376,321,50,53654.0
434,377,321,50,53714.0
435,378,322,50,53774.0
435,378,322,50,53834.0
435,378,322,50,53894.0
438,379,323,50,53954.0
439,380,324,50,54014.0
439,380,324,50,54074.0
441,381,325,50,54134.0
442,382,326,50,54194.0
443,383,327,50,54254.0
444,384,328,50,54314.0
445,385,329,50,54374.0
446,386,329,51,54434.0
447,387,330,51,54494.0
448,388,331,51,54554.0
449,389,332,51,54614.0
449,389,332,51,54674.0
451,390,333,51,54734.0
452,391,334,51,54794.0
453,392,335,51,54854.0
454,393,336,51,54914.0
455,394,337,51,54974.0
456,395,337,52,55034.0
457,396,338,52,55094.0
458,397,339,52,55154.0
459,398,339,53,55214.0
460,399,340,53,55274.0
460,399,340,53,55334.0
460,399,340,53,55394.0
463,400,341,53,55454.0
463,400,341,53,55514.0
463,400,341,53,55574.0
466,401,342,53,55634.0
467,402,343,53,55694.0
468,403,344,53,55754.0
468,403,344,53,55814.0
470,404,345,53,55874.0
471,405,346,53,55934.0
472,406,347,53,55994.0
473,407,347,54,56054.0
474,408,347,55,56114.0
475,409,348,55,56174.0
476,410,349,55,56234.0
477,411,350,55,56294.0
478,412,351,55,56354.0
479,413,352,55,56414.0
480,414,353,55,56474.0
481,415,354,55,56534.0
482,416,355,55,56594.0
483,417,355,56,56654.0
484,418,356,56,56714.0
485,419,357,56,56774.0
485,419,357,56,56834.0
487,420,358,56,56894.0
488,421,359,56,56954.0
489,422,360,56,57014.0
490,423,361,56,57074.0
491,424,362,56,57134.0
492,425,363,56,57194.0
493,426,364,56,57254.0
494,427,365,56,57314.0
495,428,366,56,57374.0
496,429,367,56,57434.0
496,429,367,56,57494.0
496,429,367,56,57554.0
499,430,368,56,57614.0
500,431,369,56,57674.0
501,432,370,56,57734.0
502,433,371,56,57794.0
503,434,372,56,57854.0
504,435,373,56,57914.0
505,436,373,57,57974.0
506,437,374,57,58034.0
506,437,374,57,58094.0
508,438,375,57,58154.0
508,438,375,57,58214.0
510,439,376,57,58274.0
511,440,377,57,58334.0
512,441,378,57,58394.0
513,442,379,57,58454.0
514,443,380,57,58514.0
515,444,381,57,58574.0
516,445,382,57,58634.0
517,446,383,57,58694.0
518,447,384,57,58754.0
518,447,384,57,58814.0
520,448,385,57,58874.0
520,448,385,57,58934.0
522,449,386,57,58994.0
523,450,387,57,59054.0
524,451,388,57,59114.0
