recvSeq1,recvNum1,compute1num1,compute2num1,timestamp
521,366,201,161,64297.0
522,367,202,161,64337.0
522,367,202,161,64377.0
522,367,202,161,64417.0
522,367,202,161,64457.0
522,367,202,161,64497.0
526,368,203,161,64537.0
527,369,203,162,64577.0
528,370,204,162,64617.0
529,371,204,163,64657.0
529,371,204,163,64697.0
530,372,205,163,64737.0
530,372,205,163,64777.0
530,372,205,163,64817.0
530,372,205,163,64857.0
530,372,205,163,64897.0
530,372,205,163,64937.0
535,373,205,164,64977.0
536,374,206,164,65017.0
536,374,206,164,65057.0
536,374,206,164,65097.0
536,374,206,164,65137.0
539,375,206,165,65177.0
539,375,206,165,65217.0
539,375,206,165,65257.0
541,376,207,165,65297.0
541,376,207,165,65337.0
543,377,207,166,65377.0
544,378,207,167,65417.0
544,378,207,167,65457.0
545,379,208,167,65497.0
546,380,209,167,65537.0
547,381,209,168,65577.0
548,382,210,168,65617.0
548,382,210,168,65657.0
549,383,210,169,65697.0
550,384,211,169,65737.0
551,385,211,170,65777.0
552,386,212,170,65817.0
552,386,212,170,65857.0
553,387,213,170,65897.0
553,387,213,170,65937.0
555,388,213,171,65977.0
555,388,213,171,66017.0
555,388,213,171,66057.0
555,388,213,171,66097.0
558,389,214,171,66137.0
559,390,214,172,66177.0
559,390,214,172,66217.0
559,390,214,172,66257.0
561,391,215,172,66297.0
562,392,216,172,66337.0
563,393,216,173,66377.0
563,393,216,173,66417.0
564,394,217,173,66457.0
564,394,217,173,66497.0
566,395,218,173,66537.0
566,395,218,173,66577.0
566,395,218,173,66617.0
566,395,218,173,66657.0
566,395,218,173,66697.0
570,396,218,174,66737.0
571,397,219,174,66777.0
572,398,219,175,66817.0
572,398,219,175,66857.0
573,399,219,176,66897.0
574,400,220,176,66937.0
575,401,221,176,66977.0
576,402,222,176,67017.0
576,402,222,176,67057.0
577,403,222,177,67097.0
577,403,222,177,67137.0
579,404,222,178,67177.0
579,404,222,178,67217.0
579,404,222,178,67257.0
581,405,223,178,67297.0
582,406,224,178,67337.0
583,407,224,179,67377.0
583,407,224,179,67417.0
583,407,224,179,67457.0
585,408,224,180,67497.0
586,409,225,180,67537.0
587,410,225,181,67577.0
588,411,226,181,67617.0
588,411,226,181,67657.0
588,411,226,181,67697.0
590,412,227,181,67737.0
591,413,227,182,67777.0
591,413,227,182,67817.0
591,413,227,182,67857.0
593,414,228,182,67897.0
594,415,228,183,67937.0
595,416,228,184,67977.0
596,417,229,184,68017.0
596,417,229,184,68057.0
596,417,229,184,68097.0
598,418,229,185,68137.0
599,419,230,185,68177.0
600,420,230,186,68217.0
600,420,230,186,68257.0
600,420,230,186,68297.0
600,420,230,186,68337.0
603,421,230,187,68377.0
604,422,231,187,68417.0
604,422,231,187,68457.0
605,423,231,188,68497.0
606,424,231,189,68537.0
606,424,231,189,68577.0
608,425,231,190,68617.0
608,425,231,190,68657.0
609,426,232,190,68697.0
610,427,232,191,68737.0
611,428,233,191,68777.0
612,429,233,192,68817.0
612,429,233,192,68857.0
612,429,233,192,68897.0
614,430,234,192,68937.0
615,431,234,193,68977.0
616,432,234,194,69017.0
617,433,234,194,69057.0
617,433,234,194,69097.0
618,434,235,194,69137.0
619,435,235,195,69177.0
620,436,236,195,69217.0
620,436,236,195,69257.0
620,436,236,195,69297.0
620,436,236,195,69337.0
623,437,237,195,69377.0
624,438,237,196,69417.0
624,438,237,196,69457.0
624,438,237,196,69497.0
626,439,238,196,69537.0
626,439,238,196,69577.0
628,440,238,197,69617.0
628,440,238,197,69657.0
629,441,239,197,69697.0
630,442,239,198,69737.0
630,442,239,198,69777.0
630,442,239,198,69817.0
630,442,239,198,69857.0
633,443,239,199,69897.0
634,444,240,199,69937.0
634,444,240,199,69977.0
636,445,241,199,70017.0
637,446,241,200,70057.0
637,446,241,200,70097.0
637,446,241,200,70137.0
639,447,241,201,70177.0
640,448,242,201,70217.0
641,449,242,202,70257.0
641,449,242,202,70297.0
642,450,243,202,70337.0
643,451,243,203,70377.0
644,452,243,204,70417.0
645,453,243,205,70457.0
645,453,243,205,70497.0
646,454,244,205,70537.0
647,455,244,206,70577.0
648,456,245,206,70617.0
649,457,245,207,70657.0
649,457,245,207,70697.0
650,458,246,207,70737.0
651,459,246,208,70777.0
651,459,246,208,70817.0
653,460,247,208,70857.0
653,460,247,208,70897.0
654,461,247,209,70937.0
655,462,248,209,70977.0
655,462,248,209,71017.0
655,462,248,209,71057.0
655,462,248,209,71097.0
