,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distReal1,UAV1x,UAV1y,UAV1z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,Statistic.distReal3
0,91755,1,1158,873,858,7,232,0,0.64230996,-0.6801133,0.6105203,-0.7252377,0.7602127,-0.52199775,2.286333945,,,,,,
1,91855,1,1159,874,859,7,233,0,0.64237076,-0.68008304,0.6109048,-0.7251871,0.76022416,-0.5219478,2.286493851,,,,,,
2,91955,1,1160,875,860,7,238,0,0.64212054,-0.6801559,0.61006945,-0.7255977,0.7603382,-0.5223034,2.286469889,,,,,,
3,92055,1,1161,876,861,7,238,0,0.6422971,-0.6801231,0.6105304,-0.7251929,0.76017624,-0.5219603,2.28626903,,,,,,
4,118275,0,,,,,,,0.6423525,-0.6801093,0.61051756,-0.7255708,0.7603293,-0.5223406,2.286797999,893,877,860,6,231,0
5,118375,0,,,,,,,0.6422932,-0.6801227,0.610525,-0.7251801,0.7601067,-0.52199817,2.286231161,894,878,861,6,234,0
6,118475,0,,,,,,,0.64214903,-0.6801522,0.61004305,-0.7255013,0.7602759,-0.5220675,2.286257759,895,879,862,6,240,0
7,92155,1,1162,877,862,7,233,0,0.64229304,-0.68012404,0.6105568,-0.72532654,0.7602449,-0.52222687,2.286535475,,,,,,
8,118575,0,,,,,,,0.6422728,-0.68011737,0.6105492,-0.7253763,0.76030016,-0.52216303,2.286548422,896,880,863,6,237,0
9,118675,0,,,,,,,0.64249295,-0.6801058,0.6108321,-0.72553766,0.76027375,-0.52204686,2.286835346,897,881,864,6,231,0
10,92255,1,1163,878,863,7,233,0,0.6422807,-0.68011206,0.6105429,-0.7258178,0.76066405,-0.52245355,2.287183908,,,,,,
11,118775,0,,,,,,,0.64230347,-0.6800774,0.61079544,-0.72558814,0.76036286,-0.5223152,2.286905098,898,882,865,6,235,0
12,92355,1,1164,879,864,7,239,0,0.642518,-0.67990774,0.61062795,-0.7251347,0.7601448,-0.5219819,2.286269904,,,,,,
13,118875,0,,,,,,,0.6422548,-0.6801239,0.61046773,-0.7253738,0.76027066,-0.5222161,2.286507626,899,883,866,6,240,0
14,92455,1,1165,880,865,7,237,0,0.6424986,-0.6798935,0.6105558,-0.725118,0.7601292,-0.52214205,2.286273181,,,,,,
15,118975,0,,,,,,,0.6423698,-0.6800719,0.61079454,-0.72511876,0.76011443,-0.52216184,2.286427732,900,884,867,6,235,0
16,92555,1,1166,881,866,7,230,0,0.64229435,-0.6800999,0.61044115,-0.72540194,0.76023734,-0.52219605,2.2864889,,,,,,
17,119075,0,,,,,,,0.64215267,-0.6801486,0.61005867,-0.7255225,0.760241,-0.5223897,2.28641579,901,885,868,6,230,0
18,92655,1,1167,882,867,7,236,0,0.64238507,-0.68009,0.6108281,-0.72545236,0.7601712,-0.5222144,2.286726222,,,,,,
19,119175,0,,,,,,,0.64231014,-0.68011683,0.6105274,-0.7255247,0.7602271,-0.5223662,2.286702934,902,886,869,6,235,0
20,92755,1,1168,883,868,7,233,0,0.6422693,-0.6801108,0.61053437,-0.7254917,0.7603351,-0.5223888,2.286737719,,,,,,
21,119275,0,,,,,,,0.642308,-0.680108,0.610474,-0.72543806,0.76022273,-0.5222469,2.286556107,903,887,870,6,233,0
22,92855,1,1169,884,869,7,233,0,0.642291,-0.6801141,0.610435,-0.725111,0.7601271,-0.52217084,2.286236882,,,,,,
23,92955,1,1170,885,870,7,234,0,0.64263654,-0.67985004,0.6109228,-0.7254434,0.7602228,-0.52226955,2.286826841,,,,,,
24,119375,0,,,,,,,0.6423739,-0.6801008,0.6108633,-0.72508,0.7601147,-0.52213615,2.286446781,904,888,871,6,233,0
25,119475,0,,,,,,,0.6423065,-0.6801083,0.6105113,-0.7254159,0.7601919,-0.5222213,2.286528481,905,889,872,6,234,0
26,93055,1,1171,886,871,7,235,0,0.6418813,-0.68002045,0.61013013,-0.72528154,0.7602209,-0.52242607,2.286069299,,,,,,
27,119575,0,,,,,,,0.6422321,-0.6801257,0.61047745,-0.72510344,0.7601499,-0.5221592,2.286234098,906,890,873,6,235,0
28,93155,1,1172,887,872,7,235,0,0.6426459,-0.68005145,0.6111749,-0.7251554,0.7601411,-0.5221915,2.286821816,,,,,,
29,119675,0,,,,,,,0.6425789,-0.6800581,0.6111902,-0.72556823,0.7602703,-0.5223616,2.287206185,907,891,874,6,234,0
30,93255,1,1173,888,873,7,233,0,0.6425389,-0.68008643,0.61072963,-0.72547966,0.7601625,-0.52235764,2.286849105,,,,,,
31,119775,0,,,,,,,0.64229953,-0.6801151,0.6104607,-0.7254627,0.76032466,-0.5222125,2.286610748,908,892,875,6,233,0
32,93355,1,1174,889,874,7,237,0,0.64226735,-0.68011504,0.61045825,-0.7254307,0.760215,-0.5222685,2.286529755,,,,,,
33,119875,0,,,,,,,0.6422921,-0.6800835,0.6107678,-0.72542596,0.76023847,-0.5222474,2.286679483,909,893,876,6,238,0
34,93455,1,1175,890,875,7,241,0,0.64228857,-0.6801123,0.6105387,-0.72509974,0.7601001,-0.5221445,2.286248901,,,,,,
35,119975,0,,,,,,,0.64225733,-0.6801177,0.61051637,-0.7254548,0.7602097,-0.5222907,2.286576321,910,894,877,6,240,0
36,120075,0,,,,,,,0.6422765,-0.68012893,0.6104823,-0.7251087,0.760167,-0.5221385,2.286268669,911,895,878,6,232,0
37,93555,1,1176,891,876,7,233,0,0.6424191,-0.67989993,0.610588,-0.72512,0.76009464,-0.52216387,2.286235926,,,,,,
38,93655,1,1177,892,877,7,236,0,0.64227974,-0.6801202,0.61043596,-0.7251042,0.76012737,-0.52219296,2.286241482,,,,,,
39,120175,0,,,,,,,0.64236236,-0.6800999,0.6108945,-0.7254244,0.7601982,-0.5222304,2.286759951,912,896,879,6,237,0
40,93755,1,1178,893,878,7,236,0,0.6423112,-0.6801234,0.6104229,-0.7254359,0.7602183,-0.5222767,2.286553015,,,,,,
41,120275,0,,,,,,,0.6424116,-0.68008095,0.6105475,-0.72551745,0.76030856,-0.5219855,2.286609399,913,897,880,6,237,0
42,120375,0,,,,,,,0.64233506,-0.6800814,0.6105073,-0.72566605,0.7604747,-0.52237606,2.286930988,914,898,881,6,239,0
43,93955,1,1180,895,880,7,236,0,0.6423078,-0.6800201,0.6106846,-0.7261136,0.76050526,-0.5222118,2.287169572,,,,,,
44,120475,0,,,,,,,0.64216536,-0.6800829,0.61044264,-0.7263154,0.76086026,-0.5219392,2.287213502,915,899,882,6,229,0
45,94055,1,1181,896,881,7,235,0,0.6419617,-0.6801214,0.61008406,-0.7270748,0.76063627,-0.52191335,2.287238871,,,,,,
46,120575,0,,,,,,,0.6415289,-0.6804125,0.61036843,-0.72890806,0.761195,-0.5204261,2.288017851,916,900,883,6,239,0
47,94155,1,1182,897,882,7,234,0,0.6411265,-0.68114114,0.6101594,-0.7298591,0.76349854,-0.51762104,2.288771312,,,,,,
48,120675,0,,,,,,,0.6414864,-0.68081635,0.61092937,-0.7299713,0.76408374,-0.5174042,2.289490984,917,901,884,6,234,0
49,94255,1,1183,898,883,7,230,0,0.6419793,-0.6813345,0.61156213,-0.726965,0.7701216,-0.51183695,2.289707086,,,,,,
50,120775,0,,,,,,,0.6417224,-0.68136215,0.6112601,-0.726263,0.77075666,-0.5111547,2.289071479,918,902,885,6,229,0
51,94355,1,1184,899,884,7,233,0,0.64208287,-0.68147767,0.61191124,-0.72075593,0.77595156,-0.50651366,2.287422889,,,,,,
52,120875,0,,,,,,,0.6422229,-0.6816979,0.6127784,-0.7198401,0.77676094,-0.50603265,2.287805966,919,903,885,6,229,0
53,94455,1,1185,900,885,7,230,0,0.64406586,-0.6815163,0.61277103,-0.70160043,0.79186326,-0.4964687,2.28299758,,,,,,
54,120975,0,,,,,,,0.6442884,-0.6815444,0.6128751,-0.700013,0.7930308,-0.49636066,2.28296357,920,904,886,6,231,0
55,94555,1,1186,901,886,7,230,0,0.6456286,-0.6810751,0.6142952,-0.6901171,0.80336833,-0.48962125,2.281758154,,,,,,
56,121075,0,,,,,,,0.6455757,-0.68127316,0.6147089,-0.6895198,0.80426455,-0.4886585,2.281824266,921,905,887,6,231,0
57,94655,1,1187,902,887,7,230,0,0.64543223,-0.67981875,0.61982375,-0.6858865,0.8112419,-0.48369303,2.283291715,,,,,,
58,121175,0,,,,,,,0.64518654,-0.6792569,0.62080324,-0.686257,0.81159806,-0.48242974,2.283092967,922,906,888,6,234,0
59,121275,0,,,,,,,0.6415853,-0.67550755,0.6292218,-0.69002867,0.81388396,-0.47920594,2.284752773,923,907,889,6,228,0
60,94755,1,1188,903,888,7,228,0,0.6414029,-0.6744501,0.6304225,-0.6908742,0.81390095,-0.4790034,2.284945735,,,,,,
61,94855,1,1189,904,889,7,229,0,0.6373294,-0.67026186,0.6389167,-0.6961721,0.81326234,-0.47744995,2.285901345,,,,,,
62,121375,0,,,,,,,0.63643587,-0.66952705,0.63943595,-0.69762945,0.81312287,-0.4773535,2.285869586,924,908,890,6,228,0
63,121475,0,,,,,,,0.63128304,-0.65896547,0.65520126,-0.70746166,0.81173515,-0.47364023,2.286805787,925,909,891,6,228,0
64,94955,1,1190,905,890,7,232,0,0.62978745,-0.65366733,0.65995955,-0.7115439,0.81185377,-0.4705786,2.285834331,,,,,,
65,95055,1,1191,906,891,7,231,0,0.6283892,-0.6429389,0.6710844,-0.7189453,0.8158588,-0.46164423,2.286148509,,,,,,
66,121575,0,,,,,,,0.6286544,-0.6402588,0.67394125,-0.72096264,0.81777924,-0.4587797,2.287006314,926,910,892,6,230,0
67,121675,0,,,,,,,0.630416,-0.63188505,0.68008083,-0.7246214,0.8263278,-0.44486663,2.286485936,927,911,893,6,228,0
68,95155,1,1192,907,892,7,230,0,0.63058037,-0.6308806,0.68118113,-0.72496396,0.8280308,-0.44263983,2.28667808,,,,,,
69,121775,0,,,,,,,0.6345098,-0.625217,0.68412036,-0.7255411,0.84327924,-0.42320788,2.287443034,928,912,894,6,226,0
70,95255,1,1193,908,893,7,222,0,0.6356572,-0.62425697,0.6842461,-0.72562504,0.84478027,-0.42102444,2.287527712,,,,,,
71,95355,1,1194,909,894,7,223,0,0.6396511,-0.61958987,0.6855869,-0.7219405,0.8623093,-0.40201187,2.287537506,,,,,,
72,121875,0,,,,,,,0.6403236,-0.6192932,0.6867005,-0.7209244,0.86373955,-0.39914116,2.287232883,929,913,895,6,228,0
73,121975,0,,,,,,,0.6438429,-0.6130159,0.69293046,-0.7135042,0.8832843,-0.37813324,2.286587595,930,914,896,6,228,0
74,95455,1,1195,910,895,7,226,0,0.6443626,-0.6124472,0.6937877,-0.7125616,0.88474274,-0.37583295,2.286243575,,,,,,
75,95555,1,1196,911,896,7,226,0,0.64542574,-0.60444546,0.7051353,-0.7051381,0.8989453,-0.36057198,2.284718407,,,,,,
76,122075,0,,,,,,,0.6457985,-0.60411394,0.70568913,-0.7045449,0.9008779,-0.35872602,2.285039924,931,915,897,6,225,0
77,122175,0,,,,,,,0.64506054,-0.59183645,0.7217549,-0.69546044,0.9152243,-0.3421355,2.280370924,932,916,898,6,224,0
78,95655,1,1197,912,897,7,226,0,0.64512306,-0.5899071,0.7243777,-0.69426745,0.9162796,-0.34020248,2.279450901,,,,,,
79,122275,0,,,,,,,0.64353275,-0.57452554,0.74318945,-0.6857816,0.93006015,-0.32124498,2.272416228,933,917,899,6,220,0
80,95755,1,1198,913,898,7,223,0,0.6430625,-0.57288426,0.74587893,-0.684653,0.9314724,-0.31933838,2.271696465,,,,,,
81,95855,1,1199,914,899,7,220,0,0.6393988,-0.5528812,0.7756443,-0.6744886,0.9431062,-0.29657137,2.261398857,,,,,,
82,122375,0,,,,,,,0.6390349,-0.55044854,0.778039,-0.6737643,0.94386005,-0.29391587,2.259532504,934,918,900,6,222,0
