,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,214848,0,429.0,1175.0,1160.0,2.0,248.0,1.272338,1.1882342,0.01600318,1.7409769410133107,,,,,
1,214948,0,429.0,1175.0,1160.0,2.0,248.0,1.2723315,1.1882406,0.01600131,1.7409765257523302,,,,,
2,66808,1,,,,,,1.2723366,1.1882441,0.016013699,1.7409827453128197,1417.0,428.0,423.0,0.0,250.0
3,215048,0,430.0,1176.0,1161.0,2.0,250.0,1.2723392,1.1882436,0.016005777,1.7409842636578927,,,,,
4,66908,1,,,,,,1.2723286,1.1882445,0.01601175,1.7409771344510445,1418.0,429.0,424.0,0.0,251.0
5,215148,0,431.0,1177.0,1162.0,2.0,253.0,1.2723337,1.1882455,0.016009316,1.740981590471827,,,,,
6,67008,1,,,,,,1.272337,1.1882402,0.016005823,1.7409802493118347,1418.0,429.0,424.0,0.0,251.0
7,215248,0,431.0,1177.0,1162.0,2.0,253.0,1.2723342,1.1882414,0.01601169,1.7409791131210757,,,,,
8,67108,1,,,,,,1.2723333,1.1882428,0.016007634,1.7409793551993564,1419.0,430.0,425.0,0.0,253.0
9,215348,0,432.0,1178.0,1163.0,2.0,251.0,1.2723345,1.1882474,0.016007176,1.740983395305636,,,,,
10,67208,1,,,,,,1.2723355,1.1882478,0.016012982,1.7409844768608036,1420.0,431.0,426.0,0.0,249.0
11,67308,1,,,,,,1.2723339,1.1882509,0.016010744,1.7409853520278598,1420.0,431.0,426.0,0.0,249.0
12,215448,0,433.0,1179.0,1164.0,2.0,249.0,1.2723393,1.188248,0.016009467,1.740987395095801,,,,,
13,215548,0,433.0,1179.0,1164.0,2.0,249.0,1.2723378,1.188235,0.016001787,1.740977323497166,,,,,
14,67408,1,,,,,,1.2723353,1.1882454,0.0160076,1.7409826258936516,1421.0,432.0,427.0,0.0,250.0
15,215648,0,434.0,1180.0,1165.0,2.0,251.0,1.2723365,1.1882367,0.01599744,1.7409774642842666,,,,,
16,67508,1,,,,,,1.2723325,1.1882455,0.016009862,1.7409807242924416,1422.0,433.0,428.0,0.0,251.0
17,215748,0,435.0,1181.0,1166.0,2.0,248.0,1.2723274,1.1882477,0.016003288,1.740978382232877,,,,,
18,67608,1,,,,,,1.2723285,1.188252,0.01600525,1.740982113386674,1422.0,433.0,428.0,0.0,251.0
19,215848,0,435.0,1181.0,1166.0,2.0,248.0,1.2723387,1.1882489,0.016011765,1.7409875501681846,,,,,
20,67708,1,,,,,,1.272335,1.1882446,0.016009342,1.7409818981336156,1423.0,434.0,429.0,0.0,249.0
21,215948,0,436.0,1182.0,1167.0,2.0,251.0,1.2723315,1.1882455,0.01600865,1.7409799290813452,,,,,
22,67808,1,,,,,,1.2723356,1.1882424,0.016003026,1.740980811147978,1424.0,435.0,430.0,0.0,251.0
23,216048,0,437.0,1183.0,1168.0,2.0,251.0,1.2723302,1.188244,0.016004836,1.740977877983175,,,,,
24,67908,1,,,,,,1.2723303,1.1882387,0.016002862,1.7409743670226394,1424.0,435.0,430.0,0.0,251.0
25,216148,0,437.0,1183.0,1168.0,2.0,251.0,1.2723331,1.188254,0.01600759,1.7409869157169884,,,,,
26,68008,1,,,,,,1.2723334,1.1882437,0.01599513,1.74097997829151,1425.0,436.0,431.0,0.0,252.0
27,216248,0,438.0,1184.0,1169.0,2.0,251.0,1.2723277,1.1882385,0.015994033,1.7409722065282676,,,,,
28,68108,1,,,,,,1.272332,1.1882509,0.016001072,1.7409838691870454,1426.0,437.0,432.0,0.0,250.0
29,68208,1,,,,,,1.2723272,1.1882485,0.016018482,1.740978917258359,1426.0,437.0,432.0,0.0,250.0
30,216348,0,439.0,1185.0,1170.0,2.0,251.0,1.2723342,1.1882441,0.016004836,1.74098092141924,,,,,
31,216448,0,439.0,1185.0,1170.0,2.0,251.0,1.2723341,1.1882477,0.016004909,1.7409832758300385,,,,,
32,68308,1,,,,,,1.2723323,1.1882416,0.016005872,1.7409778284194803,1427.0,438.0,433.0,0.0,251.0
33,68408,1,,,,,,1.2723294,1.1882538,0.016014505,1.7409841158922092,1428.0,439.0,434.0,0.0,248.0
34,216548,0,440.0,1186.0,1171.0,2.0,249.0,1.2723312,1.1882474,0.016003085,1.7409810054695747,,,,,
35,216648,0,441.0,1187.0,1172.0,2.0,249.0,1.2723358,1.1882377,0.016000653,1.7409776219838986,,,,,
36,68508,1,,,,,,1.272332,1.1882445,0.016005382,1.740979515245651,1428.0,439.0,434.0,0.0,248.0
37,216748,0,441.0,1187.0,1172.0,2.0,249.0,1.2723322,1.1882412,0.016008494,1.7409775213267644,,,,,
38,68608,1,,,,,,1.2723341,1.1882415,0.015994754,1.7409789516764391,1429.0,440.0,435.0,0.0,251.0
39,216848,0,442.0,1188.0,1173.0,2.0,251.0,1.2723328,1.1882399,0.015995007,1.7409769379788436,,,,,
40,68708,1,,,,,,1.2723377,1.1882496,0.015991753,1.740987070325466,1430.0,441.0,436.0,0.0,252.0
41,216948,0,443.0,1189.0,1174.0,2.0,251.0,1.2725705,1.1877949,0.01651944,1.740851896923333,,,,,
42,68808,1,,,,,,1.2725769,1.1876408,0.016923862,1.7407553222950385,1430.0,441.0,436.0,0.0,252.0
43,217048,0,443.0,1189.0,1174.0,2.0,251.0,1.272498,1.1863419,0.027103428,1.7399404718826945,,,,,
44,68908,1,,,,,,1.2722597,1.186101,0.029076904,1.7396337914836266,1431.0,442.0,437.0,0.0,253.0
45,217148,0,444.0,1190.0,1175.0,2.0,253.0,1.2680035,1.1836474,0.05367041,1.7354349456940663,,,,,
46,69008,1,,,,,,1.2672577,1.1833531,0.057026006,1.7347963855187578,1432.0,443.0,438.0,0.0,247.0
47,217248,0,445.0,1191.0,1176.0,2.0,251.0,1.2582383,1.1811286,0.08797138,1.7279952090233208,,,,,
48,69108,1,,,,,,1.256913,1.1809818,0.09117789,1.7270962535808687,1432.0,443.0,438.0,0.0,247.0
49,217348,0,445.0,1191.0,1176.0,2.0,251.0,1.2467988,1.1804475,0.110503964,1.7205157547643282,,,,,
50,69208,1,,,,,,1.245179,1.1804262,0.112790786,1.7194763021462214,1433.0,444.0,438.0,0.0,247.0
51,217448,0,446.0,1192.0,1177.0,2.0,248.0,1.22537,1.1824228,0.12844867,1.707675143097877,,,,,
52,69308,1,,,,,,1.2234392,1.1827191,0.12906712,1.7065422161619817,1434.0,445.0,439.0,0.0,245.0
53,217548,0,447.0,1193.0,1178.0,2.0,247.0,1.2058148,1.1862624,0.13134381,1.6966022014275481,,,,,
54,69408,1,,,,,,1.2039313,1.1866958,0.13136269,1.6955688612660742,1434.0,445.0,439.0,0.0,245.0
55,217648,0,447.0,1193.0,1178.0,2.0,247.0,1.1873983,1.1907984,0.1321804,1.6868275689153815,,,,,
56,69508,1,,,,,,1.1856338,1.1912457,0.1323373,1.6859142554700435,1435.0,446.0,440.0,0.0,243.0
57,217748,0,448.0,1194.0,1179.0,2.0,244.0,1.180642,1.1925402,0.13296628,1.683373885571327,,,,,
58,69608,1,,,,,,1.1790161,1.1929274,0.13325688,1.6825314498111956,1436.0,447.0,441.0,0.0,242.0
59,217848,0,449.0,1195.0,1180.0,2.0,243.0,1.1587532,1.1971524,0.14420226,1.6723268168239027,,,,,
60,69708,1,,,,,,1.1576022,1.197321,0.145323,1.6717473849995463,1436.0,447.0,441.0,0.0,242.0
