,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3
0,19230,1,423.0,266.0,246.0,15.0,243.0,1.5946175,0.81761247,0.01254105,-0.08598832,-0.88157696,0.68922263,2.4838636053391117,,,,,
1,23730,0,,,,,,1.5946207,0.8176218,0.012554291,-0.086008064,-0.8815693,0.6892363,2.483880427778004,333.0,273.0,248.0,22.0,243.0
2,19330,1,425.0,268.0,248.0,15.0,243.0,1.5946162,0.8176031,0.012560358,-0.08609024,-0.88131744,0.6891502,2.483722727704118,,,,,
3,23830,0,,,,,,1.5946171,0.81760764,0.01256048,-0.085986,-0.88158584,0.6892506,2.4838669256346386,335.0,275.0,250.0,22.0,243.0
4,19430,1,427.0,270.0,250.0,15.0,243.0,1.5946084,0.81760067,0.012536268,-0.08608912,-0.8813167,0.68915695,2.4837230328937907,,,,,
5,23930,0,,,,,,1.5946153,0.8175996,0.012538802,-0.08599384,-0.88164353,0.68917733,2.4838909187965323,337.0,277.0,252.0,22.0,243.0
6,19530,1,429.0,272.0,252.0,15.0,241.0,1.5946196,0.81759864,0.012542014,-0.08598178,-0.8815993,0.6892442,2.483872111082264,,,,,
7,24030,0,,,,,,1.5946233,0.81759435,0.0125368275,-0.08605617,-0.8814624,0.68923366,2.4838269289228934,339.0,279.0,254.0,22.0,241.0
8,19630,1,431.0,274.0,254.0,15.0,242.0,1.59461,0.817598,0.01254233,-0.086052954,-0.8814524,0.68922365,2.483807092197576,,,,,
9,24130,0,,,,,,1.5946065,0.8175974,0.012536661,-0.085974686,-0.8815962,0.68923753,2.4838551053614113,341.0,281.0,256.0,22.0,242.0
10,19730,1,433.0,276.0,256.0,15.0,242.0,1.5946071,0.8176103,0.012544735,-0.08598373,-0.8815953,0.6892193,2.4838626978812863,,,,,
11,24230,0,,,,,,1.5946081,0.81760484,0.012541954,-0.086050846,-0.8814796,0.6892395,2.483832169301524,343.0,283.0,258.0,22.0,242.0
12,19830,1,435.0,278.0,258.0,15.0,243.0,1.5946008,0.8176109,0.012534285,-0.08606378,-0.8814355,0.689224,2.4838077385874517,,,,,
13,24330,0,,,,,,1.5946025,0.8176058,0.012533852,-0.0860393,-0.8814896,0.68923557,2.483829111500568,345.0,285.0,260.0,22.0,243.0
14,19930,1,437.0,280.0,260.0,15.0,242.0,1.5945989,0.8176105,0.012544055,-0.086060606,-0.8814541,0.6892257,2.483814618746594,,,,,
15,24430,0,,,,,,1.5946039,0.81761277,0.012543259,-0.0859715,-0.881605,0.6892187,2.48386077424556,347.0,287.0,262.0,22.0,242.0
16,20030,1,439.0,282.0,262.0,15.0,243.0,1.5946043,0.81760395,0.012544096,-0.085984476,-0.8816544,0.68917584,2.4838856334630686,,,,,
17,24530,0,,,,,,1.5946087,0.81760246,0.012533468,-0.08598097,-0.88161194,0.6892444,2.4838778314809944,349.0,289.0,264.0,22.0,243.0
18,20130,1,441.0,284.0,264.0,15.0,244.0,1.5945895,0.81759506,0.012528914,-0.08598143,-0.8816637,0.68916255,2.4838743808002577,,,,,
19,24630,0,,,,,,1.5945934,0.81758493,0.012531824,-0.08601659,-0.88145906,0.6891446,2.4837482010317764,351.0,291.0,266.0,22.0,244.0
20,20230,1,443.0,286.0,266.0,15.0,245.0,1.5946039,0.817596,0.012535068,-0.08596822,-0.88160455,0.68922234,2.4838500682939424,,,,,
21,24730,0,,,,,,1.5945983,0.8175955,0.012527594,-0.0859711,-0.881605,0.68922496,2.483850892179429,353.0,293.0,268.0,22.0,245.0
22,20330,1,445.0,288.0,268.0,15.0,242.0,1.5946099,0.817596,0.012532285,-0.08600703,-0.8814692,0.6891338,2.4837643260024564,,,,,
23,24830,0,,,,,,1.5946019,0.81760913,0.0125451675,-0.08596353,-0.8816134,0.6892232,2.483857959395834,355.0,295.0,270.0,22.0,242.0
24,20430,1,447.0,290.0,270.0,15.0,243.0,1.5946095,0.81761694,0.012569174,-0.08597055,-0.8816104,0.6892246,2.4838649881015393,,,,,
25,24930,0,,,,,,1.5946124,0.81760496,0.012546426,-0.08598384,-0.88159704,0.6892192,2.4838633938105805,357.0,297.0,272.0,22.0,243.0
26,20530,1,449.0,292.0,272.0,15.0,241.0,1.5946126,0.817621,0.012558192,-0.0859741,-0.881595,0.68923295,2.4838670185290885,,,,,
27,25030,0,,,,,,1.5946113,0.81762505,0.012556013,-0.08604193,-0.8814718,0.6892282,2.4838298607875404,359.0,299.0,274.0,22.0,241.0
28,20630,1,451.0,294.0,274.0,15.0,243.0,1.5946076,0.8176168,0.012560006,-0.086066075,-0.88144445,0.68924433,2.4838226650460635,,,,,
29,25130,0,,,,,,1.59461,0.81761634,0.012547701,-0.086095385,-0.8812994,0.6891608,2.4837250887575766,361.0,301.0,276.0,22.0,243.0
30,20730,1,453.0,296.0,276.0,15.0,243.0,1.5946147,0.81760466,0.0125516625,-0.08597324,-0.8816305,0.6892467,2.4838865727285957,,,,,
31,25230,0,,,,,,1.5946268,0.8176043,0.012546904,-0.08600936,-0.88148034,0.68915117,2.4837914323463415,363.0,303.0,278.0,22.0,243.0
32,20830,1,455.0,298.0,278.0,15.0,243.0,1.594634,0.81761795,0.01256127,-0.08598017,-0.8816813,0.68917733,2.4839266779749734,,,,,
33,25330,0,,,,,,1.5946356,0.81760734,0.012550002,-0.08596541,-0.8816224,0.6892255,2.483886286868683,365.0,305.0,280.0,22.0,243.0
34,20930,1,457.0,300.0,280.0,15.0,243.0,1.5946351,0.81760514,0.012555593,-0.08607957,-0.88142717,0.68923783,2.483830029685265,,,,,
35,25430,0,,,,,,1.5946364,0.81761086,0.012551885,-0.08606717,-0.8814578,0.68922037,2.4838436479107364,367.0,307.0,282.0,22.0,243.0
36,21030,1,459.0,302.0,282.0,15.0,243.0,1.5946211,0.8175992,0.012544865,-0.08598661,-0.8815999,0.68924165,2.483875642188859,,,,,
37,25530,0,,,,,,1.5946184,0.81760716,0.012551791,-0.08597914,-0.8816251,0.68923813,2.483888697254726,369.0,309.0,284.0,22.0,243.0
38,21130,1,461.0,304.0,284.0,15.0,242.0,1.5946198,0.8175938,0.012541266,-0.085976936,-0.88161063,0.68923515,2.4838710957660095,,,,,
39,25630,0,,,,,,1.594615,0.8175983,0.0125554055,-0.0859857,-0.8816001,0.68923545,2.4838658311205046,371.0,311.0,286.0,22.0,242.0
40,21230,1,463.0,306.0,286.0,15.0,243.0,1.5946125,0.8176058,0.012531431,-0.085975885,-0.88160455,0.68923557,2.483872320316275,,,,,
41,25730,0,,,,,,1.5946311,0.8175993,0.0125342645,-0.086095884,-0.88131773,0.68916225,2.4837447103626995,373.0,313.0,288.0,22.0,243.0
42,21330,1,465.0,308.0,288.0,15.0,241.0,1.5947914,0.8173657,0.013039188,-0.08597567,-0.88161063,0.68922275,2.4836913128747646,,,,,
43,25830,0,,,,,,1.5947964,0.81730264,0.013358319,-0.08597067,-0.8816107,0.6892376,2.4835654325904835,375.0,315.0,290.0,22.0,241.0
44,21430,1,467.0,310.0,290.0,15.0,243.0,1.593589,0.81747186,0.020751107,-0.086072914,-0.881449,0.6892444,2.4808223015098774,,,,,
45,25930,0,,,,,,1.5928125,0.8176441,0.02438897,-0.086065196,-0.8814474,0.6892369,2.4794283244681012,377.0,317.0,292.0,22.0,243.0
46,21530,1,469.0,312.0,292.0,15.0,241.0,1.5868574,0.81578636,0.04494067,-0.086054385,-0.88147074,0.68923783,2.4686908457958894,,,,,
47,26030,0,,,,,,1.5858337,0.8155863,0.047823835,-0.08596914,-0.8816098,0.68923664,2.4671460290565905,379.0,319.0,294.0,22.0,242.0
48,21630,1,471.0,314.0,294.0,15.0,241.0,1.5744082,0.8132869,0.074912466,-0.08598921,-0.8815934,0.68922824,2.450902374842355,,,,,
49,26130,0,,,,,,1.5729442,0.8130824,0.077920705,-0.08609199,-0.8813151,0.6891593,2.448876542441673,381.0,321.0,296.0,22.0,241.0
50,21730,1,473.0,316.0,296.0,15.0,240.0,1.559137,0.8110579,0.10140502,-0.086011864,-0.8814707,0.6891504,2.4324087884010925,,,,,
51,26230,0,,,,,,1.5575736,0.81087327,0.103504084,-0.085983545,-0.8815965,0.6892499,2.430808949068494,383.0,323.0,298.0,22.0,240.0
52,21830,1,475.0,318.0,298.0,15.0,236.0,1.5440964,0.8097346,0.1169015,-0.08599941,-0.88163126,0.6891893,2.417735258272507,,,,,
53,26330,0,,,,,,1.5426852,0.8096184,0.11775229,-0.086053826,-0.88146263,0.68923056,2.41642985069005,385.0,325.0,300.0,22.0,236.0
54,21930,1,477.0,320.0,300.0,15.0,234.0,1.5313731,0.80940634,0.12118933,-0.0859834,-0.8816719,0.68917894,2.4079451357174255,,,,,
55,26430,0,,,,,,1.5303429,0.80939525,0.12130069,-0.086045325,-0.88148624,0.68923986,2.407144846421756,387.0,327.0,302.0,22.0,234.0
56,22030,1,479.0,322.0,302.0,15.0,235.0,1.5222985,0.80967087,0.12226739,-0.08602029,-0.8814731,0.68915546,2.4016701449712596,,,,,
57,26530,0,,,,,,1.5216384,0.80967057,0.12237515,-0.08605484,-0.88146204,0.6892332,2.4012360877660894,389.0,329.0,304.0,22.0,235.0
58,22130,1,481.0,324.0,304.0,15.0,236.0,1.5171533,0.8097107,0.124549665,-0.08605581,-0.8814507,0.6892323,2.3977432015588698,,,,,
59,26630,0,,,,,,1.5163877,0.80964756,0.12560871,-0.08605484,-0.8814666,0.68922997,2.396947667305865,391.0,331.0,306.0,22.0,236.0
60,22230,1,483.0,326.0,306.0,15.0,235.0,1.5139711,0.8090993,0.13314073,-0.08606207,-0.8814671,0.6892421,2.3931923648345768,,,,,
61,26730,0,,,,,,1.5138543,0.8089921,0.13420327,-0.08598523,-0.88161516,0.689243,2.3928452678263397,393.0,333.0,308.0,22.0,235.0
62,22330,1,485.0,328.0,308.0,15.0,234.0,1.5131758,0.80824405,0.14615238,-0.08598406,-0.881598,0.68923974,2.3891049339788704,,,,,
63,26830,0,,,,,,1.5131824,0.8081767,0.14771283,-0.08597506,-0.881623,0.6892284,2.388716602379699,395.0,335.0,310.0,22.0,234.0
64,22430,1,487.0,330.0,310.0,15.0,233.0,1.5137783,0.80808365,0.16312584,-0.08599028,-0.88166416,0.68917525,2.385631007765389,,,,,
65,26930,0,,,,,,1.5138952,0.808164,0.16489558,-0.08598616,-0.8816691,0.68915904,2.385373854467747,397.0,337.0,312.0,22.0,233.0
66,22530,1,489.0,332.0,312.0,15.0,235.0,1.5150717,0.8092492,0.18095185,-0.08602719,-0.88150966,0.6892442,2.383389313044677,,,,,
67,27030,0,,,,,,1.5152507,0.8094223,0.18275273,-0.08597514,-0.88160807,0.68923104,2.38328098782666,399.0,339.0,314.0,22.0,235.0
