,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,336404,0,392.0,5257.0,5209.0,27.0,240.0,0.72226125,1.2381141,0.03235169,-0.16988625,-0.89980024,0.45233762,2.3543562528882207,,,,,
1,22186,1,,,,,,0.7222653,1.2381237,0.03236956,-0.16995601,-0.8995745,0.4522356,2.3541664958091424,6677.0,391.0,388.0,0.0,238.0
2,336504,0,394.0,5259.0,5211.0,27.0,235.0,0.7222608,1.2381163,0.032354943,-0.16982792,-0.89997697,0.4524606,2.354517718711149,,,,,
3,22286,1,,,,,,0.7222635,1.2381214,0.03235019,-0.16995867,-0.89956087,0.45223865,2.354156304062643,6679.0,393.0,390.0,0.0,235.0
4,336604,0,396.0,5261.0,5213.0,27.0,236.0,0.7222683,1.2381226,0.032347795,-0.16957982,-0.89999944,0.4523461,2.3544336069186267,,,,,
5,22386,1,,,,,,0.72226423,1.2381212,0.032361828,-0.16988876,-0.8997807,0.4523623,2.3543494733518617,6681.0,395.0,392.0,0.0,236.0
6,336704,0,398.0,5263.0,5215.0,27.0,236.0,0.72226644,1.2381135,0.03234524,-0.16991095,-0.8998989,0.45254242,2.3544942679551744,,,,,
7,22486,1,,,,,,0.7222657,1.2381157,0.032351755,-0.16961102,-0.8999437,0.45239386,2.35439533980786,6683.0,397.0,394.0,0.0,236.0
8,336804,0,400.0,5265.0,5217.0,27.0,235.0,0.7222555,1.2381144,0.032363545,-0.16983141,-0.8999552,0.45246208,2.3544943418260487,,,,,
9,22586,1,,,,,,0.722257,1.2381065,0.03235619,-0.16990691,-0.89992386,0.45254833,2.354504496800648,6685.0,399.0,396.0,0.0,235.0
10,336904,0,402.0,5267.0,5219.0,27.0,237.0,0.7222639,1.2381293,0.032368127,-0.16983238,-0.8999843,0.4524933,2.3545424778969157,,,,,
11,22686,1,,,,,,0.7222623,1.2381253,0.032354884,-0.16990347,-0.89992607,0.452541,2.354523390957892,6687.0,401.0,398.0,0.0,236.0
12,337004,0,404.0,5269.0,5221.0,27.0,235.0,0.7222581,1.2381223,0.032354057,-0.16989787,-0.8999199,0.45255187,2.3545133111775707,,,,,
13,22786,1,,,,,,0.7222583,1.2381192,0.03235204,-0.16984327,-0.8999731,0.45247662,2.35452511270005,6689.0,403.0,400.0,0.0,235.0
14,337104,0,406.0,5271.0,5223.0,27.0,235.0,0.72225857,1.2381239,0.032357674,-0.16982928,-0.8999677,0.45247835,2.354518549819613,,,,,
15,22886,1,,,,,,0.72226197,1.2381128,0.032354183,-0.16996711,-0.899559,0.4522516,2.3541512152523456,6691.0,405.0,402.0,0.0,236.0
16,337204,0,408.0,5273.0,5225.0,27.0,234.0,0.72226197,1.2381186,0.03235762,-0.16983436,-0.8999801,0.45246747,2.3545263440344946,,,,,
17,22986,1,,,,,,0.7222671,1.2381127,0.032348473,-0.16990235,-0.8999193,0.4525293,2.3545060969972877,6693.0,407.0,404.0,0.0,235.0
18,337304,0,410.0,5275.0,5227.0,27.0,235.0,0.7222631,1.2381151,0.032349348,-0.1698192,-0.8999632,0.45241192,2.3544939791471973,,,,,
19,23086,1,,,,,,0.7222657,1.2381157,0.032350395,,,,1.4337519753948058,6695.0,409.0,406.0,0.0,237.0
20,337404,0,412.0,5277.0,5229.0,27.0,241.0,0.72226727,1.2381116,0.032344624,,,,1.4337491258285981,,,,,
21,23186,1,,,,,,0.7222707,1.238104,0.032339923,,,,1.433744172979994,6697.0,411.0,408.0,0.0,237.0
22,337504,0,414.0,5279.0,5231.0,27.0,233.0,0.72226727,1.2381059,0.032348294,,,,1.4337442673534686,,,,,
23,23286,1,,,,,,0.72226614,1.2381124,0.032354057,,,,1.4337494887481723,6699.0,413.0,410.0,0.0,235.0
24,337604,0,416.0,5281.0,5233.0,27.0,235.0,0.72226125,1.2381175,0.032347847,,,,1.433751210078692,,,,,
25,23386,1,,,,,,0.7222669,1.2381126,0.032343477,,,,1.4337497433295505,6701.0,415.0,412.0,0.0,235.0
26,337704,0,418.0,5283.0,5235.0,27.0,235.0,0.7222621,1.2381213,0.032350376,,,,1.4337549817035582,,,,,
27,23486,1,,,,,,0.72226226,1.2381208,0.032350093,,,,1.4337546536205186,6703.0,417.0,414.0,0.0,236.0
28,337804,0,420.0,5285.0,5237.0,27.0,236.0,0.72226197,1.2381077,0.03234689,,,,1.4337431074518483,,,,,
29,23586,1,,,,,,0.7222628,1.2381077,0.03234281,,,,1.4337434357964183,6705.0,419.0,416.0,0.0,236.0
30,337904,0,422.0,5287.0,5239.0,27.0,234.0,0.7222643,1.2381214,0.03235822,,,,1.4337563726580318,,,,,
31,23686,1,,,,,,0.72226197,1.2381172,0.032365147,,,,1.433751754933932,6707.0,421.0,418.0,0.0,233.0
32,338004,0,424.0,5289.0,5241.0,27.0,233.0,0.7222583,1.2381253,0.032345816,,,,1.4337564872625077,,,,,
33,23786,1,,,,,,0.72225976,1.2381177,0.03235002,,,,1.4337507143127164,6709.0,423.0,420.0,0.0,234.0
34,338104,0,426.0,5291.0,5243.0,27.0,236.0,0.72225565,1.2381196,0.03235353,,,,1.4337503688760438,,,,,
35,23886,1,,,,,,0.72225904,1.2381257,0.032355484,,,,1.433757374529877,6711.0,425.0,422.0,0.0,235.0
36,338204,0,428.0,5293.0,5245.0,27.0,234.0,0.7222559,1.2381177,0.03235537,-0.16991131,-0.8999199,0.4525533,2.354513487570318,,,,,
37,23986,1,,,,,,0.7222598,1.2381123,0.032345895,-0.16996624,-0.8995636,0.4522522,2.3541553276444156,6713.0,427.0,424.0,0.0,233.0
38,338304,0,430.0,5295.0,5247.0,27.0,235.0,0.72225374,1.2381283,0.03234338,-0.1698947,-0.89977896,0.45236838,2.3543570893190657,,,,,
39,24086,1,,,,,,0.7222594,1.2381152,0.032338187,-0.16984248,-0.8999744,0.45248348,2.3545265346729938,6715.0,429.0,426.0,0.0,239.0
40,338404,0,432.0,5297.0,5249.0,27.0,236.0,0.7222548,1.2381322,0.032353986,-0.1698363,-0.89995855,0.45247638,2.354519445496899,,,,,
41,24186,1,,,,,,0.7222636,1.2381219,0.032343164,-0.16983554,-0.8999718,0.45247248,2.3545263259975173,6717.0,431.0,428.0,0.0,234.0
42,338504,0,434.0,5299.0,5251.0,27.0,237.0,0.72164595,1.2380923,0.032541115,-0.16984199,-0.89997846,0.452484,2.354240778222297,,,,,
43,24286,1,,,,,,0.7214954,1.238124,0.03264848,-0.16957566,-0.90002567,0.45236155,2.354113643091341,6719.0,433.0,430.0,0.0,238.0
44,338604,0,436.0,5301.0,5253.0,27.0,239.0,0.7197724,1.238518,0.038586564,-0.16988686,-0.89975953,0.45234948,2.352641962205763,,,,,
45,24386,1,,,,,,0.71944165,1.2386338,0.040319707,-0.1698884,-0.8997705,0.45234975,2.352328612904183,6721.0,435.0,432.0,0.0,240.0
46,338704,0,438.0,5303.0,5255.0,27.0,237.0,,,,-0.1695736,-0.8999995,0.45231763,1.0214428718504016,,,,,
47,24486,1,,,,,,,,,-0.16982633,-0.8999856,0.45250103,1.0215538477136092,6723.0,437.0,434.0,0.0,235.0
48,338804,0,440.0,5305.0,5257.0,27.0,234.0,,,,-0.16961315,-0.8998122,0.4522121,1.0212376974498867,,,,,
49,24586,1,,,,,,,,,-0.16988744,-0.8997736,0.4523395,1.0213056801525677,6725.0,439.0,436.0,0.0,235.0
50,24686,1,,,,,,,,,-0.16998531,-0.899574,0.45222646,1.0210960410889747,6727.0,441.0,438.0,0.0,227.0
51,338904,0,442.0,5307.0,5259.0,27.0,229.0,,,,-0.16990256,-0.8999087,0.452517,1.021505861816129,,,,,
52,339004,0,444.0,5309.0,5261.0,27.0,223.0,,,,-0.16963957,-0.8999363,0.4524058,1.0214372124478655,,,,,
53,24786,1,,,,,,,,,-0.16983983,-0.8999684,0.4524628,1.0215239798170013,6729.0,443.0,440.0,0.0,224.0
54,24886,1,,,,,,,,,-0.16982818,-0.89997333,0.4524535,1.0215222825417498,6731.0,445.0,442.0,0.0,225.0
55,339104,0,446.0,5311.0,5263.0,27.0,224.0,,,,-0.16982818,-0.89994925,0.45242652,1.0214891215694701,,,,,
56,339204,0,448.0,5313.0,5265.0,27.0,224.0,,,,-0.1695793,-0.90001315,0.45236653,1.0214775006497188,,,,,
57,24986,1,,,,,,,,,-0.16982988,-0.89998555,0.45248488,1.0215472299238362,6733.0,447.0,444.0,0.0,224.0
58,339304,0,450.0,5315.0,5267.0,27.0,228.0,,,,-0.16983335,-0.89997905,0.45244905,1.021526216583256,,,,,
59,25086,1,,,,,,,,,-0.16962245,-0.899859,0.45224133,1.0212934140915764,6735.0,449.0,446.0,0.0,230.0
60,339404,0,452.0,5317.0,5269.0,27.0,230.0,,,,-0.16984102,-0.89997524,0.45248353,1.0215394044386474,,,,,
61,25186,1,,,,,,,,,-0.16988969,-0.8997849,0.45234618,1.0213189883935856,6737.0,451.0,448.0,0.0,232.0
62,339504,0,454.0,5319.0,5271.0,27.0,236.0,,,,-0.16968702,-0.8996074,0.45210633,1.0210226857516256,,,,,
63,25286,1,,,,,,,,,-0.16986917,-0.89967453,0.45218962,1.0211489899494446,6739.0,453.0,450.0,0.0,236.0
64,339604,0,456.0,5321.0,5273.0,27.0,238.0,0.65743554,1.2790444,0.19615005,-0.16987903,-0.899769,0.45235512,2.3446361126044746,,,,,
65,25386,1,,,,,,0.6572866,1.2786806,0.19727221,-0.16983515,-0.8999638,0.4524709,2.3443012257580986,6741.0,455.0,452.0,0.0,239.0
66,25486,1,,,,,,0.6547664,1.2783825,0.21082824,-0.16987967,-0.8997729,0.45236668,2.3415257795236073,6743.0,457.0,454.0,0.0,235.0
67,339704,0,458.0,5323.0,5275.0,27.0,235.0,0.65453255,1.2783935,0.2122881,-0.16983372,-0.89995474,0.4525015,2.341470384174483,,,,,
68,339804,0,460.0,5325.0,5277.0,27.0,236.0,0.65245485,1.278608,0.22623184,-0.16981722,-0.8999408,0.45244455,2.339525264816008,,,,,
69,25586,1,,,,,,0.6522679,1.2785741,0.227654,-0.16984801,-0.8999812,0.4525175,2.339346303577353,6745.0,459.0,456.0,0.0,237.0
