,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,29115,0,327.0,306.0,242.0,58.0,249.0,1.4635347,1.0188996,0.013742561,-0.08446947,-0.8675473,0.69030756,2.5323385818950497,,,,,
1,18902,1,,,,,,1.4635373,1.0189017,0.013742115,-0.084459774,-0.86754537,0.6903247,2.5323391738029866,531.0,254.0,215.0,36.0,247.0
2,29215,0,329.0,308.0,243.0,59.0,249.0,1.4635327,1.0189013,0.01373377,-0.08446403,-0.86754626,0.690314,2.5323387622101996,,,,,
3,19002,1,,,,,,1.4635413,1.0188975,0.013743757,-0.084462605,-0.8675688,0.6903145,2.5323544400060327,533.0,255.0,216.0,36.0,249.0
4,29315,0,331.0,310.0,245.0,59.0,248.0,1.4635367,1.018902,0.013728314,-0.08445315,-0.86755246,0.69030195,2.5323377410461942,,,,,
5,19102,1,,,,,,1.4635335,1.0189034,0.013740994,-0.08446175,-0.86754274,0.6903136,2.532334678990394,535.0,257.0,218.0,36.0,249.0
6,29415,0,333.0,312.0,246.0,60.0,250.0,1.4635327,1.0188996,0.013750678,-0.08451987,-0.8673916,0.69033426,2.5322571622631047,,,,,
7,19202,1,,,,,,1.4635345,1.0189048,0.013739836,-0.08445984,-0.8675502,0.69030994,2.532340103425989,536.0,258.0,219.0,36.0,245.0
8,29515,0,335.0,314.0,247.0,61.0,248.0,1.4635353,1.0188919,0.013738204,-0.0844797,-0.86753976,0.690319,2.5323381552559048,,,,,
9,19302,1,,,,,,1.463537,1.0188891,0.013733407,-0.08432537,-0.8676616,0.69014186,2.532287405100778,538.0,259.0,220.0,36.0,249.0
10,29615,0,337.0,316.0,249.0,61.0,248.0,1.4635386,1.0188951,0.01374303,-0.084479704,-0.86743456,0.6902433,2.532242666925266,,,,,
11,19402,1,,,,,,1.4635412,1.0188929,0.013736054,-0.08445165,-0.86754006,0.6903002,2.532321046041142,541.0,261.0,222.0,36.0,248.0
12,29715,0,339.0,318.0,250.0,62.0,248.0,1.4635315,1.0189104,0.013744843,-0.08446798,-0.86752874,0.6903085,2.5323296172836525,,,,,
13,19502,1,,,,,,1.4635355,1.0189078,0.013743825,-0.08455413,-0.8673206,0.6902149,2.5322029650699847,542.0,262.0,223.0,36.0,248.0
14,29815,0,341.0,320.0,252.0,62.0,250.0,1.4635338,1.0189024,0.01374882,-0.08446345,-0.8675565,0.6903208,2.53234518774736,,,,,
15,19602,1,,,,,,1.4635383,1.0188904,0.01373106,-0.08478125,-0.8673319,0.6904228,2.5323980707381093,545.0,264.0,225.0,36.0,250.0
16,29915,0,343.0,322.0,254.0,62.0,250.0,1.4635385,1.0188956,0.01373748,-0.08445975,-0.86754817,0.69031894,2.532337186311412,,,,,
17,19702,1,,,,,,1.4635334,1.0188991,0.013743033,-0.08453543,-0.8673933,0.69034433,2.5322728530974996,547.0,266.0,227.0,36.0,249.0
18,19802,1,,,,,,1.4635385,1.0189021,0.013733876,-0.084720545,-0.8674421,0.6904408,2.5324558544162366,549.0,268.0,229.0,36.0,249.0
19,30015,0,344.0,323.0,255.0,62.0,249.0,1.4635373,1.0189022,0.013730279,-0.084478006,-0.86742914,0.6902387,2.532244269823142,,,,,
20,19902,1,,,,,,1.4635445,1.018902,0.013731087,-0.08459597,-0.86756516,0.69032663,2.532445142234238,550.0,269.0,229.0,37.0,249.0
21,30115,0,347.0,325.0,256.0,63.0,249.0,1.4635376,1.0189044,0.013736708,-0.084475234,-0.8674239,0.69022655,2.53223555121448,,,,,
22,30215,0,349.0,326.0,257.0,63.0,249.0,1.4635376,1.0188905,0.013735672,-0.08445524,-0.86755764,0.69030863,2.5323347698321688,,,,,
23,20002,1,,,,,,1.4635332,1.0188978,0.0137420045,-0.0844621,-0.86756086,0.690325,2.532346717417436,553.0,270.0,230.0,37.0,249.0
24,30315,0,351.0,327.0,258.0,63.0,249.0,1.4635311,1.0189053,0.013739203,-0.0844567,-0.86755705,0.6903063,2.532340700426586,,,,,
25,20102,1,,,,,,1.4635402,1.0188925,0.013742036,-0.084463306,-0.8675577,0.69032145,2.5323446466368713,555.0,272.0,231.0,38.0,249.0
26,30415,0,353.0,329.0,259.0,64.0,250.0,1.4635369,1.0189077,0.013738534,-0.084555395,-0.8673152,0.6902091,2.5322003563146867,,,,,
27,20202,1,,,,,,1.4635354,1.0189068,0.013737644,-0.084456295,-0.86754346,0.69031703,2.5323374323501446,557.0,273.0,232.0,38.0,248.0
28,30515,0,354.0,330.0,260.0,64.0,249.0,1.463536,1.0189018,0.013739965,-0.08432683,-0.86765444,0.69015473,2.532293631195235,,,,,
29,20302,1,,,,,,1.4635348,1.0189056,0.01375264,-0.0844824,-0.8674194,0.69023925,2.532234990086227,559.0,275.0,234.0,38.0,249.0
30,30615,0,357.0,332.0,262.0,64.0,248.0,1.4635341,1.0188843,0.013738023,-0.084468156,-0.8675511,0.69030887,2.532330451381064,,,,,
31,20402,1,,,,,,1.463542,1.0188934,0.013742928,-0.08433876,-0.8676574,0.6901633,2.5323019725545737,561.0,276.0,235.0,38.0,248.0
32,30715,0,358.0,333.0,262.0,65.0,248.0,1.4635377,1.0188982,0.013739171,-0.084822595,-0.8670107,0.6906706,2.532253650872885,,,,,
33,20502,1,,,,,,1.4635397,1.0189017,0.01374891,-0.084446125,-0.86756074,0.69030446,2.532336476995625,561.0,276.0,235.0,38.0,248.0
34,30815,0,361.0,335.0,264.0,65.0,248.0,1.4635363,1.018902,0.013738265,-0.084515646,-0.86746097,0.69029117,2.5323020544002066,,,,,
35,20602,1,,,,,,1.4635334,1.0189073,0.013744634,-0.084338516,-0.8676532,0.6901431,2.5322979150615677,565.0,278.0,237.0,38.0,249.0
36,30915,0,363.0,337.0,266.0,65.0,249.0,1.4635415,1.0188944,0.013738572,-0.08445154,-0.867557,0.69031495,2.5323383098097088,,,,,
37,20702,1,,,,,,1.4635412,1.0188968,0.013734763,-0.08448208,-0.8674443,0.69023925,2.5322553103827685,567.0,280.0,239.0,38.0,248.0
38,31015,0,365.0,339.0,267.0,66.0,248.0,1.4635396,1.0188942,0.013746665,-0.08446965,-0.86754775,0.69031394,2.532338679566987,,,,,
39,20802,1,,,,,,1.4635396,1.0188951,0.013738606,-0.084470026,-0.867442,0.6902312,2.532240887428781,568.0,281.0,240.0,38.0,250.0
40,31115,0,367.0,341.0,269.0,66.0,248.0,1.4635433,1.0188968,0.0137292445,-0.084316164,-0.8676786,0.69015527,2.5323088257876094,,,,,
41,20902,1,,,,,,1.4635417,1.0188984,0.013746143,-0.084329516,-0.8676614,0.6901543,2.5322995401218398,571.0,283.0,242.0,38.0,248.0
42,31215,0,369.0,342.0,270.0,66.0,247.0,1.463586,1.0183212,0.014311001,-0.08447709,-0.8674343,0.690233,2.5316879045770384,,,,,
43,21002,1,,,,,,1.4635634,1.0180686,0.014678773,-0.08449091,-0.86749977,0.6903111,2.5314658502428826,573.0,285.0,243.0,39.0,247.0
44,31315,0,371.0,343.0,271.0,66.0,250.0,1.4627016,1.0158876,0.023452763,-0.0843326,-0.8676667,0.6901537,2.526970866958292,,,,,
45,21102,1,,,,,,1.4618057,1.0153793,0.027343402,-0.08446482,-0.8675627,0.690303,2.5250620457438897,575.0,286.0,244.0,39.0,249.0
46,31415,0,372.0,344.0,272.0,66.0,247.0,1.4564466,1.0130444,0.0486809,-0.08446586,-0.8675524,0.69031143,2.514506961605982,,,,,
47,21202,1,,,,,,1.454647,1.0126996,0.055092063,-0.08447123,-0.8675548,0.69032407,2.511525639963427,577.0,288.0,246.0,39.0,247.0
48,31515,0,375.0,346.0,273.0,67.0,245.0,1.4455136,1.0124686,0.08542067,-0.08446011,-0.86753494,0.6903036,2.498222574557428,,,,,
49,21302,1,,,,,,1.4443778,1.0126225,0.08865331,-0.084344566,-0.86765695,0.69015765,2.4968480102929314,578.0,289.0,246.0,40.0,246.0
50,31615,0,376.0,347.0,274.0,67.0,246.0,1.4336001,1.015059,0.11281704,-0.0844647,-0.8675472,0.6903067,2.4864072937518196,,,,,
51,21402,1,,,,,,1.4323766,1.015451,0.114916,-0.08448772,-0.86743194,0.69023323,2.485380257092682,581.0,291.0,248.0,40.0,245.0
52,31715,0,379.0,349.0,276.0,67.0,243.0,1.4209615,1.0201794,0.12716198,-0.084326945,-0.86768,0.69014025,2.479284341819993,,,,,
53,21502,1,,,,,,1.4196646,1.0207828,0.1278667,-0.08447484,-0.8674383,0.69023496,2.4787239804873376,583.0,293.0,249.0,41.0,243.0
54,31815,0,381.0,351.0,278.0,67.0,241.0,1.4083351,1.0268458,0.13067934,-0.08447519,-0.86743784,0.6902392,2.4758635241833975,,,,,
55,21602,1,,,,,,1.4071878,1.0274801,0.13080056,-0.084456846,-0.8675559,0.69031686,2.4757268731730435,585.0,295.0,251.0,41.0,240.0
56,31915,0,381.0,351.0,278.0,67.0,241.0,1.3969736,1.033474,0.1325876,-0.08431403,-0.86767584,0.69013625,2.473750959406609,,,,,
57,21702,1,,,,,,1.3959175,1.0340583,0.13288902,-0.0844511,-0.86755025,0.6903114,2.473525038173171,587.0,297.0,252.0,42.0,243.0
58,32015,0,381.0,351.0,278.0,67.0,241.0,1.3872125,1.0384628,0.13709062,-0.08446605,-0.86742884,0.6902317,2.470673183962194,,,,,
59,21802,1,,,,,,1.3863051,1.0388434,0.13783148,-0.084463425,-0.8674389,0.69023097,2.4702667150800512,589.0,299.0,252.0,44.0,243.0
60,32115,0,386.0,352.0,279.0,67.0,243.0,1.3790139,1.0411656,0.14665788,-0.08446326,-0.8675413,0.6903047,2.4658627747271464,,,,,
61,21902,1,,,,,,1.3783302,1.0412933,0.1478084,-0.08446536,-0.86746085,0.69025284,2.4652300634895603,591.0,301.0,253.0,45.0,238.0
62,32215,0,389.0,353.0,280.0,67.0,239.0,1.3722394,1.0419184,0.15941212,-0.08448505,-0.8674145,0.69025743,2.4595517321148908,,,,,
63,22002,1,,,,,,1.3716702,1.0419067,0.1608419,-0.08447967,-0.8674306,0.690239,2.4589027662140697,593.0,302.0,253.0,46.0,239.0
64,32315,0,390.0,354.0,281.0,67.0,240.0,1.3668725,1.0416769,0.17477146,-0.084454305,-0.8675421,0.69031465,2.453008708226589,,,,,
65,22102,1,,,,,,1.3663974,1.041615,0.17633928,-0.084385924,-0.86760324,0.6901216,2.4523170434142068,594.0,303.0,254.0,46.0,239.0
66,32415,0,393.0,356.0,282.0,68.0,239.0,1.3625835,1.0413759,0.19094618,-0.084460855,-0.8675489,0.6903207,2.446897275566629,,,,,
