,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,178453,0,341.0,1399.0,1388.0,0.0,259.0,1.5874263,1.0455511,0.007910465,-0.09279519,-0.8736041,0.6889504,2.640097772050929,,,,,
1,26376,1,,,,,,1.5874306,1.0455433,0.00790349,-0.09277723,-0.8736123,0.6889286,2.6400855654156814,8792.0,1165.0,316.0,841.0,259.0
2,178473,0,341.0,1399.0,1388.0,0.0,259.0,1.5874362,1.0455357,0.007899493,-0.09279182,-0.87359816,0.68894356,2.640087520451773,,,,,
3,26396,1,,,,,,1.5874343,1.0455358,0.007896001,-0.09278367,-0.87360895,0.68894386,2.6400900019036895,8793.0,1166.0,317.0,841.0,259.0
4,178493,0,341.0,1399.0,1388.0,0.0,259.0,1.5874338,1.0455409,0.007904128,-0.09278561,-0.87360555,0.6889459,2.6400906438293212,,,,,
5,26416,1,,,,,,1.5874352,1.0455385,0.007894164,-0.09279123,-0.8735921,0.68895394,2.640088151683411,8794.0,1167.0,317.0,842.0,259.0
6,178513,0,341.0,1399.0,1388.0,0.0,259.0,1.5874369,1.0455382,0.007896303,-0.09279307,-0.87361866,0.6889445,2.6401065090664457,,,,,
7,26436,1,,,,,,1.5874326,1.0455422,0.007914269,-0.09277845,-0.8735955,0.6889435,2.6400756916482644,8795.0,1168.0,317.0,843.0,259.0
8,178533,0,342.0,1400.0,1389.0,0.0,259.0,1.5874282,1.0455402,0.007902238,-0.0927314,-0.8736818,0.68896717,2.6401133790913245,,,,,
9,26456,1,,,,,,1.5874311,1.045542,0.007908314,-0.09278179,-0.87361073,0.6889509,2.640091192497784,8796.0,1169.0,318.0,843.0,260.0
10,178553,0,342.0,1400.0,1389.0,0.0,259.0,1.5874295,1.045537,0.007903537,-0.0927804,-0.87359655,0.68893945,2.640073622069779,,,,,
11,26476,1,,,,,,1.5874331,1.0455378,0.0079060905,-0.09279691,-0.8735947,0.68895566,2.6400891849212353,8797.0,1170.0,318.0,844.0,259.0
12,178573,0,342.0,1400.0,1389.0,0.0,259.0,1.5874381,1.0455259,0.007907055,-0.09278119,-0.873616,0.68893945,2.640084774400219,,,,,
13,26496,1,,,,,,1.587427,1.04553,0.007893472,-0.09279139,-0.8736124,0.68894804,2.640090309732921,8798.0,1171.0,318.0,845.0,259.0
14,178593,0,343.0,1401.0,1390.0,0.0,259.0,1.5874361,1.0455354,0.007892975,-0.092775926,-0.87360746,0.6889429,2.640085446835451,,,,,
15,26516,1,,,,,,1.5874268,1.0455304,0.007893356,-0.09277891,-0.87359256,0.68894464,2.640067205909998,8799.0,1172.0,318.0,846.0,259.0
16,178613,0,343.0,1401.0,1390.0,0.0,259.0,1.5874301,1.0455476,0.007910415,-0.092778005,-0.87360334,0.68894213,2.6400840442146754,,,,,
17,26536,1,,,,,,1.5874301,1.045541,0.007895737,-0.09278356,-0.87360877,0.68893665,2.6400892132973004,8800.0,1173.0,319.0,846.0,260.0
18,178633,0,343.0,1401.0,1390.0,0.0,259.0,1.5874287,1.0455351,0.007898827,-0.09277416,-0.87361205,0.6889489,2.640082684143356,,,,,
19,26556,1,,,,,,1.5874285,1.0455352,0.007888101,-0.09278569,-0.87359226,0.6889453,2.6400774230571953,8801.0,1174.0,319.0,847.0,260.0
20,178653,0,343.0,1401.0,1390.0,0.0,259.0,1.5874245,1.0455395,0.007887499,-0.09278385,-0.8736415,0.6889367,2.640110553902059,,,,,
21,26576,1,,,,,,1.5874301,1.0455291,0.007895619,-0.09279504,-0.8735918,0.6889484,2.640078499040178,8802.0,1175.0,319.0,848.0,260.0
