,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,21160,log0,455,296,83,200,589,293,96,190
1,18944,log1,455,258,141,101,589,250,138,104
2,21220,log0,455,296,83,200,590,294,96,191
3,19004,log1,455,258,141,101,590,251,138,105
4,21280,log0,457,298,84,201,591,295,96,192
5,19064,log1,457,260,141,103,591,252,139,105
6,21340,log0,458,299,85,201,592,296,96,193
7,19124,log1,458,261,142,103,592,253,139,106
8,21400,log0,459,300,85,202,593,297,97,193
9,19184,log1,459,262,142,104,593,254,140,106
10,21460,log0,460,301,85,203,594,298,98,193
11,19244,log1,460,263,143,104,594,255,141,106
12,21520,log0,461,302,85,204,594,298,98,193
13,19304,log1,461,264,143,105,594,255,141,106
14,21580,log0,462,303,86,204,596,300,98,195
15,19364,log1,462,265,144,105,596,257,142,107
16,19424,log1,463,266,144,106,597,258,143,107
17,21640,log0,463,304,86,205,597,301,99,195
18,21700,log0,464,305,86,206,598,302,99,196
19,19484,log1,464,267,145,106,598,259,143,108
20,21760,log0,465,306,86,207,599,303,99,197
21,19544,log1,465,268,145,107,599,260,144,108
22,19604,log1,466,269,146,107,600,261,145,108
23,21820,log0,466,307,86,208,600,304,99,198
24,21880,log0,467,308,86,209,601,305,100,198
25,19664,log1,467,270,146,108,601,262,146,108
26,21940,log0,468,309,86,210,602,306,100,199
27,19724,log1,468,271,146,109,602,263,146,109
28,22000,log0,469,310,87,210,603,307,101,199
29,19784,log1,469,272,147,109,603,264,147,109
30,22060,log0,470,311,87,211,603,307,101,199
31,19844,log1,470,273,147,110,603,264,147,109
32,22120,log0,470,311,87,211,604,308,101,200
33,19904,log1,470,273,147,110,604,265,148,109
34,22180,log0,470,311,87,211,605,309,101,201
35,19964,log1,470,273,147,110,605,266,148,110
36,22240,log0,473,313,87,213,606,310,102,201
37,20024,log1,473,275,148,111,606,267,149,110
38,22300,log0,474,314,88,213,606,310,102,201
39,20084,log1,474,276,149,111,606,267,149,110
40,22360,log0,475,315,89,213,608,311,102,202
41,20144,log1,475,277,150,111,608,268,149,111
42,22420,log0,476,316,89,214,608,311,102,202
43,20204,log1,475,277,150,111,608,268,149,111
44,22480,log0,477,317,90,214,610,312,102,203
45,20264,log1,477,278,151,111,610,269,149,112
46,22540,log0,477,317,90,214,611,313,102,204
47,20324,log1,477,278,151,111,611,270,150,112
48,22600,log0,479,318,90,215,612,314,102,205
49,20384,log1,479,279,151,112,612,271,150,113
50,22660,log0,480,319,91,215,614,316,103,206
51,20444,log1,480,280,152,112,614,273,151,114
52,22720,log0,481,320,91,216,614,316,103,206
53,20504,log1,480,280,152,112,614,273,151,114
54,22780,log0,482,321,91,217,615,317,104,206
55,20564,log1,482,281,152,113,615,274,152,114
56,22840,log0,483,322,92,217,616,318,105,206
57,20624,log1,483,282,153,113,616,275,153,114
58,22900,log0,484,323,92,218,617,319,105,207
59,20684,log1,484,283,153,114,617,276,154,114
60,22960,log0,485,324,93,218,617,319,105,207
61,20744,log1,485,284,154,114,617,276,154,114
62,23020,log0,486,325,93,219,618,320,105,208
63,20804,log1,486,285,154,115,618,277,155,114
64,23080,log0,487,326,93,220,620,322,105,210
65,20864,log1,487,286,155,115,620,279,156,115
66,23140,log0,488,327,93,221,620,322,105,210
67,20924,log1,488,287,155,116,620,279,156,115
68,23200,log0,489,328,94,221,621,323,106,210
69,20984,log1,489,288,156,116,621,280,157,115
70,21044,log1,490,289,157,116,622,281,158,115
71,23260,log0,490,329,95,221,622,324,107,210
72,23320,log0,490,329,95,221,623,325,108,210
73,21104,log1,490,289,157,116,623,282,159,115
74,23380,log0,491,330,96,221,623,325,108,210
75,21164,log1,491,290,158,116,623,282,159,115
76,23440,log0,492,331,96,222,625,327,108,212
77,21224,log1,492,291,159,116,625,284,160,116
78,23500,log0,493,332,97,222,626,328,109,212
79,21284,log1,493,292,159,117,626,285,161,116
80,23560,log0,494,333,97,223,626,328,109,212
81,21344,log1,494,293,160,117,626,285,161,116
82,23620,log0,495,334,98,223,628,330,109,214
83,21404,log1,495,294,161,117,628,287,161,118
84,23680,log0,495,334,98,223,628,330,109,214
85,21464,log1,495,294,161,117,628,287,161,118
86,23740,log0,496,335,99,223,629,331,109,215
87,21524,log1,496,295,162,117,629,288,162,118
88,23800,log0,497,336,99,224,629,331,109,215
89,21584,log1,497,296,163,117,629,288,162,118
90,23860,log0,498,337,99,225,629,331,109,215
91,21644,log1,498,297,163,118,629,288,162,118
92,23920,log0,499,338,100,225,631,332,110,215
93,21704,log1,499,298,164,118,631,289,163,118
94,23980,log0,500,339,100,226,632,333,111,215
95,21764,log1,499,298,164,118,632,290,164,118
96,24040,log0,500,339,100,226,633,334,111,216
97,21824,log1,499,298,164,118,633,291,165,118
98,24100,log0,502,341,101,227,634,335,111,217
99,21884,log1,502,300,165,119,634,292,165,119
100,24160,log0,503,342,101,228,635,336,111,218
101,21944,log1,503,301,166,119,635,293,166,119
102,22004,log1,504,302,167,119,636,294,167,119
103,24220,log0,504,343,101,229,636,337,111,219
104,24280,log0,505,344,101,230,637,338,111,220
105,22064,log1,505,303,167,120,637,295,167,120
106,24340,log0,506,345,101,231,638,339,111,221
107,22124,log1,506,304,168,120,638,296,168,120
108,22184,log1,506,304,168,120,639,297,168,121
109,24400,log0,506,345,101,231,639,340,111,222
110,24460,log0,508,347,102,232,640,341,112,222
111,22244,log1,508,306,169,121,640,298,169,121
112,24520,log0,508,347,102,232,641,342,112,223
113,22304,log1,508,306,169,121,641,299,170,121
