,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,16965,log1,610,187,89,90,976,336,45,79
1,18940,log0,610,214,49,148,742,391,31,170
2,17025,log1,611,188,89,91,977,338,46,79
3,19000,log0,611,215,49,149,977,393,31,172
4,17085,log1,611,188,89,91,977,338,46,79
5,19060,log0,612,216,49,150,744,394,31,173
6,17145,log1,613,189,89,92,979,339,46,79
7,19120,log0,613,217,49,151,979,395,31,174
8,17205,log1,613,189,89,92,979,339,46,79
9,19180,log0,613,217,49,151,980,396,31,175
10,17265,log1,613,189,89,92,979,339,46,79
11,19240,log0,615,218,49,152,981,397,31,176
12,17325,log1,616,190,89,93,747,340,46,79
13,19300,log0,616,219,49,153,747,398,31,177
14,17385,log1,617,191,90,93,983,342,46,81
15,19360,log0,617,220,50,153,983,400,31,179
16,17445,log1,618,192,91,93,749,344,47,82
17,19420,log0,618,221,50,154,749,402,31,181
18,17505,log1,618,192,91,93,750,346,47,82
19,19480,log0,618,221,50,154,750,404,31,183
20,17565,log1,618,192,91,93,751,347,47,83
21,19540,log0,618,221,50,154,751,405,31,184
22,17625,log1,620,193,91,93,987,348,47,84
23,19600,log0,620,222,50,155,751,405,31,184
24,17685,log1,621,194,92,93,753,349,47,84
25,19660,log0,621,223,51,155,753,407,31,186
26,17745,log1,622,195,93,93,754,351,47,84
27,19720,log0,622,224,51,156,754,409,31,188
28,17805,log1,622,195,93,93,754,351,47,84
29,19780,log0,622,224,51,156,991,410,31,189
30,17865,log1,622,195,93,93,992,352,47,84
31,19840,log0,622,224,51,156,991,410,31,189
32,17925,log1,625,196,93,93,993,354,47,84
33,19900,log0,625,226,51,157,993,412,31,191
34,17985,log1,626,197,94,93,993,354,47,84
35,19960,log0,626,227,51,158,993,412,31,191
36,18045,log1,627,198,94,94,758,355,47,84
37,20020,log0,627,228,51,159,758,413,31,192
38,20080,log0,628,229,51,160,759,415,32,193
39,18105,log1,628,199,95,94,759,357,47,84
40,18165,log1,629,200,95,95,760,359,47,84
41,20140,log0,629,230,51,161,760,417,32,193
42,18225,log1,630,201,96,95,760,359,47,84
43,20200,log0,630,231,51,162,999,418,32,193
44,18285,log1,630,201,96,95,1000,360,47,84
45,20260,log0,631,232,51,163,1000,420,32,193
46,18345,log1,633,203,97,96,762,361,47,84
47,20320,log0,633,234,51,165,762,421,32,193
48,18405,log1,633,203,97,96,1002,362,47,84
49,20380,log0,633,234,51,165,1002,422,32,193
50,18465,log1,633,203,97,96,1002,362,47,84
51,20440,log0,633,234,51,165,1002,422,32,193
52,18525,log1,636,205,98,97,1004,364,47,84
53,20500,log0,636,235,51,166,1002,422,32,193
54,18585,log1,636,205,98,97,1005,366,47,84
55,20560,log0,636,235,51,166,1005,424,32,193
56,18645,log1,636,205,98,97,766,367,47,84
57,20620,log0,636,235,51,166,766,425,32,193
58,18705,log1,636,205,98,97,766,367,47,84
59,20680,log0,636,235,51,166,767,426,32,194
60,18765,log1,636,205,98,97,768,368,47,85
61,20740,log0,636,235,51,166,768,427,32,195
62,18825,log1,636,205,98,97,769,369,48,85
63,20800,log0,640,236,51,167,1010,430,33,196
64,20860,log0,641,237,52,167,770,431,33,196
65,18885,log1,641,206,99,97,770,371,48,85
66,20920,log0,641,237,52,167,1011,432,33,196
67,18945,log1,641,206,99,97,1011,372,48,85
68,19005,log1,642,207,100,97,1012,374,48,85
69,20980,log0,642,238,53,167,1012,434,33,196
70,19065,log1,643,208,100,98,1013,376,48,85
71,21040,log0,643,239,54,167,1013,436,33,196
72,19125,log1,644,209,101,98,773,377,48,85
73,21100,log0,644,240,55,167,773,437,33,196
74,19185,log1,646,211,102,99,1015,379,49,85
75,21160,log0,646,242,55,169,1015,439,33,198
76,19245,log1,646,211,102,99,1016,381,49,85
77,21220,log0,646,242,55,169,1016,441,34,198
78,19305,log1,647,212,102,100,776,383,49,85
79,21280,log0,647,243,55,170,776,443,34,198
80,19365,log1,648,213,103,100,1018,384,49,85
81,21340,log0,648,244,56,170,1018,444,34,198
82,19425,log1,649,214,103,101,778,386,49,85
83,21400,log0,649,245,56,171,778,446,34,198
84,19485,log1,650,215,104,101,1020,388,50,85
85,21460,log0,650,246,56,172,1020,448,34,200
86,19545,log1,651,216,104,102,1021,390,50,85
87,21520,log0,651,247,56,173,1021,450,34,202
88,19605,log1,652,217,105,102,781,391,50,85
89,21580,log0,652,248,56,174,781,451,34,203
90,19665,log1,652,217,105,102,782,393,50,85
91,21640,log0,652,248,56,174,1022,452,34,204
92,19725,log1,652,217,105,102,782,393,50,85
93,21700,log0,652,248,56,174,1022,452,34,204
94,19785,log1,654,218,106,102,784,395,51,85
95,21760,log0,654,249,56,175,784,454,34,206
96,19845,log1,654,218,106,102,785,397,51,85
97,21820,log0,654,249,56,175,785,456,34,208
98,19905,log1,656,219,107,102,786,398,52,85
99,21880,log0,656,250,56,176,786,457,34,209
100,19965,log1,657,220,107,103,786,398,52,85
101,21940,log0,656,250,56,176,786,457,34,209
102,20025,log1,658,221,108,103,787,400,52,85
103,22000,log0,658,251,57,176,787,459,34,211
104,22060,log0,658,251,57,176,789,462,35,213
105,20085,log1,658,221,108,103,789,403,52,86
106,20145,log1,659,222,109,103,789,403,52,86
107,22120,log0,659,252,58,176,789,462,35,213
108,20205,log1,659,222,109,103,789,403,52,86
109,22180,log0,659,252,58,176,1031,463,35,214
110,20265,log1,661,223,109,104,792,405,53,87
111,22240,log0,661,253,58,177,792,465,36,215
112,20325,log1,661,223,109,104,792,405,53,87
113,22300,log0,661,253,58,177,1033,466,36,215
114,20385,log1,661,223,109,104,793,407,53,89
115,22360,log0,661,253,58,177,793,468,36,215
