,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,21146,log1,381,301,180,116,893,305,171,128
1,18991,log0,381,267,150,112,893,271,152,115
2,21206,log1,382,302,180,117,893,305,171,128
3,19051,log0,382,268,150,113,893,271,152,115
4,19111,log0,383,269,151,113,895,273,153,116
5,21266,log1,383,303,181,117,895,307,172,129
6,21326,log1,383,303,181,117,895,307,172,129
7,19171,log0,384,270,151,114,895,273,153,116
8,19231,log0,386,272,152,115,897,274,153,117
9,21386,log1,386,305,182,118,897,308,172,130
10,19291,log0,387,273,152,116,898,275,154,117
11,21446,log1,387,306,183,118,898,309,173,130
12,19351,log0,388,274,153,116,899,276,155,117
13,21506,log1,388,307,183,119,899,310,173,131
14,19411,log0,388,274,153,116,899,276,155,117
15,21566,log1,389,308,184,119,899,310,173,131
16,21626,log1,389,308,184,119,901,311,174,131
17,19471,log0,388,274,153,116,901,277,156,117
18,21686,log1,390,309,185,119,902,312,175,131
19,19531,log0,390,275,154,116,902,278,157,117
20,21746,log1,391,310,185,120,903,313,176,131
21,19591,log0,391,276,154,117,903,279,158,117
22,19651,log0,393,278,155,118,904,280,159,117
23,21806,log1,393,312,186,121,904,314,177,131
24,19711,log0,395,280,156,119,905,281,159,118
25,21866,log1,395,314,187,122,905,315,177,132
26,21926,log1,395,314,187,122,906,316,178,132
27,19771,log0,395,280,156,119,906,282,160,118
28,19831,log0,396,281,157,119,907,283,160,119
29,21986,log1,396,315,188,122,907,317,179,132
30,22046,log1,398,317,188,124,908,318,179,133
31,19891,log0,398,283,158,120,909,285,161,120
32,22106,log1,398,317,188,124,910,320,179,135
33,19951,log0,398,283,158,120,910,286,161,121
34,22166,log1,399,318,189,124,912,321,179,136
35,20011,log0,399,284,159,120,912,288,162,122
36,20071,log0,400,285,160,120,912,288,162,122
37,22226,log1,400,319,189,125,912,321,179,136
38,20131,log0,401,286,160,121,914,290,163,123
39,22286,log1,401,320,189,126,914,323,180,137
40,22346,log1,402,321,190,126,915,324,180,138
41,20191,log0,402,287,161,121,915,291,164,123
42,22406,log1,403,322,190,127,915,324,180,138
43,20251,log0,403,288,161,122,915,291,164,123
44,20311,log0,404,289,162,122,916,292,164,124
45,22466,log1,404,323,190,128,916,325,181,138
46,20371,log0,406,291,163,123,917,293,165,124
47,22526,log1,406,325,191,129,917,326,181,139
48,20431,log0,408,293,164,124,918,294,165,125
49,22586,log1,408,327,192,130,918,327,181,140
50,20491,log0,409,294,165,124,920,296,166,126
51,22646,log1,409,328,193,130,920,329,182,141
52,22706,log1,410,329,193,131,920,329,182,141
53,20551,log0,410,295,165,125,920,296,166,126
54,22766,log1,411,330,194,131,921,330,183,141
55,20611,log0,411,296,166,125,921,297,167,126
