,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,21894,log1,448,312,183,125,563,312,178,128
1,19913,log0,448,281,163,114,563,277,159,114
2,19973,log0,449,282,164,114,564,278,160,114
3,21954,log1,449,313,184,125,564,313,179,128
4,20033,log0,450,283,164,115,565,279,161,114
5,22014,log1,450,314,184,126,565,314,179,129
6,22074,log1,451,315,184,127,565,314,179,129
7,20093,log0,451,284,164,116,565,279,161,114
8,22134,log1,452,316,185,127,566,315,180,129
9,20153,log0,452,285,165,116,566,280,162,114
10,22194,log1,453,317,186,127,567,316,181,129
11,20213,log0,453,286,166,116,567,281,163,114
12,22254,log1,453,317,186,127,568,317,182,129
13,20274,log0,453,286,166,116,568,282,164,114
14,22314,log1,454,318,187,127,569,318,182,130
15,20334,log0,454,287,167,116,569,283,164,115
16,22374,log1,455,319,188,127,570,319,183,130
17,20393,log0,455,288,168,116,570,284,164,116
18,22434,log1,456,320,188,128,571,320,184,130
19,20454,log0,456,289,168,117,571,285,165,116
20,22494,log1,457,321,189,128,571,320,184,130
21,20514,log0,457,290,169,117,571,285,165,116
22,22554,log1,458,322,190,128,572,321,185,130
23,20573,log0,458,291,170,117,572,286,166,116
24,22614,log1,458,322,190,128,573,322,186,130
25,20634,log0,458,291,170,117,573,287,167,116
26,22674,log1,458,322,190,128,573,322,186,130
27,20694,log0,460,292,170,118,573,287,167,116
28,22734,log1,460,323,190,129,574,323,187,130
29,20753,log0,460,292,170,118,574,288,168,116
30,22794,log1,461,324,191,129,575,324,187,131
31,20814,log0,461,293,171,118,575,289,168,117
32,22854,log1,462,325,192,129,576,325,188,131
33,20873,log0,462,294,172,118,576,290,169,117
34,22914,log1,463,326,192,130,577,326,189,131
35,20933,log0,463,295,172,119,577,291,170,117
36,22974,log1,464,327,193,130,579,328,190,132
37,20994,log0,464,296,173,119,579,293,170,119
38,23034,log1,466,329,193,132,580,329,190,133
39,21053,log0,466,298,174,120,580,294,170,120
40,23094,log1,467,330,193,133,581,330,191,133
41,21113,log0,467,299,174,121,581,295,171,120
42,23154,log1,467,330,193,133,582,331,191,134
43,21173,log0,467,299,174,121,582,296,172,120
44,23214,log1,469,331,194,133,582,331,191,134
45,21233,log0,469,300,175,121,582,296,172,120
46,23274,log1,470,332,194,134,584,333,192,135
47,21293,log0,470,301,175,122,584,298,173,121
48,23334,log1,471,333,195,134,585,334,193,135
49,21353,log0,471,302,176,122,585,299,174,121
50,23394,log1,472,334,196,134,587,336,194,136
51,21413,log0,472,303,177,122,587,301,175,122
52,23454,log1,472,334,196,134,587,336,194,136
53,21473,log0,472,303,177,122,587,301,175,122
54,23514,log1,473,335,197,134,588,337,195,136
55,21533,log0,473,304,178,122,588,302,176,122
56,23574,log1,474,336,198,134,589,338,195,137
57,21593,log0,474,305,179,122,589,303,176,123
58,23634,log1,475,337,198,135,591,340,196,138
59,21653,log0,475,306,179,123,591,305,177,124
60,23694,log1,476,338,198,136,592,341,197,138
61,21713,log0,476,307,179,124,592,306,178,124
62,23754,log1,476,338,198,136,592,341,197,138
63,21773,log0,476,307,179,124,592,306,178,124
64,23814,log1,477,339,199,136,594,343,198,139
65,21833,log0,477,308,180,124,594,308,178,126
66,23874,log1,478,340,200,136,595,344,199,139
67,21893,log0,478,309,181,124,595,309,179,126
68,23934,log1,479,341,200,137,596,345,199,140
69,21953,log0,479,310,182,124,596,310,179,127
70,23994,log1,479,341,200,137,597,346,200,140
71,22013,log0,479,310,182,124,597,311,180,127
72,24054,log1,480,342,201,137,598,347,200,141
73,22073,log0,480,311,183,124,598,312,180,128
74,24114,log1,481,343,201,138,599,348,201,141
75,22133,log0,480,311,183,124,599,313,181,128
76,24174,log1,482,344,202,138,600,349,201,142
77,22193,log0,482,312,184,124,600,314,181,129
78,24234,log1,484,346,203,139,601,350,202,142
79,22253,log0,484,314,185,125,601,315,182,129
80,24294,log1,484,346,203,139,603,352,203,143
81,22313,log0,484,314,185,125,603,317,183,130
82,24354,log1,485,347,204,139,604,353,203,144
83,22373,log0,485,315,186,125,604,318,183,131
84,22433,log0,486,316,187,125,605,319,184,131
85,24414,log1,486,348,205,139,605,354,203,145
86,24474,log1,487,349,205,140,607,356,204,146
87,22493,log0,487,317,188,125,607,321,185,132
88,24534,log1,488,350,206,140,607,356,204,146
89,22553,log0,488,318,188,126,607,321,185,132
90,24594,log1,488,350,206,140,609,358,205,147
91,22613,log0,488,318,188,126,609,323,186,133
92,24654,log1,489,351,207,140,610,359,205,148
93,22673,log0,489,319,189,126,610,324,186,134
94,24714,log1,490,352,208,140,611,360,206,148
95,22733,log0,490,320,190,126,611,325,187,134
96,24774,log1,492,353,208,141,612,361,206,149
97,22793,log0,492,321,191,126,611,325,187,134
98,24834,log1,493,354,208,142,612,361,206,149
99,22853,log0,493,322,191,127,611,325,187,134
100,24894,log1,494,355,209,142,614,362,206,150
101,22913,log0,494,323,192,127,614,326,187,135
102,24954,log1,495,356,209,143,615,363,207,150
103,22973,log0,495,324,192,128,615,327,188,135
104,25014,log1,496,357,210,143,616,364,207,151
105,23033,log0,496,325,193,128,616,328,188,136
106,25074,log1,497,358,211,143,617,365,208,151
107,23094,log0,497,326,194,128,617,329,189,136
108,25134,log1,497,358,211,143,618,366,208,152
109,23153,log0,497,326,194,128,618,330,190,136
110,25194,log1,499,360,212,144,619,367,208,153
111,23213,log0,499,328,195,129,620,332,191,137
112,25254,log1,500,361,213,144,621,368,208,154
113,23273,log0,500,329,196,129,621,333,191,138
114,25314,log1,501,362,213,145,622,369,209,154
115,23333,log0,501,330,196,130,622,334,192,138
116,25374,log1,502,363,214,145,623,370,209,155
117,23393,log0,502,331,197,130,623,335,193,138
118,25434,log1,503,364,214,146,624,371,209,156
119,23453,log0,503,332,197,131,624,336,193,139
120,25494,log1,504,365,215,146,625,372,210,156
121,23513,log0,504,333,198,131,625,337,194,139
122,25554,log1,505,366,215,147,626,373,210,157
123,23573,log0,505,334,198,132,626,338,194,140
124,25614,log1,507,368,216,148,627,374,211,157
125,23633,log0,507,336,199,133,627,339,195,140
126,25674,log1,509,370,217,149,628,375,211,158
127,23693,log0,509,338,200,134,628,340,195,141
128,23753,log0,509,338,200,134,629,341,196,141
129,25734,log1,509,370,217,149,629,376,212,158
130,25794,log1,511,372,218,150,630,377,212,159
131,23813,log0,511,340,201,135,630,342,196,142
132,25854,log1,512,373,219,150,631,378,213,159
133,23873,log0,512,341,202,135,631,343,197,142
134,25914,log1,513,374,219,151,632,379,214,159
135,23933,log0,513,342,202,136,632,344,198,142
136,25974,log1,515,376,220,152,632,379,214,159
137,23993,log0,515,344,203,137,632,344,198,142
138,26034,log1,515,376,220,152,633,380,215,159
139,24053,log0,515,344,203,137,633,345,199,142
140,26094,log1,517,378,221,153,634,381,216,159
141,24113,log0,517,346,204,138,634,346,200,142
142,26154,log1,518,379,222,153,635,382,216,160
143,24173,log0,518,347,205,138,635,347,200,143
144,26214,log1,518,379,222,153,636,383,216,161
145,24233,log0,518,347,205,138,636,348,201,143
146,26274,log1,519,380,223,153,638,385,217,162
147,24293,log0,519,348,206,138,638,350,201,145
148,26334,log1,520,381,224,153,639,386,218,162
149,24353,log0,520,349,207,138,639,351,202,145
150,26394,log1,521,382,225,153,639,386,218,162
151,24413,log0,521,350,208,138,639,351,202,145
152,26454,log1,522,383,225,154,641,388,219,163
153,24473,log0,522,351,208,139,641,353,203,146
154,26514,log1,523,384,226,154,642,389,220,163
155,24533,log0,523,352,209,139,642,354,204,146
156,26574,log1,524,385,227,154,643,390,220,164
157,24593,log0,524,353,210,139,643,355,204,147
158,26634,log1,525,386,227,155,643,390,220,164
159,24653,log0,525,354,210,140,643,355,204,147
160,26694,log1,526,387,228,155,645,391,221,164
161,24713,log0,526,355,211,140,645,356,205,147
162,26754,log1,526,387,228,155,647,393,222,165
163,24773,log0,526,355,211,140,647,358,205,149
164,26814,log1,527,388,229,155,648,394,222,166
165,24833,log0,527,356,212,140,648,359,206,149
166,26874,log1,528,389,230,155,649,395,222,167
167,24893,log0,528,357,213,140,649,360,206,150
168,26934,log1,529,390,231,155,650,396,223,167
169,24953,log0,529,358,214,140,650,361,207,150
170,26994,log1,530,391,231,156,651,397,224,167
171,25013,log0,530,359,214,141,651,362,208,150
172,27054,log1,531,392,232,156,652,398,224,168
173,25073,log0,531,360,215,141,652,363,208,151
174,27114,log1,532,393,233,156,652,398,224,168
175,25133,log0,532,361,216,141,652,363,208,151
176,27174,log1,533,394,233,157,654,399,225,168
177,25193,log0,533,362,216,142,654,364,209,151
178,27234,log1,533,394,233,157,656,401,226,169
179,25253,log0,533,362,216,142,656,366,210,152
180,27294,log1,534,395,234,157,656,401,226,169
181,25313,log0,534,363,217,142,656,366,210,152
182,25373,log0,535,364,217,143,658,368,210,154
183,27354,log1,535,396,234,158,658,403,226,171
184,27414,log1,536,397,235,158,659,404,227,171
185,25433,log0,536,365,218,143,659,369,211,154
186,27474,log1,538,399,236,159,660,405,228,171
187,25493,log0,538,367,219,144,660,370,211,155
188,27534,log1,539,400,236,160,660,405,228,171
189,25553,log0,539,368,219,145,660,370,211,155
190,27594,log1,539,400,236,160,662,407,229,172
191,25613,log0,540,369,220,145,662,372,212,156
192,27654,log1,541,401,237,160,662,407,229,172
193,25673,log0,541,370,220,146,662,372,212,156
194,27714,log1,542,402,237,161,663,408,230,172
195,25733,log0,542,371,220,147,663,373,213,156
196,27774,log1,543,403,238,161,664,409,231,172
197,25793,log0,543,372,221,147,664,374,214,156
198,27834,log1,544,404,238,162,665,410,232,172
199,25853,log0,544,373,221,148,665,375,215,156
200,27894,log1,545,405,239,162,666,411,233,172
201,25913,log0,545,374,222,148,666,376,216,156
202,27954,log1,545,405,239,162,667,412,233,173
203,25973,log0,545,374,222,148,667,377,216,157
204,28014,log1,547,407,240,163,667,412,233,173
205,26033,log0,547,376,223,149,667,377,216,157
206,28074,log1,548,408,241,163,668,413,234,173
207,26093,log0,548,377,224,149,668,378,217,157
208,28134,log1,549,409,241,164,670,415,235,174
209,26153,log0,549,378,224,150,670,380,218,158
210,28194,log1,550,410,242,164,670,415,235,174
211,26213,log0,550,379,225,150,670,380,218,158
212,28254,log1,551,411,243,164,671,416,236,174
213,26273,log0,551,380,226,150,671,381,219,158
214,28314,log1,552,412,243,165,672,417,237,174
215,26333,log0,552,381,227,150,672,382,220,158
216,28374,log1,553,413,243,166,673,418,238,174
217,26393,log0,553,382,227,151,673,383,221,158
218,28434,log1,554,414,244,166,674,419,238,175
219,26453,log0,554,383,228,151,674,384,221,159
220,28494,log1,555,415,244,167,675,420,239,175
221,26513,log0,555,384,229,151,675,385,222,159
222,28554,log1,556,416,245,167,676,421,240,175
223,26573,log0,556,385,230,151,676,386,222,160
224,28614,log1,556,416,245,167,677,422,240,176
225,26633,log0,556,385,230,151,677,387,222,161
226,28674,log1,557,417,246,167,677,422,240,176
227,26693,log0,557,386,231,151,677,387,222,161
228,28734,log1,559,419,247,168,678,423,241,176
229,26753,log0,559,388,232,152,678,388,223,161
230,28794,log1,559,419,247,168,679,424,241,177
231,26813,log0,559,388,232,152,679,389,223,162
232,28854,log1,560,420,247,169,680,425,242,177
233,26873,log0,561,390,232,154,680,390,224,162
234,28914,log1,561,421,247,170,681,426,242,178
235,26933,log0,561,390,232,154,681,391,225,162
236,28974,log1,562,422,248,170,682,427,243,178
237,26993,log0,562,391,233,154,682,392,226,162
238,29034,log1,563,423,249,170,682,427,243,178
239,27053,log0,563,392,233,155,682,392,226,162
240,29094,log1,564,424,249,171,683,428,244,178
241,27114,log0,564,393,233,156,683,393,227,162
242,29154,log1,566,426,250,172,684,429,244,179
243,27173,log0,566,395,234,157,684,394,227,163
244,29214,log1,567,427,250,173,685,430,245,179
245,27233,log0,567,396,235,157,685,395,228,163
246,29274,log1,567,427,250,173,686,431,246,179
247,27293,log0,567,396,235,157,686,396,228,164
248,29334,log1,568,428,251,173,687,432,246,180
249,27353,log0,568,397,236,157,688,398,229,165
250,29394,log1,569,429,251,174,688,433,246,181
251,27413,log0,569,398,236,158,688,398,229,165
252,29454,log1,570,430,252,174,689,434,247,181
253,27473,log0,570,399,237,158,689,399,230,165
254,27533,log0,571,400,238,158,690,400,230,166
255,29514,log1,571,431,253,174,690,435,248,181
256,29574,log1,572,432,253,175,691,436,249,181
257,27593,log0,572,401,238,159,691,401,231,166
258,29634,log1,573,433,254,175,692,437,249,182
259,27653,log0,573,402,239,159,692,402,231,167
260,29694,log1,574,434,255,175,693,438,250,182
261,27713,log0,574,403,240,159,693,403,232,167
262,29754,log1,575,435,255,176,694,439,250,183
263,27773,log0,575,404,240,160,694,404,232,168
264,29814,log1,576,436,256,176,695,440,251,183
265,27833,log0,576,405,241,160,695,405,233,168
266,29874,log1,577,437,256,177,695,440,251,183
267,27893,log0,577,406,241,161,695,405,233,168
268,29934,log1,579,439,257,178,696,441,252,183
269,27953,log0,579,408,242,162,696,406,234,168
270,29994,log1,580,440,258,178,697,442,253,183
271,28013,log0,580,409,243,162,697,407,235,168
272,30054,log1,581,441,258,179,698,443,253,184
273,28073,log0,581,410,243,163,698,408,236,168
274,30114,log1,582,442,259,179,699,444,253,185
275,28133,log0,582,411,244,163,699,409,236,169
276,30174,log1,583,443,260,179,700,445,254,185
277,28193,log0,583,412,244,164,700,410,237,169
278,30234,log1,584,444,260,180,701,446,254,186
279,28253,log0,584,413,245,164,701,411,238,169
280,30294,log1,585,445,260,181,703,448,255,187
281,28313,log0,585,414,245,165,703,413,239,170
282,30354,log1,586,446,261,181,703,448,255,187
283,28373,log0,586,415,246,165,704,414,240,170
284,28433,log0,587,416,247,165,704,414,240,170
285,30414,log1,587,447,262,181,704,449,255,188
286,28493,log0,588,417,248,165,705,415,241,170
287,30474,log1,588,448,262,182,705,450,256,188
288,30534,log1,589,449,262,183,706,451,257,188
289,28553,log0,589,418,248,166,706,416,242,170
290,30594,log1,590,450,263,183,707,452,257,189
291,28613,log0,590,419,249,166,707,417,242,171
292,30654,log1,590,450,263,183,708,453,258,189
293,28673,log0,590,419,249,166,708,418,243,171
294,30714,log1,591,451,264,183,708,453,258,189
295,28733,log0,591,420,249,167,709,419,243,172
296,30774,log1,592,452,265,183,710,454,258,190
297,28793,log0,592,421,250,167,710,420,243,173
298,30834,log1,593,453,265,184,711,455,259,190
