,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,28227,log0,554,416,241,0,1505,416,241,0
1,30308,log1,554,447,259,0,1505,447,260,0
2,28287,log0,555,417,242,0,1506,417,242,0
3,30368,log1,555,448,260,0,1506,448,261,0
4,28347,log0,556,418,242,0,1507,418,243,0
5,30428,log1,556,449,260,0,1507,449,262,0
6,28407,log0,556,418,242,0,1508,419,244,0
7,30488,log1,556,449,260,0,1508,450,262,0
8,28467,log0,556,418,242,0,1509,420,244,0
9,30548,log1,558,450,260,0,1509,451,263,0
10,28527,log0,559,419,242,0,1510,421,244,0
11,30608,log1,559,451,261,0,1510,452,263,0
12,28587,log0,560,420,243,0,1511,422,245,0
13,30668,log1,559,451,261,0,1511,453,264,0
14,30728,log1,559,451,261,0,1512,454,265,0
15,28647,log0,560,420,243,0,1512,423,246,0
16,28707,log0,561,421,244,0,1513,424,246,0
17,30788,log1,561,452,261,0,1513,455,265,0
18,28767,log0,562,422,245,0,1515,425,246,0
19,30848,log1,562,453,261,0,1515,456,265,0
20,28827,log0,563,423,245,0,1516,426,247,0
21,30908,log1,563,454,262,0,1516,457,266,0
22,28887,log0,564,424,246,0,1517,427,247,0
23,30968,log1,564,455,263,0,1517,458,266,0
24,28947,log0,565,425,246,0,1517,427,247,0
25,31028,log1,565,456,263,0,1517,458,266,0
26,29007,log0,566,426,247,0,1518,428,248,0
27,31088,log1,566,457,264,0,1518,459,267,0
28,29067,log0,567,427,247,0,1519,429,248,0
29,31148,log1,567,458,265,0,1519,460,268,0
30,29127,log0,568,428,248,0,1519,429,248,0
31,31208,log1,568,459,266,0,1519,460,268,0
32,29187,log0,569,429,249,0,1520,430,249,0
33,31268,log1,569,460,266,0,1520,461,269,0
34,29247,log0,570,430,249,0,1521,431,250,0
35,31328,log1,570,461,266,0,1521,462,269,0
36,29307,log0,572,432,250,0,1523,433,251,0
37,31388,log1,572,463,267,0,1523,464,270,0
38,29367,log0,572,432,250,0,1524,434,252,0
39,31448,log1,572,463,267,0,1524,465,271,0
40,29427,log0,573,433,251,0,1525,435,252,0
41,31508,log1,573,464,268,0,1525,466,272,0
42,29487,log0,575,435,252,0,1526,436,253,0
43,31568,log1,575,466,269,0,1526,467,272,0
44,29547,log0,576,436,253,0,1527,437,253,0
45,31628,log1,576,467,269,0,1527,468,273,0
46,29607,log0,577,437,253,0,1529,439,254,0
47,31688,log1,577,468,269,0,1529,470,274,0
48,29667,log0,578,438,254,0,1530,440,255,0
49,31748,log1,578,469,270,0,1530,471,274,0
50,29727,log0,579,439,255,0,1531,441,255,0
51,31808,log1,579,470,270,0,1531,472,274,0
52,29787,log0,580,440,256,0,1532,442,256,0
53,31868,log1,580,471,271,0,1532,473,274,0
54,29847,log0,581,441,257,0,1533,443,257,0
55,31928,log1,581,472,272,0,1533,474,275,0
56,29907,log0,582,442,257,0,1534,444,258,0
57,31988,log1,582,473,272,0,1534,475,275,0
58,29967,log0,583,443,257,0,1535,445,258,0
59,32048,log1,583,474,273,0,1535,476,275,0
60,30027,log0,584,444,258,0,1536,446,259,0
61,32108,log1,584,475,274,0,1536,477,276,0
62,30087,log0,585,445,259,0,1537,447,260,0
63,32168,log1,585,476,275,0,1537,478,277,0
64,30147,log0,586,446,259,0,1538,448,260,0
65,32228,log1,586,477,275,0,1538,479,277,0
66,30207,log0,587,447,260,0,1539,449,261,0
67,32288,log1,587,478,276,0,1539,480,278,0
68,30267,log0,589,449,261,0,1540,450,262,0
69,32348,log1,589,480,277,0,1540,481,279,0
70,30327,log0,590,450,261,0,1541,451,262,0
71,32408,log1,589,480,277,0,1541,482,280,0
72,30387,log0,591,451,261,0,1541,451,262,0
73,32468,log1,591,481,278,0,1541,482,280,0
74,30447,log0,592,452,262,0,1543,453,263,0
75,32528,log1,592,482,278,0,1543,484,281,0
76,30507,log0,593,453,262,0,1544,454,263,0
77,32588,log1,593,483,279,0,1544,485,282,0
78,30567,log0,594,454,263,0,1545,455,264,0
79,32648,log1,594,484,280,0,1545,486,283,0
80,30627,log0,594,454,263,0,1547,457,265,0
81,32708,log1,595,485,280,0,1547,488,283,0
82,30687,log0,596,456,264,0,1547,457,265,0
83,32768,log1,596,486,280,0,1547,488,283,0
84,30747,log0,597,457,265,0,1548,458,266,0
85,32828,log1,597,487,281,0,1548,489,284,0
86,30807,log0,598,458,265,0,1548,458,266,0
87,32888,log1,598,488,281,0,1548,489,284,0
88,30867,log0,599,459,266,0,1551,459,266,0
89,32948,log1,599,489,282,0,1551,491,285,0
90,30927,log0,600,460,267,0,1551,459,266,0
91,33008,log1,600,490,283,0,1551,491,285,0
92,30987,log0,601,461,268,0,1553,461,267,0
93,33068,log1,601,491,284,0,1553,493,286,0
94,31047,log0,602,462,268,0,1554,462,268,0
95,33128,log1,602,492,284,0,1554,494,286,0
96,31107,log0,603,463,269,0,1554,462,268,0
97,33188,log1,603,493,285,0,1555,495,287,0
98,31167,log0,603,463,269,0,1555,463,268,0
99,33248,log1,603,493,285,0,1555,495,287,0
100,31227,log0,604,464,270,0,1555,463,268,0
101,33308,log1,604,494,286,0,1556,496,288,0
102,31287,log0,605,465,270,0,1558,465,269,0
103,33368,log1,605,495,286,0,1558,498,288,0
104,31347,log0,606,466,271,0,1559,466,270,0
105,33428,log1,606,496,287,0,1559,499,289,0
106,31407,log0,607,467,272,0,1560,467,270,0
107,33488,log1,607,497,288,0,1560,500,289,0
108,31467,log0,608,468,272,0,1561,468,271,0
109,33548,log1,608,498,288,0,1561,501,290,0
110,31527,log0,610,470,273,0,1561,468,271,0
111,33608,log1,610,500,289,0,1561,501,290,0
112,31587,log0,610,470,273,0,1562,469,272,0
113,33668,log1,610,500,289,0,1562,502,290,0
114,31647,log0,611,471,274,0,1563,470,272,0
115,33728,log1,611,501,290,0,1563,503,291,0
116,31707,log0,612,472,274,0,1565,472,273,0
117,33788,log1,613,503,291,0,1565,505,292,0
118,31767,log0,614,474,275,0,1566,473,273,0
119,33848,log1,614,504,291,0,1566,506,293,0
120,31827,log0,614,474,275,0,1566,473,273,0
121,33908,log1,614,504,291,0,1566,506,293,0
122,31887,log0,615,475,276,0,1567,474,274,0
123,33968,log1,615,505,292,0,1567,507,294,0
124,31947,log0,616,476,277,0,1568,475,275,0
125,34028,log1,616,506,292,0,1568,508,294,0
126,32007,log0,617,477,277,0,1568,475,275,0
127,34088,log1,617,507,293,0,1568,508,294,0
128,32067,log0,617,477,277,0,1569,476,276,0
129,34148,log1,617,507,293,0,1569,509,295,0
130,32127,log0,618,478,278,0,1570,477,277,0
131,34208,log1,618,508,294,0,1570,510,296,0
132,32187,log0,620,480,279,0,1571,478,277,0
133,34268,log1,620,510,295,0,1571,511,297,0
134,32247,log0,620,480,279,0,1572,479,278,0
135,34328,log1,620,510,295,0,1572,512,298,0
136,32307,log0,621,481,280,0,1573,480,278,0
137,34388,log1,621,511,296,0,1573,513,298,0
138,32367,log0,622,482,281,0,1574,481,279,0
139,34448,log1,622,512,297,0,1574,514,299,0
140,32427,log0,623,483,282,0,1575,482,279,0
141,34508,log1,623,513,298,0,1575,515,299,0
142,32487,log0,624,484,283,0,1576,483,280,0
143,34568,log1,624,514,299,0,1576,516,300,0
144,32547,log0,625,485,283,0,1577,484,280,0
145,34628,log1,625,515,299,0,1577,517,300,0
146,32607,log0,626,486,284,0,1578,485,281,0
147,34688,log1,626,516,300,0,1578,518,301,0
