,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,17760,log1,422,243,195,0,494,252,202,0
1,14566,log0,422,196,160,0,494,197,155,0
2,14626,log0,422,196,160,0,495,198,156,0
3,17820,log1,422,243,195,0,495,253,203,0
4,14686,log0,424,198,161,0,496,199,157,0
5,17880,log1,424,245,197,0,496,254,204,0
6,14746,log0,425,199,162,0,496,199,157,0
7,17940,log1,425,246,197,0,496,254,204,0
8,18000,log1,426,247,198,0,498,256,205,0
9,14806,log0,426,200,163,0,498,201,159,0
10,18060,log1,427,248,199,0,499,257,206,0
11,14866,log0,427,201,164,0,499,202,160,0
12,14926,log0,428,202,165,0,500,203,161,0
13,18120,log1,428,249,200,0,500,258,206,0
14,14986,log0,429,203,166,0,501,204,162,0
15,18180,log1,429,250,200,0,501,259,207,0
16,15046,log0,429,203,166,0,502,205,163,0
17,18240,log1,430,251,201,0,502,260,208,0
18,15106,log0,431,205,168,0,502,205,163,0
19,18300,log1,431,252,201,0,502,260,208,0
20,15166,log0,432,206,169,0,503,206,164,0
21,18360,log1,432,253,202,0,503,261,209,0
22,18420,log1,433,254,203,0,504,262,210,0
23,15226,log0,433,207,170,0,504,207,165,0
24,15286,log0,434,208,171,0,505,208,166,0
25,18480,log1,434,255,204,0,505,263,211,0
26,15346,log0,435,209,172,0,506,209,167,0
27,18540,log1,435,256,205,0,506,264,212,0
28,15406,log0,437,211,173,0,506,209,167,0
29,18600,log1,437,258,206,0,507,265,213,0
30,15466,log0,438,212,173,0,508,210,167,0
31,18660,log1,438,259,207,0,508,266,214,0
32,18720,log1,439,260,208,0,508,266,214,0
33,15527,log0,439,213,174,0,508,210,167,0
34,15586,log0,440,214,175,0,509,211,168,0
35,18780,log1,440,261,209,0,509,267,215,0
36,15646,log0,441,215,176,0,510,212,169,0
37,18840,log1,441,262,210,0,510,268,216,0
38,15706,log0,442,216,176,0,510,212,169,0
39,18900,log1,442,263,210,0,510,268,216,0
40,15766,log0,443,217,177,0,512,214,171,0
41,18960,log1,443,264,211,0,512,270,217,0
42,15826,log0,444,218,178,0,513,215,172,0
43,19020,log1,444,265,212,0,513,271,218,0
44,15886,log0,445,219,178,0,514,216,173,0
45,19080,log1,445,266,212,0,514,272,219,0
46,15946,log0,446,220,179,0,515,217,174,0
47,19140,log1,446,267,213,0,515,273,220,0
48,16006,log0,448,222,181,0,516,218,175,0
49,19200,log1,448,269,214,0,516,274,220,0
50,16066,log0,448,222,181,0,517,219,176,0
51,19260,log1,448,269,214,0,517,275,221,0
52,16126,log0,449,223,182,0,518,220,177,0
53,19320,log1,449,270,215,0,518,276,222,0
54,16186,log0,450,224,183,0,519,221,178,0
55,19380,log1,450,271,216,0,519,277,223,0
56,16246,log0,451,225,184,0,520,222,179,0
57,19440,log1,451,272,217,0,520,278,224,0
58,16306,log0,452,226,185,0,520,222,179,0
59,19500,log1,452,273,217,0,520,278,224,0
60,16366,log0,454,228,186,0,522,224,180,0
61,19560,log1,454,275,218,0,522,280,225,0
62,16426,log0,454,228,186,0,523,225,181,0
63,19620,log1,454,275,218,0,523,281,226,0
64,19680,log1,456,277,219,0,524,282,227,0
65,16486,log0,456,230,187,0,524,226,181,0
66,16546,log0,457,231,188,0,525,227,182,0
67,19740,log1,457,278,220,0,525,283,227,0
68,16606,log0,458,232,189,0,526,228,183,0
69,19800,log1,458,279,220,0,526,284,228,0
70,16666,log0,459,233,190,0,527,229,183,0
71,19860,log1,459,280,221,0,527,285,229,0
72,19920,log1,460,281,222,0,528,286,230,0
73,16726,log0,460,234,190,0,528,230,184,0
74,16786,log0,461,235,191,0,529,231,185,0
75,19980,log1,461,282,223,0,529,287,231,0
76,16846,log0,462,236,192,0,529,231,185,0
77,20040,log1,462,283,224,0,529,287,231,0
78,16906,log0,463,237,193,0,531,233,186,0
79,20100,log1,463,284,225,0,531,289,232,0
80,16966,log0,463,237,193,0,532,234,187,0
81,20160,log1,463,284,225,0,532,290,233,0
82,17026,log0,464,238,194,0,533,235,187,0
83,20220,log1,464,285,226,0,533,291,234,0
84,17086,log0,465,239,195,0,534,236,188,0
85,20280,log1,465,286,227,0,534,292,235,0
86,17146,log0,466,240,195,0,535,237,189,0
87,20340,log1,466,287,228,0,535,293,236,0
88,17206,log0,467,241,196,0,535,237,189,0
89,20400,log1,467,288,229,0,535,293,236,0
