,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,18092,log1,361,244,178,0,413,252,182,0
1,20518,log0,361,282,212,0,413,290,221,0
2,18152,log1,362,245,179,0,414,253,183,0
3,20578,log0,362,283,213,0,414,291,222,0
4,18212,log1,363,246,180,0,415,254,184,0
5,20638,log0,363,284,214,0,415,292,222,0
6,20698,log0,363,284,214,0,416,293,222,0
7,18272,log1,363,246,180,0,416,255,184,0
8,20758,log0,365,286,216,0,417,294,223,0
9,18332,log1,365,248,181,0,417,256,185,0
10,20818,log0,365,286,216,0,418,295,223,0
11,18392,log1,365,248,181,0,418,257,186,0
12,20878,log0,366,287,216,0,418,295,223,0
13,18452,log1,366,249,182,0,418,257,186,0
14,18512,log1,367,250,183,0,419,258,187,0
15,20938,log0,367,288,217,0,419,296,224,0
16,20998,log0,369,290,218,0,420,297,224,0
17,18572,log1,369,252,184,0,420,259,188,0
18,18632,log1,370,253,185,0,421,260,189,0
19,21058,log0,370,291,219,0,421,298,225,0
20,21118,log0,371,292,220,0,421,298,225,0
21,18692,log1,371,254,185,0,421,260,189,0
22,18752,log1,372,255,186,0,422,261,190,0
23,21178,log0,372,293,221,0,422,299,226,0
24,18812,log1,373,256,187,0,423,262,191,0
25,21238,log0,373,294,222,0,423,300,227,0
26,21298,log0,374,295,223,0,424,301,228,0
27,18872,log1,374,257,188,0,424,263,192,0
28,18932,log1,375,258,189,0,424,263,192,0
29,21358,log0,375,296,224,0,424,301,228,0
30,21418,log0,376,297,225,0,425,302,229,0
31,18992,log1,376,259,189,0,425,264,193,0
32,21478,log0,377,298,226,0,426,303,230,0
33,19052,log1,377,260,190,0,426,265,194,0
34,21538,log0,378,299,226,0,427,304,231,0
35,19112,log1,378,261,190,0,427,266,195,0
36,19172,log1,379,262,191,0,427,266,195,0
37,21598,log0,379,300,227,0,427,304,231,0
38,19232,log1,380,263,192,0,428,267,196,0
39,21658,log0,380,301,228,0,428,305,232,0
40,21718,log0,381,302,228,0,429,306,232,0
41,19292,log1,381,264,193,0,428,267,196,0
42,19352,log1,382,265,194,0,430,268,196,0
43,21778,log0,382,303,229,0,430,307,232,0
44,21838,log0,383,304,230,0,431,308,233,0
45,19412,log1,383,266,195,0,431,269,197,0
46,21898,log0,385,306,231,0,432,309,234,0
47,19472,log1,385,268,196,0,432,270,198,0
48,19532,log1,386,269,197,0,432,270,198,0
49,21958,log0,386,307,232,0,432,309,234,0
50,19592,log1,387,270,198,0,434,272,200,0
51,22018,log0,387,308,233,0,434,311,236,0
52,22078,log0,387,308,233,0,435,312,237,0
53,19652,log1,387,270,198,0,435,273,200,0
54,22138,log0,389,309,233,0,436,313,238,0
55,19712,log1,389,271,198,0,436,274,201,0
56,22198,log0,390,310,234,0,437,314,238,0
57,19772,log1,390,272,199,0,437,275,202,0
58,19832,log1,391,273,200,0,438,276,203,0
59,22258,log0,391,311,235,0,438,315,239,0
60,19892,log1,392,274,201,0,439,277,204,0
61,22318,log0,392,312,236,0,439,316,240,0
62,22378,log0,394,314,237,0,440,317,241,0
63,19952,log1,394,276,203,0,440,278,204,0
64,20012,log1,395,277,203,0,441,279,205,0
65,22438,log0,395,315,237,0,441,318,242,0
66,20072,log1,395,277,203,0,442,280,206,0
