,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,20175,log1,541,283,224,0,508,292,231,0
1,23414,log0,541,335,177,0,508,346,204,0
2,20235,log1,542,284,225,0,509,293,232,0
3,23474,log0,542,336,178,0,509,347,205,0
4,23534,log0,543,337,179,0,510,348,206,0
5,20295,log1,543,285,226,0,510,294,233,0
6,20355,log1,544,286,227,0,511,295,234,0
7,23594,log0,544,338,180,0,511,349,207,0
8,20415,log1,545,287,228,0,512,296,235,0
9,23654,log0,545,339,181,0,512,350,208,0
10,23714,log0,546,340,182,0,513,351,209,0
11,20475,log1,546,288,229,0,513,297,236,0
12,23774,log0,547,341,183,0,514,352,210,0
13,20535,log1,547,289,230,0,514,298,237,0
14,23834,log0,548,342,184,0,515,353,211,0
15,20595,log1,548,290,231,0,515,299,238,0
16,20655,log1,549,291,232,0,516,300,239,0
17,23894,log0,549,343,185,0,516,354,212,0
18,20715,log1,550,292,233,0,517,301,240,0
19,23954,log0,550,344,186,0,517,355,213,0
20,24014,log0,551,345,187,0,518,356,214,0
21,20775,log1,551,293,234,0,518,302,241,0
22,20835,log1,552,294,235,0,519,303,242,0
23,24074,log0,552,346,188,0,519,357,215,0
24,24134,log0,553,347,189,0,520,358,216,0
25,20895,log1,553,295,236,0,520,304,243,0
26,20955,log1,554,296,237,0,521,305,244,0
27,24194,log0,554,348,190,0,521,359,217,0
28,24254,log0,555,349,191,0,522,360,218,0
29,21015,log1,555,297,238,0,522,306,245,0
30,24314,log0,556,350,192,0,523,361,219,0
31,21075,log1,556,298,239,0,523,307,246,0
32,21135,log1,557,299,240,0,524,308,247,0
33,24374,log0,557,351,193,0,524,362,220,0
34,21195,log1,558,300,241,0,525,309,248,0
35,24434,log0,558,352,194,0,525,363,221,0
36,24494,log0,559,353,195,0,526,364,222,0
37,21255,log1,559,301,242,0,526,310,249,0
38,24554,log0,560,354,196,0,527,365,223,0
39,21315,log1,560,302,243,0,527,311,250,0
40,21375,log1,561,303,244,0,528,312,251,0
41,24614,log0,561,355,197,0,528,366,224,0
42,21435,log1,562,304,245,0,529,313,252,0
43,24674,log0,562,356,198,0,529,367,225,0
44,24734,log0,563,357,199,0,530,368,226,0
45,21495,log1,563,305,246,0,530,314,253,0
46,21555,log1,564,306,247,0,531,315,254,0
47,24794,log0,564,358,200,0,531,369,227,0
48,24854,log0,565,359,201,0,532,370,228,0
49,21615,log1,565,307,248,0,532,316,255,0
50,24914,log0,566,360,202,0,533,371,229,0
51,21675,log1,566,308,249,0,533,317,256,0
52,24974,log0,566,360,202,0,534,372,230,0
53,21735,log1,566,308,249,0,534,318,257,0
54,25034,log0,566,360,202,0,535,373,231,0
55,21795,log1,566,308,249,0,535,319,258,0
56,25094,log0,566,360,202,0,536,374,232,0
57,21855,log1,566,308,249,0,536,320,259,0
58,21915,log1,566,308,249,0,537,321,260,0
59,25154,log0,566,360,202,0,537,375,233,0
60,25214,log0,566,360,202,0,538,376,234,0
61,21975,log1,566,308,249,0,538,322,261,0
62,22035,log1,572,309,249,0,539,323,262,0
63,25274,log0,572,361,202,0,539,377,235,0
64,25334,log0,573,362,203,0,540,378,236,0
65,22095,log1,573,310,250,0,540,324,263,0
66,25394,log0,574,363,204,0,541,379,237,0
67,22155,log1,574,311,251,0,541,325,264,0
68,25454,log0,575,364,205,0,542,380,238,0
69,22215,log1,575,312,252,0,542,326,265,0
70,25514,log0,576,365,206,0,543,381,239,0
71,22275,log1,576,313,253,0,543,327,266,0
72,22335,log1,577,314,254,0,544,328,267,0
73,25574,log0,577,366,207,0,544,382,240,0
74,25634,log0,578,367,208,0,545,383,241,0
75,22395,log1,578,315,255,0,545,329,268,0
76,22455,log1,579,316,256,0,546,330,269,0
77,25694,log0,579,368,209,0,546,384,242,0
78,25754,log0,580,369,210,0,547,385,243,0
79,22515,log1,580,317,257,0,547,331,270,0
80,25814,log0,581,370,211,0,548,386,244,0
81,22575,log1,581,318,258,0,548,332,271,0
82,25874,log0,582,371,212,0,549,387,245,0
83,22635,log1,582,319,259,0,549,333,272,0
84,25934,log0,583,372,213,0,550,388,246,0
85,22695,log1,583,320,260,0,550,334,273,0
86,22755,log1,584,321,261,0,551,335,274,0
87,25994,log0,584,373,214,0,551,389,247,0
88,22815,log1,585,322,262,0,552,336,275,0
89,26054,log0,585,374,215,0,552,390,248,0
90,26114,log0,586,375,216,0,553,391,249,0
91,22875,log1,586,323,263,0,553,337,276,0
92,26174,log0,587,376,217,0,554,392,250,0
93,22935,log1,587,324,264,0,554,338,277,0
94,26234,log0,588,377,218,0,555,393,251,0
95,22995,log1,588,325,265,0,555,339,278,0
96,23055,log1,589,326,266,0,556,340,279,0
97,26294,log0,589,378,219,0,556,394,252,0
98,23115,log1,590,327,267,0,557,341,280,0
99,26354,log0,590,379,220,0,557,395,253,0
100,26414,log0,591,380,221,0,558,396,254,0
101,23175,log1,591,328,268,0,558,342,281,0
102,23235,log1,592,329,269,0,559,343,282,0
103,26474,log0,592,381,222,0,559,397,255,0
104,23295,log1,593,330,270,0,560,344,283,0
105,26534,log0,593,382,223,0,560,398,256,0
106,23355,log1,594,331,271,0,561,345,284,0
107,26594,log0,594,383,224,0,561,399,257,0
108,26654,log0,595,384,225,0,562,400,258,0
109,23415,log1,595,332,272,0,562,346,285,0
110,23475,log1,596,333,273,0,563,347,286,0
111,26714,log0,596,385,226,0,563,401,259,0
112,23535,log1,597,334,274,0,564,348,287,0
113,26774,log0,597,386,227,0,564,402,260,0
114,26834,log0,598,387,228,0,565,403,261,0
115,23595,log1,598,335,275,0,565,349,288,0
116,26894,log0,599,388,229,0,566,404,262,0
117,23655,log1,599,336,276,0,566,350,289,0
118,26954,log0,600,389,230,0,567,405,263,0
119,23715,log1,600,337,277,0,567,351,290,0
120,23775,log1,601,338,278,0,568,352,291,0
121,27014,log0,601,390,231,0,568,406,264,0
122,27074,log0,602,391,232,0,569,407,265,0
123,23835,log1,602,339,279,0,569,353,292,0
124,23895,log1,603,340,280,0,570,354,293,0
125,27134,log0,603,392,233,0,570,408,266,0
126,23955,log1,604,341,281,0,571,355,294,0
127,27194,log0,604,393,234,0,571,409,267,0
128,27254,log0,605,394,235,0,572,410,268,0
129,24015,log1,605,342,282,0,572,356,295,0
130,24075,log1,606,343,283,0,572,356,295,0
131,27314,log0,606,395,236,0,573,411,269,0
132,27374,log0,607,396,237,0,574,412,270,0
133,24135,log1,607,344,284,0,574,357,295,0
134,24195,log1,608,345,285,0,575,358,296,0
135,27434,log0,608,397,238,0,575,413,271,0
136,27494,log0,609,398,239,0,576,414,272,0
137,24255,log1,609,346,286,0,575,358,296,0
138,24315,log1,610,347,287,0,577,359,296,0
139,27554,log0,610,399,240,0,577,415,273,0
140,24375,log1,611,348,288,0,577,359,296,0
141,27614,log0,611,400,241,0,578,416,274,0
142,27674,log0,612,401,242,0,579,417,275,0
143,24435,log1,612,349,289,0,579,360,296,0
144,24495,log1,613,350,290,0,579,360,296,0
145,27734,log0,613,402,243,0,580,418,275,0
146,24555,log1,614,351,291,0,581,361,296,0
147,27794,log0,614,403,244,0,581,419,276,0
148,27854,log0,615,404,245,0,582,420,276,0
149,24615,log1,615,352,292,0,581,361,296,0
150,27914,log0,616,405,246,0,583,421,277,0
151,24675,log1,616,353,293,0,583,362,296,0
152,24735,log1,617,354,294,0,583,362,296,0
153,27974,log0,617,406,247,0,583,421,277,0
154,24795,log1,618,355,295,0,583,362,296,0
155,28034,log0,618,407,248,0,583,421,277,0
156,24855,log1,619,356,296,0,583,362,296,0
157,28094,log0,619,408,249,0,583,421,277,0
158,24915,log1,620,357,297,0,583,362,296,0
159,28154,log0,620,409,250,0,583,421,277,0
160,24975,log1,621,358,298,0,583,362,296,0
161,28214,log0,621,410,251,0,583,421,277,0
162,25035,log1,622,359,299,0,583,362,296,0
163,28274,log0,622,411,252,0,583,421,277,0
164,25095,log1,623,360,300,0,583,362,296,0
165,28334,log0,623,412,253,0,583,421,277,0
166,25155,log1,624,361,301,0,583,362,296,0
167,28394,log0,624,413,254,0,583,421,277,0
168,28454,log0,625,414,255,0,583,421,277,0
169,25215,log1,625,362,302,0,583,362,296,0
170,28514,log0,626,415,256,0,583,421,277,0
171,25275,log1,626,363,303,0,583,362,296,0
172,25335,log1,627,364,304,0,583,362,296,0
173,28574,log0,627,416,257,0,583,421,277,0
174,25395,log1,628,365,305,0,583,362,296,0
175,28634,log0,628,417,258,0,583,421,277,0
176,25455,log1,629,366,306,0,583,362,296,0
177,28694,log0,629,418,258,0,583,421,277,0
178,28754,log0,630,419,259,0,583,421,277,0
179,25515,log1,630,367,307,0,583,362,296,0
180,25575,log1,631,368,308,0,583,362,296,0
181,28814,log0,631,420,260,0,583,421,277,0
182,25635,log1,632,369,309,0,583,362,296,0
