,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,31939,log0,381,368,360,3,439,438,427,8
1,33521,log1,381,365,359,0,439,437,423,8
2,31999,log0,382,369,361,3,440,439,428,8
3,33581,log1,382,366,360,0,440,438,424,8
4,32059,log0,383,370,362,3,441,440,429,8
5,33641,log1,383,367,361,0,441,439,425,8
6,32119,log0,384,371,363,3,442,441,430,8
7,33701,log1,384,368,362,0,442,440,426,8
8,32179,log0,385,372,364,3,443,442,431,8
9,33761,log1,385,369,363,0,443,441,427,8
10,32239,log0,386,373,365,3,444,443,432,8
11,33821,log1,386,370,364,0,444,442,428,8
12,32299,log0,387,374,366,3,445,444,433,8
13,33881,log1,387,371,365,0,445,443,429,8
14,32359,log0,388,375,367,3,446,445,434,8
15,33941,log1,388,372,366,0,446,444,430,8
16,32419,log0,389,376,368,3,447,446,435,8
17,34001,log1,389,373,367,0,447,445,431,8
18,32479,log0,390,377,369,3,448,447,436,8
19,34061,log1,390,374,368,0,448,446,432,8
20,32539,log0,391,378,370,3,449,448,437,8
21,34121,log1,391,375,369,0,449,447,433,8
22,32599,log0,392,379,371,3,450,449,438,8
23,34181,log1,392,376,370,0,450,448,434,8
24,32659,log0,393,380,372,3,451,450,439,8
25,34241,log1,393,377,371,0,451,449,435,8
26,32719,log0,394,381,373,3,452,451,440,8
27,34301,log1,394,378,372,0,452,450,436,8
28,32779,log0,395,382,374,3,453,452,441,8
29,34361,log1,395,379,373,0,453,451,437,8
30,32839,log0,396,383,375,3,454,453,442,8
31,34421,log1,396,380,374,0,454,452,438,8
32,32899,log0,397,384,376,3,455,454,443,8
33,34481,log1,397,381,375,0,455,453,439,8
34,32959,log0,398,385,377,3,456,455,444,8
35,34541,log1,398,382,376,0,456,454,440,8
36,33019,log0,399,386,378,3,457,456,445,8
37,34601,log1,399,383,377,0,457,455,441,8
38,33079,log0,400,387,379,3,458,457,446,8
39,34661,log1,400,384,378,0,458,456,442,8
40,33139,log0,401,388,380,3,459,458,447,8
41,34721,log1,401,385,379,0,459,457,443,8
42,33199,log0,402,389,381,3,460,459,448,8
43,34781,log1,402,386,379,0,460,458,443,8
44,33259,log0,403,390,382,3,461,460,449,8
45,34841,log1,403,387,380,0,461,459,444,8
46,33319,log0,404,391,383,3,462,461,450,8
47,34901,log1,404,388,381,0,462,460,445,8
48,33379,log0,405,392,384,3,463,462,451,8
49,34961,log1,405,389,382,0,463,461,446,8
50,33439,log0,406,393,385,3,464,463,452,8
51,35021,log1,406,390,383,0,464,462,447,8
52,33499,log0,407,394,386,3,465,464,453,8
53,35081,log1,407,391,384,0,465,463,448,8
54,33559,log0,408,395,387,3,466,465,454,8
55,35141,log1,408,392,385,0,466,464,449,8
56,33619,log0,409,396,388,3,467,466,455,8
57,35201,log1,409,393,386,0,467,465,450,8
58,33679,log0,410,397,389,3,468,467,456,8
59,35261,log1,410,394,387,0,468,466,451,8
60,33739,log0,411,398,390,3,469,468,457,8
61,35321,log1,411,395,388,0,469,467,452,8
62,33799,log0,412,399,391,3,470,469,458,8
63,35381,log1,412,396,389,0,470,468,453,8
64,33859,log0,413,400,392,3,471,470,459,8
65,35441,log1,413,397,390,0,471,469,454,8
66,33919,log0,414,401,393,3,472,471,460,8
67,35501,log1,414,398,391,0,472,470,455,8
68,33979,log0,415,402,394,3,473,472,461,8
69,35561,log1,415,399,392,0,473,471,456,8
70,34039,log0,416,403,395,3,474,473,462,8
71,35621,log1,416,400,393,0,474,472,457,8
72,34099,log0,417,404,396,3,475,474,463,8
73,35681,log1,417,401,394,0,475,473,458,8
74,34159,log0,418,405,397,3,476,475,464,8
75,35741,log1,418,402,395,0,476,474,459,8
76,34219,log0,419,406,398,3,477,476,465,8
77,35801,log1,419,403,396,0,477,475,460,8
78,34279,log0,420,407,399,3,478,477,466,8
79,35861,log1,420,404,397,0,478,476,461,8
80,34339,log0,421,408,400,3,479,478,467,8
81,35921,log1,421,405,398,0,479,477,462,8
82,34399,log0,422,409,401,3,480,479,468,8
83,35981,log1,422,406,399,0,480,478,463,8
84,34459,log0,423,410,402,3,481,480,469,8
85,36041,log1,423,407,400,0,481,479,464,8
86,34519,log0,424,411,403,3,482,481,470,8
87,36101,log1,424,408,401,0,482,480,465,8
88,34579,log0,425,412,404,3,483,482,471,8
89,36161,log1,425,409,402,0,483,481,466,8
90,34639,log0,426,413,404,3,484,483,471,8
91,36221,log1,426,410,403,0,484,482,467,8
92,34699,log0,427,414,405,3,485,484,472,8
93,36281,log1,427,411,404,0,485,483,468,8
94,34759,log0,428,415,406,3,486,485,473,8
95,36341,log1,428,412,405,0,486,484,469,8
96,34819,log0,429,416,407,3,487,486,474,8
97,36401,log1,429,413,406,0,487,485,470,8
98,34879,log0,430,417,408,3,488,487,475,8
99,36461,log1,430,414,407,0,488,486,471,8
100,34939,log0,431,418,409,3,489,488,476,8
101,36521,log1,431,415,408,0,489,487,472,8
102,34999,log0,432,419,410,3,490,489,477,8
103,36581,log1,432,416,409,0,490,488,473,8
104,35059,log0,433,420,411,3,491,490,478,8
105,36641,log1,433,417,410,0,491,489,474,8
106,35119,log0,434,421,412,3,492,491,479,8
107,36701,log1,434,418,411,0,492,490,475,8
108,35179,log0,435,422,413,3,493,492,480,8
109,36761,log1,435,419,412,0,493,491,476,8
110,35239,log0,436,423,414,3,494,493,481,8
111,36821,log1,436,420,413,0,494,492,477,8
112,35299,log0,437,424,415,3,495,494,482,8
113,36881,log1,437,421,414,0,495,493,478,8
114,35359,log0,438,425,416,3,496,495,483,8
115,36941,log1,438,422,415,0,496,494,479,8
116,35419,log0,439,426,417,3,497,496,484,8
117,37001,log1,439,423,416,0,497,495,480,8
118,35479,log0,440,427,418,3,498,497,485,8
119,37061,log1,440,424,417,0,498,496,481,8
120,35539,log0,441,428,419,3,499,498,486,8
121,37121,log1,441,425,418,0,499,497,482,8
122,35599,log0,442,429,420,3,500,499,487,8
123,37181,log1,442,426,419,0,500,498,483,8
124,35659,log0,443,430,421,3,501,500,488,8
125,37241,log1,443,427,420,0,501,499,484,8
126,35719,log0,444,431,422,3,502,501,489,8
127,37301,log1,444,428,421,0,502,500,485,8
128,35779,log0,445,432,423,3,503,502,490,8
129,37361,log1,445,429,422,0,503,501,486,8
130,35839,log0,446,433,424,3,504,503,491,8
131,37421,log1,446,430,423,0,504,502,487,8
132,35899,log0,447,434,425,3,505,504,492,8
133,37481,log1,447,431,424,0,505,503,488,8
134,35959,log0,448,435,426,3,506,505,493,8
135,37541,log1,448,432,425,0,506,504,489,8
136,36019,log0,449,436,427,3,507,506,494,8
137,37601,log1,449,433,426,0,507,505,490,8
138,36079,log0,450,437,428,3,508,507,495,8
139,37661,log1,450,434,427,0,508,506,491,8
140,36139,log0,451,438,429,3,509,508,496,8
141,37721,log1,451,435,428,0,509,507,492,8
142,36199,log0,452,439,430,3,510,509,497,8
143,37781,log1,452,436,429,0,510,508,493,8
144,36259,log0,453,440,431,3,511,510,498,8
145,37841,log1,453,437,430,0,511,509,494,8
146,36319,log0,454,441,432,3,512,511,499,8
147,37901,log1,454,438,431,0,512,510,495,8
148,36379,log0,455,442,433,3,513,512,500,8
149,37961,log1,455,439,432,0,513,511,496,8
150,36439,log0,456,443,434,3,514,513,501,8
151,38021,log1,456,440,433,0,514,512,497,8
152,36499,log0,457,444,435,3,515,514,502,8
153,38081,log1,457,441,434,0,515,513,498,8
154,36559,log0,458,445,436,3,516,515,503,8
155,38141,log1,458,442,435,0,516,514,499,8
156,36619,log0,459,446,437,3,517,516,504,8
157,38201,log1,459,443,436,0,517,515,500,8
158,36679,log0,460,447,438,3,518,517,505,8
159,38261,log1,460,444,437,0,518,516,501,8
160,36739,log0,461,448,439,3,519,518,506,8
161,38321,log1,461,445,438,0,519,517,502,8
162,36799,log0,462,449,440,3,519,518,506,8
163,38381,log1,462,446,439,0,519,517,502,8
164,36859,log0,463,450,441,3,519,518,506,8
165,38441,log1,463,447,440,0,519,517,502,8
166,36919,log0,464,451,442,3,519,518,506,8
167,38501,log1,464,448,441,0,519,517,502,8
168,36979,log0,465,452,443,3,519,518,506,8
169,38561,log1,465,449,442,0,519,517,502,8
170,37039,log0,466,453,444,3,519,518,506,8
171,38621,log1,466,450,443,0,519,517,502,8
172,37099,log0,466,453,444,3,525,519,506,8
173,38681,log1,466,450,443,0,525,518,502,8
174,37159,log0,466,453,444,3,526,520,506,8
175,38741,log1,466,450,443,0,526,519,503,8
176,37219,log0,466,453,444,3,527,521,507,8
177,38801,log1,466,450,443,0,527,520,503,8
178,37279,log0,466,453,444,3,528,522,508,8
179,38861,log1,466,450,443,0,528,521,504,8
180,37339,log0,466,453,444,3,529,523,509,8
181,38921,log1,466,450,443,0,529,522,505,8
182,37399,log0,466,453,444,3,530,524,510,8
183,38981,log1,466,450,443,0,530,523,506,8
184,37459,log0,466,453,444,3,531,525,511,8
185,39041,log1,466,450,443,0,531,524,507,8
186,37519,log0,474,454,444,3,532,526,511,9
187,39101,log1,474,451,443,0,532,525,507,9
188,37579,log0,475,455,445,3,533,527,512,9
189,39161,log1,475,452,444,0,533,526,508,9
190,37639,log0,476,456,446,3,534,528,513,9
191,39221,log1,476,453,445,0,534,527,509,9
192,37699,log0,477,457,447,3,535,529,514,9
193,39281,log1,477,454,446,0,535,528,510,9
194,37759,log0,478,458,448,3,536,530,515,9
195,39341,log1,478,455,447,0,536,529,511,9
196,37819,log0,479,459,449,3,537,531,516,9
197,39401,log1,479,456,448,0,537,530,512,9
198,37879,log0,480,460,450,3,538,532,517,9
199,39461,log1,480,457,449,0,538,531,513,9
200,37939,log0,481,461,451,3,539,533,518,9
201,39521,log1,481,458,450,0,539,532,514,9
202,37999,log0,482,462,452,3,540,534,519,9
203,39581,log1,482,459,451,0,540,533,515,9
204,38059,log0,483,463,453,3,541,535,520,9
205,39641,log1,483,460,452,0,541,534,516,9
206,38119,log0,484,464,454,3,542,536,521,9
207,39701,log1,484,461,453,0,542,535,517,9
208,38179,log0,485,465,455,3,543,537,522,9
209,39761,log1,485,462,454,0,543,536,518,9
210,38239,log0,486,466,456,3,544,538,523,9
