,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,28598,log0,481,198,45,142,437,199,41,135
1,31792,log1,481,237,53,178,437,227,45,156
2,28658,log0,481,198,45,142,437,199,41,135
3,31852,log1,484,238,53,179,437,227,45,156
4,28718,log0,485,199,45,143,441,200,41,136
5,31912,log1,485,239,53,180,441,228,45,157
6,28778,log0,485,199,45,143,441,200,41,136
7,31972,log1,485,239,53,180,441,228,45,157
8,28838,log0,486,200,45,144,442,201,42,136
9,32032,log1,486,240,53,181,442,229,45,158
10,28898,log0,487,201,46,144,443,202,42,137
11,32092,log1,487,241,54,181,442,229,45,158
12,28958,log0,488,202,46,145,443,202,42,137
13,32152,log1,488,242,54,182,442,229,45,158
14,29018,log0,488,202,46,145,443,202,42,137
15,32212,log1,489,243,54,183,442,229,45,158
16,29078,log0,489,203,46,146,443,202,42,137
17,32272,log1,489,243,54,183,445,230,45,159
18,29138,log0,489,203,46,146,443,202,42,137
19,32332,log1,490,244,54,184,446,231,45,160
20,29198,log0,491,204,47,146,443,202,42,137
21,32392,log1,491,245,55,184,446,231,45,160
22,29258,log0,491,204,47,146,447,203,42,138
23,32452,log1,492,246,55,185,447,232,46,160
24,29318,log0,492,205,47,147,447,203,42,138
25,32512,log1,492,246,55,185,447,232,46,160
26,29378,log0,493,206,47,148,447,203,42,138
27,32572,log1,493,247,55,186,447,232,46,160
28,29438,log0,494,207,47,149,449,204,42,139
29,32632,log1,494,248,55,187,449,233,46,161
30,29498,log0,494,207,47,149,450,205,43,139
31,32692,log1,494,248,55,187,450,234,46,162
32,29558,log0,494,207,47,149,450,205,43,139
33,32752,log1,494,248,55,187,450,234,46,162
34,29618,log0,496,208,47,150,451,206,43,140
35,32812,log1,496,249,55,188,451,235,47,162
36,29678,log0,497,209,47,151,452,207,43,141
37,32872,log1,497,250,55,189,452,236,47,163
38,29738,log0,498,210,47,152,452,207,43,141
39,32932,log1,498,251,55,190,452,236,47,163
