,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,30033,log1,558,243,73,165,531,249,87,148
1,35710,log0,558,314,100,196,531,311,85,207
2,30093,log1,558,243,73,165,531,249,87,148
3,35770,log0,558,314,100,196,531,311,85,207
4,30153,log1,558,243,73,165,532,250,87,149
5,35830,log0,558,314,100,196,532,312,85,208
6,30213,log1,560,244,73,166,533,251,88,149
7,35890,log0,558,314,100,196,532,312,85,208
8,30273,log1,560,244,73,166,533,251,88,149
9,35950,log0,558,314,100,196,532,312,85,208
10,30333,log1,562,245,73,167,535,252,88,150
11,36010,log0,562,315,100,196,535,313,85,209
12,30393,log1,562,245,73,167,536,253,89,150
13,36070,log0,562,315,100,196,536,314,85,210
14,30453,log1,563,246,73,168,536,253,89,150
15,36130,log0,562,315,100,196,536,314,85,210
16,30513,log1,564,247,74,168,536,253,89,150
17,36190,log0,564,316,100,197,536,314,85,210
18,30573,log1,565,248,74,169,536,253,89,150
19,36250,log0,565,317,100,198,536,314,85,210
20,30633,log1,565,248,74,169,538,254,89,151
21,36310,log0,565,317,100,198,538,315,86,210
22,30693,log1,565,248,74,169,539,255,90,151
23,36370,log0,565,317,100,198,539,316,86,211
24,30753,log1,567,249,74,170,540,256,90,152
25,36430,log0,567,318,100,199,540,317,86,212
26,30813,log1,568,250,74,171,540,256,90,152
27,36490,log0,568,319,100,200,540,317,86,212
28,30873,log1,568,250,74,171,542,257,91,152
29,36550,log0,568,319,100,200,542,318,87,212
30,30933,log1,569,251,74,172,542,257,91,152
31,36610,log0,569,320,100,201,542,318,87,212
32,30993,log1,570,252,75,172,543,258,91,153
33,36670,log0,570,321,101,201,543,319,87,213
34,31053,log1,571,253,75,173,544,259,91,154
35,36730,log0,571,322,101,202,543,319,87,213
36,31113,log1,572,254,75,174,544,259,91,154
37,36790,log0,572,323,101,203,543,319,87,213
38,31173,log1,572,254,75,174,544,259,91,154
39,36850,log0,572,323,101,203,543,319,87,213
40,31233,log1,573,255,76,174,546,260,91,155
41,36910,log0,573,324,101,204,546,320,88,213
42,31293,log1,574,256,76,175,546,260,91,155
43,36970,log0,574,325,102,204,546,320,88,213
44,31353,log1,574,256,76,175,547,261,91,156
45,37030,log0,574,325,102,204,546,320,88,213
46,31413,log1,575,257,76,176,548,262,91,157
47,37090,log0,575,326,102,205,548,321,88,213
48,31473,log1,576,258,76,177,549,263,91,158
49,37150,log0,576,327,102,206,549,322,88,214
50,31533,log1,576,258,76,177,549,263,91,158
