,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,16034,log0,425,162,86,73,389,160,85,71
1,11876,log1,425,110,57,50,389,110,57,51
2,16094,log0,426,163,86,74,390,161,85,72
3,11936,log1,426,111,57,51,389,110,57,51
4,16154,log0,426,163,86,74,391,162,86,72
5,11996,log1,426,111,57,51,391,111,58,51
6,16214,log0,426,163,86,74,391,162,86,72
7,12056,log1,426,111,57,51,392,112,58,52
8,16274,log0,426,163,86,74,391,162,86,72
9,12116,log1,428,112,57,52,392,112,58,52
10,16334,log0,429,164,87,74,393,163,87,72
11,12176,log1,429,113,58,52,393,113,59,52
12,16394,log0,430,165,87,75,393,163,87,72
13,12236,log1,430,114,58,53,394,114,59,53
14,16454,log0,431,166,88,75,393,163,87,72
15,12296,log1,431,115,59,53,394,114,59,53
16,16514,log0,432,167,88,76,395,164,88,72
17,12356,log1,432,116,59,54,395,115,60,53
18,16574,log0,432,167,88,76,396,165,88,73
19,12416,log1,432,116,59,54,396,116,60,54
20,16634,log0,433,168,89,76,397,166,89,73
21,12476,log1,433,117,60,54,397,117,61,54
22,16694,log0,434,169,89,77,398,167,89,74
23,12536,log1,434,118,61,54,398,118,61,55
24,16754,log0,434,169,89,77,399,168,90,74
25,12596,log1,434,118,61,54,399,119,62,55
26,16814,log0,435,170,90,77,400,169,90,75
27,12656,log1,435,119,62,54,400,120,62,56
28,16874,log0,436,171,91,77,400,169,90,75
29,12716,log1,436,120,62,55,400,120,62,56
30,16934,log0,436,171,91,77,401,170,91,75
31,12776,log1,436,120,62,55,400,120,62,56
32,16994,log0,437,172,91,78,402,171,92,75
33,12836,log1,437,121,63,55,402,121,63,56
34,17054,log0,438,173,91,79,403,172,92,76
35,12896,log1,438,122,63,56,403,122,63,57
36,17114,log0,439,174,92,79,404,173,93,76
37,12956,log1,439,123,64,56,404,123,64,57
38,17174,log0,439,174,92,79,404,173,93,76
39,13016,log1,439,123,64,56,404,123,64,57
40,17234,log0,440,175,92,80,405,174,93,77
41,13076,log1,440,124,65,56,405,124,65,57
42,17294,log0,441,176,92,81,406,175,94,77
43,13136,log1,441,125,65,57,406,125,65,58
44,17354,log0,442,177,93,81,406,175,94,77
45,13196,log1,442,126,66,57,406,125,65,58
46,17414,log0,442,177,93,81,407,176,95,77
47,13256,log1,442,126,66,57,407,126,66,58
48,17474,log0,443,178,93,82,408,177,95,77
49,13316,log1,443,127,66,58,408,127,67,58
50,17534,log0,444,179,93,82,408,177,95,77
51,13376,log1,444,128,67,58,408,127,67,58
52,17594,log0,445,180,93,83,409,178,95,78
53,13436,log1,445,129,68,58,409,128,68,58
54,17654,log0,446,181,93,84,410,179,95,79
55,13496,log1,446,130,68,59,410,129,68,59
56,17714,log0,447,182,94,84,411,180,96,79
57,13556,log1,447,131,69,59,411,130,69,59
58,17774,log0,447,182,94,84,412,181,97,79
59,13616,log1,447,131,69,59,412,131,69,60
60,17834,log0,448,183,95,84,413,182,97,80
61,13676,log1,448,132,69,60,413,132,69,61
62,17894,log0,449,184,96,84,413,182,97,80
63,13736,log1,449,133,70,60,413,132,69,61
64,17954,log0,450,185,96,85,414,183,98,80
65,13796,log1,450,134,70,61,414,133,70,61
66,18014,log0,451,186,97,85,415,184,98,81
67,13856,log1,451,135,71,61,415,134,70,62
68,18074,log0,451,186,97,85,416,185,99,81
69,13916,log1,451,135,71,61,416,135,71,62
70,18134,log0,452,187,97,86,416,185,99,81
71,13976,log1,452,136,71,62,417,136,71,63
72,18194,log0,453,188,98,86,416,185,99,81
73,14036,log1,453,137,72,62,417,136,71,63
74,18254,log0,454,189,98,87,416,185,99,81
75,14096,log1,454,138,72,63,418,137,72,63
76,18314,log0,454,189,98,87,419,186,99,82
77,14156,log1,454,138,72,63,418,137,72,63
78,18374,log0,455,190,99,87,420,187,100,82
79,14216,log1,455,139,73,63,420,138,73,63
80,18434,log0,456,191,99,88,421,188,100,83
81,14276,log1,456,140,73,64,421,139,73,64
82,18494,log0,457,192,100,88,422,189,101,83
83,14336,log1,457,141,74,64,422,140,73,65
84,18554,log0,458,193,100,89,422,189,101,83
85,14396,log1,458,142,74,65,422,140,73,65
86,18614,log0,459,194,100,90,423,190,101,84
87,14456,log1,459,143,75,65,423,141,74,65
88,18674,log0,460,195,100,91,424,191,102,84
89,14516,log1,460,144,75,66,424,142,75,65
90,18734,log0,461,196,101,91,424,191,102,84
91,14576,log1,461,145,76,66,424,142,75,65
92,18794,log0,461,196,101,91,425,192,103,84
93,14636,log1,461,145,76,66,425,143,76,65
94,18854,log0,462,197,101,92,425,192,103,84
95,14696,log1,462,146,76,67,426,144,77,65
96,18914,log0,463,198,102,92,425,192,103,84
97,14756,log1,463,147,77,67,426,144,77,65
98,18974,log0,463,198,102,92,427,193,104,84
99,14816,log1,463,147,77,67,427,145,78,65
100,19034,log0,464,199,102,93,428,194,104,85
101,14876,log1,464,148,77,68,428,146,78,66
102,19094,log0,465,200,103,93,429,195,105,85
103,14936,log1,465,149,78,68,429,147,79,66
104,19154,log0,465,200,103,93,430,196,105,86
105,14996,log1,465,149,78,68,430,148,79,67
106,19214,log0,466,201,104,93,430,196,105,86
107,15056,log1,466,150,79,68,431,149,80,67
108,19274,log0,466,201,104,93,431,197,106,86
109,15116,log1,466,150,79,68,432,150,80,68
110,19334,log0,468,202,105,93,432,198,106,87
111,15176,log1,468,151,80,68,432,150,80,68
112,19394,log0,469,203,105,94,433,199,107,87
113,15236,log1,469,152,81,68,433,151,81,68
114,19454,log0,470,204,105,95,434,200,107,88
115,15296,log1,470,153,81,69,434,152,81,69
116,19514,log0,470,204,105,95,435,201,108,88
117,15356,log1,470,153,81,69,435,153,82,69
118,19574,log0,471,205,106,95,435,201,108,88
119,15416,log1,471,154,82,69,435,153,82,69
120,19634,log0,472,206,106,96,436,202,109,88
121,15476,log1,472,155,82,70,436,154,83,69
122,19694,log0,473,207,107,96,437,203,109,89
123,15536,log1,473,156,83,70,437,155,83,70
124,19754,log0,474,208,107,97,437,203,109,89
125,15596,log1,474,157,83,71,437,155,83,70
126,19814,log0,474,208,107,97,438,204,110,89
127,15656,log1,474,157,83,71,438,156,84,70
128,19874,log0,475,209,108,97,439,205,110,90
129,15716,log1,475,158,84,71,439,157,84,71
130,19934,log0,476,210,108,98,439,205,110,90
131,15776,log1,476,159,84,72,439,157,84,71
132,19994,log0,477,211,108,99,440,206,111,90
133,15836,log1,477,160,84,73,440,158,85,71
134,20054,log0,478,212,109,99,441,207,112,90
135,15896,log1,478,161,85,73,441,159,86,71
136,20114,log0,479,213,109,100,442,208,112,91
137,15956,log1,479,162,85,74,442,160,86,72
138,20174,log0,479,213,109,100,442,208,112,91
139,16016,log1,479,162,85,74,443,161,87,72
140,20234,log0,480,214,110,100,443,209,113,91
