,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq0,Statistic.recvNum0,Statistic.compute1num0,Statistic.compute2num0
0,14272,log1,0,0,0,0,128,127,125,0
1,11488,log0,168,127,125,0,0,0,0,0
2,14302,log1,0,0,0,0,128,127,125,0
3,11518,log0,168,127,125,0,0,0,0,0
4,14332,log1,0,0,0,0,129,128,126,0
5,11548,log0,168,127,125,0,0,0,0,0
6,14362,log1,0,0,0,0,129,128,126,0
7,11578,log0,169,128,126,0,0,0,0,0
8,14392,log1,0,0,0,0,130,129,127,0
9,11608,log0,169,128,126,0,0,0,0,0
10,14422,log1,0,0,0,0,130,129,127,0
11,11638,log0,170,129,127,0,0,0,0,0
12,14452,log1,0,0,0,0,130,129,127,0
13,11668,log0,170,129,127,0,0,0,0,0
14,14482,log1,0,0,0,0,131,130,128,0
15,11698,log0,171,130,128,0,0,0,0,0
16,14512,log1,0,0,0,0,131,130,128,0
17,11728,log0,171,130,128,0,0,0,0,0
18,14542,log1,0,0,0,0,132,131,129,0
19,11758,log0,171,130,128,0,0,0,0,0
20,14572,log1,0,0,0,0,132,131,129,0
21,11788,log0,172,131,129,0,0,0,0,0
22,14602,log1,0,0,0,0,133,132,130,0
23,11818,log0,172,131,129,0,0,0,0,0
24,14632,log1,0,0,0,0,133,132,130,0
25,11848,log0,173,132,130,0,0,0,0,0
26,14662,log1,0,0,0,0,133,132,130,0
27,11878,log0,173,132,130,0,0,0,0,0
28,14692,log1,0,0,0,0,134,133,131,0
29,11908,log0,174,133,131,0,0,0,0,0
30,14722,log1,0,0,0,0,134,133,131,0
31,11938,log0,174,133,131,0,0,0,0,0
32,14752,log1,0,0,0,0,135,134,132,0
33,11968,log0,174,133,131,0,0,0,0,0
34,14782,log1,0,0,0,0,135,134,132,0
35,11998,log0,175,134,132,0,0,0,0,0
36,14812,log1,0,0,0,0,136,135,133,0
37,12028,log0,175,134,132,0,0,0,0,0
38,14842,log1,0,0,0,0,136,135,133,0
39,12058,log0,176,135,133,0,0,0,0,0
40,14872,log1,0,0,0,0,136,135,133,0
41,12088,log0,176,135,133,0,0,0,0,0
42,14902,log1,0,0,0,0,137,136,134,0
43,12118,log0,177,136,134,0,0,0,0,0
44,14932,log1,0,0,0,0,137,136,134,0
45,12148,log0,177,136,134,0,0,0,0,0
46,14962,log1,0,0,0,0,138,137,135,0
47,12178,log0,177,136,134,0,0,0,0,0
48,14992,log1,0,0,0,0,138,137,135,0
49,12208,log0,178,137,135,0,0,0,0,0
50,15022,log1,0,0,0,0,139,138,136,0
51,12238,log0,178,137,135,0,0,0,0,0
52,15052,log1,0,0,0,0,139,138,136,0
53,12268,log0,179,138,136,0,0,0,0,0
54,15082,log1,0,0,0,0,139,138,136,0
55,12298,log0,179,138,136,0,0,0,0,0
56,15112,log1,0,0,0,0,140,139,137,0
57,12328,log0,180,139,137,0,0,0,0,0
58,15142,log1,0,0,0,0,140,139,137,0
59,12358,log0,180,139,137,0,0,0,0,0
60,15172,log1,0,0,0,0,141,140,138,0
61,12388,log0,180,139,137,0,0,0,0,0
62,15202,log1,0,0,0,0,141,140,138,0
63,12418,log0,181,140,138,0,0,0,0,0
64,15232,log1,0,0,0,0,142,141,139,0
65,12448,log0,181,140,138,0,0,0,0,0
66,15262,log1,0,0,0,0,142,141,139,0
67,12478,log0,182,141,139,0,0,0,0,0
68,15292,log1,0,0,0,0,142,141,139,0
69,12508,log0,182,141,139,0,0,0,0,0
70,15322,log1,0,0,0,0,143,142,140,0
71,12538,log0,183,142,140,0,0,0,0,0
72,15352,log1,0,0,0,0,143,142,140,0
73,12568,log0,183,142,140,0,0,0,0,0
74,15382,log1,0,0,0,0,144,143,141,0
75,12598,log0,183,142,140,0,0,0,0,0
76,15412,log1,0,0,0,0,144,143,141,0
77,12628,log0,184,143,141,0,0,0,0,0
78,15442,log1,0,0,0,0,145,144,142,0
79,12658,log0,184,143,141,0,0,0,0,0
80,15472,log1,0,0,0,0,145,144,142,0
81,12688,log0,185,144,142,0,0,0,0,0
82,15502,log1,0,0,0,0,145,144,142,0
83,12718,log0,185,144,142,0,0,0,0,0
84,15532,log1,0,0,0,0,146,145,143,0
85,12748,log0,186,145,143,0,0,0,0,0
86,15562,log1,0,0,0,0,146,145,143,0
87,12778,log0,186,145,143,0,0,0,0,0
88,15592,log1,0,0,0,0,147,146,144,0
89,12808,log0,186,145,143,0,0,0,0,0
90,15622,log1,0,0,0,0,147,146,144,0
91,12838,log0,187,146,144,0,0,0,0,0
92,15652,log1,0,0,0,0,148,147,145,0
93,12868,log0,187,146,144,0,0,0,0,0
94,15682,log1,0,0,0,0,148,147,145,0
95,12898,log0,188,147,145,0,0,0,0,0
96,15712,log1,0,0,0,0,148,147,145,0
97,12928,log0,188,147,145,0,0,0,0,0
98,15742,log1,0,0,0,0,149,148,146,0
99,12958,log0,189,148,146,0,0,0,0,0
100,15772,log1,0,0,0,0,149,148,146,0
101,12988,log0,189,148,146,0,0,0,0,0
102,15802,log1,0,0,0,0,150,149,147,0
103,13018,log0,189,148,146,0,0,0,0,0
104,15832,log1,0,0,0,0,150,149,147,0
105,13048,log0,190,149,147,0,0,0,0,0
106,15862,log1,0,0,0,0,151,150,148,0
107,13078,log0,190,149,147,0,0,0,0,0
108,15892,log1,0,0,0,0,151,150,148,0
109,13108,log0,191,150,148,0,0,0,0,0
110,15922,log1,0,0,0,0,151,150,148,0
111,13138,log0,191,150,148,0,0,0,0,0
112,15952,log1,0,0,0,0,152,151,149,0
113,13168,log0,192,151,149,0,0,0,0,0
114,15982,log1,0,0,0,0,152,151,149,0
115,13198,log0,192,151,149,0,0,0,0,0
116,16012,log1,0,0,0,0,153,152,150,0
117,13228,log0,192,151,149,0,0,0,0,0
118,13258,log0,193,152,150,0,0,0,0,0
119,16042,log1,0,0,0,0,153,152,150,0
120,16072,log1,0,0,0,0,154,153,151,0
121,13288,log0,193,152,150,0,0,0,0,0
122,16102,log1,0,0,0,0,154,153,151,0
123,13318,log0,194,153,151,0,0,0,0,0
124,16132,log1,0,0,0,0,154,153,151,0
125,13348,log0,194,153,151,0,0,0,0,0
126,16162,log1,0,0,0,0,155,154,152,0
127,13378,log0,195,154,152,0,0,0,0,0
128,16192,log1,0,0,0,0,155,154,152,0
129,13408,log0,195,154,152,0,0,0,0,0
130,16222,log1,0,0,0,0,156,155,153,0
131,13438,log0,195,154,152,0,0,0,0,0
132,16252,log1,0,0,0,0,156,155,153,0
133,13468,log0,196,155,153,0,0,0,0,0
134,16282,log1,0,0,0,0,157,156,154,0
135,13498,log0,196,155,153,0,0,0,0,0
136,16312,log1,0,0,0,0,157,156,154,0
137,13528,log0,197,156,154,0,0,0,0,0
138,16342,log1,0,0,0,0,157,156,154,0
139,13558,log0,197,156,154,0,0,0,0,0
140,16372,log1,0,0,0,0,158,157,155,0
141,13588,log0,198,157,155,0,0,0,0,0
142,16402,log1,0,0,0,0,158,157,155,0
143,13618,log0,198,157,155,0,0,0,0,0
144,16432,log1,0,0,0,0,159,158,156,0
145,13648,log0,198,157,155,0,0,0,0,0
146,16462,log1,0,0,0,0,159,158,156,0
147,13678,log0,199,158,156,0,0,0,0,0
148,16492,log1,0,0,0,0,160,159,157,0
149,13708,log0,199,158,156,0,0,0,0,0
150,16522,log1,0,0,0,0,160,159,157,0
151,13738,log0,200,159,157,0,0,0,0,0
152,16552,log1,0,0,0,0,160,159,157,0
153,13768,log0,200,159,157,0,0,0,0,0
154,16582,log1,0,0,0,0,161,160,158,0
155,13798,log0,201,160,158,0,0,0,0,0
156,16612,log1,0,0,0,0,161,160,158,0
157,13828,log0,201,160,158,0,0,0,0,0
158,16642,log1,0,0,0,0,162,161,159,0
159,13858,log0,201,160,158,0,0,0,0,0
160,16672,log1,0,0,0,0,162,161,159,0
161,13888,log0,202,161,159,0,0,0,0,0
162,16702,log1,0,0,0,0,163,162,160,0
163,13918,log0,202,161,159,0,0,0,0,0
164,16732,log1,0,0,0,0,163,162,160,0
165,13948,log0,203,162,160,0,0,0,0,0
166,16762,log1,0,0,0,0,163,162,160,0
167,13978,log0,203,162,160,0,0,0,0,0
168,16792,log1,0,0,0,0,164,163,161,0
169,14008,log0,204,163,161,0,0,0,0,0
170,16822,log1,0,0,0,0,164,163,161,0
171,14038,log0,204,163,161,0,0,0,0,0
172,16852,log1,0,0,0,0,165,164,162,0
173,14068,log0,204,163,161,0,0,0,0,0
174,16882,log1,0,0,0,0,165,164,162,0
175,14098,log0,205,164,162,0,0,0,0,0
176,16912,log1,0,0,0,0,166,165,163,0
177,14128,log0,205,164,162,0,0,0,0,0
178,16942,log1,0,0,0,0,166,165,163,0
179,14158,log0,206,165,163,0,0,0,0,0
180,16972,log1,0,0,0,0,166,165,163,0
181,14188,log0,206,165,163,0,0,0,0,0
182,17002,log1,0,0,0,0,167,166,164,0
183,14218,log0,207,166,164,0,0,0,0,0
184,17032,log1,0,0,0,0,167,166,164,0
185,14248,log0,207,166,164,0,0,0,0,0
186,17062,log1,0,0,0,0,168,167,165,0
187,14278,log0,207,166,164,0,0,0,0,0
188,17092,log1,0,0,0,0,168,167,165,0
189,14308,log0,208,167,165,0,0,0,0,0
190,17122,log1,0,0,0,0,169,168,166,0
191,14338,log0,208,167,165,0,0,0,0,0
192,17152,log1,0,0,0,0,169,168,166,0
193,14368,log0,209,168,166,0,0,0,0,0
194,17182,log1,0,0,0,0,169,168,166,0
195,14398,log0,209,168,166,0,0,0,0,0
196,17212,log1,0,0,0,0,170,169,167,0
197,14428,log0,210,169,167,0,0,0,0,0
198,17242,log1,0,0,0,0,170,169,167,0
199,14458,log0,210,169,167,0,0,0,0,0
200,17272,log1,0,0,0,0,171,170,168,0
201,14488,log0,210,169,167,0,0,0,0,0
202,17302,log1,0,0,0,0,171,170,168,0
203,14518,log0,211,170,168,0,0,0,0,0
204,17332,log1,0,0,0,0,172,171,169,0
205,14548,log0,211,170,168,0,0,0,0,0
206,17362,log1,0,0,0,0,172,171,169,0
207,14578,log0,212,171,169,0,0,0,0,0
208,17392,log1,0,0,0,0,172,171,169,0
209,14608,log0,212,171,169,0,0,0,0,0
210,17422,log1,0,0,0,0,173,172,170,0
211,14638,log0,213,172,170,0,0,0,0,0
212,17452,log1,0,0,0,0,173,172,170,0
213,14668,log0,213,172,170,0,0,0,0,0
214,17482,log1,0,0,0,0,174,173,171,0
215,14698,log0,213,172,170,0,0,0,0,0
216,17512,log1,0,0,0,0,174,173,171,0
217,14728,log0,214,173,171,0,0,0,0,0
218,17542,log1,0,0,0,0,175,174,171,0
219,14758,log0,214,173,171,0,0,0,0,0
220,17572,log1,0,0,0,0,175,174,171,0
221,14788,log0,215,174,172,0,0,0,0,0
222,17602,log1,0,0,0,0,175,174,171,0
223,14818,log0,215,174,172,0,0,0,0,0
224,17632,log1,0,0,0,0,176,175,172,0
225,14848,log0,216,175,173,0,0,0,0,0
226,17662,log1,0,0,0,0,176,175,172,0
227,14878,log0,216,175,173,0,0,0,0,0
228,17692,log1,0,0,0,0,177,176,173,0
229,14908,log0,216,175,173,0,0,0,0,0
230,17722,log1,0,0,0,0,177,176,173,0
231,14938,log0,217,176,174,0,0,0,0,0
232,17752,log1,0,0,0,0,178,177,174,0
233,14968,log0,217,176,174,0,0,0,0,0
234,17782,log1,0,0,0,0,178,177,174,0
235,14998,log0,218,177,175,0,0,0,0,0
236,17812,log1,0,0,0,0,178,177,174,0
237,15028,log0,218,177,175,0,0,0,0,0
238,17842,log1,0,0,0,0,179,178,175,0
239,15058,log0,219,178,176,0,0,0,0,0
240,17872,log1,0,0,0,0,179,178,175,0
241,15088,log0,219,178,176,0,0,0,0,0
242,17902,log1,0,0,0,0,180,179,176,0
243,15118,log0,219,178,176,0,0,0,0,0
244,17932,log1,0,0,0,0,180,179,176,0
245,15148,log0,220,179,177,0,0,0,0,0
246,17962,log1,0,0,0,0,181,180,177,0
247,15178,log0,220,179,177,0,0,0,0,0
248,17992,log1,0,0,0,0,181,180,177,0
249,15208,log0,221,180,178,0,0,0,0,0
250,18022,log1,0,0,0,0,181,180,177,0
251,15238,log0,221,180,178,0,0,0,0,0
252,18052,log1,0,0,0,0,182,181,178,0
253,15268,log0,222,181,179,0,0,0,0,0
254,18082,log1,0,0,0,0,182,181,178,0
255,15298,log0,222,181,179,0,0,0,0,0
256,18112,log1,0,0,0,0,183,182,179,0
257,15328,log0,222,181,179,0,0,0,0,0
258,18142,log1,0,0,0,0,183,182,179,0
259,15358,log0,223,182,180,0,0,0,0,0
260,18172,log1,0,0,0,0,184,183,180,0
261,15388,log0,223,182,180,0,0,0,0,0
262,18202,log1,0,0,0,0,184,183,180,0
263,15418,log0,224,183,181,0,0,0,0,0
264,18232,log1,0,0,0,0,184,183,180,0
265,15448,log0,224,183,181,0,0,0,0,0
266,18262,log1,0,0,0,0,185,184,181,0
267,15478,log0,225,184,182,0,0,0,0,0
268,18292,log1,0,0,0,0,185,184,181,0
269,15508,log0,225,184,182,0,0,0,0,0
270,18322,log1,0,0,0,0,186,185,182,0
271,15538,log0,225,184,182,0,0,0,0,0
272,18352,log1,0,0,0,0,186,185,182,0
273,15568,log0,226,185,183,0,0,0,0,0
274,15598,log0,226,185,183,0,0,0,0,0
275,18382,log1,0,0,0,0,187,186,183,0
276,18412,log1,0,0,0,0,187,186,183,0
277,15628,log0,227,186,184,0,0,0,0,0
278,18442,log1,0,0,0,0,187,186,183,0
279,15658,log0,227,186,184,0,0,0,0,0
280,18472,log1,0,0,0,0,188,187,184,0
281,15688,log0,228,187,185,0,0,0,0,0
282,18502,log1,0,0,0,0,188,187,184,0
283,15718,log0,228,187,185,0,0,0,0,0
284,18532,log1,0,0,0,0,189,188,185,0
285,15748,log0,228,187,185,0,0,0,0,0
286,18562,log1,0,0,0,0,189,188,185,0
287,15778,log0,229,188,186,0,0,0,0,0
288,18592,log1,0,0,0,0,190,189,186,0
289,15808,log0,229,188,186,0,0,0,0,0
290,15838,log0,230,189,187,0,0,0,0,0
291,18622,log1,0,0,0,0,190,189,186,0
292,18652,log1,0,0,0,0,190,189,186,0
293,15868,log0,230,189,187,0,0,0,0,0
294,18682,log1,0,0,0,0,191,190,187,0
295,15898,log0,231,190,188,0,0,0,0,0
296,18712,log1,0,0,0,0,191,190,187,0
297,15928,log0,231,190,188,0,0,0,0,0
298,18742,log1,0,0,0,0,192,191,188,0
299,15958,log0,231,190,188,0,0,0,0,0
300,18772,log1,0,0,0,0,192,191,188,0
301,15988,log0,232,191,189,0,0,0,0,0
302,18802,log1,0,0,0,0,193,192,189,0
303,16018,log0,232,191,189,0,0,0,0,0
304,18832,log1,0,0,0,0,193,192,189,0
