,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
0,44813,log1,253,252,249,0,0,0,0,0
1,17720,log0,0,0,0,0,704,251,248,0
2,17750,log0,0,0,0,0,705,252,249,0
3,44843,log1,253,252,249,0,0,0,0,0
4,17780,log0,0,0,0,0,705,252,249,0
5,44873,log1,254,253,250,0,0,0,0,0
6,44903,log1,254,253,250,0,0,0,0,0
7,17810,log0,0,0,0,0,706,253,250,0
8,17840,log0,0,0,0,0,706,253,250,0
9,44933,log1,255,254,251,0,0,0,0,0
10,17870,log0,0,0,0,0,707,254,251,0
11,44963,log1,255,254,251,0,0,0,0,0
12,17900,log0,0,0,0,0,707,254,251,0
13,44993,log1,256,255,252,0,0,0,0,0
14,45023,log1,256,255,252,0,0,0,0,0
15,17930,log0,0,0,0,0,708,255,252,0
16,17960,log0,0,0,0,0,708,255,252,0
17,45053,log1,257,256,253,0,0,0,0,0
18,17990,log0,0,0,0,0,709,256,253,0
19,45083,log1,257,256,253,0,0,0,0,0
20,18020,log0,0,0,0,0,709,256,253,0
21,45113,log1,258,257,254,0,0,0,0,0
22,18050,log0,0,0,0,0,710,257,254,0
23,45143,log1,258,257,254,0,0,0,0,0
24,18080,log0,0,0,0,0,710,257,254,0
25,45173,log1,259,258,255,0,0,0,0,0
26,45203,log1,259,258,255,0,0,0,0,0
27,18110,log0,0,0,0,0,711,258,255,0
28,18140,log0,0,0,0,0,711,258,255,0
29,45233,log1,260,259,256,0,0,0,0,0
30,18170,log0,0,0,0,0,712,259,256,0
31,45263,log1,260,259,256,0,0,0,0,0
32,45293,log1,261,260,257,0,0,0,0,0
33,18200,log0,0,0,0,0,712,259,256,0
34,18230,log0,0,0,0,0,713,260,257,0
35,45323,log1,261,260,257,0,0,0,0,0
36,18260,log0,0,0,0,0,713,260,257,0
37,45353,log1,262,261,258,0,0,0,0,0
38,18290,log0,0,0,0,0,714,261,258,0
39,45383,log1,262,261,258,0,0,0,0,0
40,45413,log1,263,262,259,0,0,0,0,0
41,18320,log0,0,0,0,0,714,261,258,0
42,18350,log0,0,0,0,0,715,262,259,0
43,45443,log1,263,262,259,0,0,0,0,0
44,45473,log1,264,263,260,0,0,0,0,0
45,18380,log0,0,0,0,0,715,262,259,0
46,18410,log0,0,0,0,0,716,263,260,0
47,45503,log1,264,263,260,0,0,0,0,0
48,18440,log0,0,0,0,0,716,263,260,0
49,45533,log1,265,264,261,0,0,0,0,0
50,18470,log0,0,0,0,0,717,264,261,0
51,45563,log1,265,264,261,0,0,0,0,0
52,45593,log1,266,265,262,0,0,0,0,0
53,18500,log0,0,0,0,0,717,264,261,0
54,18530,log0,0,0,0,0,718,265,262,0
55,45623,log1,266,265,262,0,0,0,0,0
56,18560,log0,0,0,0,0,718,265,262,0
57,45653,log1,267,266,263,0,0,0,0,0
58,18590,log0,0,0,0,0,719,266,263,0
59,45683,log1,267,266,263,0,0,0,0,0
60,18620,log0,0,0,0,0,719,266,263,0
61,45713,log1,268,267,264,0,0,0,0,0
62,18650,log0,0,0,0,0,720,267,264,0
63,45743,log1,268,267,264,0,0,0,0,0
64,18680,log0,0,0,0,0,720,267,264,0
65,45773,log1,269,268,265,0,0,0,0,0
66,18710,log0,0,0,0,0,721,268,265,0
67,45803,log1,269,268,265,0,0,0,0,0
68,18740,log0,0,0,0,0,721,268,265,0
69,45833,log1,270,269,266,0,0,0,0,0
70,18770,log0,0,0,0,0,722,269,266,0
71,45863,log1,270,269,266,0,0,0,0,0
