recvSeq1,recvNum1,compute1num1,compute2num1,compute3num1,timestamp
137,153,82,48,65,90855.0
138,154,83,48,65,90915.0
139,155,84,48,65,90975.0
140,156,84,49,66,91035.0
141,157,85,49,66,91095.0
142,158,85,50,67,91155.0
143,159,86,50,67,91215.0
144,160,86,51,68,91275.0
145,161,86,51,69,91335.0
146,162,87,51,69,91395.0
147,163,87,52,70,91455.0
147,163,87,52,70,91515.0
149,164,87,52,71,91575.0
150,165,88,52,71,91635.0
152,167,89,53,72,91695.0
153,168,89,54,73,91755.0
154,169,90,54,73,91815.0
155,170,91,54,73,91875.0
156,171,91,55,74,91935.0
157,172,91,55,75,91995.0
159,174,92,56,76,92055.0
159,174,92,56,76,92115.0
159,174,92,56,76,92175.0
161,175,93,56,76,92235.0
162,176,94,56,76,92295.0
163,177,95,56,76,92355.0
164,178,95,57,77,92415.0
165,179,96,57,77,92475.0
166,180,96,58,78,92535.0
167,181,96,58,79,92595.0
168,182,97,58,79,92655.0
169,183,98,58,79,92715.0
170,184,98,59,80,92775.0
171,185,99,59,80,92835.0
172,186,100,59,80,92895.0
173,187,101,59,80,92955.0
174,188,101,60,81,93015.0
175,189,102,60,81,93075.0
176,190,102,61,82,93135.0
178,192,103,62,83,93195.0
178,192,103,62,83,93255.0
180,194,104,63,84,93315.0
181,195,105,63,84,93375.0
181,195,105,63,84,93435.0
182,196,106,63,84,93495.0
183,197,107,63,84,93555.0
184,198,107,64,85,93615.0
186,200,107,64,87,93675.0
187,201,108,64,87,93735.0
188,202,109,64,87,93795.0
189,203,109,65,88,93856.0
190,204,110,65,88,93915.0
190,204,110,65,88,93975.0
191,205,111,65,88,94035.0
191,205,111,65,88,94095.0
191,205,111,65,88,94155.0
194,207,112,66,89,94215.0
194,207,112,66,89,94275.0
195,208,113,66,89,94335.0
196,209,113,67,90,94395.0
197,210,114,67,90,94455.0
198,211,114,68,91,94515.0
199,212,115,68,91,94575.0
200,213,115,69,92,94635.0
202,215,116,70,93,94695.0
202,215,116,70,93,94755.0
202,215,116,70,93,94815.0
205,216,116,70,94,94875.0
207,218,117,71,95,94935.0
207,218,117,71,95,94995.0
208,219,118,71,95,95055.0
210,221,119,72,96,95115.0
211,222,120,72,96,95175.0
212,223,120,73,97,95235.0
213,224,121,73,97,95295.0
214,225,122,73,97,95355.0
215,226,123,73,97,95415.0
216,227,123,74,98,95475.0
217,228,123,74,99,95535.0
218,229,124,74,99,95595.0
220,231,125,75,100,95655.0
221,232,125,76,101,95715.0
222,233,125,76,102,95775.0
224,235,126,76,103,95835.0
225,236,126,77,104,95895.0
226,237,127,77,104,95955.0
227,238,128,77,104,96015.0
228,239,128,78,105,96075.0
229,240,129,78,105,96135.0
230,241,130,78,105,96195.0
230,241,130,78,105,96256.0
231,242,131,78,105,96315.0
232,243,132,78,105,96375.0
232,243,132,78,105,96435.0
233,244,132,79,106,96495.0
234,245,133,79,106,96555.0
235,246,133,80,107,96615.0
236,247,134,80,107,96675.0
237,248,135,80,107,96735.0
237,248,135,80,107,96795.0
238,249,136,80,107,96855.0
239,250,136,81,108,96915.0
240,251,137,81,108,96975.0
241,252,138,81,108,97035.0
242,253,138,82,109,97095.0
243,254,139,82,109,97155.0
244,255,139,83,110,97215.0
245,256,140,83,110,97275.0
246,257,141,83,110,97335.0
247,258,142,83,110,97395.0
247,258,142,83,110,97455.0
248,259,142,84,111,97515.0
249,260,143,84,111,97575.0
250,261,143,85,112,97635.0
250,261,143,85,112,97695.0
251,262,144,85,112,97755.0
253,263,145,85,112,97815.0
254,264,145,86,113,97875.0
255,265,145,86,114,97935.0
256,266,145,86,115,97995.0
257,267,146,86,115,98055.0
258,268,146,87,116,98115.0
259,269,146,87,117,98175.0
260,270,147,87,117,98236.0
261,271,148,87,117,98295.0
262,272,149,87,117,98355.0
262,272,149,87,117,98415.0
264,274,150,88,118,98475.0
265,275,151,88,118,98535.0
266,276,151,89,119,98595.0
267,277,152,89,119,98655.0
268,278,152,90,120,98715.0
269,279,153,90,120,98775.0
269,279,153,90,120,98835.0
270,280,154,90,120,98895.0
272,281,155,90,120,98955.0
272,281,155,90,120,99015.0
275,283,156,91,121,99075.0
276,284,157,91,121,99135.0
277,285,157,92,122,99195.0
279,287,158,93,123,99255.0
280,288,159,93,123,99315.0
280,288,159,93,123,99375.0
281,289,160,93,123,99435.0
282,290,161,93,123,99495.0
283,291,161,94,124,99556.0
284,292,162,94,124,99616.0
285,293,162,95,125,99675.0
286,294,163,95,125,99735.0
288,296,164,96,126,99795.0
290,298,165,97,127,99855.0
290,298,165,97,127,99915.0
292,300,166,98,128,99975.0
293,301,167,98,128,100035.0
294,302,167,99,129,100095.0
295,303,168,99,129,100155.0
296,304,169,99,129,100215.0
297,305,169,100,130,100275.0
298,306,170,100,130,100335.0
299,307,171,100,130,100395.0
300,308,171,101,131,100455.0
301,309,172,101,131,100515.0
302,310,173,101,131,100575.0
304,312,174,102,132,100635.0
304,312,174,102,132,100695.0
306,314,175,103,133,100755.0
307,315,176,103,133,100815.0
308,316,176,104,134,100875.0
309,317,177,104,134,100935.0
310,318,177,105,135,100995.0
312,320,178,106,136,101055.0
313,321,179,106,136,101115.0
314,322,180,106,136,101175.0
315,323,180,107,137,101235.0
315,323,180,107,137,101295.0
315,323,180,107,137,101355.0
317,324,181,107,137,101415.0
318,325,181,108,138,101475.0
319,326,182,108,138,101535.0
320,327,182,109,139,101595.0
321,328,182,109,140,101655.0
322,329,183,109,140,101715.0
323,330,183,110,141,101775.0
325,332,184,111,142,101835.0
326,333,185,111,142,101895.0
326,333,185,111,142,101955.0
327,334,186,111,142,102015.0
329,336,187,112,143,102075.0
329,336,187,112,143,102135.0
330,337,188,112,143,102195.0
331,338,188,113,144,102255.0
332,339,189,113,144,102315.0
333,340,190,113,144,102375.0
334,341,191,113,144,102435.0
334,341,191,113,144,102495.0
335,342,192,113,144,102555.0
337,344,193,114,145,102615.0
338,345,193,114,146,102675.0
339,346,194,114,146,102735.0
340,347,194,115,147,102795.0
340,347,194,115,147,102855.0
342,349,195,116,148,102915.0
343,350,196,116,148,102975.0
345,352,197,117,149,103035.0
346,353,198,117,149,103095.0
347,354,198,118,150,103156.0
348,355,199,118,150,103215.0
349,356,199,119,151,103275.0
350,357,200,119,151,103335.0
351,358,200,120,152,103395.0
352,359,200,120,153,103455.0
354,361,201,120,154,103515.0
354,361,201,120,154,103575.0
355,362,202,120,154,103635.0
356,363,202,120,154,103695.0
357,364,202,121,155,103755.0
358,365,203,121,155,103815.0
359,366,204,121,155,103875.0
360,367,204,122,156,103935.0
361,368,205,122,156,103995.0
362,369,206,122,156,104055.0
363,370,207,122,156,104115.0
364,371,207,123,157,104175.0
365,372,207,123,158,104235.0
366,373,208,123,158,104295.0
366,373,208,123,158,104355.0
368,375,209,124,159,104415.0
369,376,210,124,159,104475.0
370,377,210,125,160,104535.0
371,378,211,125,160,104595.0
372,379,211,126,161,104655.0
373,380,211,126,162,104715.0
374,381,212,126,162,104775.0
375,382,212,127,163,104835.0
376,383,213,127,163,104895.0
377,384,213,128,164,104955.0
378,385,214,128,164,105015.0
380,387,215,129,165,105075.0
381,388,216,129,165,105135.0
381,388,216,129,165,105195.0
383,389,217,129,165,105255.0
384,390,217,130,166,105315.0
386,392,218,131,167,105375.0
387,393,219,131,167,105435.0
388,394,220,131,167,105495.0
389,395,221,131,167,105555.0
389,395,221,131,167,105615.0
389,395,221,131,167,105675.0
391,396,221,132,168,105735.0
393,398,222,133,169,105795.0
395,400,223,134,170,105855.0
395,400,223,134,170,105915.0
396,401,224,134,170,105975.0
398,403,225,135,171,106035.0
398,403,225,135,171,106095.0
399,404,226,135,171,106155.0
400,405,227,135,171,106215.0
