recvSeq1,recvNum1,compute1num1,compute2num1,compute3num1,timestamp
151,885,670,159,208,154831.0
152,886,671,159,208,154891.0
153,887,672,159,208,154951.0
153,887,672,159,208,155011.0
153,887,672,159,208,155071.0
156,888,673,159,208,155131.0
157,889,673,159,208,155191.0
157,889,673,159,208,155251.0
157,889,673,159,208,155311.0
160,890,674,159,208,155371.0
161,891,674,160,209,155431.0
162,892,675,160,209,155491.0
162,892,675,160,209,155551.0
162,892,675,160,209,155611.0
165,893,676,160,209,155671.0
166,894,677,160,209,155731.0
167,895,678,160,209,155791.0
168,896,679,160,209,155851.0
169,897,680,160,209,155911.0
170,898,681,160,209,155971.0
171,899,682,160,209,156031.0
172,900,682,161,210,156091.0
172,900,682,161,210,156151.0
174,901,683,161,210,156211.0
175,902,684,161,210,156271.0
176,903,685,161,210,156331.0
177,904,686,161,210,156391.0
177,904,686,161,210,156451.0
177,904,686,161,210,156511.0
180,905,687,161,210,156571.0
181,906,687,162,211,156631.0
182,907,688,162,211,156691.0
183,908,688,163,212,156751.0
183,908,688,163,212,156811.0
185,909,689,163,212,156871.0
185,909,689,163,212,156931.0
187,910,690,163,212,156991.0
188,911,691,163,212,157051.0
189,912,692,163,212,157111.0
190,913,693,163,212,157171.0
191,914,694,163,212,157231.0
192,915,695,163,212,157291.0
193,916,695,164,213,157351.0
194,917,696,164,213,157411.0
195,918,697,164,213,157471.0
196,919,698,164,213,157531.0
196,919,698,164,213,157591.0
198,920,699,164,213,157651.0
199,921,699,165,214,157711.0
199,921,699,165,214,157771.0
201,922,700,165,214,157831.0
202,923,700,166,215,157891.0
203,924,700,166,216,157951.0
204,925,701,166,216,158011.0
205,926,702,166,216,158071.0
206,927,702,167,217,158131.0
207,928,703,167,217,158191.0
208,929,703,168,218,158251.0
209,930,704,168,218,158311.0
209,930,704,168,218,158371.0
211,931,705,168,218,158431.0
212,932,706,168,218,158491.0
213,933,707,168,218,158551.0
214,934,708,168,218,158611.0
215,935,708,169,219,158671.0
216,936,709,169,219,158731.0
217,937,710,169,219,158791.0
217,937,710,169,219,158851.0
219,938,711,169,219,158911.0
220,939,712,169,219,158971.0
221,940,713,169,219,159031.0
222,941,713,170,220,159091.0
222,941,713,170,220,159151.0
224,942,713,170,221,159211.0
224,942,713,170,221,159271.0
226,943,714,170,221,159331.0
227,944,715,170,221,159391.0
228,945,716,170,221,159451.0
228,945,716,170,221,159511.0
228,945,716,170,221,159571.0
231,946,717,170,221,159631.0
231,946,717,170,221,159691.0
233,947,718,170,221,159751.0
233,947,718,170,221,159811.0
235,948,719,170,221,159871.0
236,949,720,170,221,159931.0
236,949,720,170,221,159991.0
238,950,721,170,221,160051.0
239,951,722,170,221,160111.0
240,952,723,170,221,160171.0
241,953,723,171,222,160231.0
241,953,723,171,222,160291.0
243,954,723,171,223,160351.0
243,954,723,171,223,160411.0
243,954,723,171,223,160471.0
243,954,723,171,223,160531.0
247,955,723,171,224,160591.0
248,956,723,171,225,160651.0
249,957,724,171,225,160711.0
249,957,724,171,225,160771.0
251,958,725,171,225,160831.0
252,959,725,172,226,160891.0
252,959,725,172,226,160951.0
252,959,725,172,226,161011.0
255,960,726,172,226,161071.0
256,961,727,172,226,161131.0
256,961,727,172,226,161191.0
