recvSeq1,recvNum1,compute1num1,compute2num1,compute3num1,timestamp
789,58,52,3,4,6275.0
790,59,53,3,4,6335.0
791,60,54,3,4,6395.0
792,61,54,4,5,6455.0
793,62,55,4,5,6515.0
794,63,55,5,6,6575.0
795,64,56,5,6,6635.0
796,65,57,5,6,6695.0
797,66,58,5,6,6755.0
798,67,59,5,6,6815.0
799,68,60,5,6,6875.0
799,68,60,5,6,6935.0
801,69,61,5,6,6995.0
802,70,62,5,6,7055.0
803,71,63,5,6,7115.0
804,72,64,5,6,7175.0
805,73,65,5,6,7235.0
806,74,66,5,6,7295.0
807,75,67,5,6,7355.0
807,75,67,5,6,7415.0
807,75,67,5,6,7475.0
807,75,67,5,6,7535.0
807,75,67,5,6,7595.0
807,75,67,5,6,7655.0
807,75,67,5,6,7715.0
807,75,67,5,6,7775.0
815,76,67,5,6,7835.0
815,76,67,5,6,7895.0
815,76,67,5,6,7955.0
815,76,67,5,6,8015.0
815,76,67,5,6,8075.0
815,76,67,5,6,8135.0
815,76,67,5,6,8195.0
815,76,67,5,6,8255.0
815,76,67,5,6,8315.0
815,76,67,5,6,8375.0
815,76,67,5,6,8435.0
815,76,67,5,6,8495.0
815,76,67,5,6,8555.0
815,76,67,5,6,8615.0
815,76,67,5,6,8675.0
815,76,67,5,6,8735.0
815,76,67,5,6,8795.0
815,76,67,5,6,8855.0
815,76,67,5,6,8915.0
815,76,67,5,6,8975.0
815,76,67,5,6,9035.0
815,76,67,5,6,9095.0
815,76,67,5,6,9155.0
815,76,67,5,6,9215.0
815,76,67,5,6,9275.0
815,76,67,5,6,9335.0
815,76,67,5,6,9395.0
815,76,67,5,6,9455.0
815,76,67,5,6,9515.0
815,76,67,5,6,9575.0
815,76,67,5,6,9635.0
815,76,67,5,6,9695.0
815,76,67,5,6,9755.0
815,76,67,5,6,9815.0
815,76,67,5,6,9875.0
815,76,67,5,6,9935.0
815,76,67,5,6,9995.0
852,77,67,5,7,10055.0
853,78,67,5,8,10115.0
854,79,67,5,9,10175.0
854,79,67,5,9,10235.0
854,79,67,5,9,10295.0
854,79,67,5,9,10355.0
858,80,67,5,10,10415.0
858,80,67,5,10,10475.0
860,81,67,5,11,10535.0
861,82,67,5,12,10595.0
861,82,67,5,12,10655.0
863,83,67,5,13,10715.0
864,84,67,5,14,10775.0
864,84,67,5,14,10835.0
866,85,67,5,15,10895.0
867,86,67,5,16,10955.0
868,87,67,5,17,11015.0
869,88,68,5,17,11075.0
870,89,68,6,18,11135.0
871,90,69,6,18,11195.0
872,91,70,6,18,11255.0
873,92,70,7,19,11315.0
874,93,70,7,20,11375.0
875,94,71,7,20,11435.0
876,95,72,7,20,11495.0
877,96,73,7,20,11555.0
877,96,73,7,20,11615.0
879,97,74,7,20,11675.0
880,98,74,7,20,11735.0
881,99,75,7,20,11795.0
882,100,76,7,20,11855.0
882,100,76,7,20,11915.0
884,101,77,7,20,11975.0
885,102,77,8,21,12035.0
886,103,78,8,21,12095.0
887,104,79,8,21,12155.0
888,105,80,8,21,12215.0
889,106,80,9,22,12275.0
890,107,81,9,22,12335.0
890,107,81,9,22,12395.0
892,108,82,9,22,12455.0
893,109,83,9,22,12515.0
894,110,84,9,22,12575.0
894,110,84,9,22,12635.0
894,110,84,9,22,12695.0
894,110,84,9,22,12755.0
898,111,85,9,22,12815.0
899,112,86,9,22,12875.0
900,113,87,9,22,12935.0
901,114,88,9,22,12995.0
902,115,89,9,22,13055.0
903,116,90,9,22,13115.0
