recvSeq1,recvNum1,compute1num1,compute2num1,compute3num1,timestamp
159,127,102,16,23,12293.0
160,128,103,16,23,12353.0
161,129,104,16,23,12413.0
162,130,105,16,23,12473.0
163,131,106,16,23,12533.0
164,132,107,16,23,12593.0
165,133,108,16,23,12653.0
166,134,109,16,23,12713.0
167,135,110,16,23,12773.0
168,136,111,16,23,12833.0
168,136,111,16,23,12893.0
170,137,112,16,23,12953.0
171,138,113,16,23,13013.0
172,139,113,17,24,13073.0
172,139,113,17,24,13133.0
174,140,114,17,24,13193.0
175,141,115,17,24,13253.0
176,142,116,17,24,13313.0
177,143,117,17,24,13373.0
178,144,118,17,24,13433.0
179,145,118,18,25,13493.0
180,146,119,18,25,13553.0
181,147,119,19,26,13613.0
182,148,120,19,26,13673.0
183,149,120,20,27,13733.0
184,150,120,20,28,13793.0
184,150,120,20,28,13853.0
184,150,120,20,28,13913.0
187,151,121,20,28,13973.0
188,152,122,20,28,14033.0
189,153,123,20,28,14093.0
190,154,124,20,28,14153.0
191,155,125,20,28,14213.0
192,156,126,20,28,14273.0
193,157,126,21,29,14333.0
194,158,127,21,29,14393.0
195,159,128,21,29,14453.0
196,160,129,21,29,14513.0
196,160,129,21,29,14573.0
198,161,130,21,29,14633.0
199,162,130,22,30,14693.0
200,163,131,22,30,14753.0
201,164,132,22,30,14813.0
202,165,133,22,30,14873.0
203,166,133,23,31,14933.0
203,166,133,23,31,14993.0
205,167,134,23,31,15053.0
206,168,134,24,32,15113.0
206,168,134,24,32,15173.0
208,169,135,24,32,15233.0
208,169,135,24,32,15293.0
210,170,136,24,32,15353.0
210,170,136,24,32,15413.0
212,171,137,24,32,15473.0
213,172,138,24,32,15533.0
214,173,139,24,32,15593.0
215,174,140,24,32,15653.0
215,174,140,24,32,15713.0
217,175,141,24,32,15773.0
218,176,141,25,33,15833.0
219,177,142,25,33,15893.0
219,177,142,25,33,15953.0
221,178,143,25,33,16013.0
222,179,143,26,34,16073.0
222,179,143,26,34,16133.0
224,180,143,26,35,16193.0
224,180,143,26,35,16253.0
226,181,144,26,35,16313.0
226,181,144,26,35,16373.0
228,182,145,26,35,16433.0
229,183,145,27,36,16493.0
230,184,145,27,37,16553.0
230,184,145,27,37,16613.0
232,185,146,27,37,16673.0
233,186,147,27,37,16733.0
234,187,148,27,37,16793.0
235,188,149,27,37,16853.0
236,189,150,27,37,16913.0
236,189,150,27,37,16973.0
238,190,151,27,37,17033.0
239,191,152,27,37,17093.0
239,191,152,27,37,17153.0
239,191,152,27,37,17213.0
242,192,153,27,37,17273.0
242,192,153,27,37,17333.0
242,192,153,27,37,17393.0
245,193,153,28,38,17453.0
246,194,153,28,39,17513.0
247,195,153,28,40,17573.0
248,196,153,28,40,17633.0
248,196,153,28,40,17693.0
250,197,154,28,40,17753.0
250,197,154,28,40,17813.0
252,198,155,28,40,17873.0
253,199,156,28,40,17933.0
254,200,156,29,41,17993.0
255,201,157,29,41,18053.0
256,202,158,29,41,18113.0
256,202,158,29,41,18173.0
258,203,159,29,41,18233.0
259,204,160,29,41,18293.0
260,205,161,29,41,18353.0
261,206,161,30,42,18413.0
262,207,162,30,42,18473.0
262,207,162,30,42,18533.0
264,208,163,30,42,18593.0
265,209,164,30,42,18653.0
265,209,164,30,42,18713.0
265,209,164,30,42,18773.0
268,210,165,30,42,18833.0
269,211,165,31,43,18893.0
269,211,165,31,43,18953.0
269,211,165,31,43,19013.0
269,211,165,31,43,19073.0
273,212,166,31,43,19133.0
274,213,167,31,43,19193.0
275,214,168,31,43,19253.0
275,214,168,31,43,19313.0
277,215,169,31,43,19373.0
278,216,170,31,43,19433.0
278,216,170,31,43,19493.0
280,217,171,31,43,19553.0
281,218,172,31,43,19613.0
282,219,173,31,43,19673.0
282,219,173,31,43,19733.0
284,220,174,31,43,19793.0
285,221,175,31,43,19853.0
286,222,176,31,43,19913.0
287,223,177,31,43,19973.0
288,224,178,31,43,20033.0
289,225,178,32,44,20093.0
290,226,179,32,44,20153.0
291,227,180,32,44,20213.0
292,228,181,32,44,20273.0
292,228,181,32,44,20333.0
294,229,182,32,44,20393.0
294,229,182,32,44,20453.0
296,230,183,32,44,20513.0
297,231,183,33,45,20573.0
298,232,184,33,45,20633.0
299,233,185,33,45,20693.0
300,234,186,33,45,20753.0
300,234,186,33,45,20813.0
300,234,186,33,45,20873.0
303,235,187,33,45,20933.0
303,235,187,33,45,20993.0
305,236,188,33,45,21053.0
305,236,188,33,45,21113.0
307,237,189,33,45,21173.0
308,238,190,33,45,21233.0
309,239,191,33,45,21293.0
310,240,191,34,46,21353.0
311,241,191,34,47,21413.0
311,241,191,34,47,21473.0
311,241,191,34,47,21533.0
314,242,192,34,47,21593.0
315,243,193,34,47,21653.0
316,244,193,35,48,21713.0
317,245,194,35,48,21773.0
317,245,194,35,48,21833.0
319,246,195,35,48,21893.0
320,247,196,35,48,21953.0
320,247,196,35,48,22013.0
320,247,196,35,48,22073.0
323,248,197,35,48,22133.0
323,248,197,35,48,22193.0
325,249,198,35,48,22253.0
325,249,198,35,48,22313.0
325,249,198,35,48,22373.0
328,250,199,35,48,22433.0
329,251,199,36,49,22493.0
330,252,200,36,49,22553.0
331,253,201,36,49,22613.0
