recvSeq1,recvNum1,compute1num1,compute2num1,compute3num1,timestamp
998,660,642,5,14,44262.0
999,661,643,5,14,44322.0
1000,662,644,5,14,44382.0
1001,663,645,5,14,44442.0
1002,664,646,5,14,44502.0
1003,665,647,5,14,44562.0
1004,666,648,5,14,44622.0
1005,667,649,5,14,44682.0
1006,668,650,5,14,44742.0
1007,669,651,5,14,44802.0
1008,670,652,5,14,44862.0
1009,671,653,5,14,44922.0
1010,672,654,5,14,44982.0
1011,673,655,5,14,45042.0
1012,674,656,5,14,45102.0
1013,675,657,5,14,45162.0
1014,676,658,5,14,45222.0
1015,677,659,5,14,45282.0
1016,678,660,5,14,45342.0
1017,679,661,5,14,45402.0
1018,680,662,5,14,45462.0
1019,681,663,5,14,45522.0
1020,682,664,5,14,45582.0
1021,683,665,5,14,45642.0
1022,684,666,5,14,45702.0
1023,685,667,5,14,45762.0
1024,686,668,5,14,45822.0
1025,687,669,5,14,45882.0
1026,688,670,5,14,45942.0
1027,689,671,5,14,46002.0
1028,690,672,5,14,46062.0
1029,691,673,5,14,46122.0
1030,692,674,5,14,46182.0
1031,693,675,5,14,46242.0
1032,694,676,5,14,46302.0
1033,695,677,5,14,46362.0
1034,696,678,5,14,46422.0
1035,697,679,5,14,46482.0
1036,698,680,5,14,46542.0
1037,699,681,5,14,46602.0
1038,700,682,5,14,46662.0
1039,701,683,5,14,46722.0
1040,702,684,5,14,46782.0
1041,703,685,5,14,46842.0
1042,704,686,5,14,46902.0
1043,705,687,5,14,46962.0
1044,706,688,5,14,47022.0
1045,707,689,5,14,47082.0
1046,708,690,5,14,47142.0
1047,709,691,5,14,47202.0
1048,710,692,5,14,47262.0
1049,711,693,5,14,47322.0
1050,712,694,5,14,47382.0
1051,713,695,5,14,47442.0
1052,714,696,5,14,47502.0
1053,715,697,5,14,47562.0
1054,716,698,5,14,47622.0
1055,717,699,5,14,47682.0
1056,718,700,5,14,47742.0
1057,719,701,5,14,47802.0
1058,720,702,5,14,47862.0
1059,721,703,5,14,47922.0
1060,722,704,5,14,47982.0
1061,723,705,5,14,48042.0
1062,724,706,5,14,48102.0
1063,725,707,5,14,48162.0
1064,726,708,5,14,48222.0
1065,727,709,5,14,48282.0
