recvSeq1,recvNum1,compute1num1,compute2num1,compute3num1,timestamp
366,365,358,1,4,33918.0
367,366,359,1,4,33978.0
368,367,360,1,4,34038.0
369,368,361,1,4,34098.0
370,369,362,1,4,34158.0
371,370,363,1,4,34218.0
372,371,364,1,4,34278.0
373,372,365,1,4,34338.0
374,373,366,1,4,34398.0
375,374,367,1,4,34458.0
376,375,368,1,4,34518.0
377,376,369,1,4,34578.0
378,377,370,1,4,34638.0
379,378,370,1,4,34698.0
380,379,371,1,4,34758.0
381,380,372,1,4,34818.0
382,381,373,1,4,34878.0
383,382,374,1,4,34938.0
384,383,375,1,4,34998.0
385,384,376,1,4,35058.0
386,385,377,1,4,35118.0
387,386,378,1,4,35178.0
388,387,379,1,4,35238.0
389,388,380,1,4,35298.0
390,389,381,1,4,35358.0
391,390,382,1,4,35418.0
392,391,383,1,4,35478.0
393,392,384,1,4,35538.0
394,393,385,1,4,35598.0
395,394,386,1,4,35658.0
396,395,387,1,4,35718.0
397,396,388,1,4,35778.0
398,397,389,1,4,35838.0
399,398,390,1,4,35898.0
400,399,391,1,4,35958.0
401,400,392,1,4,36018.0
402,401,393,1,4,36078.0
403,402,394,1,4,36138.0
404,403,395,1,4,36198.0
405,404,396,1,4,36258.0
406,405,397,1,4,36318.0
407,406,398,1,4,36378.0
408,407,399,1,4,36438.0
409,408,400,1,4,36498.0
410,409,401,1,4,36558.0
411,410,402,1,4,36618.0
412,411,403,1,4,36678.0
413,412,404,1,4,36738.0
414,413,405,1,4,36798.0
415,414,406,1,4,36858.0
416,415,407,1,4,36918.0
417,416,408,1,4,36978.0
418,417,409,1,4,37038.0
419,418,410,1,4,37098.0
420,419,411,1,4,37158.0
421,420,412,1,4,37218.0
422,421,413,1,4,37278.0
423,422,414,1,4,37338.0
424,423,415,1,4,37398.0
425,424,416,1,4,37458.0
426,425,417,1,4,37518.0
427,426,418,1,4,37578.0
428,427,419,1,4,37638.0
429,428,420,1,4,37698.0
430,429,421,1,4,37758.0
431,430,422,1,4,37818.0
432,431,423,1,4,37878.0
433,432,424,1,4,37938.0
434,433,425,1,4,37998.0
435,434,426,1,4,38058.0
436,435,427,1,4,38118.0
437,436,428,1,4,38178.0
438,437,429,1,4,38238.0
439,438,430,1,4,38298.0
440,439,431,1,4,38358.0
441,440,432,1,4,38418.0
442,441,433,1,4,38478.0
443,442,434,1,4,38538.0
444,443,435,1,4,38598.0
445,444,436,1,4,38658.0
446,445,437,1,4,38718.0
447,446,438,1,4,38778.0
448,447,439,1,4,38838.0
449,448,440,1,4,38898.0
450,449,441,1,4,38958.0
451,450,442,1,4,39018.0
452,451,443,1,4,39078.0
453,452,444,1,4,39138.0
454,453,445,1,4,39198.0
455,454,446,1,4,39258.0
456,455,447,1,4,39318.0
457,456,448,1,4,39378.0
458,457,449,1,4,39438.0
459,458,450,1,4,39498.0
460,459,451,1,4,39558.0
461,460,452,1,4,39618.0
462,461,453,1,4,39678.0
463,462,454,1,4,39738.0
464,463,455,1,4,39798.0
465,464,456,1,4,39858.0
466,465,457,1,4,39918.0
467,466,458,1,4,39978.0
468,467,459,1,4,40038.0
469,468,460,1,4,40098.0
470,469,461,1,4,40158.0
471,470,462,1,4,40218.0
472,471,463,1,4,40278.0
473,472,464,1,4,40338.0
474,473,465,1,4,40398.0
475,474,466,1,4,40458.0
476,475,467,1,4,40518.0
477,476,468,1,4,40578.0
478,477,469,1,4,40638.0
479,478,470,1,4,40698.0
480,479,471,1,4,40758.0
481,480,472,1,4,40818.0
482,481,473,1,4,40878.0
483,482,474,1,4,40938.0
484,483,475,1,4,40998.0
485,484,476,1,4,41058.0
486,485,477,1,4,41118.0
487,486,478,1,4,41178.0
488,487,479,1,4,41238.0
489,488,480,1,4,41298.0
490,489,481,1,4,41358.0
491,490,482,1,4,41418.0
492,491,483,1,4,41478.0
493,492,484,1,4,41538.0
494,493,485,1,4,41598.0
495,494,486,1,4,41658.0
496,495,487,1,4,41718.0
497,496,488,1,4,41778.0
498,497,489,1,4,41838.0
499,498,490,1,4,41898.0
500,499,491,1,4,41958.0
501,500,492,1,4,42018.0
502,501,493,1,4,42078.0
503,502,494,1,4,42138.0
504,503,495,1,4,42198.0
505,504,496,1,4,42258.0
506,505,497,1,4,42318.0
507,506,498,1,4,42378.0
508,507,499,1,4,42438.0
509,508,500,1,4,42498.0
510,509,501,1,4,42558.0
511,510,502,1,4,42618.0
512,511,503,1,4,42678.0
513,512,504,1,4,42738.0
514,513,505,1,4,42798.0
515,514,506,1,4,42858.0
516,515,507,1,4,42918.0
517,516,508,1,4,42978.0
518,517,509,1,4,43038.0
519,518,510,1,4,43098.0
520,519,511,1,4,43158.0
521,520,512,1,4,43218.0
522,521,513,1,4,43278.0
523,522,514,1,4,43338.0
524,523,515,1,4,43398.0
525,524,516,1,4,43458.0
526,525,517,1,4,43518.0
527,526,518,1,4,43578.0
528,527,519,1,4,43638.0
529,528,520,1,4,43698.0
530,529,521,1,4,43758.0
531,530,522,1,4,43818.0
532,531,523,1,4,43878.0
533,532,524,1,4,43938.0
534,533,525,1,4,43998.0
535,534,526,1,4,44058.0
536,535,527,1,4,44118.0
537,536,528,1,4,44178.0
538,537,529,1,4,44238.0
539,538,530,1,4,44298.0
540,539,531,1,4,44358.0
541,540,532,1,4,44418.0
542,541,533,1,4,44478.0
543,542,534,1,4,44538.0
544,543,535,1,4,44598.0
545,544,536,1,4,44658.0
546,545,537,1,4,44718.0
547,546,538,1,4,44778.0
548,547,539,1,4,44838.0
549,548,540,1,4,44898.0
550,549,541,1,4,44958.0
551,550,542,1,4,45018.0
552,551,543,1,4,45078.0
553,552,544,1,4,45138.0
554,553,545,1,4,45198.0
555,554,546,1,4,45258.0
556,555,547,1,4,45318.0
557,556,548,1,4,45378.0
558,557,549,1,4,45438.0
559,558,550,1,4,45498.0
560,559,551,1,4,45558.0
561,560,552,1,4,45618.0
562,561,553,1,4,45678.0
563,562,554,1,4,45738.0
563,562,554,1,4,45798.0
563,562,554,1,4,45858.0
563,562,554,1,4,45918.0
567,563,555,1,4,45978.0
568,564,556,1,4,46038.0
569,565,557,1,4,46098.0
570,566,558,1,4,46158.0
571,567,559,1,4,46218.0
572,568,560,1,4,46278.0
573,569,561,1,4,46338.0
574,570,562,1,4,46398.0
575,571,563,1,4,46458.0
576,572,564,1,4,46518.0
577,573,565,1,4,46578.0
578,574,566,1,4,46638.0
579,575,567,1,4,46698.0
580,576,568,1,4,46758.0
581,577,569,1,4,46818.0
582,578,570,1,4,46878.0
583,579,571,1,4,46938.0
584,580,572,1,4,46998.0
585,581,573,1,4,47058.0
586,582,574,1,4,47118.0
587,583,575,1,4,47178.0
588,584,576,1,4,47238.0
589,585,577,1,4,47298.0
590,586,578,1,4,47358.0
591,587,579,1,4,47418.0
592,588,580,1,4,47478.0
593,589,581,1,4,47538.0
594,590,582,1,4,47598.0
595,591,583,1,4,47658.0
596,592,584,1,4,47718.0
597,593,585,1,4,47778.0
598,594,586,1,4,47838.0
599,595,587,1,4,47898.0
600,596,588,1,4,47958.0
601,597,589,1,4,48018.0
602,598,590,1,4,48078.0
603,599,591,1,4,48138.0
604,600,592,1,4,48198.0
605,601,593,1,4,48258.0
606,602,594,1,4,48318.0
607,603,595,1,4,48378.0
608,604,596,1,4,48438.0
609,605,597,1,4,48498.0
610,606,598,1,4,48558.0
611,607,599,1,4,48618.0
612,608,600,1,4,48678.0
613,609,601,1,4,48738.0
614,610,602,1,4,48798.0
615,611,603,1,4,48858.0
616,612,604,1,4,48918.0
617,613,605,1,4,48978.0
618,614,606,1,4,49038.0
619,615,607,1,4,49098.0
620,616,608,1,4,49158.0
621,617,609,1,4,49218.0
622,618,610,1,4,49278.0
623,619,611,1,4,49338.0
624,620,612,1,4,49398.0
625,621,613,1,4,49458.0
626,622,614,1,4,49518.0
627,623,615,1,4,49578.0
628,624,616,1,4,49638.0
629,625,617,1,4,49698.0
630,626,618,1,4,49758.0
631,627,619,1,4,49818.0
632,628,620,1,4,49878.0
633,629,621,1,4,49938.0
634,630,622,1,4,49998.0
635,631,623,1,4,50058.0
636,632,624,1,4,50118.0
637,633,625,1,4,50178.0
638,634,626,1,4,50238.0
639,635,627,1,4,50298.0
640,636,628,1,4,50358.0
641,637,629,1,4,50418.0
642,638,630,1,4,50478.0
643,639,631,1,4,50538.0
644,640,632,1,4,50598.0
645,641,633,1,4,50658.0
646,642,634,1,4,50718.0
647,643,635,1,4,50778.0
648,644,636,1,4,50838.0
649,645,637,1,4,50898.0
650,646,638,1,4,50958.0
651,647,639,1,4,51018.0
652,648,640,1,4,51078.0
653,649,641,1,4,51138.0
654,650,642,1,4,51198.0
655,651,643,1,4,51258.0
