recvSeq1,recvNum1,compute1num1,compute2num1,compute3num1,timestamp
358,138,77,57,58,8038.0
359,139,78,57,58,8098.0
361,141,79,58,59,8158.0
362,142,79,59,60,8218.0
364,144,80,60,61,8278.0
365,145,81,60,61,8338.0
367,147,82,61,62,8398.0
368,148,83,61,62,8458.0
370,150,84,62,63,8518.0
371,151,84,63,64,8578.0
373,153,86,63,64,8638.0
374,154,86,64,65,8698.0
376,156,87,65,66,8758.0
377,157,88,65,66,8818.0
379,159,89,66,67,8878.0
380,160,90,66,67,8938.0
382,162,91,67,68,8998.0
383,163,91,68,69,9058.0
385,165,92,69,70,9118.0
386,166,93,69,70,9178.0
388,168,94,70,71,9238.0
389,169,95,70,71,9298.0
391,171,96,71,72,9358.0
392,172,96,72,73,9418.0
394,174,98,72,73,9478.0
395,175,98,73,74,9538.0
397,177,99,74,75,9598.0
398,178,100,74,75,9658.0
400,180,101,75,76,9718.0
401,181,102,75,76,9778.0
403,183,103,76,77,9838.0
404,184,103,77,78,9898.0
406,186,104,78,79,9958.0
407,187,105,78,79,10018.0
409,189,106,79,80,10078.0
410,190,107,79,80,10138.0
412,192,108,80,81,10198.0
413,193,108,81,82,10258.0
415,195,110,81,82,10318.0
416,196,110,82,83,10378.0
418,198,111,83,84,10438.0
419,199,112,83,84,10498.0
421,201,113,84,85,10558.0
422,202,114,84,85,10618.0
424,204,115,85,86,10678.0
425,205,115,86,87,10738.0
427,207,116,87,88,10798.0
428,208,117,87,88,10858.0
430,210,118,88,89,10918.0
431,211,119,88,89,10978.0
433,213,120,89,90,11038.0
434,214,120,90,91,11098.0
436,216,122,90,91,11158.0
437,217,122,91,92,11218.0
439,219,123,92,93,11278.0
440,220,124,92,93,11338.0
442,222,125,93,94,11398.0
443,223,126,93,94,11458.0
445,225,127,94,95,11518.0
446,226,127,95,96,11578.0
448,228,128,96,97,11638.0
449,229,129,96,97,11698.0
451,231,130,97,98,11758.0
452,232,131,97,98,11818.0
454,234,132,98,99,11878.0
455,235,132,99,100,11938.0
457,237,134,99,100,11998.0
458,238,134,100,101,12058.0
460,240,135,101,102,12118.0
461,241,136,101,102,12178.0
463,243,137,102,103,12238.0
464,244,138,102,103,12298.0
466,246,139,103,104,12358.0
467,247,139,104,105,12418.0
469,249,140,105,106,12478.0
470,250,141,105,106,12538.0
472,252,142,106,107,12598.0
473,253,143,106,107,12658.0
475,255,144,107,108,12718.0
476,256,144,108,109,12778.0
478,258,146,108,109,12838.0
479,259,146,109,110,12898.0
481,261,147,110,111,12958.0
482,262,148,110,111,13018.0
484,264,149,111,112,13078.0
485,265,150,111,112,13138.0
487,267,151,112,113,13198.0
488,268,151,113,114,13258.0
490,270,152,114,115,13318.0
491,271,153,114,115,13378.0
493,273,154,115,116,13438.0
494,274,155,115,116,13498.0
496,276,156,116,117,13558.0
497,277,156,117,118,13618.0
499,279,158,117,118,13678.0
500,280,158,118,119,13738.0
502,282,159,119,120,13798.0
503,283,160,119,120,13858.0
505,285,161,120,121,13918.0
506,286,162,120,121,13978.0
508,288,163,121,122,14038.0
509,289,163,122,123,14098.0
511,291,164,123,124,14158.0
512,292,165,123,124,14218.0
514,294,166,124,125,14278.0
515,295,167,124,125,14338.0
517,297,168,125,126,14398.0
518,298,168,126,127,14458.0
520,300,170,126,127,14518.0
521,301,170,127,128,14578.0
523,303,171,128,129,14638.0
524,304,172,128,129,14698.0
526,306,173,129,130,14758.0
527,307,174,129,130,14818.0
529,309,175,130,131,14878.0
530,310,175,131,132,14938.0
532,312,176,132,133,14998.0
533,313,177,132,133,15058.0
535,315,178,133,134,15118.0
536,316,179,133,134,15178.0
538,318,180,134,135,15238.0
539,319,180,135,136,15298.0
541,321,182,135,136,15358.0
542,322,182,136,137,15418.0
544,324,183,137,138,15478.0
545,325,184,137,138,15538.0
547,327,185,138,139,15598.0
548,328,186,138,139,15658.0
550,330,187,139,140,15718.0
551,331,187,140,141,15778.0
553,333,188,141,142,15838.0
554,334,189,141,142,15898.0
556,336,190,142,143,15958.0
557,337,191,142,143,16018.0
559,339,192,143,144,16078.0
560,340,192,144,145,16138.0
562,342,194,144,145,16198.0
563,343,194,145,146,16258.0
565,345,195,146,147,16318.0
566,346,196,146,147,16378.0
568,348,197,147,148,16438.0
569,349,198,147,148,16498.0
571,351,199,148,149,16558.0
572,352,199,149,150,16618.0
574,354,200,150,151,16678.0
575,355,201,150,151,16738.0
577,357,202,151,152,16798.0
578,358,203,151,152,16858.0
580,360,204,152,153,16918.0
581,361,204,153,154,16978.0
583,363,206,153,154,17038.0
584,364,206,154,155,17098.0
586,366,207,155,156,17158.0
587,367,208,155,156,17218.0
589,369,209,156,157,17278.0
590,370,210,156,157,17338.0
592,372,210,157,158,17398.0
593,373,210,157,159,17458.0
595,375,211,158,160,17518.0
596,376,212,158,160,17578.0
598,378,213,159,161,17638.0
599,379,214,159,161,17698.0
601,381,215,160,162,17758.0
602,382,215,161,163,17818.0
604,384,217,161,163,17878.0
605,385,217,162,164,17938.0
607,387,218,163,165,17998.0
608,388,219,163,165,18058.0
610,390,220,164,166,18118.0
611,391,221,164,166,18178.0
613,393,222,165,167,18238.0
614,394,222,166,168,18298.0
616,396,223,167,169,18358.0
617,397,224,167,169,18418.0
619,399,225,168,170,18478.0
620,400,226,168,170,18538.0
622,402,227,169,171,18598.0
623,403,227,170,172,18658.0
625,405,229,170,172,18718.0
626,406,229,171,173,18778.0
628,408,230,172,174,18838.0
629,409,231,172,174,18898.0
631,411,232,173,175,18958.0
632,412,233,173,175,19018.0
634,414,234,174,176,19078.0
635,415,234,175,177,19138.0
637,417,235,176,178,19198.0
638,418,236,176,178,19258.0
640,420,237,177,179,19318.0
641,421,238,177,179,19378.0
643,423,239,178,180,19438.0
644,424,239,179,181,19498.0
646,426,241,179,181,19558.0
647,427,241,180,182,19618.0
649,429,242,181,183,19678.0
650,430,243,181,183,19738.0
652,432,244,182,184,19798.0
653,433,245,182,184,19858.0
655,435,246,183,185,19918.0
656,436,246,184,186,19978.0
658,438,247,185,187,20038.0
659,439,248,185,187,20098.0
661,441,249,186,188,20158.0
662,442,250,186,188,20218.0
664,444,251,187,189,20278.0
665,445,251,188,190,20338.0
667,447,252,189,191,20398.0
668,448,253,189,191,20458.0
670,450,254,190,192,20518.0
671,451,255,190,192,20578.0
673,453,256,191,193,20638.0
674,454,257,191,193,20698.0
676,456,258,192,194,20758.0
677,457,258,193,195,20818.0
679,459,259,194,196,20878.0
680,460,260,194,196,20938.0
682,462,261,195,197,20998.0
683,463,262,195,197,21058.0
685,465,263,196,198,21118.0
686,466,263,197,199,21178.0
688,468,265,197,199,21238.0
689,469,265,198,200,21298.0
691,471,266,199,201,21358.0
692,472,267,199,201,21418.0
694,474,268,200,202,21478.0
695,475,269,200,202,21538.0
697,477,270,201,203,21598.0
698,478,270,202,204,21658.0
700,480,271,203,205,21718.0
701,481,272,203,205,21778.0
703,483,273,204,206,21838.0
704,484,274,204,206,21898.0
706,486,275,205,207,21958.0
707,487,275,206,208,22018.0
709,489,277,206,208,22078.0
710,490,277,207,209,22138.0
712,492,278,208,210,22198.0
713,493,279,208,210,22258.0
715,495,280,209,211,22318.0
716,496,281,209,211,22378.0
718,498,282,210,212,22438.0
719,499,282,211,213,22498.0
721,501,283,212,214,22558.0
722,502,284,212,214,22618.0
724,504,285,213,215,22678.0
725,505,286,213,215,22738.0
727,507,287,214,216,22798.0
728,508,287,215,217,22858.0
730,510,289,215,217,22918.0
731,511,289,216,218,22978.0
733,513,290,217,219,23038.0
734,514,291,217,219,23098.0
736,516,292,218,220,23158.0
737,517,293,218,220,23218.0
739,519,294,219,221,23278.0
740,520,294,220,222,23338.0
742,522,295,221,223,23398.0
743,523,296,221,223,23458.0
745,525,297,222,224,23518.0
746,526,298,222,224,23578.0
748,528,299,223,225,23638.0
749,529,299,224,226,23698.0
751,531,301,224,226,23758.0
752,532,301,225,227,23818.0
754,534,302,226,228,23878.0
755,535,303,226,228,23938.0
757,537,304,227,229,23998.0
758,538,305,227,229,24058.0
760,540,306,228,230,24118.0
761,541,306,229,231,24178.0
763,543,307,230,232,24238.0
764,544,308,230,232,24298.0
766,546,309,231,233,24358.0
767,547,310,231,233,24418.0
769,549,311,232,234,24478.0
770,550,311,233,235,24538.0
772,552,313,233,235,24598.0
773,553,313,234,236,24658.0
775,555,314,235,237,24718.0
776,556,315,235,237,24778.0
778,558,316,236,238,24838.0
779,559,316,237,239,24898.0
781,561,318,237,239,24958.0
782,562,318,238,240,25018.0
784,564,319,239,241,25078.0
785,565,320,239,241,25138.0
787,567,321,240,242,25198.0
788,568,322,240,242,25258.0
790,570,323,241,243,25318.0
791,571,323,242,244,25378.0
793,573,325,242,244,25438.0
794,574,325,243,245,25498.0
796,576,326,244,246,25558.0
797,577,327,244,246,25618.0
799,579,328,245,247,25678.0
800,580,329,245,247,25738.0
802,582,330,246,248,25798.0
803,583,330,247,249,25858.0
805,585,331,248,250,25918.0
806,586,332,248,250,25978.0
808,588,333,249,251,26038.0
809,589,334,249,251,26098.0
811,591,335,250,252,26158.0
812,592,335,251,253,26218.0
814,594,337,251,253,26278.0
815,595,337,252,254,26338.0
817,597,338,253,255,26398.0
818,598,339,253,255,26458.0
820,600,340,254,256,26518.0
821,601,341,254,256,26578.0
823,603,342,255,257,26638.0
824,604,342,256,258,26698.0
826,606,343,257,259,26758.0
827,607,344,257,259,26818.0
829,609,345,258,260,26878.0
830,610,346,258,260,26938.0
832,612,347,259,261,26998.0
833,613,347,260,262,27058.0
835,615,349,260,262,27118.0
836,616,349,261,263,27178.0
838,618,350,262,264,27238.0
839,619,351,262,264,27298.0
841,621,352,263,265,27358.0
842,622,353,263,265,27418.0
844,624,354,264,266,27478.0
845,625,354,265,267,27538.0
847,627,355,266,268,27598.0
848,628,356,266,268,27658.0
850,630,357,267,269,27718.0
851,631,358,267,269,27778.0
853,633,359,268,270,27838.0
854,634,359,269,271,27898.0
856,636,361,269,271,27958.0
857,637,361,270,272,28018.0
859,639,362,271,273,28078.0
860,640,363,271,273,28138.0
862,642,364,272,274,28198.0
863,643,365,272,274,28258.0
865,645,366,273,275,28318.0
866,646,366,274,276,28378.0
868,648,367,275,277,28438.0
869,649,368,275,277,28498.0
871,651,369,276,278,28558.0
872,652,370,276,278,28618.0
874,654,371,277,279,28678.0
875,655,371,278,280,28738.0
877,657,373,278,280,28798.0
878,658,373,279,281,28858.0
880,660,374,280,282,28918.0
881,661,375,280,282,28978.0
883,663,376,281,283,29038.0
884,664,377,281,283,29098.0
886,666,378,282,284,29158.0
887,667,378,283,285,29218.0
889,669,379,284,286,29278.0
890,670,380,284,286,29338.0
892,672,381,285,287,29398.0
893,673,382,285,287,29458.0
895,675,383,286,288,29518.0
896,676,383,287,289,29578.0
898,678,385,287,289,29638.0
899,679,385,288,290,29698.0
901,681,386,289,291,29758.0
902,682,387,289,291,29818.0
904,684,388,290,292,29878.0
905,685,389,290,292,29938.0
907,687,390,291,293,29998.0
908,688,390,292,294,30058.0
910,690,391,293,295,30118.0
911,691,392,293,295,30178.0
913,693,393,294,296,30238.0
914,694,394,294,296,30298.0
916,696,395,295,297,30358.0
917,697,395,296,298,30418.0
919,699,397,296,298,30478.0
920,700,397,297,299,30538.0
922,702,398,298,300,30598.0
923,703,399,298,300,30658.0
925,705,400,299,301,30718.0
926,706,401,299,301,30778.0
928,708,402,300,302,30838.0
929,709,402,301,303,30898.0
931,711,403,302,304,30958.0
932,712,404,302,304,31018.0
934,714,405,303,305,31078.0
935,715,406,303,305,31138.0
937,717,407,304,306,31198.0
938,718,407,305,307,31258.0
940,720,409,305,307,31318.0
941,721,409,306,308,31378.0
943,723,410,307,309,31438.0
944,724,411,307,309,31498.0
946,726,412,308,310,31558.0
947,727,413,308,310,31618.0
949,729,414,309,311,31678.0
