,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distReal1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,Statistic.distReal3
0,34296,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
1,38769,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
2,34346,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
3,38819,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
4,34396,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
5,38869,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
6,34446,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
7,38919,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
8,34496,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
9,38969,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
10,34546,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
11,39019,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
12,34596,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
13,39069,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
14,34646,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
15,39119,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
16,34696,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
17,39169,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
18,34746,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
19,39219,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
20,34796,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
21,39269,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
22,34846,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
23,39319,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
24,34896,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
25,39369,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
26,34946,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
27,39419,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
28,34996,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
29,39469,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
30,35046,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
31,39519,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
32,35096,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
33,39569,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
34,35146,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
35,39619,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
36,35196,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
37,39669,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
38,35246,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
39,39719,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
40,35296,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
41,39769,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
42,35346,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
43,39819,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
44,35396,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
45,39869,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
46,35446,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
47,39919,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
48,35496,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
49,39969,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
50,35546,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
51,40019,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
52,35596,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
53,40069,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
54,35646,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
55,40119,0,,,,,,,314.0,41.0,0.0,0.0,-1.0,2.3140227794647217
56,35696,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
57,40169,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
58,35746,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
59,40219,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
60,35796,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
61,40269,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
62,35846,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
63,40319,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
64,35896,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
65,40369,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
66,35946,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
67,40419,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
68,35996,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
69,40469,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
70,36046,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
71,40519,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
72,36096,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
73,40569,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
74,36146,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
75,40619,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
76,36196,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
77,40669,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
78,36246,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
79,40719,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
80,36296,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
81,40769,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
82,36346,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
83,40819,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
84,36396,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
85,40869,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
86,36446,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
87,40919,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
88,36496,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
89,40969,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
90,36546,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
91,41019,0,,,,,,,332.0,42.0,0.0,0.0,-1.0,2.313899040222168
92,36596,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
93,41069,0,,,,,,,341.0,43.0,0.0,0.0,-1.0,2.3114027976989746
94,36646,1,0.0,0.0,0.0,0.0,-1.0,-1.0,,,,,,
95,41119,0,,,,,,,341.0,43.0,0.0,0.0,-1.0,2.3114027976989746
96,36696,1,387.0,1.0,0.0,0.0,-1.0,2.3133931159973145,,,,,,
97,41169,0,,,,,,,342.0,44.0,0.0,0.0,-1.0,2.3132381439208984
98,36746,1,387.0,1.0,0.0,0.0,-1.0,2.3133931159973145,,,,,,
99,41219,0,,,,,,,342.0,44.0,0.0,0.0,-1.0,2.3132381439208984
100,36796,1,388.0,2.0,0.0,0.0,-1.0,2.3133931159973145,,,,,,
101,41269,0,,,,,,,343.0,45.0,0.0,0.0,-1.0,2.3133931159973145
102,36846,1,388.0,2.0,0.0,0.0,-1.0,2.3133931159973145,,,,,,
103,41319,0,,,,,,,343.0,45.0,0.0,0.0,-1.0,2.3133931159973145
104,36896,1,389.0,3.0,1.0,0.0,225.0,2.2971956729888916,,,,,,
105,41369,0,,,,,,,344.0,46.0,1.0,0.0,224.0,2.3115103244781494
106,36946,1,389.0,3.0,1.0,0.0,225.0,2.2971956729888916,,,,,,
107,41419,0,,,,,,,344.0,46.0,1.0,0.0,224.0,2.3115103244781494
108,36996,1,390.0,4.0,2.0,0.0,223.0,2.2962589263916016,,,,,,
109,41469,0,,,,,,,345.0,47.0,2.0,0.0,224.0,2.2962589263916016
110,37046,1,390.0,4.0,2.0,0.0,223.0,2.2962589263916016,,,,,,
111,41519,0,,,,,,,345.0,47.0,2.0,0.0,224.0,2.2962589263916016
112,37096,1,391.0,5.0,3.0,0.0,225.0,2.295994281768799,,,,,,
113,41569,0,,,,,,,346.0,48.0,3.0,0.0,223.0,2.295994281768799
114,37146,1,391.0,5.0,3.0,0.0,225.0,2.295994281768799,,,,,,
115,41619,0,,,,,,,346.0,48.0,3.0,0.0,223.0,2.295994281768799
116,37196,1,392.0,6.0,4.0,0.0,224.0,2.303471565246582,,,,,,
117,41669,0,,,,,,,347.0,49.0,4.0,0.0,224.0,2.2955522537231445
118,37246,1,392.0,6.0,4.0,0.0,224.0,2.303471565246582,,,,,,
119,41719,0,,,,,,,347.0,49.0,4.0,0.0,224.0,2.2955522537231445
120,37296,1,393.0,7.0,5.0,0.0,227.0,2.3243417739868164,,,,,,
121,41769,0,,,,,,,348.0,50.0,5.0,0.0,225.0,2.308393716812134
122,37346,1,393.0,7.0,5.0,0.0,227.0,2.3243417739868164,,,,,,
123,41819,0,,,,,,,348.0,50.0,5.0,0.0,225.0,2.308393716812134
124,37396,1,394.0,8.0,6.0,0.0,228.0,2.320399522781372,,,,,,
125,41869,0,,,,,,,349.0,51.0,6.0,0.0,227.0,2.31912899017334
126,37446,1,394.0,8.0,6.0,0.0,228.0,2.320399522781372,,,,,,
127,41919,0,,,,,,,349.0,51.0,6.0,0.0,227.0,2.31912899017334
128,37496,1,395.0,9.0,7.0,0.0,227.0,2.348724126815796,,,,,,
129,41969,0,,,,,,,350.0,52.0,7.0,0.0,227.0,2.3474464416503906
130,37546,1,395.0,9.0,7.0,0.0,227.0,2.348724126815796,,,,,,
131,42019,0,,,,,,,350.0,52.0,7.0,0.0,227.0,2.3474464416503906
132,37596,1,396.0,10.0,8.0,0.0,228.0,2.3497328758239746,,,,,,
133,42069,0,,,,,,,351.0,53.0,8.0,0.0,228.0,2.349963426589966
134,37646,1,396.0,10.0,8.0,0.0,228.0,2.3497328758239746,,,,,,
135,42119,0,,,,,,,351.0,53.0,8.0,0.0,228.0,2.349963426589966
136,37696,1,397.0,11.0,9.0,0.0,226.0,2.3498528003692627,,,,,,
137,42169,0,,,,,,,352.0,54.0,9.0,0.0,227.0,2.3498528003692627
138,37746,1,397.0,11.0,9.0,0.0,226.0,2.3498528003692627,,,,,,
139,42219,0,,,,,,,352.0,54.0,9.0,0.0,227.0,2.3498528003692627
140,37796,1,398.0,12.0,10.0,0.0,226.0,2.3176920413970947,,,,,,
141,42269,0,,,,,,,353.0,55.0,10.0,0.0,227.0,2.3526382446289062
142,37846,1,398.0,12.0,10.0,0.0,226.0,2.3176920413970947,,,,,,
143,42319,0,,,,,,,353.0,55.0,10.0,0.0,227.0,2.3526382446289062
144,37896,1,399.0,13.0,11.0,0.0,224.0,2.302286386489868,,,,,,
145,42369,0,,,,,,,354.0,56.0,11.0,0.0,224.0,2.306013345718384
146,37946,1,399.0,13.0,11.0,0.0,224.0,2.302286386489868,,,,,,
147,42419,0,,,,,,,354.0,56.0,11.0,0.0,224.0,2.306013345718384
148,37996,1,400.0,14.0,12.0,0.0,221.0,2.2747817039489746,,,,,,
149,42469,0,,,,,,,355.0,57.0,12.0,0.0,222.0,2.284511089324951
150,38046,1,400.0,14.0,12.0,0.0,221.0,2.2747817039489746,,,,,,
151,42519,0,,,,,,,355.0,57.0,12.0,0.0,222.0,2.284511089324951
152,38096,1,401.0,15.0,13.0,0.0,220.0,2.275101900100708,,,,,,
153,42569,0,,,,,,,356.0,58.0,13.0,0.0,220.0,2.2748727798461914
154,38146,1,401.0,15.0,13.0,0.0,220.0,2.275101900100708,,,,,,
155,42619,0,,,,,,,356.0,58.0,13.0,0.0,220.0,2.2748727798461914
156,38196,1,402.0,16.0,14.0,0.0,220.0,2.286466598510742,,,,,,
157,42669,0,,,,,,,357.0,59.0,14.0,0.0,221.0,2.2689504623413086
158,38246,1,402.0,16.0,14.0,0.0,220.0,2.286466598510742,,,,,,
159,42719,0,,,,,,,357.0,59.0,14.0,0.0,221.0,2.2689504623413086
160,38296,1,403.0,17.0,15.0,0.0,219.0,2.2968337535858154,,,,,,
161,42769,0,,,,,,,358.0,60.0,15.0,0.0,220.0,2.2823832035064697
162,38346,1,403.0,17.0,15.0,0.0,219.0,2.2968337535858154,,,,,,
163,42819,0,,,,,,,358.0,60.0,15.0,0.0,220.0,2.2823832035064697
164,38396,1,404.0,18.0,16.0,0.0,223.0,2.300638437271118,,,,,,
165,42869,0,,,,,,,359.0,61.0,16.0,0.0,223.0,2.300638437271118
166,38446,1,404.0,18.0,16.0,0.0,223.0,2.300638437271118,,,,,,
167,42919,0,,,,,,,359.0,61.0,16.0,0.0,223.0,2.300638437271118
168,38496,1,405.0,19.0,17.0,0.0,224.0,2.3122901916503906,,,,,,
169,42969,0,,,,,,,360.0,62.0,17.0,0.0,224.0,2.30439829826355
170,38546,1,405.0,19.0,17.0,0.0,224.0,2.3122901916503906,,,,,,
171,43019,0,,,,,,,360.0,62.0,17.0,0.0,224.0,2.30439829826355
172,38596,1,406.0,20.0,18.0,0.0,224.0,2.3162848949432373,,,,,,
173,43069,0,,,,,,,361.0,63.0,18.0,0.0,223.0,2.3162848949432373
174,38646,1,406.0,20.0,18.0,0.0,224.0,2.3162848949432373,,,,,,
175,43119,0,,,,,,,361.0,63.0,18.0,0.0,223.0,2.3162848949432373
176,38696,1,407.0,21.0,19.0,0.0,222.0,2.324594736099243,,,,,,
177,43169,0,,,,,,,362.0,64.0,19.0,0.0,221.0,2.3162848949432373
178,38746,1,407.0,21.0,19.0,0.0,222.0,2.324594736099243,,,,,,
179,43219,0,,,,,,,362.0,64.0,19.0,0.0,221.0,2.3162848949432373
180,38796,1,408.0,22.0,20.0,0.0,224.0,2.290721893310547,,,,,,
181,43269,0,,,,,,,363.0,65.0,20.0,0.0,224.0,2.3154749870300293
182,38846,1,408.0,22.0,20.0,0.0,224.0,2.290721893310547,,,,,,
183,43319,0,,,,,,,363.0,65.0,20.0,0.0,224.0,2.3154749870300293
184,38896,1,409.0,23.0,21.0,0.0,224.0,2.30403733253479,,,,,,
