,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distSrc1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.distSrc2,UAV1x,UAV1y,UAV1z,UAV2x,UAV2y,UAV2z
0,35005,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0267689,0.14969328,0.03915257,-1.1610856,0.29855382,0.092209905
1,19839,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.02669,0.14975646,0.03911538,-1.1611224,0.29866284,0.09225726
2,35055,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0336764,0.14320478,0.038814325,-1.1610563,0.29877847,0.0922607
3,19889,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0333645,0.14344229,0.0389509,-1.1609633,0.298953,0.09253096
4,35105,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0267153,0.14974314,0.039198708,-1.1615837,0.29925624,0.09274365
5,19939,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0265255,0.14948876,0.039128765,-1.1613923,0.2992789,0.09284825
6,35155,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0263733,0.14952858,0.038985457,-1.1616307,0.29896635,0.0927636
7,19989,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.026232,0.14915614,0.03928668,-1.1616989,0.29881307,0.09286658
8,35205,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0259966,0.14872637,0.039035007,-1.1612432,0.29868808,0.09315227
9,20039,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0257795,0.1484971,0.039117053,-1.1612835,0.29850098,0.09343985
10,35255,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0257041,0.14803784,0.039072752,-1.1608667,0.2982268,0.09287246
11,20089,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0257901,0.14783892,0.039607197,-1.16116,0.29780903,0.09324874
12,35305,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0256938,0.14691317,0.039544117,-1.1611247,0.2976064,0.09304786
13,20139,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0256085,0.14681834,0.039328307,-1.1608897,0.29758608,0.09308585
14,35355,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0256225,0.14662993,0.039350376,-1.1608232,0.29743484,0.09321738
15,20189,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0257589,0.14648256,0.039468218,-1.160751,0.29735118,0.09326062
16,35405,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0256873,0.14713077,0.04022876,-1.1606032,0.2969923,0.09338196
17,20239,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0257132,0.14731956,0.04038178,-1.16048,0.29693654,0.09338366
18,35455,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0262762,0.14814533,0.04057027,-1.1605835,0.2967226,0.09370575
19,20289,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0331753,0.14286536,0.041244123,-1.1606299,0.29672977,0.0941399
20,35505,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0336562,0.14400855,0.04194573,-1.1610118,0.29692218,0.09427692
21,20339,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.026731,0.15079258,0.04226466,-1.160881,0.29688752,0.094809584
22,35555,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0341445,0.16027132,0.041531816,-1.1614153,0.297996,0.097180545
23,20389,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0272709,0.15457986,0.042545516,-1.1615164,0.2983359,0.097719125
24,35605,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0347477,0.15118149,0.043636322,-1.162637,0.29863653,0.10052463
25,20439,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0347809,0.15197043,0.04389113,-1.1628606,0.29938033,0.10163665
26,35655,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0287238,0.16037281,0.045077804,-1.1638838,0.29983252,0.103642404
27,20489,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0277151,0.1605866,0.045622442,-1.164128,0.29993987,0.10489932
28,35705,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0347493,0.15638988,0.049468547,-1.1672093,0.30083665,0.11054875
29,20539,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0342579,0.1568575,0.05078014,-1.1676877,0.3013214,0.113182254
30,35755,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0327929,0.15589415,0.062982455,-1.1731148,0.3013835,0.12723114
31,20589,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0328122,0.15535088,0.06543806,-1.1745064,0.30110264,0.13028684
32,35805,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0311784,0.15100627,0.07526681,-1.1787673,0.30054733,0.14189239
33,20639,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0310261,0.14931189,0.077487305,-1.1799637,0.30031985,0.14560474
34,35855,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0285488,0.14161244,0.08750736,-1.184268,0.29874277,0.15958989
35,20689,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,1.0288404,0.13864258,0.09042274,-1.1854317,0.298328,0.16272011
36,35905,"log[1, 1, 0, 0, 0, 2.0]",446,6,1,1,-1,255,0,0,0,0,-1,255,1.0269274,0.12788917,0.09880653,-1.1895374,0.2956105,0.17674133
37,20739,log0,0,0,0,0,-1,255,667,1,0,0,-1,255,1.0256739,0.13460752,0.10532298,-1.1910185,0.29430836,0.18330774
38,20789,log0,0,0,0,0,-1,255,668,2,0,0,-1,255,1.0240864,0.1206272,0.11090123,-1.1956124,0.29088473,0.19561458
39,35955,"log[1, 1, 0, 0, 0, 2.0]",365,7,1,1,-1,255,0,0,0,0,-1,255,1.0169796,0.10573011,0.11255952,-1.1972758,0.2889962,0.20138212
40,36005,"log[1, 1, 0, 0, 0, 2.0]",366,8,1,1,-1,255,0,0,0,0,-1,255,1.0168548,0.09881109,0.11452781,-1.1989871,0.28686315,0.20614047
41,20839,log0,0,0,0,0,-1,255,669,3,1,0,209,1,1.0162596,0.094780914,0.11570639,-1.1999177,0.28610587,0.20890495
42,36055,"log[1, 1, 0, 0, 0, 2.0]",367,9,2,1,210,1,0,0,0,0,-1,255,1.015273,0.07992605,0.119250275,-1.2030636,0.28156194,0.21689041
43,20889,log0,0,0,0,0,-1,255,670,4,1,1,210,2,1.0150822,0.07599199,0.11986919,-1.203561,0.28059703,0.21888562
44,36105,"log[1, 1, 0, 0, 0, 2.0]",367,9,2,1,210,1,0,0,0,0,-1,255,1.0140481,0.061682615,0.12216268,-1.2067401,0.27643743,0.22450191
45,20939,log0,0,0,0,0,-1,255,671,5,2,1,212,1,1.0139674,0.058529135,0.12252444,-1.2074454,0.2752435,0.22583723
46,20989,log0,0,0,0,0,-1,255,672,6,3,1,218,1,1.0147045,0.04650354,0.12441858,-1.2101508,0.2709187,0.22957835
47,21039,log0,0,0,0,0,-1,255,673,7,3,2,213,2,1.0155753,0.032812018,0.12696944,-1.2147543,0.26467347,0.23310027
48,36155,"log[1, 1, 0, 0, 0, 2.0]",369,10,3,1,211,1,0,0,0,0,-1,255,1.01435,0.031045526,0.1271444,-1.2154095,0.26394308,0.23403227
49,36205,"log[1, 1, 0, 0, 0, 2.0]",369,10,3,1,211,1,0,0,0,0,-1,255,1.0153278,0.029381229,0.12740625,-1.2159909,0.26288792,0.234174
50,36255,"log[1, 1, 0, 0, 0, 2.0]",369,10,3,1,211,1,0,0,0,0,-1,255,1.015272,0.026633698,0.12832184,-1.217218,0.2615845,0.23551726
51,21089,log0,0,0,0,0,-1,255,674,8,3,3,211,2,1.0235835,0.01929072,0.12959924,-1.2179195,0.26061153,0.23599878
52,36305,"log[1, 1, 0, 0, 0, 2.0]",369,10,3,1,211,1,0,0,0,0,-1,255,1.0168406,0.022078248,0.13056059,-1.2201684,0.25726408,0.23772198
53,21139,log0,0,0,0,0,-1,255,675,9,3,4,207,2,1.0173866,0.021643236,0.1312416,-1.2210231,0.2568903,0.2383733
54,36355,"log[1, 1, 0, 0, 0, 2.0]",373,11,3,1,211,1,0,0,0,0,-1,255,1.0181009,0.021472584,0.13213171,-1.22203,0.25577328,0.23942937
55,21189,log0,0,0,0,0,-1,255,676,10,4,4,215,1,1.0194399,0.022863314,0.13701344,-1.225521,0.25276035,0.24392433
56,21239,log0,0,0,0,0,-1,255,676,10,4,4,215,1,1.0205003,0.024253836,0.1388928,-1.2263265,0.25245908,0.24519463
57,36405,"log[1, 1, 0, 0, 0, 2.0]",373,11,3,1,211,1,0,0,0,0,-1,255,0.0,0.0,4e-45,0.0,0.0,4e-45
58,36455,"log[1, 1, 0, 0, 0, 2.0]",373,11,3,1,211,1,0,0,0,0,-1,255,1.0212172,0.025921186,0.14085837,-1.2271585,0.2523777,0.24787629
59,21289,log0,0,0,0,0,-1,255,678,11,4,5,215,2,1.0213573,0.026723955,0.14206915,-1.2276735,0.25197828,0.2488703
60,36505,"log[1, 1, 0, 0, 0, 2.0]",376,12,4,1,219,1,0,0,0,0,-1,255,1.0228455,0.032501753,0.14694878,-1.2296102,0.25181118,0.25253525
61,21339,log0,0,0,0,0,-1,255,679,12,5,5,214,1,1.0236033,0.03512945,0.15007958,-1.2301242,0.2519498,0.25509307
62,36555,"log[1, 1, 0, 0, 0, 2.0]",377,13,5,1,217,1,0,0,0,0,-1,255,1.023665,0.042697057,0.15785655,-1.2316867,0.25228935,0.26029435
63,21389,log0,0,0,0,0,-1,255,679,12,5,5,214,1,1.0314554,0.051615283,0.15932281,-1.2315729,0.25292662,0.26185444
64,36605,"log[1, 1, 0, 0, 0, 2.0]",377,13,5,1,217,1,0,0,0,0,-1,255,1.0242171,0.050347593,0.16651368,-1.2324075,0.254111,0.26659214
