,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distReal1,UAV1x,UAV1y,UAV1z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,Statistic.distReal3
0,46178,1,335.0,331.0,326.0,1.0,275.0,0.0,0.91308683,-0.7938329,0.053071924,-0.92115176,1.2338923,0.07565833,2.734339169605663,,,,,,
1,35947,0,,,,,,,0.91155106,-0.7949579,0.054954465,-0.92116714,1.2340095,0.07611197,2.734229695864635,437.0,332.0,325.0,3.0,273.0,0.0
2,46278,1,336.0,332.0,327.0,1.0,278.0,0.0,0.9119883,-0.7945425,0.054253697,-0.9211003,1.2339985,0.075806014,2.7341648445880447,,,,,,
3,36047,0,,,,,,,0.9115018,-0.79496455,0.054973297,-0.9210187,1.2341796,0.07564966,2.734224822032646,438.0,333.0,326.0,3.0,277.0,0.0
4,46378,1,337.0,333.0,328.0,1.0,275.0,0.0,0.9127538,-0.7940237,0.053455267,-0.92104423,1.2341166,0.075740576,2.7343491052050624,,,,,,
5,36147,0,,,,,,,0.9127951,-0.79397744,0.053392816,-0.9212343,1.23396,0.075649075,2.7343535729005763,439.0,334.0,327.0,3.0,277.0,0.0
6,46478,1,338.0,334.0,329.0,1.0,273.0,0.0,0.9115127,-0.7949786,0.054988753,-0.9212122,1.2339263,0.07589952,2.7341859193468427,,,,,,
7,36247,0,,,,,,,0.9130149,-0.7938681,0.05315368,-0.92110926,1.2340463,0.07562619,2.734401854488662,440.0,335.0,328.0,3.0,274.0,0.0
8,46578,1,339.0,335.0,330.0,1.0,267.0,0.0,0.9112778,-0.7949786,0.055097383,-0.9210969,1.2341527,0.075655535,2.7341166651396183,,,,,,
9,36347,0,,,,,,,0.9113922,-0.79497814,0.05502053,-0.92092854,1.2337537,0.07608648,2.733787792642361,441.0,336.0,329.0,3.0,269.0,0.0
10,46678,1,340.0,336.0,331.0,1.0,268.0,0.0,0.91147137,-0.79497075,0.054977495,-0.92119366,1.2339526,0.07551645,2.734156788451867,,,,,,
11,36447,0,,,,,,,0.91306084,-0.7938676,0.053129498,-0.9213545,1.2339166,0.07512483,2.734496792546682,442.0,337.0,330.0,3.0,268.0,0.0
12,46778,1,341.0,337.0,332.0,1.0,268.0,0.0,0.9122006,-0.7943998,0.05421647,-0.9212782,1.233937,0.07586434,2.7342756255885017,,,,,,
13,36547,0,,,,,,,0.91302043,-0.79384536,0.05314562,-0.92111576,1.2340573,0.0757665,2.734402392983098,443.0,338.0,331.0,3.0,268.0,0.0
14,46878,1,342.0,338.0,333.0,1.0,273.0,0.0,0.91273755,-0.7940207,0.05346418,-0.92081124,1.2337017,0.076109655,2.7338748921086853,,,,,,
15,36647,0,,,,,,,0.91231257,-0.79432505,0.05341138,-0.92115235,1.23399,0.0760893,2.734258527737441,444.0,339.0,332.0,3.0,272.0,0.0
16,36747,0,,,,,,,0.9114452,-0.79500824,0.055028167,-0.9212449,1.2339853,0.075608954,2.734225978096626,445.0,340.0,333.0,3.0,276.0,0.0
17,46978,1,343.0,339.0,334.0,1.0,276.0,0.0,0.9114459,-0.794989,0.054996166,-0.9212156,1.233955,0.07564285,2.734170497957255,,,,,,
18,47078,1,344.0,340.0,335.0,1.0,278.0,0.0,0.91121894,-0.7951094,0.055306613,-0.9212199,1.2341906,0.07539837,2.7342812799825587,,,,,,
19,36847,0,,,,,,,0.9111886,-0.79508716,0.055271603,-0.92098284,1.2343808,0.07627299,2.7342336858461596,446.0,341.0,334.0,3.0,276.0,0.0
20,36947,0,,,,,,,0.91116947,-0.7950942,0.05529467,-0.92102057,1.2341311,0.07565951,2.734061187400514,447.0,342.0,335.0,3.0,282.0,0.0
21,47178,1,345.0,341.0,336.0,1.0,281.0,0.0,0.9112137,-0.79506373,0.05521191,-0.9211478,1.2339164,0.07612634,2.733998318964794,,,,,,
22,47278,1,346.0,342.0,337.0,1.0,278.0,0.0,0.91152364,-0.7949697,0.054950602,-0.9212299,1.2340542,0.0755345,2.734290979528378,,,,,,
23,37047,0,,,,,,,0.9114215,-0.79499805,0.05504967,-0.92116344,1.2340256,0.07569726,2.7341782212990933,448.0,343.0,336.0,3.0,278.0,0.0
24,37147,0,,,,,,,0.9122744,-0.79420024,0.053457383,-0.9212951,1.233755,0.076090865,2.7340614763943263,449.0,344.0,337.0,3.0,272.0,0.0
25,47378,1,347.0,343.0,338.0,1.0,271.0,0.0,0.9129932,-0.79383296,0.05312629,-0.92103493,1.2332059,0.076824695,2.7336984334235064,,,,,,
26,37247,0,,,,,,,0.9127159,-0.7940922,0.05356847,-0.92117447,1.2339709,0.07593921,2.734354468506492,450.0,345.0,338.0,3.0,276.0,0.0
27,47478,1,348.0,344.0,339.0,1.0,278.0,0.0,0.912798,-0.7939816,0.053363357,-0.9211428,1.2339631,0.07566648,2.7342999484780273,,,,,,
28,47578,1,349.0,345.0,340.0,1.0,276.0,0.0,0.91306794,-0.7938202,0.053036653,-0.9213241,1.233708,0.07604901,2.734299688811742,,,,,,
29,37347,0,,,,,,,0.913237,-0.7938253,0.053055547,-0.92133117,1.2337873,0.075971864,2.7344795909935415,451.0,346.0,339.0,3.0,278.0,0.0
30,47678,1,350.0,346.0,341.0,1.0,271.0,0.0,0.91267645,-0.794203,0.052867338,-0.9212255,1.2339358,0.07567058,2.7344219501296863,,,,,,
31,37447,0,,,,,,,0.9127148,-0.7940894,0.053553883,-0.9210768,1.2340271,0.07577833,2.734326528565086,452.0,347.0,340.0,3.0,271.0,0.0
32,47778,1,351.0,347.0,342.0,1.0,269.0,0.0,0.9115498,-0.7949784,0.054951105,-0.9212244,1.2341417,0.075439714,2.7343753874089987,,,,,,
33,37547,0,,,,,,,0.91156256,-0.7949043,0.054841913,-0.9211661,1.23413,0.07552685,2.7342828267403827,453.0,348.0,341.0,3.0,271.0,0.0
34,47878,1,352.0,348.0,343.0,1.0,273.0,0.0,0.9127719,-0.7940611,0.053479206,-0.9212656,1.2340077,0.07593373,2.7344580619442067,,,,,,
35,37647,0,,,,,,,0.9130931,-0.7938545,0.05307672,-0.92113686,1.2339244,0.076149374,2.7343772533257846,454.0,349.0,342.0,3.0,270.0,0.0
36,47978,1,353.0,349.0,344.0,1.0,273.0,0.0,0.9127269,-0.79407156,0.053533647,-0.9210485,1.234316,0.07543419,2.734514197183541,,,,,,
37,37747,0,,,,,,,0.910948,-0.7954571,0.055171702,-0.92109114,1.2339604,0.07581632,2.734104785622207,455.0,350.0,343.0,3.0,274.0,0.0
38,37847,0,,,,,,,0.91144353,-0.7951906,0.055054694,-0.9211133,1.2341505,0.07647549,2.7344010727955155,456.0,351.0,344.0,3.0,273.0,0.0
39,48078,1,354.0,350.0,345.0,1.0,273.0,0.0,0.9113415,-0.7951844,0.055071585,-0.9213539,1.23405,0.076138385,2.7344118926721874,,,,,,
40,48178,1,355.0,351.0,346.0,1.0,273.0,0.0,0.9109491,-0.7955732,0.05580589,-0.9210536,1.2340834,0.075775854,2.7342528381409092,,,,,,
41,37947,0,,,,,,,0.91092527,-0.7955982,0.055785857,-0.9211424,1.2340109,0.07565127,2.7342604691514842,457.0,352.0,345.0,3.0,273.0,0.0
42,38047,0,,,,,,,0.9107521,-0.79557794,0.055929687,-0.92106235,1.2340046,0.07584449,2.7340713576481774,458.0,353.0,346.0,3.0,274.0,0.0
43,48278,1,356.0,352.0,347.0,1.0,272.0,0.0,0.9109827,-0.7957703,0.056147065,-0.9211347,1.2339414,0.07620205,2.7343712604570243,,,,,,
