,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3
0,64008,1,553.0,525.0,513.0,7.0,212.0,0.5844124,1.2806627,0.037823644,-0.12101452,-0.5755783,0.077200525,1.9861541478392628,,,,,
1,57797,0,,,,,,0.584475,1.2804235,0.03745998,-0.12103723,-0.5756501,0.07722352,1.986035728410957,615.0,526.0,512.0,9.0,213.0
2,64108,1,554.0,526.0,514.0,7.0,209.0,0.58444583,1.2804672,0.03750318,-0.12101862,-0.57568944,0.07720187,1.9860950127796682,,,,,
3,57897,0,,,,,,0.5844474,1.2804618,0.037485022,-0.12104219,-0.57566494,0.07737704,1.9860799475508273,616.0,527.0,513.0,9.0,209.0
4,64208,1,555.0,527.0,515.0,7.0,213.0,0.5844649,1.280437,0.037448287,-0.120978534,-0.57563406,0.07723001,1.986009208081556,,,,,
5,57997,0,,,,,,0.5844766,1.2804337,0.037455004,-0.12100519,-0.5760585,0.07691683,1.9864100550416723,617.0,528.0,514.0,9.0,213.0
6,64308,1,556.0,528.0,516.0,7.0,212.0,0.5844609,1.2804426,0.037484225,-0.1210619,-0.5755957,0.077266626,1.986006898353679,,,,,
7,58097,0,,,,,,0.5844034,1.2806834,0.03783467,-0.12094855,-0.57567596,0.07719678,1.9862378583985196,618.0,529.0,515.0,9.0,213.0
8,64408,1,557.0,529.0,517.0,7.0,207.0,0.5844754,1.2804188,0.03745918,-0.120960526,-0.57558817,0.077227816,1.9859463399659851,,,,,
9,58197,0,,,,,,0.58448344,1.280445,0.037485797,-0.12099403,-0.57565916,0.07718866,1.9860506913895295,619.0,530.0,516.0,9.0,206.0
10,64508,1,558.0,530.0,518.0,7.0,213.0,0.5844489,1.2804463,0.03747478,-0.12099973,-0.5756008,0.07716595,1.9859869562771675,,,,,
11,58297,0,,,,,,0.58447176,1.2804586,0.03749482,-0.12098828,-0.5756623,0.07719035,1.9860599597631072,620.0,531.0,517.0,9.0,214.0
12,64608,1,559.0,531.0,519.0,7.0,211.0,0.5844009,1.2806718,0.037855573,-0.12102161,-0.5756934,0.07737327,1.9862714697094157,,,,,
13,58397,0,,,,,,0.5844875,1.2804189,0.037447054,-0.12100111,-0.57606596,0.07685711,1.9864046655907535,621.0,532.0,518.0,9.0,210.0
14,64708,1,560.0,532.0,520.0,7.0,205.0,0.5847526,1.2800765,0.037166636,-0.12106964,-0.5756358,0.07721841,1.98581401057064,,,,,
15,58497,0,,,,,,0.5846853,1.2803158,0.037544303,-0.1210569,-0.57559514,0.07725044,1.9859642356840226,622.0,533.0,519.0,9.0,206.0
16,64808,1,561.0,533.0,521.0,7.0,218.0,0.5844339,1.2806503,0.037834574,-0.12101962,-0.575656,0.07721405,1.9862246947388364,,,,,
17,58597,0,,,,,,0.5843795,1.2806942,0.037874557,-0.121054575,-0.57566285,0.07720524,1.9862642883976915,623.0,534.0,520.0,9.0,217.0
18,64908,1,562.0,534.0,522.0,7.0,212.0,0.5847179,1.2800851,0.037158877,-0.12101912,-0.575671,0.07719609,1.9858243287680606,,,,,
19,58697,0,,,,,,0.58465165,1.280335,0.037544895,-0.12102384,-0.57566273,0.077228546,1.986021166376551,624.0,535.0,521.0,9.0,213.0
20,65008,1,563.0,535.0,523.0,7.0,213.0,0.5847153,1.2801129,0.0372083,-0.12103838,-0.57563096,0.077161886,1.9858171915907397,,,,,
21,58797,0,,,,,,0.5847187,1.2800797,0.03714797,-0.120995365,-0.57567835,0.07718745,1.9858180918420651,625.0,536.0,522.0,9.0,213.0
22,65108,1,564.0,536.0,524.0,7.0,213.0,0.5846513,1.2803361,0.037545778,-0.12101306,-0.5756606,0.07721719,1.9860160702415508,,,,,
23,58897,0,,,,,,0.58473253,1.2800747,0.037148852,-0.120953344,-0.57555175,0.07721656,1.9856856546418689,626.0,537.0,523.0,9.0,214.0
24,65208,1,565.0,537.0,525.0,7.0,213.0,0.5847434,1.280078,0.03715613,-0.12106053,-0.57569784,0.077193476,1.9858665918208922,,,,,
25,58997,0,,,,,,0.58473045,1.2800872,0.03716558,-0.12106314,-0.5756053,0.07725866,1.9857861829406667,627.0,538.0,524.0,9.0,213.0
26,65308,1,566.0,538.0,526.0,7.0,213.0,0.5844491,1.280448,0.037520982,-0.121054284,-0.5756212,0.077184975,1.9860263706565895,,,,,
27,59097,0,,,,,,0.5844043,1.2806677,0.037850298,-0.120998874,-0.57561064,0.07721325,1.9861802971807303,628.0,539.0,525.0,9.0,212.0
28,65408,1,567.0,539.0,527.0,7.0,211.0,0.58444464,1.2807482,0.03791218,-0.12106936,-0.57567704,0.07722076,1.9863559671541535,,,,,
29,59197,0,,,,,,0.58446795,1.2804376,0.03746858,-0.12098684,-0.57566917,0.077204786,1.986045742588345,629.0,540.0,526.0,9.0,212.0
30,65508,1,568.0,540.0,528.0,7.0,213.0,0.5844656,1.2806362,0.037811067,-0.12100703,-0.57565033,0.07722486,1.9862136767741962,,,,,
31,59297,0,,,,,,0.5844108,1.2806615,0.037837923,-0.12104377,-0.57565194,0.077227466,1.986231960174337,630.0,541.0,527.0,9.0,213.0
32,65608,1,569.0,541.0,529.0,7.0,212.0,0.58473647,1.2801129,0.037208498,-0.12102527,-0.5756026,0.07726899,1.9857956917589579,,,,,
33,59397,0,,,,,,0.5847259,1.2801292,0.037220195,-0.12096622,-0.57569665,0.07718268,1.985872134038234,631.0,542.0,528.0,9.0,212.0
34,59497,0,,,,,,0.58449596,1.2804221,0.037455205,-0.12107149,-0.5759825,0.077143,1.9863631127175438,632.0,543.0,529.0,9.0,215.0
