,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,541450,0,497.0,9207.0,9116.0,56.0,234.0,0.95804673,1.2477121,0.027422078,0.044094387,-0.79286987,0.6780741,2.328654472229457,,,,,
1,27427,1,,,,,,0.9580471,1.2477119,0.027419519,0.04408939,-0.79286325,0.6780953,2.3286571473630384,10778.0,494.0,491.0,0.0,233.0
2,541550,0,499.0,9209.0,9118.0,56.0,235.0,0.95805067,1.2477146,0.027423516,0.044092756,-0.79285544,0.6780776,2.3286467678921148,,,,,
3,27527,1,,,,,,0.9580519,1.2477119,0.027418751,0.04408498,-0.7928461,0.67807,2.328638885935046,10780.0,496.0,493.0,0.0,235.0
4,541650,0,501.0,9211.0,9120.0,56.0,232.0,0.9580515,1.2477126,0.02742597,0.044098247,-0.79288363,0.6780833,2.3286688408262455,,,,,
5,27627,1,,,,,,0.9580485,1.2477033,0.027416037,0.04398538,-0.79272985,0.6781436,2.3285887008451716,10782.0,498.0,495.0,0.0,231.0
6,541750,0,503.0,9213.0,9122.0,56.0,233.0,0.9580521,1.2476896,0.027414806,0.044086047,-0.79285234,0.6780561,2.3286217559071836,,,,,
7,27727,1,,,,,,0.9580524,1.2477051,0.027420819,0.044077367,-0.792815,0.6780441,2.3286012069372592,10784.0,500.0,497.0,0.0,232.0
8,541850,0,505.0,9215.0,9124.0,56.0,233.0,0.9580509,1.2477058,0.027422141,0.04409384,-0.79286987,0.67809534,2.3286568006471153,,,,,
9,27827,1,,,,,,0.9580486,1.2476976,0.027417818,0.044113733,-0.79287946,0.67808366,2.328647054296104,10786.0,502.0,499.0,0.0,234.0
10,541950,0,507.0,9217.0,9126.0,56.0,233.0,0.95805293,1.2477084,0.027425902,0.044106863,-0.7928699,0.67805415,2.3286422371007474,,,,,
11,27927,1,,,,,,0.95805275,1.2477092,0.027429355,0.044115856,-0.7928785,0.6780614,2.3286478484265185,10788.0,504.0,501.0,0.0,232.0
