,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3
0,21241,1,499.0,264.0,204.0,56.0,252.0,1.4478314,1.0679922,0.013288297,-0.0903051,-0.8762314,0.6888092,2.569474244204035,,,,,
1,27518,0,,,,,,1.4478369,1.0679969,0.013293301,-0.09031379,-0.87623584,0.68880105,2.5694861283922408,373.0,261.0,205.0,53.0,251.0
2,21341,1,501.0,265.0,205.0,56.0,251.0,1.447838,1.0679983,0.013291427,-0.090819985,-0.87622374,0.68899184,2.569832347117231,,,,,
3,27618,0,,,,,,1.4478273,1.06801,0.013289149,-0.090301804,-0.8762379,0.6888003,2.569485651063598,375.0,262.0,206.0,53.0,252.0
4,21441,1,503.0,266.0,206.0,56.0,249.0,1.4478308,1.0680016,0.013290059,-0.09030916,-0.8762341,0.6888118,2.569485733577158,,,,,
5,27718,0,,,,,,1.4478358,1.0679963,0.013287757,-0.090369746,-0.8761404,0.6887736,2.569440488035078,378.0,265.0,208.0,54.0,246.0
6,27818,0,,,,,,1.4478307,1.0679965,0.013281178,-0.090308405,-0.8762367,0.6887968,2.5694816512726826,380.0,267.0,209.0,55.0,247.0
7,21541,1,505.0,267.0,207.0,56.0,246.0,1.4478353,1.0680035,0.013295669,-0.09031564,-0.87623495,0.6888048,2.5694910482091142,,,,,
8,21641,1,506.0,268.0,208.0,56.0,248.0,1.4478295,1.0680013,0.013291898,-0.090362735,-0.8761513,0.6887785,2.5694448725342984,,,,,
9,27918,0,,,,,,1.4478315,1.0679917,0.0132876225,-0.09031204,-0.87623334,0.68881065,2.569480101046166,382.0,269.0,210.0,56.0,251.0
10,21741,1,509.0,270.0,210.0,56.0,249.0,1.4478273,1.068004,0.013292839,-0.0903089,-0.8762391,0.68880373,2.5694862619415897,,,,,
11,28018,0,,,,,,1.4478334,1.067998,0.013283445,-0.090312086,-0.876234,0.6887978,2.5694842580134445,383.0,270.0,211.0,56.0,250.0
12,21841,1,511.0,272.0,211.0,57.0,248.0,1.4478364,1.0680044,0.0132865235,-0.09030522,-0.87622434,0.68879056,2.56947666657031,,,,,
13,28118,0,,,,,,1.4478388,1.0679998,0.013286556,-0.090310596,-0.87622416,0.68880737,2.5694822061412497,386.0,272.0,213.0,56.0,246.0
14,21941,1,512.0,273.0,212.0,57.0,246.0,1.4478323,1.0679976,0.013299666,-0.09038003,-0.87615633,0.6887706,2.5694538043102697,,,,,
15,28218,0,,,,,,1.4478291,1.0679977,0.013290509,-0.09031066,-0.87622446,0.6888066,2.5694738906178984,388.0,274.0,214.0,57.0,248.0
16,22041,1,515.0,275.0,214.0,57.0,247.0,1.4478382,1.067999,0.013293799,-0.090314135,-0.87622875,0.68880004,2.5694829472603526,,,,,
