,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,32241,0,309.0,308.0,305.0,0.0,264.0,1.5414191,1.1136652,0.010538563,-0.090717606,-0.87560713,0.68906915,2.661104744629715,,,,,
1,24152,1,,,,,,1.5414149,1.1136671,0.010540248,-0.09073034,-0.87559456,0.6890851,2.661105563181455,988.0,717.0,304.0,407.0,264.0
2,32271,0,309.0,308.0,305.0,0.0,264.0,1.5414194,1.1136694,0.010540776,-0.090723835,-0.875599,0.68907344,2.6611063571426237,,,,,
3,24182,1,,,,,,1.5414127,1.113673,0.010563866,-0.09073217,-0.8755921,0.6890884,2.661102818660917,989.0,718.0,305.0,407.0,266.0
4,32301,0,310.0,309.0,306.0,0.0,266.0,1.5414128,1.1136715,0.010545925,-0.09071565,-0.87560666,0.68906146,2.6611002364179503,,,,,
5,24212,1,,,,,,1.5414245,1.1136657,0.01053291,-0.09072638,-0.87561035,0.68908453,2.661121572767684,990.0,719.0,305.0,408.0,266.0
6,32331,0,310.0,309.0,306.0,0.0,266.0,1.5414152,1.1136692,0.010549191,-0.09071744,-0.8755995,0.68908274,2.6611002561242834,,,,,
7,24242,1,,,,,,1.541415,1.1136637,0.010538955,-0.09071883,-0.8755912,0.689082,2.6610931709906573,991.0,720.0,306.0,408.0,264.0
8,32361,0,310.0,309.0,306.0,0.0,266.0,1.541413,1.1136687,0.010541138,-0.09071452,-0.87560076,0.6890686,2.661096185787257,,,,,
9,24272,1,,,,,,1.5414203,1.1136683,0.010535736,-0.090722516,-0.8755959,0.6890764,2.6611050705969075,992.0,721.0,306.0,409.0,264.0
10,32391,0,311.0,310.0,307.0,0.0,264.0,1.5414196,1.1136698,0.010548216,-0.09071913,-0.8756046,0.6890779,2.661107274534985,,,,,
11,24302,1,,,,,,1.5414184,1.113666,0.010542857,-0.09072562,-0.8756027,0.6890741,2.661106771533009,993.0,722.0,307.0,409.0,264.0
12,32421,0,311.0,310.0,307.0,0.0,264.0,1.5414197,1.11366,0.010529158,-0.090718396,-0.8756051,0.6890661,2.661101812303118,,,,,
13,24332,1,,,,,,1.5414127,1.1136664,0.010549323,-0.09072318,-0.87559617,0.68907905,2.661096712772312,994.0,723.0,307.0,410.0,265.0
14,32451,0,312.0,311.0,308.0,0.0,264.0,1.5414218,1.1136634,0.010535371,-0.090716146,-0.87558717,0.6890618,2.6610882085374143,,,,,
15,24362,1,,,,,,1.5414208,1.1136733,0.0105439555,-0.09071755,-0.8756004,0.6890801,2.6611082662147996,995.0,724.0,307.0,411.0,264.0
16,32481,0,312.0,311.0,308.0,0.0,264.0,1.5414242,1.1136651,0.010543188,-0.090731636,-0.8756051,0.6890901,2.6611190032855974,,,,,
17,24392,1,,,,,,1.5414202,1.1136683,0.010552802,-0.09072528,-0.8755932,0.68908715,2.6611030033247536,996.0,725.0,308.0,411.0,266.0
18,32511,0,313.0,312.0,309.0,0.0,266.0,1.5414214,1.1136645,0.0105403345,-0.090713434,-0.8755982,0.6890696,2.661096037465227,,,,,
19,24422,1,,,,,,1.5414184,1.1136636,0.010540589,-0.0907293,-0.87558186,0.68906504,2.661089839424056,997.0,726.0,308.0,412.0,266.0
20,32541,0,313.0,312.0,309.0,0.0,266.0,1.5414127,1.1136659,0.010549923,-0.0907226,-0.8756036,0.6890691,2.6610988257291632,,,,,
21,24452,1,,,,,,1.5414193,1.1136642,0.010537341,-0.09071481,-0.87559754,0.6890698,2.66109560225736,998.0,727.0,309.0,412.0,264.0
22,32571,0,313.0,312.0,309.0,0.0,266.0,1.5414205,1.1136677,0.0105399955,-0.0907233,-0.87559265,0.68907326,2.6611008310158857,,,,,
23,24482,1,,,,,,1.5414153,1.1136719,0.010543165,-0.090719506,-0.87559164,0.6890701,2.661096053335896,999.0,728.0,309.0,413.0,263.0
24,32601,0,314.0,313.0,310.0,0.0,263.0,1.5414193,1.113657,0.010540545,-0.090724304,-0.87559474,0.6890939,2.6610993745180944,,,,,
25,24512,1,,,,,,1.5414109,1.1136731,0.0105467215,-0.090722136,-0.8756057,0.68907934,2.661107806933471,1000.0,729.0,310.0,413.0,264.0
26,32631,0,314.0,313.0,310.0,0.0,263.0,1.541414,1.113674,0.010548584,-0.09073765,-0.87558055,0.68907666,2.6611000409849423,,,,,
27,24542,1,,,,,,1.5414188,1.1136608,0.010538572,-0.09073502,-0.8755915,0.6890761,2.661102007309815,1001.0,730.0,310.0,414.0,265.0
28,32661,0,315.0,314.0,311.0,0.0,265.0,1.5414135,1.1136731,0.010541301,-0.090725854,-0.87558717,0.68907905,2.661099160511799,,,,,
29,24572,1,,,,,,1.5414109,1.11367,0.0105468165,-0.09072962,-0.8756004,0.6890825,2.6611069655263693,1002.0,731.0,310.0,415.0,265.0
30,32691,0,315.0,314.0,311.0,0.0,265.0,1.5414116,1.1136736,0.010547427,-0.09071206,-0.8755936,0.68907404,2.6610918510822947,,,,,
31,24602,1,,,,,,1.541414,1.1136684,0.010556298,-0.09073209,-0.8756018,0.68908954,2.661109600577828,1003.0,732.0,311.0,415.0,264.0
32,32721,0,316.0,315.0,312.0,0.0,264.0,1.5414069,1.113666,0.010550204,-0.09072105,-0.8755912,0.68908006,2.6610879234979428,,,,,
33,24632,1,,,,,,1.5414047,1.1136813,0.010549033,-0.09072436,-0.87558967,0.68907005,2.66109656425971,1004.0,733.0,311.0,416.0,264.0
34,32751,0,316.0,315.0,312.0,0.0,264.0,1.5414139,1.1136717,0.010550953,-0.09073749,-0.8755838,0.6890805,2.66110081017954,,,,,
35,24662,1,,,,,,1.5414171,1.1136674,0.010543709,-0.09072863,-0.87560904,0.6890741,2.661113285608247,1005.0,734.0,312.0,416.0,265.0
36,32781,0,316.0,315.0,312.0,0.0,264.0,1.5414172,1.113669,0.010539859,-0.090736605,-0.875581,0.6890767,2.6611002201086587,,,,,
37,24692,1,,,,,,1.541414,1.1136823,0.010550146,-0.090713866,-0.87561363,0.68906575,2.661113164010021,1006.0,735.0,312.0,417.0,265.0
38,32811,0,317.0,316.0,313.0,0.0,265.0,1.5414151,1.1136711,0.010543937,-0.09071746,-0.87561303,0.68906784,2.6611092165690247,,,,,
39,24722,1,,,,,,1.5414143,1.1136711,0.010557293,-0.09072796,-0.875593,0.6890712,2.661097614587315,1007.0,736.0,313.0,417.0,266.0
40,32841,0,317.0,316.0,313.0,0.0,265.0,1.54141,1.113673,0.010549662,-0.09071776,-0.875607,0.6890704,2.6611024566436825,,,,,
41,24752,1,,,,,,1.5414177,1.1136668,0.010545161,-0.09072765,-0.87559515,0.6890797,2.6611032583407006,1008.0,737.0,313.0,418.0,265.0
42,32871,0,318.0,317.0,314.0,0.0,265.0,1.5414126,1.1136702,0.010540596,-0.09072236,-0.87559867,0.6890866,2.661104999964229,,,,,
43,24782,1,,,,,,1.5414088,1.1136677,0.010544793,-0.09074088,-0.8755898,0.6890844,2.661103974275872,1009.0,738.0,313.0,419.0,265.0
44,32901,0,318.0,317.0,314.0,0.0,265.0,1.5414196,1.11366,0.0105378525,-0.09071593,-0.8756071,0.6890881,2.6611051079299175,,,,,
45,24812,1,,,,,,1.5414152,1.1136736,0.010543185,-0.0907249,-0.8755922,0.6890768,2.6611026497242456,1010.0,739.0,314.0,419.0,264.0
46,32931,0,319.0,318.0,315.0,0.0,263.0,1.5414127,1.1136595,0.010539816,-0.09071629,-0.8755999,0.689084,2.661093833149215,,,,,
47,24842,1,,,,,,1.5414103,1.1136739,0.010552246,-0.090718016,-0.8755955,0.6890822,2.6610973359067134,1011.0,740.0,314.0,420.0,264.0
48,32961,0,319.0,318.0,315.0,0.0,263.0,1.5414195,1.1136645,0.010540268,-0.09073017,-0.8755903,0.68907005,2.661099416990342,,,,,
49,24872,1,,,,,,1.5414205,1.1136606,0.01054621,-0.09073492,-0.8755867,0.68908864,2.661100534466381,1012.0,741.0,315.0,420.0,263.0
50,32991,0,319.0,318.0,315.0,0.0,263.0,1.5414191,1.1136658,0.01053946,-0.090725094,-0.8755925,0.6890745,2.6610999753897664,,,,,
51,24902,1,,,,,,1.5414186,1.1136645,0.010546706,-0.09073037,-0.87560475,0.68908346,2.6611115391228384,1013.0,742.0,315.0,421.0,263.0
52,33021,0,320.0,319.0,316.0,0.0,263.0,1.5414217,1.1136599,0.010536006,-0.090726614,-0.875603,0.68908834,2.661110255103078,,,,,
53,24932,1,,,,,,1.5414233,1.113659,0.010538025,-0.090721585,-0.87561893,0.6890735,2.6611152241088742,1014.0,743.0,316.0,421.0,265.0
54,33051,0,320.0,319.0,316.0,0.0,263.0,1.5414191,1.1136642,0.010549838,-0.09071755,-0.8756021,0.68908095,2.66110033663867,,,,,
55,24962,1,,,,,,1.5414159,1.113661,0.010538529,-0.09071654,-0.87560385,0.6890783,2.661099001113928,1015.0,744.0,316.0,422.0,264.0
56,33081,0,321.0,320.0,317.0,0.0,264.0,1.5414172,1.113661,0.010545436,-0.090718284,-0.87559706,0.6890758,2.6610932743103284,,,,,
57,24992,1,,,,,,1.5414164,1.1136708,0.010552678,-0.09073836,-0.8755988,0.68908423,2.6611140516734935,1016.0,745.0,316.0,423.0,265.0
58,33111,0,321.0,320.0,317.0,0.0,264.0,1.5414202,1.1136625,0.010549152,-0.090720706,-0.8756129,0.68908113,2.6611099853422187,,,,,
59,25022,1,,,,,,1.5414199,1.1136519,0.010539568,-0.09072249,-0.87559724,0.6890804,2.6610934180985275,1017.0,746.0,317.0,423.0,263.0
60,33141,0,322.0,321.0,318.0,0.0,263.0,1.5414205,1.113653,0.010532504,-0.09071609,-0.87559843,0.6890761,2.6610923160358446,,,,,
61,25052,1,,,,,,1.5414156,1.1136582,0.010538341,-0.09072284,-0.8756088,0.68908113,2.6611048737702765,1018.0,747.0,317.0,424.0,263.0
62,33171,0,322.0,321.0,318.0,0.0,263.0,1.5414244,1.1136553,0.010537923,-0.0907304,-0.8755907,0.68908185,2.6610995686118164,,,,,
63,25082,1,,,,,,1.5414195,1.1136644,0.0105548585,-0.090723604,-0.875601,0.6890878,2.66110413219284,1019.0,748.0,318.0,424.0,262.0
64,33201,0,322.0,321.0,318.0,0.0,263.0,1.5414191,1.1136595,0.010538528,-0.09072256,-0.87560505,0.6890813,2.6611050496134205,,,,,
65,25112,1,,,,,,1.5414146,1.113655,0.010534407,-0.09071963,-0.8755884,0.6890699,2.661082816207006,1020.0,749.0,318.0,425.0,262.0
66,33231,0,323.0,322.0,319.0,0.0,262.0,1.5414227,1.1136574,0.010534568,-0.09072098,-0.87559235,0.68907654,2.6610950298131666,,,,,
