,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distSrc1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.distSrc2,UAV1x,UAV1y,UAV1z,UAV2x,UAV2y,UAV2z
0,46251,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,-2.2921107,-1.5085657,0.16011696,-0.45779148,-1.6122276,0.11070787
1,58175,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,-2.292477,-1.5082755,0.16022897,-0.45778075,-1.6121991,0.11070942
2,58225,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,-2.3093026,-1.4909568,0.160111,-0.4575798,-1.6119322,0.111017935
3,58275,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,-2.309178,-1.4911215,0.16056813,-0.45742595,-1.6119527,0.111164235
4,58325,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,-2.3092148,-1.4905068,0.16062187,-0.45754325,-1.611839,0.11105477
5,46351,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,-2.2930493,-1.5084155,0.16023834,-0.45762688,-1.6119726,0.11105195
6,46401,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,-2.3087256,-1.4899669,0.16005021,-0.45759746,-1.6120299,0.11113014
7,58375,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,-2.3086205,-1.4900744,0.15990342,-0.457553,-1.6119617,0.111216076
8,46451,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,-2.3087685,-1.4898568,0.15998618,-0.45753497,-1.6119342,0.11129543
9,58425,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,-2.3088453,-1.4898454,0.16006616,-0.4576234,-1.6119939,0.11131181
10,46501,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,-2.309237,-1.4899901,0.16013417,-0.45772973,-1.61193,0.11125658
11,46551,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,-2.309371,-1.4899939,0.16015148,-0.45817602,-1.6116587,0.11125468
12,58475,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,-2.3095033,-1.4902666,0.16053918,-0.45831585,-1.6117177,0.11175323
13,46601,log0,0,0,0,0,-1,255,0,0,0,0,-1,255,-2.3097656,-1.4906404,0.16228323,-0.45867234,-1.6115714,0.11201695
