,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq0,Statistic.recvNum0,Statistic.compute1num0,Statistic.compute2num0
0,15709,log1,0,0,0,0,566,436,128,302
1,19567,log0,133,130,127,0,0,0,0,0
2,15719,log1,0,0,0,0,566,436,128,302
3,19577,log0,133,130,127,0,0,0,0,0
4,15729,log1,0,0,0,0,566,436,128,302
5,19587,log0,133,130,127,0,0,0,0,0
6,15739,log1,0,0,0,0,567,437,128,303
7,19597,log0,134,131,128,0,0,0,0,0
8,15749,log1,0,0,0,0,567,437,128,303
9,19607,log0,134,131,128,0,0,0,0,0
10,15759,log1,0,0,0,0,567,437,128,303
11,19617,log0,134,131,128,0,0,0,0,0
12,15769,log1,0,0,0,0,568,438,129,303
13,19627,log0,134,131,128,0,0,0,0,0
14,15779,log1,0,0,0,0,568,438,129,303
15,19637,log0,134,131,128,0,0,0,0,0
16,15789,log1,0,0,0,0,568,438,129,303
17,19647,log0,134,131,128,0,0,0,0,0
18,15799,log1,0,0,0,0,569,439,129,304
19,19657,log0,134,131,128,0,0,0,0,0
20,15809,log1,0,0,0,0,569,439,129,304
21,19667,log0,134,131,128,0,0,0,0,0
22,15819,log1,0,0,0,0,569,439,129,304
23,19677,log0,134,131,128,0,0,0,0,0
24,15829,log1,0,0,0,0,570,440,129,305
25,19687,log0,134,131,128,0,0,0,0,0
26,15839,log1,0,0,0,0,570,440,129,305
27,19697,log0,135,132,129,0,0,0,0,0
28,15849,log1,0,0,0,0,570,440,129,305
29,19707,log0,135,132,129,0,0,0,0,0
30,15859,log1,0,0,0,0,571,441,130,305
31,19717,log0,135,132,129,0,0,0,0,0
32,15869,log1,0,0,0,0,571,441,130,305
33,19727,log0,135,132,129,0,0,0,0,0
34,15879,log1,0,0,0,0,571,441,130,305
35,19737,log0,135,132,129,0,0,0,0,0
36,15889,log1,0,0,0,0,572,442,130,306
37,19747,log0,135,132,129,0,0,0,0,0
38,15899,log1,0,0,0,0,572,442,130,306
39,19757,log0,135,132,129,0,0,0,0,0
40,15909,log1,0,0,0,0,572,442,130,306
41,19767,log0,135,132,129,0,0,0,0,0
42,15919,log1,0,0,0,0,573,443,130,307
43,19777,log0,135,132,129,0,0,0,0,0
44,15929,log1,0,0,0,0,573,443,130,307
45,19787,log0,135,132,129,0,0,0,0,0
46,15939,log1,0,0,0,0,573,443,130,307
47,19797,log0,136,133,130,0,0,0,0,0
48,15949,log1,0,0,0,0,574,444,131,307
49,19807,log0,136,133,130,0,0,0,0,0
50,15959,log1,0,0,0,0,574,444,131,307
51,19817,log0,136,133,130,0,0,0,0,0
52,15969,log1,0,0,0,0,574,444,131,307
53,19827,log0,136,133,130,0,0,0,0,0
54,15979,log1,0,0,0,0,575,445,131,308
55,19837,log0,136,133,130,0,0,0,0,0
56,15989,log1,0,0,0,0,575,445,131,308
57,19847,log0,136,133,130,0,0,0,0,0
58,15999,log1,0,0,0,0,575,445,131,308
59,19857,log0,136,133,130,0,0,0,0,0
60,16009,log1,0,0,0,0,576,446,131,309
61,19867,log0,136,133,130,0,0,0,0,0
62,16019,log1,0,0,0,0,576,446,131,309
63,19877,log0,136,133,130,0,0,0,0,0
64,16029,log1,0,0,0,0,576,446,131,309
65,19887,log0,136,133,130,0,0,0,0,0
66,16039,log1,0,0,0,0,577,447,131,310
67,19897,log0,137,134,131,0,0,0,0,0
68,16049,log1,0,0,0,0,577,447,131,310
