,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,56170,0,1216.0,536.0,531.0,0.0,24.0,,,,,
1,124079,1,,,,,,1074.0,1552.0,767.0,768.0,20.0
2,56220,0,1216.0,536.0,531.0,0.0,24.0,,,,,
3,124129,1,,,,,,1075.0,1553.0,767.0,769.0,19.0
4,56270,0,1217.0,537.0,532.0,0.0,19.0,,,,,
5,124179,1,,,,,,1076.0,1554.0,767.0,770.0,19.0
6,56320,0,1217.0,537.0,532.0,0.0,19.0,,,,,
7,124229,1,,,,,,1077.0,1555.0,768.0,770.0,20.0
8,124279,1,,,,,,1078.0,1556.0,769.0,770.0,23.0
9,56370,0,1218.0,538.0,533.0,0.0,21.0,,,,,
10,56420,0,1218.0,538.0,533.0,0.0,21.0,,,,,
11,124329,1,,,,,,1079.0,1557.0,769.0,771.0,24.0
12,124379,1,,,,,,1080.0,1558.0,770.0,771.0,19.0
13,56470,0,1219.0,539.0,534.0,0.0,23.0,,,,,
14,124429,1,,,,,,1081.0,1559.0,770.0,772.0,20.0
15,56520,0,1219.0,539.0,534.0,0.0,23.0,,,,,
16,124479,1,,,,,,1082.0,1560.0,771.0,772.0,21.0
17,56570,0,1220.0,540.0,535.0,0.0,19.0,,,,,
18,56620,0,1220.0,540.0,535.0,0.0,19.0,,,,,
19,124529,1,,,,,,1083.0,1561.0,771.0,773.0,21.0
20,124579,1,,,,,,1084.0,1562.0,772.0,773.0,21.0
21,56670,0,1221.0,541.0,536.0,0.0,21.0,,,,,
22,124629,1,,,,,,1085.0,1563.0,772.0,774.0,21.0
23,56720,0,1221.0,541.0,536.0,0.0,21.0,,,,,
24,124679,1,,,,,,1086.0,1564.0,772.0,775.0,22.0
25,56770,0,1222.0,542.0,537.0,0.0,22.0,,,,,
26,124729,1,,,,,,1087.0,1565.0,773.0,775.0,22.0
27,56820,0,1222.0,542.0,537.0,0.0,22.0,,,,,
28,124779,1,,,,,,1088.0,1566.0,774.0,775.0,18.0
29,56870,0,1223.0,543.0,538.0,0.0,21.0,,,,,
30,124829,1,,,,,,1089.0,1567.0,774.0,776.0,20.0
31,56920,0,1223.0,543.0,538.0,0.0,21.0,,,,,
32,124879,1,,,,,,1090.0,1568.0,775.0,776.0,17.0
33,56970,0,1224.0,544.0,539.0,0.0,19.0,,,,,
34,124929,1,,,,,,1091.0,1569.0,775.0,777.0,17.0
35,57020,0,1224.0,544.0,539.0,0.0,19.0,,,,,
36,124979,1,,,,,,1092.0,1570.0,775.0,778.0,18.0
37,57070,0,1225.0,545.0,540.0,0.0,18.0,,,,,
38,125029,1,,,,,,1093.0,1571.0,776.0,778.0,19.0
39,57120,0,1225.0,545.0,540.0,0.0,18.0,,,,,
40,125079,1,,,,,,1094.0,1572.0,777.0,778.0,20.0
41,57170,0,1226.0,546.0,541.0,0.0,19.0,,,,,
42,125129,1,,,,,,1095.0,1573.0,777.0,779.0,20.0
43,57220,0,1226.0,546.0,541.0,0.0,19.0,,,,,
44,125179,1,,,,,,1096.0,1574.0,778.0,779.0,20.0
45,57270,0,1227.0,547.0,542.0,0.0,20.0,,,,,
46,125229,1,,,,,,1097.0,1575.0,778.0,780.0,21.0
47,57320,0,1227.0,547.0,542.0,0.0,20.0,,,,,
48,125279,1,,,,,,1098.0,1576.0,779.0,780.0,24.0
49,57370,0,1228.0,548.0,543.0,0.0,22.0,,,,,
50,125329,1,,,,,,1099.0,1577.0,779.0,781.0,23.0
51,57420,0,1228.0,548.0,543.0,0.0,22.0,,,,,
52,125379,1,,,,,,1100.0,1578.0,779.0,782.0,23.0
53,57470,0,1229.0,549.0,544.0,0.0,23.0,,,,,
54,125429,1,,,,,,1101.0,1579.0,780.0,782.0,22.0
55,57520,0,1229.0,549.0,544.0,0.0,23.0,,,,,
56,125479,1,,,,,,1102.0,1580.0,781.0,782.0,22.0
57,57570,0,1230.0,550.0,545.0,0.0,22.0,,,,,
58,125529,1,,,,,,1103.0,1581.0,781.0,783.0,23.0
59,57620,0,1230.0,550.0,545.0,0.0,22.0,,,,,
60,125579,1,,,,,,1104.0,1582.0,782.0,783.0,22.0
61,57670,0,1231.0,551.0,546.0,0.0,22.0,,,,,
62,125629,1,,,,,,1105.0,1583.0,782.0,784.0,22.0
63,57720,0,1231.0,551.0,546.0,0.0,22.0,,,,,
64,125679,1,,,,,,1106.0,1584.0,783.0,784.0,20.0
65,57770,0,1232.0,552.0,547.0,0.0,22.0,,,,,
66,125729,1,,,,,,1107.0,1585.0,783.0,785.0,21.0
67,57820,0,1232.0,552.0,547.0,0.0,22.0,,,,,
68,125779,1,,,,,,1108.0,1586.0,783.0,786.0,21.0
69,57870,0,1233.0,553.0,548.0,0.0,21.0,,,,,
70,125829,1,,,,,,1109.0,1587.0,784.0,786.0,22.0
71,57920,0,1233.0,553.0,548.0,0.0,21.0,,,,,
72,125879,1,,,,,,1110.0,1588.0,785.0,786.0,18.0
73,57970,0,1234.0,554.0,549.0,0.0,21.0,,,,,
74,125929,1,,,,,,1111.0,1589.0,785.0,787.0,19.0
75,58020,0,1234.0,554.0,549.0,0.0,21.0,,,,,
76,125979,1,,,,,,1112.0,1590.0,786.0,787.0,22.0
77,58070,0,1235.0,555.0,550.0,0.0,19.0,,,,,
78,126029,1,,,,,,1113.0,1591.0,786.0,788.0,22.0
79,58120,0,1235.0,555.0,550.0,0.0,19.0,,,,,
80,126079,1,,,,,,1114.0,1592.0,787.0,788.0,22.0
81,58170,0,1236.0,556.0,551.0,0.0,22.0,,,,,
82,126129,1,,,,,,1115.0,1593.0,787.0,789.0,22.0
83,58220,0,1236.0,556.0,551.0,0.0,22.0,,,,,
84,126179,1,,,,,,1116.0,1594.0,788.0,789.0,19.0
85,58270,0,1237.0,557.0,552.0,0.0,22.0,,,,,
86,126229,1,,,,,,1117.0,1595.0,788.0,790.0,20.0
87,58320,0,1237.0,557.0,552.0,0.0,22.0,,,,,
88,126279,1,,,,,,1118.0,1596.0,788.0,791.0,19.0
89,58370,0,1238.0,558.0,553.0,0.0,19.0,,,,,
90,126329,1,,,,,,1119.0,1597.0,789.0,791.0,18.0
91,58420,0,1238.0,558.0,553.0,0.0,19.0,,,,,
92,126379,1,,,,,,1120.0,1598.0,790.0,791.0,25.0
93,58470,0,1239.0,559.0,554.0,0.0,19.0,,,,,
94,126429,1,,,,,,1121.0,1599.0,790.0,792.0,26.0
95,58520,0,1239.0,559.0,554.0,0.0,19.0,,,,,
96,126479,1,,,,,,1122.0,1600.0,791.0,792.0,23.0
97,58570,0,1240.0,560.0,555.0,0.0,27.0,,,,,
98,126529,1,,,,,,1123.0,1601.0,791.0,793.0,22.0
99,58620,0,1240.0,560.0,555.0,0.0,27.0,,,,,
100,126579,1,,,,,,1124.0,1602.0,791.0,794.0,22.0
101,58670,0,1241.0,561.0,556.0,0.0,22.0,,,,,
102,126629,1,,,,,,1125.0,1603.0,792.0,794.0,20.0
103,58720,0,1241.0,561.0,556.0,0.0,22.0,,,,,
104,126679,1,,,,,,1126.0,1604.0,793.0,794.0,22.0
105,58770,0,1242.0,562.0,557.0,0.0,21.0,,,,,
106,126729,1,,,,,,1127.0,1605.0,793.0,795.0,21.0
107,58820,0,1242.0,562.0,557.0,0.0,21.0,,,,,
