,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,11386,0,159.0,87.0,85.0,0.0,45.0,,,,,
1,18440,1,,,,,,176.0,175.0,85.0,86.0,42.0
2,11436,0,160.0,88.0,86.0,0.0,42.0,,,,,
3,18490,1,,,,,,177.0,176.0,86.0,86.0,40.0
4,11486,0,160.0,88.0,86.0,0.0,42.0,,,,,
5,18540,1,,,,,,178.0,177.0,86.0,87.0,40.0
6,11536,0,161.0,89.0,87.0,0.0,41.0,,,,,
7,18590,1,,,,,,179.0,178.0,87.0,87.0,42.0
8,11586,0,161.0,89.0,87.0,0.0,41.0,,,,,
9,18640,1,,,,,,180.0,179.0,87.0,88.0,42.0
10,11636,0,162.0,90.0,88.0,0.0,42.0,,,,,
11,18690,1,,,,,,181.0,180.0,88.0,88.0,41.0
12,11686,0,162.0,90.0,88.0,0.0,42.0,,,,,
13,18740,1,,,,,,182.0,181.0,88.0,89.0,42.0
14,11736,0,163.0,91.0,89.0,0.0,42.0,,,,,
15,18790,1,,,,,,183.0,182.0,89.0,89.0,44.0
16,11786,0,163.0,91.0,89.0,0.0,42.0,,,,,
17,18840,1,,,,,,184.0,183.0,89.0,90.0,43.0
18,18890,1,,,,,,185.0,184.0,90.0,90.0,41.0
19,11836,0,164.0,92.0,90.0,0.0,44.0,,,,,
20,11886,0,164.0,92.0,90.0,0.0,44.0,,,,,
21,18940,1,,,,,,186.0,185.0,90.0,91.0,40.0
22,11936,0,165.0,93.0,91.0,0.0,41.0,,,,,
23,18990,1,,,,,,187.0,186.0,91.0,91.0,42.0
24,19040,1,,,,,,188.0,187.0,91.0,92.0,43.0
25,11986,0,165.0,93.0,91.0,0.0,41.0,,,,,
26,12036,0,166.0,94.0,92.0,0.0,42.0,,,,,
27,19090,1,,,,,,189.0,188.0,92.0,92.0,41.0
28,19140,1,,,,,,190.0,189.0,92.0,93.0,42.0
29,12086,0,166.0,94.0,92.0,0.0,42.0,,,,,
30,12136,0,167.0,95.0,93.0,0.0,41.0,,,,,
31,19190,1,,,,,,191.0,190.0,93.0,93.0,41.0
32,12186,0,167.0,95.0,93.0,0.0,41.0,,,,,
33,19240,1,,,,,,192.0,191.0,93.0,94.0,42.0
34,19290,1,,,,,,193.0,192.0,94.0,94.0,44.0
35,12236,0,168.0,96.0,94.0,0.0,42.0,,,,,
36,12286,0,168.0,96.0,94.0,0.0,42.0,,,,,
37,19340,1,,,,,,194.0,193.0,94.0,95.0,43.0
38,19390,1,,,,,,195.0,194.0,95.0,95.0,39.0
39,12336,0,169.0,97.0,95.0,0.0,43.0,,,,,
40,19440,1,,,,,,196.0,195.0,95.0,96.0,41.0
41,12386,0,169.0,97.0,95.0,0.0,43.0,,,,,
42,19490,1,,,,,,197.0,196.0,96.0,96.0,42.0
43,12436,0,170.0,98.0,96.0,0.0,41.0,,,,,
44,19540,1,,,,,,198.0,197.0,96.0,97.0,41.0
45,12486,0,170.0,98.0,96.0,0.0,41.0,,,,,
46,19590,1,,,,,,199.0,198.0,97.0,97.0,42.0
47,12536,0,171.0,99.0,97.0,0.0,41.0,,,,,
48,19640,1,,,,,,200.0,199.0,97.0,98.0,44.0
49,12586,0,171.0,99.0,97.0,0.0,41.0,,,,,
50,19690,1,,,,,,201.0,200.0,98.0,98.0,42.0
51,12636,0,172.0,100.0,98.0,0.0,43.0,,,,,
52,19740,1,,,,,,202.0,201.0,98.0,99.0,43.0
53,12686,0,172.0,100.0,98.0,0.0,43.0,,,,,
54,19790,1,,,,,,203.0,202.0,99.0,99.0,43.0
55,12736,0,173.0,101.0,99.0,0.0,43.0,,,,,
56,19840,1,,,,,,204.0,203.0,99.0,100.0,43.0
57,12786,0,173.0,101.0,99.0,0.0,43.0,,,,,
58,19890,1,,,,,,205.0,204.0,100.0,100.0,42.0
59,12836,0,174.0,102.0,100.0,0.0,43.0,,,,,
60,19940,1,,,,,,206.0,205.0,100.0,101.0,43.0
61,12886,0,174.0,102.0,100.0,0.0,43.0,,,,,
62,19990,1,,,,,,207.0,206.0,101.0,101.0,43.0
63,12936,0,175.0,103.0,101.0,0.0,43.0,,,,,
64,20040,1,,,,,,208.0,207.0,101.0,102.0,44.0
65,12986,0,175.0,103.0,101.0,0.0,43.0,,,,,
66,20090,1,,,,,,209.0,208.0,102.0,102.0,41.0
67,13036,0,176.0,104.0,102.0,0.0,44.0,,,,,
68,20140,1,,,,,,210.0,209.0,102.0,103.0,42.0
69,13086,0,176.0,104.0,102.0,0.0,44.0,,,,,
70,20190,1,,,,,,211.0,210.0,103.0,103.0,42.0
71,13136,0,177.0,105.0,103.0,0.0,41.0,,,,,
