,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,UAV0x,UAV0y,UAV0z,UAV1x,UAV1y,UAV1z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,13980,0,624.0,187.0,182.0,3.0,251.0,0.8930151,0.9331114,0.3864094,-1.1238742,-0.4723584,0.08030804,2.477273954625508,,,,,
1,13990,0,624.0,187.0,182.0,3.0,251.0,0.8930173,0.9331035,0.38641176,-1.124032,-0.4724187,0.08031529,2.477433289987871,,,,,
2,39981,1,,,,,,0.8930132,0.93310136,0.38641024,-1.1239986,-0.47239882,0.080297075,2.4773923646360285,0.0,0.0,0.0,0.0,-1.0
3,14000,0,624.0,187.0,182.0,3.0,251.0,0.8930178,0.93310714,0.38641718,-1.1242331,-0.47225115,0.08055677,2.4774753748384493,,,,,
4,39991,1,,,,,,0.89301884,0.9331048,0.38640827,-1.1238726,-0.47235724,0.08030505,2.4772714698587124,0.0,0.0,0.0,0.0,-1.0
5,14010,0,624.0,187.0,182.0,3.0,251.0,0.8930177,0.9331154,0.38640568,-1.1240332,-0.47243163,0.08029151,2.4774509033756655,,,,,
6,40001,1,,,,,,0.8930169,0.9331165,0.38640493,-1.1240351,-0.4724322,0.08029253,2.4774524094074364,0.0,0.0,0.0,0.0,-1.0
7,14020,0,624.0,187.0,182.0,3.0,251.0,0.89301986,0.93310565,0.38641927,-1.1239464,-0.47239217,0.08029755,2.4773549935224035,,,,,
8,40011,1,,,,,,0.8930197,0.93311566,0.3864191,-1.1243198,-0.47245517,0.08017814,2.4777149759062818,0.0,0.0,0.0,0.0,-1.0
9,14030,0,625.0,188.0,183.0,3.0,249.0,0.89302135,0.93311286,0.38640273,-1.1240345,-0.47243226,0.08029116,2.4774535772544932,,,,,
10,40021,1,,,,,,0.89301634,0.93311715,0.3864035,-1.1240435,-0.4724047,0.080329515,2.477438851812248,0.0,0.0,0.0,0.0,-1.0
11,14040,0,625.0,188.0,183.0,3.0,249.0,0.89302444,0.933111,0.38641486,-1.1241398,-0.47221598,0.080422826,2.477403182847098,,,,,
12,40031,1,,,,,,0.8930185,0.93310744,0.3864225,-1.1241331,-0.4722185,0.080423236,2.4773931763646257,0.0,0.0,0.0,0.0,-1.0
13,14050,0,625.0,188.0,183.0,3.0,249.0,0.0,0.0,,-1.1238711,-0.47236446,0.080314845,,,,,,
14,40041,1,,,,,,0.8930137,0.93311346,0.38641384,-1.1240394,-0.47243708,0.08030068,2.477454486501682,0.0,0.0,0.0,0.0,-1.0
15,14060,0,625.0,188.0,183.0,3.0,249.0,0.8930145,0.933111,0.3864019,-1.1240337,-0.47244126,0.080297254,2.477450371494035,,,,,
16,40051,1,,,,,,0.893019,0.9331097,0.38640893,-1.124055,-0.47243991,0.08029952,2.477470630971822,0.0,0.0,0.0,0.0,-1.0
17,14070,0,625.0,188.0,183.0,3.0,249.0,0.8930131,0.93310934,0.3864151,-1.1240332,-0.47242317,0.08029618,2.4774395497056063,,,,,
18,40061,1,,,,,,0.8930246,0.9331167,0.3864147,-1.1240673,-0.4721367,0.08050816,2.4772920798945077,0.0,0.0,0.0,0.0,-1.0
19,40071,1,,,,,,0.89302,0.9331134,0.38640875,-1.1240287,-0.47242984,0.080296926,2.4774465071361407,0.0,0.0,0.0,0.0,-1.0
20,14080,0,625.0,188.0,183.0,3.0,249.0,0.89301634,0.93311197,0.38640636,-1.123873,-0.47235596,0.080298275,2.477273704752229,,,,,
21,40091,1,,,,,,0.8930157,0.93310446,0.38641688,-1.1242266,-0.47226068,0.08056447,2.4774710604976575,0.0,0.0,0.0,0.0,-1.0
22,14090,0,626.0,189.0,184.0,3.0,247.0,0.8930182,0.93311787,0.3864162,-1.1242306,-0.47224954,0.08055512,2.477478851584909,,,,,
23,40101,1,,,,,,0.89301574,0.93311006,0.38641125,-1.1238097,-0.4723507,0.08033263,2.477213915870485,0.0,0.0,0.0,0.0,-1.0
24,14100,0,626.0,189.0,184.0,3.0,247.0,0.89301723,0.9331093,0.3864067,-1.1242244,-0.47224188,0.08054798,2.477463536764998,,,,,
25,40111,1,,,,,,0.89302385,0.93310946,0.38641223,-1.1238519,-0.47233853,0.08032658,2.4772485052901505,0.0,0.0,0.0,0.0,-1.0
26,14110,0,626.0,189.0,184.0,3.0,247.0,0.89301664,0.93310773,0.38641444,-1.1240249,-0.47241578,0.08033587,2.4774254152671995,,,,,
27,40121,1,,,,,,0.8930206,0.93310726,0.38641232,-1.1239657,-0.47252938,0.080434486,2.477432317395723,0.0,0.0,0.0,0.0,-1.0
28,14130,0,626.0,189.0,184.0,3.0,247.0,0.8930155,0.9331091,0.38640893,-1.1240624,-0.47242817,0.080293365,2.4774674653896187,,,,,
29,40131,1,,,,,,0.89294887,0.9330887,0.3862735,-1.1239464,-0.4724236,0.080264024,2.477291533570455,0.0,0.0,0.0,0.0,-1.0
30,14140,0,626.0,189.0,184.0,3.0,247.0,0.893017,0.9331033,0.38641432,-1.1241666,-0.47220218,0.08051273,2.4773955650811215,,,,,
31,40141,1,,,,,,0.89301205,0.9331154,0.3864118,-1.1239704,-0.4724291,0.080369025,2.4773849511433204,0.0,0.0,0.0,0.0,-1.0
32,14150,0,627.0,190.0,185.0,3.0,250.0,0.893019,0.9331094,0.3864035,-1.1240486,-0.47242597,0.08030572,2.4774558381171783,,,,,
33,40151,1,,,,,,0.8930187,0.9331093,0.38641113,-1.1240479,-0.47242403,0.08030727,2.47745446899655,0.0,0.0,0.0,0.0,-1.0
34,14160,0,627.0,190.0,185.0,3.0,250.0,0.8930195,0.933113,0.38641405,-1.124025,-0.4725454,0.080473535,2.4774873814882548,,,,,
35,40171,1,,,,,,0.8930187,0.93311393,0.3864084,-1.1240582,-0.47243884,0.08028074,2.477476972360907,0.0,0.0,0.0,0.0,-1.0
36,14170,0,627.0,190.0,185.0,3.0,250.0,0.8930234,0.9331128,0.38640425,-1.1241676,-0.47220695,0.08051865,2.477407657692915,,,,,
37,40191,1,,,,,,0.89302087,0.9331156,0.38641322,-1.1239748,-0.47240648,0.08026711,2.477395682254847,0.0,0.0,0.0,0.0,-1.0
38,40201,1,,,,,,0.89302,0.9331064,0.3864138,-1.1242092,-0.4722353,0.08055287,2.477448181735855,0.0,0.0,0.0,0.0,-1.0
39,14190,0,627.0,190.0,185.0,3.0,250.0,0.0,0.0,4e-45,0.0,0.0,4e-45,0.0,,,,,
40,40211,1,,,,,,0.89302284,0.9331028,0.386413,-1.1239115,-0.4723928,0.080284946,2.477328549721986,0.0,0.0,0.0,0.0,-1.0
41,14200,0,627.0,190.0,185.0,3.0,250.0,0.8930217,0.93311477,0.3864012,-1.124008,-0.47241595,0.08033525,2.4774184041925875,,,,,
42,40221,1,,,,,,0.89301807,0.9331079,0.3864085,-1.1241499,-0.472201,0.08051915,2.4773833990208693,0.0,0.0,0.0,0.0,-1.0
43,14210,0,628.0,191.0,186.0,3.0,248.0,0.89301956,0.9331015,0.3864183,-1.1242323,-0.47224787,0.080558516,2.477471006133903,,,,,
44,40231,1,,,,,,0.89302176,0.93310463,0.38641116,-1.1238921,-0.4724822,0.080483414,2.4773388534023724,0.0,0.0,0.0,0.0,-1.0
45,14220,0,628.0,191.0,186.0,3.0,248.0,0.8930214,0.93311423,0.38640332,-1.12403,-0.47243455,0.0803008,2.4774508662929424,,,,,
46,40241,1,,,,,,0.89301807,0.93310136,0.38640746,-1.1238527,-0.47233567,0.080278166,2.4772436018083055,0.0,0.0,0.0,0.0,-1.0
47,14230,0,628.0,191.0,186.0,3.0,248.0,0.8930199,0.93310004,0.38641316,-1.1239743,-0.4724275,0.08029041,2.477394741429048,,,,,
48,14240,0,628.0,191.0,186.0,3.0,248.0,0.89301693,0.9331061,0.38641584,-1.1238582,-0.4723664,0.08031268,2.4772642147067834,,,,,
49,40251,1,,,,,,0.8930199,0.93310004,0.38641316,-1.1238582,-0.4723664,0.08031268,2.4772627633091044,0.0,0.0,0.0,0.0,-1.0
50,14250,0,628.0,191.0,186.0,3.0,248.0,0.89301795,0.9331064,0.3864096,-1.1239703,-0.4724138,0.08025253,2.477389938024291,,,,,
51,40261,1,,,,,,0.8930201,0.9331155,0.3864079,-1.1240091,-0.47241044,0.08032372,2.477417564057325,0.0,0.0,0.0,0.0,-1.0
52,14260,0,628.0,191.0,186.0,3.0,248.0,0.893019,0.933107,0.38640958,-1.1241553,-0.47221085,0.08051353,2.477394342294112,,,,,
53,14270,0,629.0,192.0,187.0,3.0,248.0,0.89301574,0.9331096,0.38641945,-1.123996,-0.4723728,0.08034068,2.477377844203327,,,,,
54,14280,0,629.0,192.0,187.0,3.0,248.0,0.89294606,0.9330783,0.38627458,-1.1239821,-0.47241998,0.08027453,2.477309176698692,,,,,
55,40281,1,,,,,,0.8930123,0.93311113,0.38640237,-1.1239902,-0.4724155,0.08026529,2.477402765602858,0.0,0.0,0.0,0.0,-1.0
56,14290,0,629.0,192.0,187.0,3.0,248.0,0.8930206,0.93310547,0.3864158,-1.1241308,-0.47222266,0.080430284,2.4773925701291595,,,,,
57,40291,1,,,,,,0.8930155,0.93310606,0.3864157,-1.1239775,-0.47245768,0.08032994,2.4774096938978736,0.0,0.0,0.0,0.0,-1.0
58,40301,1,,,,,,0.89302045,0.9331132,0.38640752,-1.1240343,-0.4724257,0.08029365,2.4774493733994007,0.0,0.0,0.0,0.0,-1.0
59,40311,1,,,,,,0.89301896,0.93310803,0.38641432,-1.1240098,-0.4724332,0.08029496,2.477430177783793,0.0,0.0,0.0,0.0,-1.0
60,14300,0,629.0,192.0,187.0,3.0,248.0,0.89301896,0.93310994,0.38641608,-1.1239926,-0.4724211,0.080272034,2.4774135059680735,,,,,
61,40321,1,,,,,,0.8930176,0.9331017,0.38642082,-1.1241416,-0.47221676,0.08042188,2.4773951553220535,0.0,0.0,0.0,0.0,-1.0
62,14310,0,629.0,192.0,187.0,3.0,248.0,0.89301795,0.9331129,0.38640377,-1.1239538,-0.47240946,0.08033528,2.477366813790353,,,,,
63,40331,1,,,,,,0.89302045,0.9331115,0.38640618,-1.1240493,-0.472436,0.08026215,2.47747019865413,0.0,0.0,0.0,0.0,-1.0
64,14320,0,629.0,192.0,187.0,3.0,248.0,0.89301646,0.9331084,0.3864065,-1.12417,-0.47221076,0.08051833,2.47740401521729,,,,,
65,40341,1,,,,,,0.8930202,0.93310946,0.3864171,-1.124228,-0.47225347,0.08056167,2.4774750681153934,0.0,0.0,0.0,0.0,-1.0
66,14330,0,630.0,193.0,188.0,3.0,246.0,0.89302146,0.93310106,0.38641596,-1.1239684,-0.47238556,0.0803357,2.477362536968314,,,,,
67,40351,1,,,,,,0.89301515,0.93311834,0.38640407,-1.124227,-0.47224185,0.080547184,2.4774688398665425,0.0,0.0,0.0,0.0,-1.0
68,14340,0,630.0,193.0,188.0,3.0,246.0,0.8930169,0.9331082,0.386415,-1.1242193,-0.4722515,0.08056032,2.4774634438952163,,,,,
69,40361,1,,,,,,0.8930212,0.93311363,0.38641873,-1.1242275,-0.47225112,0.08056442,2.477476334575255,0.0,0.0,0.0,0.0,-1.0
70,14350,0,630.0,193.0,188.0,3.0,246.0,0.89302164,0.9331139,0.3864199,-1.1242267,-0.47225413,0.08057145,2.4774772414507513,,,,,
71,40371,1,,,,,,0.8930194,0.9331212,0.38640937,-1.1238757,-0.47234976,0.08029903,2.47728033408969,0.0,0.0,0.0,0.0,-1.0
72,40381,1,,,,,,0.89301854,0.9331087,0.3864188,-1.1240699,-0.47241527,0.0803118,2.477467438896506,0.0,0.0,0.0,0.0,-1.0
73,14360,0,630.0,193.0,188.0,3.0,246.0,0.8930219,0.9331078,0.38641047,-1.1240067,-0.47243792,0.08029774,2.477431736192314,,,,,
74,40391,1,,,,,,0.89302015,0.9331035,0.386418,-1.124067,-0.47242656,0.08031723,2.4774689574535094,0.0,0.0,0.0,0.0,-1.0
75,40401,1,,,,,,0.8930213,0.93311423,0.38641256,-1.1240517,-0.47242203,0.080302946,2.4774621115008575,0.0,0.0,0.0,0.0,-1.0
76,14380,0,630.0,193.0,188.0,3.0,246.0,0.8930208,0.93310475,0.38641524,-1.1240393,-0.47242197,0.08030845,2.4774458727892146,,,,,
77,40411,1,,,,,,0.89302045,0.93309873,0.38641605,-1.1239957,-0.47240272,0.08028518,2.477398793723943,0.0,0.0,0.0,0.0,-1.0
78,14390,0,631.0,194.0,189.0,3.0,251.0,0.89302117,0.93311125,0.3864184,-1.124036,-0.4724247,0.0803095,2.477449008788758,,,,,
