,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV1x,UAV1y,UAV1z,distance_3_to_1
0,133965,0,9680,5361,1028,4317,245,0.8968448,0.9157938,0.38664305,-1.0958965,-0.58368814,0.07773833,1.338843416465484
1,133985,0,9681,5362,1029,4317,247,0.8968458,0.9158028,0.38663644,-1.0958745,-0.58367515,0.077776395,1.3388483409768375
2,134005,0,9682,5363,1029,4318,245,0.8968444,0.91579974,0.3866388,-1.0958755,-0.5836903,0.07775251,1.3388459833212865
3,134025,0,9683,5364,1029,4319,245,0.8968509,0.91580236,0.38664106,-1.0958776,-0.5836824,0.07775746,1.33885278337611
4,134045,0,9683,5364,1029,4319,245,0.896846,0.91579777,0.38663933,-1.0958848,-0.5836843,0.07775466,1.3388458708301865
5,134065,0,9685,5365,1030,4319,242,0.8968471,0.9158064,0.38664022,-1.095874,-0.58368164,0.07778264,1.338852799413789
6,134085,0,9686,5366,1030,4320,238,0.8968479,0.91579425,0.38663682,-1.0960085,-0.5834404,0.07765691,1.338844020082554
7,134105,0,9687,5367,1030,4321,239,0.89684105,0.9158062,0.38664782,-1.0958769,-0.58369666,0.07776168,1.3388507584650655
8,134125,0,9688,5368,1030,4322,239,0.89684737,0.91579735,0.38664237,-1.0958575,-0.5836853,0.07778884,1.3388473816214825
9,134145,0,9689,5369,1030,4323,239,0.89684886,0.91579914,0.3866491,-1.0958768,-0.5836856,0.077781096,1.3388515480102194
10,134165,0,9690,5370,1031,4323,240,0.8968446,0.9158012,0.38663787,-1.0960052,-0.5834326,0.07766104,1.3388468955014245
11,134185,0,9691,5371,1031,4324,242,0.89684325,0.91580504,0.3866324,-1.0958695,-0.58369434,0.07778572,1.338847011557887
12,134205,0,9692,5372,1031,4325,240,0.8968451,0.9158007,0.38663465,-1.09599,-0.58343524,0.07768737,1.3388459184871384
13,134225,0,9693,5373,1031,4326,240,0.89684606,0.91580135,0.38664082,-1.0958709,-0.5836977,0.07778424,1.3388487873309318
14,134245,0,9694,5374,1031,4327,240,0.8968407,0.915794,0.38664052,-1.0958886,-0.58369696,0.0777621,1.3388400930247435
15,134265,0,9695,5375,1032,4327,241,0.8968491,0.9157993,0.38663605,-1.0958608,-0.5836663,0.07778863,1.3388480603720185
16,134285,0,9696,5376,1032,4328,239,0.89684606,0.9158053,0.3866371,-1.0958815,-0.58369553,0.07774796,1.3388504024057843
17,134305,0,9697,5377,1032,4329,242,0.89684975,0.9157997,0.38663888,-1.0958732,-0.58369255,0.077769905,1.3388495618049467
18,134325,0,9698,5378,1032,4330,241,0.8968542,0.9157985,0.38663894,-1.0958753,-0.5836892,0.07777741,1.3388517581430375
19,134345,0,9699,5379,1032,4331,241,0.8968515,0.91580206,0.38665053,-1.0958748,-0.5836959,0.07778089,1.3388557156821337
20,134365,0,9700,5380,1032,4332,241,0.89684266,0.9157879,0.38663813,-1.0959082,-0.58369714,0.07771256,1.3388365227131762
21,134385,0,9700,5380,1032,4332,241,0.8968509,0.9157998,0.38664094,-1.0958703,-0.5836922,0.07777658,1.3388509958078743
22,134405,0,9702,5381,1033,4332,244,0.89685136,0.91579896,0.38663504,-1.0958784,-0.5836901,0.07775458,1.3388490403631736
23,134425,0,9703,5382,1033,4333,244,0.8968476,0.91580725,0.38664234,-1.0958618,-0.5836783,0.0777871,1.3388543006820135
24,134445,0,9704,5383,1033,4334,244,0.8968553,0.9158037,0.38664067,-1.0958683,-0.583681,0.077791415,1.338856523055593
25,134465,0,9705,5384,1034,4334,245,0.89684325,0.9157958,0.38664064,-1.0958663,-0.5836809,0.07778417,1.3388430674362386
26,134485,0,9706,5385,1034,4335,245,0.89684474,0.9158016,0.38664392,-1.0958658,-0.5836721,0.07778586,1.3388489671004062
27,134505,0,9707,5386,1034,4336,243,0.8968472,0.9157919,0.3866445,-1.0958749,-0.5836872,0.077779375,1.3388441713840173
28,134525,0,9708,5387,1034,4337,244,0.8968494,0.9157975,0.38663688,-1.0959811,-0.58343667,0.077682644,1.3388472370935305
29,134545,0,9709,5388,1034,4338,244,0.8968482,0.91580564,0.38664293,-1.0958747,-0.5836963,0.07779182,1.3388537712661233
30,134565,0,9710,5389,1034,4339,245,0.89684904,0.9157903,0.3866469,-1.0958763,-0.583696,0.07778142,1.3388449968532246
31,134585,0,9711,5390,1034,4340,244,0.8968505,0.9158024,0.38663527,-1.0958518,-0.5836986,0.077793136,1.3388509149397436
32,134605,0,9711,5390,1034,4340,244,0.89685625,0.9158,0.38663518,-1.0958802,-0.5836996,0.077736124,1.3388530505321714
33,134625,0,9713,5391,1034,4341,245,0.8968465,0.9158016,0.38664198,-1.0959852,-0.5834367,0.07767606,1.3388495655568708
34,134645,0,9713,5391,1034,4341,245,0.89685,0.91579485,0.3866425,-1.0958974,-0.5836866,0.07774052,1.3388474604737675
35,134665,0,9715,5392,1034,4342,245,0.8968519,0.9157977,0.38664186,-1.0959034,-0.58369863,0.077715866,1.338850514397029
36,134685,0,9715,5392,1034,4342,245,0.89684796,0.91580206,0.386633,-1.0958675,-0.58368415,0.07775099,1.3388482993673916
37,134705,0,9717,5393,1034,4343,245,0.89684343,0.9157998,0.3866371,-1.095901,-0.58370477,0.077719875,1.33884489469266
38,134725,0,9718,5394,1034,4344,245,0.8968558,0.91580254,0.38664216,-1.0958704,-0.58369094,0.077762954,1.3388564981525433
