,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,UAV0x,UAV0y,UAV0z,UAV1x,UAV1y,UAV1z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,22647,0,0.0,0.0,0.0,0.0,-1.0,0.8222998,0.91985714,0.3888167,-1.0798693,-0.49541366,0.07659657,2.3913844822274135,,,,,
1,15038,1,,,,,,0.8223022,0.91985184,0.38880652,-1.0798602,-0.49541265,0.07659811,2.3913739947992414,0.0,0.0,0.0,0.0,-1.0
2,22687,0,0.0,0.0,0.0,0.0,-1.0,0.82229936,0.91985494,0.38881645,-1.0798726,-0.49541727,0.076593466,2.3913880690340195,,,,,
3,15078,1,,,,,,0.82229406,0.919863,0.38882113,-1.079867,-0.49541563,0.07660157,2.391382802505483,0.0,0.0,0.0,0.0,-1.0
4,22727,0,0.0,0.0,0.0,0.0,-1.0,0.8222968,0.9198594,0.3888116,-1.079868,-0.49540818,0.07659705,2.3913784322621834,,,,,
5,15118,1,,,,,,0.8222957,0.9198539,0.38881588,-1.0798702,-0.49541745,0.076592274,2.391382820964606,0.0,0.0,0.0,0.0,-1.0
6,22767,0,0.0,0.0,0.0,0.0,-1.0,0.82229984,0.9198537,0.3888215,-1.079872,-0.49541613,0.07659637,2.391386843358307,,,,,
7,15158,1,,,,,,0.8223008,0.91985255,0.3888165,-1.0798696,-0.49541622,0.07659855,2.3913841328022998,0.0,0.0,0.0,0.0,-1.0
8,22807,0,0.0,0.0,0.0,0.0,-1.0,0.8222982,0.91986096,0.3888168,-1.07987,-0.49540842,0.076593935,2.3913834207714113,,,,,
9,15198,1,,,,,,0.8222986,0.9198535,0.38881734,-1.0798732,-0.495414,0.07659401,2.3913851949967198,0.0,0.0,0.0,0.0,-1.0
10,22847,0,0.0,0.0,0.0,0.0,-1.0,0.82230365,0.91985315,0.3888162,-1.0798718,-0.4954113,0.07658752,2.391386976303613,,,,,
11,15238,1,,,,,,0.8222973,0.9198623,0.38881406,-1.0798655,-0.49541038,0.076589,2.391381318420379,0.0,0.0,0.0,0.0,-1.0
12,22887,0,0.0,0.0,0.0,0.0,-1.0,0.82229775,0.9198561,0.3888224,-1.0798633,-0.49542338,0.07660307,2.3913831946833697,,,,,
13,15278,1,,,,,,0.8222974,0.91986066,0.38881168,-1.0798738,-0.49541372,0.07659801,2.391387457313604,0.0,0.0,0.0,0.0,-1.0
14,15318,1,,,,,,0.8223006,0.91985637,0.38881603,-1.079866,-0.49542204,0.076601684,2.3913863422919417,0.0,0.0,0.0,0.0,-1.0
15,22927,0,0.0,0.0,0.0,0.0,-1.0,0.8222988,0.9198543,0.38881585,-1.0798733,-0.49541157,0.07659434,2.3913841634750677,,,,,
16,22967,0,0.0,0.0,0.0,0.0,-1.0,0.82229835,0.919854,0.3888167,-1.0798767,-0.49541274,0.076588,2.3913879413587287,,,,,
17,15358,1,,,,,,0.8223045,0.9198617,0.38882065,-1.079864,-0.49541682,0.076591425,2.3913898010609027,0.0,0.0,0.0,0.0,-1.0
