,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV1x,UAV1y,UAV1z,distance_3_to_1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2
0,18595,1,1582.0,2.0,0.0,0.0,-1.0,-1.3732799,-0.56692386,0.07094318,0.78062034,1.5715071,0.36507878,3.0493751889701235,,,,,
1,25828,0,,,,,,-1.3742858,-0.56696326,0.071140885,0.78061366,1.5715102,0.36508656,3.050092668593466,0.0,0.0,0.0,0.0,-1.0
2,25868,0,,,,,,-1.3732617,-0.56692564,0.07095557,0.7806209,1.5715113,0.36508083,3.0493657422479745,0.0,0.0,0.0,0.0,-1.0
3,18635,1,1582.0,2.0,0.0,0.0,-1.0,-1.3742628,-0.56694055,0.07111695,0.7807557,1.5719256,0.3648286,3.0504294966240613,,,,,
4,25908,0,,,,,,-1.374243,-0.5669454,0.071092114,0.7806269,1.5715156,0.36508563,3.050067535238785,0.0,0.0,0.0,0.0,-1.0
5,18675,1,1582.0,2.0,0.0,0.0,-1.0,-1.379319,-0.55688745,0.08140188,0.7806182,1.5715035,0.36507648,3.0456277031596537,,,,,
6,25948,0,,,,,,-1.3790619,-0.55656487,0.08141939,0.78061694,1.571519,0.36508393,3.0452290460963223,0.0,0.0,0.0,0.0,-1.0
7,18715,1,1582.0,2.0,0.0,0.0,-1.0,-1.375093,-0.5550565,0.08300838,0.78062433,1.5715172,0.3650777,3.041216307241051,,,,,
8,25988,0,,,,,,-1.378784,-0.5554067,0.080863275,0.78061616,1.5715151,0.3650772,3.044270286963039,0.0,0.0,0.0,0.0,-1.0
9,18755,1,1582.0,2.0,0.0,0.0,-1.0,-1.375122,-0.5551147,0.083083615,0.78048724,1.5713286,0.3648364,3.041019043005898,,,,,
10,18795,1,1582.0,2.0,0.0,0.0,-1.0,-1.3718599,-0.5456628,0.087750494,0.78081554,1.5719794,0.36481473,3.0323562226853364,,,,,
11,18835,1,1582.0,2.0,0.0,0.0,-1.0,-1.3726121,-0.54619443,0.08753549,0.78062415,1.571517,0.36507186,3.0328461160781006,,,,,
12,26028,0,,,,,,-1.3772806,-0.5654713,0.072401725,0.7806153,1.5715219,0.36507764,3.0510513474722303,0.0,0.0,0.0,0.0,-1.0
