,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV1x,UAV1y,UAV1z,distance_3_to_1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2
0,14323,1,203.0,117.0,115.0,0.0,243.0,0.8889441,0.92886454,0.38760254,-1.214648,-0.444993,0.083141305,2.5308656694752014,,,,,
1,22657,0,,,,,,0.8889439,0.9288697,0.38760206,-1.2146214,-0.4449535,0.083107814,2.5308286122959145,118.0,117.0,114.0,0.0,245.0
2,14333,1,203.0,117.0,115.0,0.0,243.0,0.88894105,0.92886674,0.38760278,-1.2146434,-0.44484687,0.08277506,2.530825140424279,,,,,
3,14343,1,203.0,117.0,115.0,0.0,243.0,0.88894534,0.92886764,0.3876063,-1.2146425,-0.44492266,0.082907684,2.530854173167021,,,,,
4,22677,0,,,,,,0.88895065,0.9288679,0.38760248,-1.2146463,-0.44484353,0.082775645,2.5308343063495538,119.0,118.0,115.0,0.0,241.0
5,14353,1,203.0,117.0,115.0,0.0,243.0,0.8889437,0.9288741,0.38760906,-1.2146496,-0.4450032,0.08314871,2.530877294947488,,,,,
6,22687,0,,,,,,0.8889423,0.9288728,0.38760525,-1.2146422,-0.44492102,0.08291007,2.53085292746441,119.0,118.0,115.0,0.0,241.0
7,14363,1,203.0,117.0,115.0,0.0,243.0,0.88895106,0.92887044,0.3876016,-1.2146386,-0.44492486,0.082916304,2.530856674312875,,,,,
8,14373,1,203.0,117.0,115.0,0.0,243.0,0.88894117,0.928872,0.38760293,-1.2146376,-0.4449213,0.08291274,2.530847309826715,,,,,
9,22697,0,,,,,,0.8889342,0.9288895,0.38758874,-1.214577,-0.44494435,0.0830083,2.5307998237417517,119.0,118.0,115.0,0.0,241.0
10,14383,1,203.0,117.0,115.0,0.0,243.0,0.8889442,0.92886764,0.3876049,-1.2145799,-0.44494748,0.08299635,2.5308038772067754,,,,,
11,22707,0,,,,,,0.8889396,0.9288706,0.38760978,-1.2146412,-0.44485244,0.08278672,2.530826917864343,119.0,118.0,115.0,0.0,241.0
12,14393,1,203.0,117.0,115.0,0.0,243.0,0.8889396,0.9288706,0.38760978,-1.2146412,-0.44485244,0.08278672,2.530826917864343,,,,,
13,22717,0,,,,,,0.8889452,0.9288639,0.38760263,-1.2146413,-0.4449328,0.08291366,2.5308555141142786,119.0,118.0,115.0,0.0,241.0
14,14403,1,203.0,117.0,115.0,0.0,243.0,0.8889491,0.9288676,0.38759628,-1.2146412,-0.4449234,0.08290623,2.5308555133572255,,,,,
15,22727,0,,,,,,0.8888547,0.9287649,0.3874944,-1.2146647,-0.4450119,0.083145894,2.530747857862947,119.0,118.0,115.0,0.0,241.0
16,22737,0,,,,,,0.8889488,0.9288666,0.38760787,-1.2145754,-0.44495127,0.083007425,2.5308044582094116,119.0,118.0,115.0,0.0,241.0
17,22747,0,,,,,,0.88894916,0.9288723,0.387612,-1.214575,-0.44494292,0.08300453,2.530803812785587,119.0,118.0,115.0,0.0,241.0
18,22757,0,,,,,,0.8889513,0.9288695,0.387601,-1.2146376,-0.44484824,0.082778305,2.5308307619012846,119.0,118.0,115.0,0.0,241.0
19,14423,1,204.0,118.0,116.0,0.0,238.0,0.8889437,0.92887396,0.38760778,-1.214576,-0.4449374,0.08299997,2.5307980199154323,,,,,
20,14433,1,204.0,118.0,116.0,0.0,238.0,0.88894606,0.9288653,0.38760552,-1.2146163,-0.44495374,0.08310906,2.5308242994458725,,,,,
21,22767,0,,,,,,0.8889512,0.9288725,0.3875961,-1.2146415,-0.44484204,0.08277278,2.530832066362711,119.0,118.0,115.0,0.0,241.0
22,14443,1,204.0,118.0,116.0,0.0,238.0,0.8889449,0.9288656,0.38760418,-1.2146505,-0.445,0.08314337,2.530872794027782,,,,,
23,22777,0,,,,,,0.88885486,0.9287569,0.38749272,-1.2146838,-0.44493464,0.08301611,2.5307328556457263,120.0,119.0,116.0,0.0,240.0
24,14453,1,204.0,118.0,116.0,0.0,238.0,0.8889428,0.9288661,0.387603,-1.2144796,-0.44482046,0.08286662,2.530664898210647,,,,,
25,22787,0,,,,,,0.88894355,0.9288645,0.38760486,-1.2146428,-0.4449255,0.082921706,2.5308507944422063,120.0,119.0,116.0,0.0,240.0
26,14463,1,204.0,118.0,116.0,0.0,238.0,0.88894373,0.928876,0.38760945,-1.214647,-0.44491744,0.08290705,2.530858689292047,,,,,
27,22797,0,,,,,,0.8889423,0.9288732,0.38760123,-1.2146448,-0.44491997,0.08290661,2.5308546508859933,120.0,119.0,116.0,0.0,240.0
28,14473,1,204.0,118.0,116.0,0.0,238.0,0.8889443,0.92886955,0.38760766,-1.214638,-0.44492456,0.08292069,2.530850283105155,,,,,
29,22807,0,,,,,,0.8888645,0.92880756,0.38747936,-1.214578,-0.44494513,0.083001114,2.530686584303884,120.0,119.0,116.0,0.0,240.0
30,14483,1,204.0,118.0,116.0,0.0,238.0,0.8889432,0.9288688,0.3876056,-1.2146419,-0.4449205,0.08292396,2.5308494341250714,,,,,
31,22817,0,,,,,,0.8888516,0.928774,0.38748726,-1.2145737,-0.44486037,0.082865715,2.530625105678957,120.0,119.0,116.0,0.0,240.0
32,14493,1,204.0,118.0,116.0,0.0,238.0,0.8889415,0.9288734,0.38759583,-1.2146438,-0.44492078,0.082910635,2.5308525141447835,,,,,
33,22827,0,,,,,,0.88895035,0.9288763,0.38761356,-1.2146657,-0.44501093,0.08316426,2.530900165439913,120.0,119.0,116.0,0.0,240.0
34,14503,1,204.0,118.0,116.0,0.0,238.0,0.88893986,0.92886513,0.38761446,-1.2146908,-0.44503573,0.083164036,2.5309198281837357,,,,,
35,22837,0,,,,,,0.88894355,0.9288629,0.3875978,-1.214676,-0.445017,0.08315911,2.530897910688786,120.0,119.0,116.0,0.0,240.0
36,14513,1,205.0,119.0,117.0,0.0,242.0,0.8889454,0.928872,0.38760158,-1.2145722,-0.44486302,0.082868785,2.5307698045573908,,,,,
37,22847,0,,,,,,0.8889362,0.92886806,0.38760495,-1.2145846,-0.44494534,0.082998894,2.5307998992035015,120.0,119.0,116.0,0.0,240.0
38,14523,1,205.0,119.0,117.0,0.0,242.0,0.88894105,0.9288625,0.38760784,-1.2146443,-0.44500047,0.083135754,2.530864204403536,,,,,
39,22857,0,,,,,,0.8889427,0.9288715,0.38760617,-1.214647,-0.4448493,0.08277499,2.5308340617894913,120.0,119.0,116.0,0.0,240.0
40,14533,1,205.0,119.0,117.0,0.0,242.0,0.88894504,0.92886996,0.3876036,-1.2146415,-0.44485384,0.082777664,2.5308322121864673,,,,,
41,22867,0,,,,,,0.888939,0.9288685,0.38760257,-1.2146549,-0.4450071,0.08314212,2.5308767996497785,120.0,119.0,116.0,0.0,240.0
42,14543,1,205.0,119.0,117.0,0.0,242.0,0.8889455,0.92887646,0.38759783,-1.2146423,-0.4449115,0.08290868,2.5308518027305653,,,,,
43,22877,0,,,,,,0.8889437,0.92886955,0.38761252,-1.214639,-0.4449172,0.08291545,2.5308476856293587,121.0,120.0,117.0,0.0,242.0
44,14553,1,205.0,119.0,117.0,0.0,242.0,0.8889453,0.92886853,0.38761544,-1.2146444,-0.4448435,0.082785465,2.530829129968271,,,,,
