,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV1x,UAV1y,UAV1z,distance_3_to_1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2
0,32143,1,1982.0,1475.0,292.0,1172.0,255.0,0.89483005,0.9182921,0.38667277,-1.1247857,-0.62882215,0.079858966,2.5625269946179365,,,,,
1,42200,0,,,,,,0.89483196,0.91830826,0.3866685,-1.124606,-0.62897503,0.07970258,2.562507289713894,297.0,296.0,292.0,0.0,255.0
2,32163,1,1983.0,1476.0,293.0,1172.0,251.0,0.89483374,0.91829205,0.38666934,-1.1247764,-0.62883073,0.07985573,2.5625277578420684,,,,,
3,42220,0,,,,,,0.8948298,0.91829324,0.3866755,-1.1247764,-0.62883073,0.07985573,2.5625260218157355,297.0,296.0,292.0,0.0,255.0
4,32183,1,1984.0,1477.0,293.0,1173.0,253.0,0.8948359,0.918293,0.38667133,-1.1247861,-0.6288252,0.07985312,2.5625349712603334,,,,,
5,42240,0,,,,,,0.89483166,0.9182984,0.38666695,-1.1247765,-0.6288221,0.07985658,2.5625243858199753,297.0,296.0,292.0,0.0,255.0
6,42260,0,,,,,,0.8948327,0.91829884,0.38667464,-1.1247814,-0.628824,0.07986083,2.562530861278333,297.0,296.0,292.0,0.0,255.0
7,32203,1,1985.0,1478.0,293.0,1174.0,251.0,0.8948284,0.91829205,0.3866712,-1.1247759,-0.6288265,0.07985192,2.562521219150533,,,,,
8,32223,1,1986.0,1479.0,293.0,1175.0,251.0,0.8948346,0.9182941,0.38667208,-1.1247858,-0.6288191,0.07984966,2.562531136229955,,,,,
9,42280,0,,,,,,0.8948322,0.91830003,0.3866752,-1.1246026,-0.62894696,0.07970869,2.562482776735941,297.0,296.0,292.0,0.0,255.0
10,32243,1,1987.0,1480.0,293.0,1176.0,251.0,0.89483505,0.918298,0.38667452,-1.1247773,-0.62881756,0.07985587,2.5625257372617205,,,,,
11,42300,0,,,,,,0.89483243,0.91829497,0.38666818,-1.1245703,-0.62897044,0.07970742,2.5624680671917526,298.0,297.0,293.0,0.0,251.0
12,32263,1,1988.0,1481.0,294.0,1176.0,258.0,0.89483505,0.91829056,0.38667163,-1.1246285,-0.6289274,0.07972948,2.562485104356771,,,,,
13,42320,0,,,,,,0.89483243,0.91829884,0.386669,-1.1247833,-0.62881786,0.079852395,2.5625288414501397,298.0,297.0,293.0,0.0,251.0
14,32283,1,1989.0,1482.0,294.0,1177.0,258.0,0.89483064,0.9183046,0.38667464,-1.124776,-0.6288183,0.07985076,2.5625263142786494,,,,,
15,42340,0,,,,,,0.8948354,0.91830236,0.38668033,-1.124778,-0.62882096,0.07985499,2.5625321542973842,298.0,297.0,293.0,0.0,251.0
16,32303,1,1990.0,1483.0,294.0,1178.0,258.0,0.894833,0.9182916,0.38666785,-1.1245961,-0.6289367,0.079720624,2.5624649166427975,,,,,
17,42360,0,,,,,,0.8948308,0.91829574,0.3866705,-1.1245688,-0.6289457,0.07972118,2.5624497856573663,298.0,297.0,293.0,0.0,251.0
18,32323,1,1991.0,1484.0,294.0,1179.0,258.0,0.89482373,0.91829324,0.38667542,-1.1247534,-0.6288153,0.079841405,2.5624955186699006,,,,,
19,42380,0,,,,,,0.8948357,0.918302,0.38667038,-1.1245997,-0.62895006,0.079722226,2.562484236421062,298.0,297.0,293.0,0.0,251.0
20,32343,1,1992.0,1485.0,294.0,1180.0,258.0,0.8948373,0.91829467,0.38667294,-1.124597,-0.62893116,0.07973946,2.5624657051554136,,,,,
21,42420,0,,,,,,0.89483184,0.91830075,0.38667428,-1.1246504,-0.6289462,0.07973044,2.562517450761386,299.0,298.0,294.0,0.0,258.0
22,32363,1,1993.0,1486.0,294.0,1181.0,258.0,0.8948329,0.91829646,0.38667887,-1.1247809,-0.6288213,0.07984738,2.56252969460219,,,,,
