,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV1x,UAV1y,UAV1z,distance_3_to_1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2
0,25022,1,741.0,560.0,137.0,414.0,260.0,0.8167465,1.1212076,0.38816902,-1.3808234,-0.33118948,0.083887696,2.6516707406260505,,,,,
1,32223,0,,,,,,0.8167552,1.1212387,0.38817173,-1.3808637,-0.33120713,0.083877005,2.6517396883745263,141.0,140.0,137.0,0.0,260.0
2,25062,1,742.0,561.0,138.0,414.0,259.0,0.8168134,1.121379,0.38819528,-1.380817,-0.3311754,0.08388749,2.6518101555233207,,,,,
3,32263,0,,,,,,0.81673974,1.1212194,0.3881502,-1.3808254,-0.33088616,0.084110655,2.651479353750064,142.0,141.0,138.0,0.0,260.0
4,25102,1,743.0,562.0,138.0,415.0,258.0,0.816797,1.1213189,0.38819307,-1.3804967,-0.33077556,0.08407906,2.651257020829936,,,,,
5,32303,0,,,,,,0.8167528,1.1212839,0.3881458,-1.3808277,-0.33088547,0.08411484,2.6515260098518363,142.0,141.0,138.0,0.0,260.0
6,25142,1,743.0,562.0,138.0,415.0,258.0,0.8167602,1.121282,0.38813716,-1.3808634,-0.3311758,0.08387985,2.6517458745236824,,,,,
7,32343,0,,,,,,0.81679815,1.1213112,0.3882099,-1.3808446,-0.33119768,0.083876565,2.651798417476693,142.0,141.0,138.0,0.0,260.0
8,25182,1,744.0,563.0,138.0,416.0,259.0,0.8167902,1.12129,0.3882161,-1.3808662,-0.33120352,0.083871976,2.6518024296097384,,,,,
9,32383,0,,,,,,0.816757,1.1212547,0.38816664,-1.3808572,-0.3312211,0.08387252,2.6517520539478,142.0,141.0,138.0,0.0,260.0
10,25222,1,746.0,565.0,139.0,417.0,258.0,0.8167876,1.1214305,0.38810012,-1.380843,-0.3311758,0.083881445,2.651828534018404,,,,,
11,32423,0,,,,,,0.8167404,1.1211885,0.38817534,-1.3807667,-0.33090323,0.08410234,2.651427601120323,143.0,142.0,139.0,0.0,259.0
12,25262,1,747.0,566.0,139.0,418.0,259.0,0.8168265,1.1212271,0.38833204,-1.3808548,-0.33122322,0.08387451,2.6518126254186285,,,,,
13,32463,0,,,,,,0.8167968,1.1213019,0.38821042,-1.380803,-0.33120522,0.083870105,2.651762672966611,143.0,142.0,139.0,0.0,259.0
14,25302,1,748.0,567.0,139.0,419.0,259.0,0.81674236,1.1211816,0.38817734,-1.38082,-0.33088642,0.084111065,2.651459746022471,,,,,
15,32503,0,,,,,,0.81679046,1.1213113,0.38819236,-1.3808328,-0.33116755,0.083874695,2.6517639617519473,143.0,142.0,139.0,0.0,259.0
16,25342,1,749.0,568.0,139.0,420.0,259.0,0.8167501,1.1211947,0.38819146,-1.3807745,-0.33087805,0.084076084,2.651436506043147,,,,,
17,32543,0,,,,,,0.81675893,1.121298,0.3881434,-1.3808151,-0.33087882,0.08411322,2.651524831236326,143.0,142.0,139.0,0.0,259.0
18,25382,1,750.0,569.0,140.0,420.0,258.0,0.81673574,1.1211518,0.3881934,-1.3808404,-0.33119926,0.08387717,2.6516546795302904,,,,,
19,32583,0,,,,,,0.81679106,1.1213301,0.38818932,-1.3808136,-0.33117473,0.083884954,2.6517612592878677,144.0,143.0,140.0,0.0,259.0
20,25422,1,751.0,570.0,140.0,421.0,259.0,0.8167969,1.1213043,0.38821626,-1.3808241,-0.33087665,0.08409672,2.651576026927835,,,,,
21,32623,0,,,,,,0.81675154,1.1212758,0.38813707,-1.3808389,-0.33116245,0.08387093,2.651708519335501,144.0,143.0,140.0,0.0,259.0
22,32663,0,,,,,,0.8167319,1.1212174,0.38813064,-1.3807688,-0.33088621,0.08408575,2.651425571725714,144.0,143.0,140.0,0.0,259.0
23,25462,1,752.0,571.0,140.0,422.0,259.0,0.8167319,1.1212174,0.38813064,0.0,0.0,,,,,,,
24,25502,1,753.0,572.0,140.0,423.0,258.0,0.81675136,1.1212244,0.38815865,-1.3807648,-0.33086795,0.08410006,2.651433847530114,,,,,
25,32703,0,,,,,,0.8168276,1.1212302,0.38832784,-1.3808229,-0.33088267,0.0841181,2.651573665131015,144.0,143.0,140.0,0.0,259.0
26,25542,1,753.0,572.0,140.0,423.0,258.0,0.81674975,1.1211778,0.38819757,-1.380826,-0.3308824,0.084107764,2.6514692031761875,,,,,
27,32743,0,,,,,,0.8167333,1.121173,0.38817108,-1.3808862,-0.3306826,0.08413802,2.6513868335320065,145.0,144.0,141.0,0.0,258.0
28,32783,0,,,,,,0.816786,1.1213901,0.38812476,-1.3808199,-0.33120182,0.083865106,2.651804785505256,145.0,144.0,141.0,0.0,258.0
29,25622,1,755.0,574.0,141.0,424.0,259.0,0.81675285,1.1212304,0.3881712,-1.3805349,-0.33079568,0.08407022,2.6512130453169855,,,,,
30,32823,0,,,,,,0.8167765,1.121331,0.38814414,-1.3808157,-0.33088854,0.0841154,2.6515630581076546,145.0,144.0,141.0,0.0,258.0
31,25662,1,756.0,575.0,141.0,425.0,259.0,0.81675315,1.1211977,0.38817972,-1.3808242,-0.33120173,0.08386213,2.651682531547406,,,,,
32,32863,0,,,,,,0.81674224,1.1212076,0.38815525,-1.3805287,-0.33080062,0.08408298,2.6511859925959125,145.0,144.0,141.0,0.0,258.0
33,25702,1,758.0,577.0,142.0,426.0,261.0,0.8168003,1.1213216,0.3881906,-1.3807663,-0.33082724,0.084239125,2.651494141632659,,,,,
