,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,UAV0x,UAV0y,UAV0z,UAV1x,UAV1y,UAV1z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,43717,0,325.0,324.0,320.0,0.0,259.0,0.8939444,0.915524,0.386694,-1.2026528,-0.60182214,0.08399986,2.6057019898856146,,,,,
1,34970,1,,,,,,0.8939435,0.9155145,0.38670412,-1.2026517,-0.6018317,0.084006965,2.6057008048627956,825.0,647.0,320.0,321.0,259.0
2,43767,0,325.0,324.0,320.0,0.0,259.0,0.8939399,0.91551113,0.38669845,-1.2026623,-0.6018188,0.08398444,2.605698886936529,,,,,
3,35020,1,,,,,,0.89394706,0.9155147,0.38669136,-1.2026614,-0.6018172,0.083997875,2.6057025999614134,826.0,648.0,320.0,322.0,259.0
4,43817,0,326.0,325.0,321.0,0.0,259.0,0.89391124,0.91537344,0.38673797,-1.2026591,-0.6018278,0.083996765,2.6056015615430113,,,,,
5,35070,1,,,,,,0.89391154,0.91537976,0.3867307,-1.2026591,-0.6018229,0.08400131,2.60560121515042,827.0,649.0,320.0,323.0,259.0
6,43867,0,326.0,325.0,321.0,0.0,259.0,0.893951,0.9155134,0.38669753,-1.2026522,-0.60183245,0.0839961,2.6057074916966094,,,,,
7,35120,1,,,,,,0.89394313,0.91551244,0.3866969,-1.2026561,-0.6018145,0.0839855,2.6056945447927706,828.0,650.0,321.0,323.0,260.0
8,43917,0,327.0,326.0,322.0,0.0,260.0,0.8939468,0.91551816,0.3866977,-1.2026554,-0.6018278,0.08399652,2.605706696654932,,,,,
9,35170,1,,,,,,0.89394784,0.91552114,0.38669047,0.0,0.0,4e-45,1.3367315454490003,829.0,651.0,322.0,323.0,259.0
10,43967,0,327.0,326.0,322.0,0.0,260.0,0.8939464,0.9155114,0.38669768,-1.2026565,-0.6018257,0.083991796,2.605702682293068,,,,,
11,35220,1,,,,,,0.89394325,0.9155176,0.38669643,-1.2026535,-0.6018314,0.08399933,2.605703614980041,830.0,652.0,322.0,324.0,260.0
12,35270,1,,,,,,0.8939456,0.91551125,0.38669425,-1.2026484,-0.6018305,0.08399875,2.605696894980507,831.0,653.0,323.0,324.0,257.0
13,44017,0,328.0,327.0,323.0,0.0,259.0,0.89386445,0.9154902,0.38656074,-1.2024728,-0.6019087,0.08389193,2.6055206357273044,,,,,
14,35320,1,,,,,,0.8939433,0.91551614,0.3866966,-1.20266,-0.6018203,0.083996765,2.605701946653052,832.0,654.0,323.0,325.0,255.0
15,44117,0,329.0,328.0,324.0,0.0,256.0,0.89394534,0.9155185,0.38669813,-1.2026646,-0.60182416,0.083998725,2.6057109452622242,,,,,
16,35370,1,,,,,,0.89387083,0.91549057,0.38654888,-1.202661,-0.6018215,0.083988406,2.6056140491727953,833.0,655.0,324.0,325.0,259.0
17,44167,0,329.0,328.0,324.0,0.0,256.0,0.8939412,0.91551423,0.38669538,-1.2026511,-0.6018324,0.08400262,2.6056982715834245,,,,,
