,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV1x,UAV1y,UAV1z,distance_3_to_1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2
0,21959,1,0.0,0.0,0.0,0.0,-1.0,0.88997287,0.92605907,0.38672695,-1.0771611,-0.4013202,0.07651565,2.3932786783244326,,,,,
1,26955,0,,,,,,0.8899736,0.9260606,0.38672557,-1.0774076,-0.40135148,0.07649923,2.3935020967076226,324.0,323.0,320.0,0.0,241.0
2,22009,1,0.0,0.0,0.0,0.0,-1.0,0.88997126,0.9260621,0.38671726,-1.0771747,-0.40139186,0.076443605,2.3933380143392684,,,,,
3,27005,0,,,,,,0.88997215,0.9260576,0.38671592,-1.0770229,-0.40121362,0.07640542,2.3931173871664004,324.0,323.0,320.0,0.0,241.0
4,22059,1,0.0,0.0,0.0,0.0,-1.0,0.8899814,0.9260709,0.38671988,-1.0774009,-0.40135026,0.07649324,2.39350804175311,,,,,
5,27055,0,,,,,,0.88997424,0.92605466,0.38671464,-1.0774056,-0.40135098,0.07650454,2.393495245674416,325.0,324.0,321.0,0.0,236.0
6,22109,1,0.0,0.0,0.0,0.0,-1.0,0.8899807,0.92606014,0.38671935,-1.0774182,-0.4013461,0.07649961,2.3935124355802606,,,,,
7,27105,0,,,,,,0.8899709,0.9260637,0.38671595,-1.0771786,-0.40142867,0.0764054,2.393367027598603,326.0,325.0,322.0,0.0,238.0
8,22159,1,0.0,0.0,0.0,0.0,-1.0,0.8899725,0.926054,0.38671726,-1.0771736,-0.40143594,0.076419614,2.3933612886726556,,,,,
9,27155,0,,,,,,0.8899764,0.9260604,0.38671255,-1.0771766,-0.40142155,0.07640698,2.393363471322797,327.0,326.0,323.0,0.0,241.0
10,22209,1,0.0,0.0,0.0,0.0,-1.0,0.8898966,0.9260427,0.38656107,-1.0771786,-0.4014297,0.07641245,2.3932738577165176,,,,,
11,27205,0,,,,,,0.8899744,0.9260551,0.38671923,-1.0771797,-0.40143612,0.07642032,2.3933685827164104,328.0,327.0,324.0,0.0,233.0
12,22259,1,0.0,0.0,0.0,0.0,-1.0,0.88989997,0.9260247,0.38658425,-1.0772761,-0.40141556,0.07643009,2.3933397139854313,,,,,
13,27255,0,,,,,,0.8899764,0.9260728,0.38671976,-1.0771815,-0.40128762,0.076418675,2.393299469202601,329.0,328.0,325.0,0.0,234.0
14,22309,1,0.0,0.0,0.0,0.0,-1.0,0.88997424,0.92606854,0.38671598,-1.0771779,-0.40142852,0.07641753,2.393370193091752,,,,,
15,27305,0,,,,,,0.8899733,0.92606694,0.38672203,-1.0772674,-0.4014251,0.07642594,2.393439910694496,329.0,328.0,325.0,0.0,234.0
16,22359,1,0.0,0.0,0.0,0.0,-1.0,0.8899721,0.92606014,0.38671854,-1.0773985,-0.401369,0.076510675,2.3935004352513873,,,,,
17,27355,0,,,,,,0.88990295,0.926016,0.38659495,-1.0774112,-0.40135399,0.07650641,2.393405668794786,330.0,329.0,326.0,0.0,235.0
18,22409,1,0.0,0.0,0.0,0.0,-1.0,0.8899737,0.9260661,0.38671637,-1.077028,-0.40121529,0.07639772,2.3931295529072374,,,,,
19,27405,0,,,,,,0.88997614,0.9260648,0.3867151,-1.077402,-0.40136403,0.07651159,2.393505846095481,331.0,330.0,327.0,0.0,237.0
20,22459,1,0.0,0.0,0.0,0.0,-1.0,0.8899749,0.9260595,0.38671577,-1.0771768,-0.4014265,0.07641576,2.3933639190555636,,,,,
21,27455,0,,,,,,0.8899674,0.92605865,0.38671347,-1.0771755,-0.40142667,0.07641309,2.393356322022213,332.0,331.0,328.0,0.0,236.0
22,22509,1,0.0,0.0,0.0,0.0,-1.0,0.88997614,0.92607135,0.3867202,-1.0771688,-0.40139952,0.07643934,2.393347554412307,,,,,
