Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5
92,94,139,136,85,96
91,96,144,136,83,96
90,97,144,138,83,98
91,97,144,138,83,98
91,97,144,138,83,98
92,97,145,138,83,95
89,97,145,137,84,98
91,94,145,136,84,98
91,94,144,136,85,98
91,94,145,135,85,98
91,94,145,135,85,98
89,94,146,135,84,98
89,94,147,134,83,98
91,97,145,138,86,98
91,97,143,138,83,99
91,94,142,132,83,99
91,94,142,132,85,100
90,92,142,136,82,98
91,90,146,134,82,98
91,90,143,134,81,98
89,90,147,136,82,100
93,94,143,136,82,100
93,94,143,136,82,96
90,96,145,139,83,98
92,97,144,139,85,98
90,97,146,138,82,95
91,96,146,137,83,99
91,96,146,137,83,99
91,96,146,137,83,98
91,96,143,137,86,98
93,96,142,137,83,100
91,94,146,134,84,98
89,94,144,135,83,98
92,94,144,139,83,98
92,94,144,139,83,100
91,96,144,138,81,99
91,96,145,138,81,96
93,96,144,138,82,99
92,96,145,141,82,99
91,94,145,139,82,99
91,94,145,139,82,100
90,94,143,139,84,100
92,94,144,139,86,100
91,94,144,136,86,100
91,96,144,138,84,99
93,96,146,138,84,99
93,96,146,138,86,98
92,94,144,136,82,100
92,94,145,136,83,100
93,94,144,136,81,100
90,94,141,136,83,100
91,95,146,135,83,100
91,95,146,135,82,100
91,94,146,136,82,100
91,94,144,138,86,98
89,94,144,136,84,100
91,95,144,136,84,100
92,95,144,135,84,100
92,95,144,135,83,100
90,95,145,136,82,100
91,94,144,132,82,100
91,94,144,132,83,98
92,94,146,132,83,98
89,94,149,135,83,98
89,94,149,135,83,98
90,94,145,135,83,98
89,96,145,137,83,96
89,96,144,137,83,96
91,96,144,141,83,96
92,94,146,139,83,96
92,94,146,139,83,100
90,96,144,141,82,99
91,94,145,139,82,98
90,96,146,138,85,98
88,96,145,137,84,98
91,96,144,138,84,98
91,96,144,138,84,98
92,96,145,136,83,98
92,97,146,140,83,100
91,96,144,138,82,99
92,96,146,138,83,99
91,96,144,138,83,99
91,96,144,138,81,99
91,96,145,137,83,99
91,96,145,137,83,100
91,95,144,135,84,100
90,97,147,138,82,98
91,95,146,136,82,98
91,95,146,136,83,100
92,97,147,140,83,95
90,92,146,140,84,95
91,92,145,140,83,100
91,90,146,134,83,100
91,90,145,136,83,100
91,90,145,136,82,100
92,90,142,136,83,100
90,90,143,134,82,98
91,92,144,134,83,100
92,90,144,136,83,100
90,90,143,136,83,100
90,90,143,136,83,98
90,90,145,136,83,100
93,90,144,136,81,98
90,92,145,137,83,98
91,94,144,140,87,96
91,99,142,140,87,96
91,99,142,140,82,95
90,99,139,140,83,94
91,95,140,141,82,100
93,95,140,139,84,101
96,95,138,138,84,101
103,95,145,142,84,101
103,95,145,142,85,101
92,95,161,138,88,104
92,97,146,143,86,104
97,95,150,145,90,104
91,95,152,143,89,104
95,95,159,144,89,104
95,95,159,144,89,106
86,93,152,151,88,104
89,94,159,150,90,105
84,94,154,145,98,105
