Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5
102,98,144,138,116,123
99,97,147,138,116,122
100,98,144,141,116,122
101,98,146,141,115,122
102,98,147,138,115,122
102,99,147,138,114,122
102,99,147,141,114,122
104,99,144,141,113,124
101,98,149,138,112,123
101,99,148,141,113,122
104,100,145,141,113,122
99,98,145,141,115,123
99,98,147,138,116,123
105,98,145,138,116,123
102,100,147,141,115,121
103,100,151,141,114,123
102,98,145,141,114,123
100,99,145,141,113,122
100,99,151,138,113,123
100,98,145,138,112,123
99,98,147,138,113,123
105,98,147,141,117,122
106,98,152,141,117,122
101,97,152,141,116,122
101,97,144,138,115,121
104,100,148,141,114,121
102,98,146,141,114,123
103,98,146,138,113,123
102,101,150,141,113,123
105,101,150,141,114,121
105,101,147,141,116,121
100,101,150,141,115,121
100,97,151,138,116,123
100,97,144,138,116,123
104,99,144,141,116,123
102,98,144,141,117,123
102,98,149,141,115,121
99,98,145,141,114,123
100,99,146,141,114,121
103,99,147,141,112,122
103,98,150,141,112,122
100,97,150,141,113,122
100,97,149,138,113,123
99,99,150,141,114,122
100,101,150,141,116,122
99,99,146,141,116,122
102,98,145,138,116,122
102,98,145,138,117,123
102,98,145,138,116,122
99,99,151,141,114,122
101,99,152,141,113,122
100,99,147,141,113,122
102,99,147,141,113,122
100,99,147,141,113,121
100,99,145,141,114,122
103,100,152,141,114,122
100,99,144,141,117,122
101,100,146,141,116,121
101,98,144,138,116,121
100,100,144,138,117,122
100,100,146,138,113,123
102,99,146,141,113,122
100,99,145,141,113,122
100,99,146,141,113,122
101,98,146,141,113,122
103,98,146,141,114,122
103,98,153,141,115,122
102,98,144,138,116,123
106,98,146,138,114,123
102,98,150,138,114,123
103,98,145,138,114,123
101,98,145,138,113,123
101,98,149,138,112,123
100,98,145,138,114,123
99,97,145,138,114,123
100,97,145,138,116,123
103,98,144,141,116,123
101,98,144,141,116,122
101,98,148,141,116,122
102,97,143,138,113,123
105,98,151,138,113,122
101,98,151,138,113,121
99,99,146,141,113,121
99,99,146,141,113,122
99,99,149,141,114,122
103,99,146,141,116,122
101,99,152,141,116,122
103,98,144,141,116,122
103,98,147,141,116,122
100,98,147,141,114,122
100,98,148,141,114,121
101,101,148,141,114,121
103,100,146,141,114,121
100,101,144,141,117,121
101,99,146,141,117,121
101,98,146,141,117,123
101,98,147,141,116,123
100,98,146,141,114,123
102,97,147,138,114,123
100,98,145,138,113,123
102,101,149,141,113,123
101,99,149,141,113,121
101,99,148,141,112,123
103,98,151,141,112,122
100,97,146,141,114,123
99,97,143,140,114,123
97,99,144,137,114,123
99,94,144,137,114,125
99,94,140,136,113,124
102,97,141,139,116,126
98,97,144,136,117,123
100,97,144,137,118,124
100,96,149,135,118,124
98,97,149,135,121,127
98,97,142,138,122,133
99,99,147,142,122,133
98,102,149,140,123,134
97,101,146,146,123,133
96,100,139,146,123,133
96,100,139,146,126,137
96,100,148,144,121,138
95,99,151,139,127,137
94,98,145,139,127,135
94,100,148,143,122,135
93,100,151,143,122,135
94,100,151,143,123,135
94,100,147,140,122,135
91,100,147,140,126,130
91,100,143,140,127,128
89,92,144,135,124,134
89,91,141,131,124,134
89,90,141,131,126,135
89,90,138,128,122,132
88,90,139,131,122,130
87,88,138,125,117,129
87,88,134,128,113,125
84,88,135,128,113,125
85,88,135,128,114,123
85,88,129,128,116,122
83,89,131,129,120,116
82,85,131,128,121,119
82,85,130,128,120,117
79,83,129,126,120,117
81,81,129,126,118,118
81,81,130,126,118,120
79,83,132,128,116,121
78,82,133,127,113,120
77,82,136,133,113,117
79,82,135,134,113,117
79,82,135,134,110,117
79,82,143,136,106,117
79,82,148,138,102,116
79,82,151,138,101,116
79,82,154,143,104,114
78,83,159,146,104,114
78,84,159,146,108,117
78,84,156,146,105,117
78,84,163,148,104,117
80,84,163,147,106,108
81,84,165,144,105,108
80,84,167,151,105,108
80,86,167,151,106,107
80,86,164,152,105,106
79,88,163,150,106,108
80,89,157,150,106,107
80,88,156,149,104,106
82,88,155,147,104,106
83,88,155,147,104,103
83,88,154,153,102,100
84,92,152,154,100,104
84,91,154,150,96,98
86,93,152,144,91,101
86,94,145,141,91,101
90,98,145,141,88,100
90,98,148,144,83,98
89,98,147,143,82,96
92,99,146,146,81,95
93,99,147,141,83,95
92,100,148,146,83,95
95,101,148,146,86,92
95,101,145,143,85,93
96,102,146,139,87,94
99,103,152,139,87,93
98,104,152,145,87,91
104,107,152,145,87,91
98,106,152,145,87,92
98,106,150,141,86,99
95,106,152,140,86,100
92,106,146,139,94,102
90,106,144,139,102,99
88,105,145,136,102,99
87,92,145,136,105,114
87,92,139,125,106,116
85,92,136,124,104,118
83,92,131,122,108,120
82,88,129,120,114,121
80,91,126,123,114,121
78,85,126,123,115,116
78,85,124,122,118,115
78,85,123,115,121,119
77,86,121,118,120,117
76,85,123,118,122,117
76,85,123,120,122,117
77,84,123,120,122,116
77,84,120,124,119,116
75,83,127,122,113,115
76,83,125,125,106,115
76,83,127,122,106,108
76,83,125,118,106,108
76,82,125,118,108,106
76,82,130,126,107,107
76,83,131,127,106,105
82,83,137,130,102,105
83,84,135,131,101,104
81,84,135,132,101,104
83,86,135,132,96,103
83,86,136,132,92,103
83,86,138,132,86,99
83,89,138,132,84,95
84,87,136,132,89,97
84,86,140,136,89,97
86,87,140,136,85,97
86,87,136,133,83,98
86,88,136,133,85,96
86,89,142,136,90,102
88,87,141,129,89,102
86,87,138,129,89,102
90,88,138,129,92,103
90,88,139,135,99,100
87,88,140,136,100,104
84,87,141,136,103,106
84,87,140,139,106,104
86,90,139,140,106,104
83,86,139,140,104,106
83,86,144,144,103,104
82,86,144,148,102,108
80,85,152,148,100,108
78,87,150,153,98,111
82,87,156,146,98,111
80,88,156,146,102,110
80,88,153,147,101,111
83,88,157,151,100,111
78,89,158,148,100,111
81,86,158,148,98,111
79,86,158,147,98,111
80,86,158,147,101,108
80,86,158,145,100,108
78,87,152,143,99,107
81,88,152,144,103,107
84,88,152,144,101,107
85,88,147,144,101,107
85,88,147,144,102,105
85,88,143,144,107,106
87,87,142,144,107,106
87,86,140,144,106,106
90,86,144,138,108,106
91,86,144,137,108,106
92,86,144,137,102,109
92,86,143,137,99,101
91,92,144,134,94,96
94,93,142,133,91,96
91,93,140,133,90,100
91,94,138,134,90,100
95,92,138,134,89,98
95,92,140,131,88,101
94,93,136,131,90,101
90,92,136,132,90,101
94,92,137,132,93,101
92,91,135,136,93,101
86,90,135,136,93,103
86,90,136,135,94,102
89,90,137,135,94,101
86,89,139,136,94,106
84,88,139,138,97,106
84,87,141,141,97,106
84,86,141,141,103,109
84,86,144,142,106,110
82,86,147,141,106,110
81,86,148,141,109,110
80,87,153,141,111,110
78,88,151,144,111,110
77,87,151,144,110,112
77,87,149,144,108,113
77,88,152,147,109,113
77,87,153,145,107,113
76,87,153,145,103,111
77,87,150,145,103,111
77,84,150,145,100,115
77,84,148,144,103,115
76,86,152,144,99,115
78,86,151,143,102,109
77,85,152,143,102,107
76,86,148,141,102,107
77,87,148,141,104,107
77,87,149,140,99,106
77,87,148,142,98,102
77,85,145,142,98,105
78,85,143,137,97,105
80,86,145,137,97,105
80,87,145,137,97,105
80,87,143,141,98,104
78,89,144,141,94,104
79,87,141,141,94,103
79,87,141,137,94,104
81,86,143,137,94,104
80,88,143,137,96,107
80,88,141,137,96,108
82,86,140,133,95,108
80,86,140,133,97,109
79,88,139,138,99,109
79,88,142,138,99,109
79,88,142,138,98,109
79,88,138,138,98,109
79,88,140,138,99,109
80,88,144,138,97,109
80,88,141,138,98,109
81,88,141,138,98,109
80,88,141,138,99,110
80,88,141,136,100,110
79,88,141,134,102,110
78,87,140,133,99,110
78,85,143,133,101,111
77,85,138,133,101,111
79,85,138,133,102,111
79,85,139,136,101,108
78,83,139,130,104,112
77,85,139,130,102,112
77,84,133,130,106,112
78,85,139,136,106,112
78,86,139,136,105,112
78,86,136,136,102,109
78,88,136,133,108,112
78,86,134,133,106,108
77,84,135,129,106,108
76,87,136,133,106,108
77,84,136,133,105,105
77,84,136,131,106,109
77,87,136,135,101,105
77,88,138,136,102,107
