Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7
95,98,109,162,-1,-1,133,187
96,99,111,162,-1,-1,135,187
101,98,111,162,-1,-1,135,187
96,98,111,163,-1,-1,136,186
98,98,111,163,-1,-1,134,187
98,98,111,163,-1,-1,134,187
97,99,110,162,-1,-1,136,187
97,99,111,162,-1,-1,136,187
93,99,111,163,-1,-1,135,187
99,98,110,163,-1,-1,136,186
94,98,110,163,-1,-1,136,186
94,98,111,163,-1,-1,136,186
99,99,111,162,-1,-1,132,187
103,98,110,162,-1,-1,136,187
96,98,112,162,-1,-1,136,186
95,98,111,162,-1,-1,133,187
96,98,111,162,-1,-1,133,186
96,98,109,162,-1,-1,133,186
101,98,110,162,-1,-1,136,186
94,99,109,162,-1,-1,133,187
98,99,110,162,-1,-1,133,186
95,98,111,162,-1,-1,134,187
95,98,111,162,-1,-1,135,187
95,98,109,162,-1,-1,135,187
95,98,110,162,-1,-1,135,186
98,98,113,162,-1,-1,135,186
94,98,112,162,-1,-1,133,186
94,98,110,162,-1,-1,136,186
96,98,110,162,-1,-1,135,187
96,98,110,162,-1,-1,135,187
100,99,111,162,-1,-1,134,187
96,98,112,162,-1,-1,135,186
97,98,112,162,-1,-1,135,187
94,98,110,163,-1,-1,134,187
99,99,110,163,-1,-1,134,187
99,99,111,163,-1,-1,134,187
96,98,111,162,-1,-1,134,187
97,98,110,162,-1,-1,136,186
98,99,109,162,-1,-1,134,187
99,99,109,162,-1,-1,135,187
99,98,109,162,-1,-1,135,187
99,98,111,162,-1,-1,135,187
102,98,112,162,-1,-1,135,187
95,99,111,163,-1,-1,135,187
95,99,113,163,-1,-1,135,187
96,99,112,163,-1,-1,133,187
98,99,112,163,-1,-1,135,187
98,99,110,163,-1,-1,135,187
98,99,111,163,-1,-1,136,187
95,99,109,163,-1,-1,136,187
98,99,109,163,-1,-1,136,187
95,99,111,163,-1,-1,134,187
99,98,111,163,-1,-1,132,186
99,98,112,163,-1,-1,132,186
97,98,113,163,-1,-1,133,187
96,98,112,163,-1,-1,136,186
98,98,110,162,-1,-1,137,186
99,99,110,162,-1,-1,136,187
96,98,110,162,-1,-1,136,187
96,98,109,162,-1,-1,136,187
92,98,111,162,-1,-1,133,186
97,99,110,162,-1,-1,135,187
96,98,112,162,-1,-1,135,187
98,98,110,162,-1,-1,134,186
98,98,110,162,-1,-1,136,186
98,98,108,162,-1,-1,136,186
98,98,110,162,-1,-1,136,186
97,98,108,163,-1,-1,136,187
100,99,112,163,-1,-1,136,187
98,98,109,162,-1,-1,135,187
94,99,109,162,-1,-1,135,187
94,99,110,163,-1,-1,135,187
96,99,112,162,-1,-1,135,187
95,99,110,163,-1,-1,136,187
98,99,115,163,-1,-1,138,187
94,98,108,163,-1,-1,132,187
98,97,108,163,-1,-1,133,186
98,97,109,163,-1,-1,133,186
96,98,112,161,-1,-1,134,186
104,97,113,162,-1,-1,135,186
105,98,111,161,-1,-1,134,186
110,97,107,162,-1,-1,130,184
110,98,107,162,-1,-1,130,184
110,98,109,162,-1,-1,130,184
111,98,107,161,-1,-1,126,182
121,98,109,160,-1,-1,127,182
120,99,110,160,-1,-1,126,181
116,100,112,160,-1,-1,128,179
123,99,112,160,-1,-1,127,184
123,99,113,157,-1,-1,127,184
126,100,113,156,-1,118,126,186
127,101,109,156,-1,118,129,187
127,101,113,155,-1,118,127,189
126,101,110,157,222,118,131,188
124,101,110,157,215,119,132,191
124,101,109,157,214,119,132,191
128,101,106,156,216,119,132,193
127,99,108,155,216,119,134,195
129,97,110,155,218,120,136,197
83,98,110,149,209,119,137,201
68,96,110,149,205,119,141,203
68,96,111,149,205,119,141,203
83,95,108,142,204,121,145,207
91,97,107,137,204,121,148,208
85,94,110,136,205,122,152,209
82,94,110,135,211,122,158,209
79,100,110,135,211,122,162,215
79,100,110,126,204,131,162,215
84,100,121,124,204,131,165,215
86,100,124,124,204,131,169,215
87,107,125,115,206,138,177,222
88,107,121,115,206,138,181,243
90,113,121,115,206,138,183,252
90,113,116,112,253,139,183,252
92,113,114,112,253,138,186,253
96,121,112,110,253,138,193,261
105,107,108,110,253,138,197,261
106,107,102,110,246,142,197,261
110,108,102,110,239,142,197,263
110,108,98,110,239,142,197,263
119,108,95,110,243,128,203,264
121,110,92,110,233,121,201,264
121,119,86,129,233,121,202,277
121,119,84,133,230,124,201,278
121,119,84,133,233,119,197,278
121,119,84,133,228,113,197,278
123,124,80,133,230,111,192,279
126,124,79,133,230,111,187,279
124,127,79,133,220,107,184,279
121,129,74,148,223,104,180,280
116,129,74,148,214,103,175,280
116,129,73,148,207,103,175,280
109,132,76,148,208,101,172,280
107,132,74,148,208,101,170,280
111,133,68,148,204,101,168,280
110,134,67,149,215,100,167,280
111,134,67,149,198,100,167,289
111,134,61,149,193,100,167,289
108,134,59,149,187,100,167,290
106,134,56,149,187,100,172,293
106,108,58,150,188,78,168,276
106,104,57,148,178,78,168,277
104,103,57,148,181,78,175,278
104,103,53,148,181,78,175,278
101,102,50,147,183,79,172,279
98,100,45,147,183,79,175,282
96,99,46,147,180,79,176,283
94,98,48,147,174,80,180,285
91,98,48,147,175,80,180,288
91,98,45,148,172,80,180,288
94,98,45,148,169,80,180,289
95,97,46,150,169,80,183,290
95,95,44,152,166,82,184,290
97,94,44,152,166,83,185,296
95,94,44,152,163,83,187,296
95,94,45,152,160,83,187,296
88,93,45,156,156,86,190,301
87,92,45,156,156,86,183,302
85,92,44,158,157,86,181,303
85,92,45,158,162,87,177,305
83,91,49,162,162,89,176,308
83,91,49,162,157,90,176,308
88,92,51,162,153,91,176,308
91,92,49,162,153,91,175,308
94,94,46,162,157,92,175,308
95,94,48,162,153,91,173,310
96,94,48,162,153,91,169,310
96,94,48,169,150,95,169,310
92,94,47,169,151,95,165,313
96,94,49,169,151,95,168,313
99,94,49,169,154,95,170,311
95,94,50,169,151,95,171,311
96,94,48,169,156,95,170,311
96,94,48,169,153,95,170,311
93,94,50,169,152,93,177,311
96,104,54,169,152,93,176,311
101,104,53,167,153,93,174,307
106,105,49,167,154,93,178,305
108,105,51,166,156,92,180,305
108,105,51,166,154,93,180,305
106,104,53,165,152,93,177,304
104,105,51,164,152,93,181,302
105,105,49,163,152,93,180,302
106,105,50,162,151,94,180,301
106,104,49,162,152,95,180,300
106,104,49,162,152,96,180,300
105,104,53,162,146,97,181,300
104,104,52,162,146,97,182,300
105,102,53,162,146,98,182,300
100,102,55,162,147,99,181,300
98,101,57,162,146,99,180,301
98,101,57,162,146,102,180,301
87,98,57,168,144,106,178,303
88,97,60,168,144,106,178,303
87,96,61,168,143,107,179,306
88,96,59,168,142,107,170,306
88,96,58,168,140,110,172,310
88,96,58,168,138,113,172,310
91,89,60,182,136,121,167,314
88,89,63,182,136,121,162,314
85,87,64,188,133,124,159,315
84,87,68,188,132,128,152,321
88,87,74,192,130,132,151,323
88,87,74,192,133,135,151,323
92,86,76,197,132,136,149,325
116,86,72,197,132,136,151,325
121,86,73,197,133,136,148,325
99,86,79,197,131,138,147,325
92,84,84,205,134,143,147,329
92,84,84,205,142,142,144,329
94,93,83,205,146,142,144,329
95,94,83,205,146,142,148,328
95,96,83,205,153,141,144,327
97,96,86,205,157,139,146,326
101,97,89,203,165,136,145,322
101,97,89,203,167,135,145,322
99,98,91,201,156,132,147,322
98,98,95,199,156,132,150,315
92,98,95,199,146,129,150,314
94,98,92,199,152,127,154,314
100,98,93,194,154,124,156,313
100,98,93,194,156,122,156,313
108,97,94,194,158,121,159,307
116,96,92,194,158,121,160,305
123,95,97,194,160,119,161,305
122,95,97,194,164,118,164,305
107,96,95,189,163,117,162,305
107,96,95,189,165,117,166,306
99,95,94,189,166,116,166,306
89,95,92,189,166,116,166,306
82,95,93,189,171,116,166,306
84,95,93,189,171,116,162,306
686,92,93,194,171,117,162,309
686,92,93,194,169,117,160,309
88,92,97,194,175,118,160,309
86,90,94,199,175,118,155,311
87,90,91,199,174,119,152,313
88,87,89,204,174,120,151,313
95,80,85,204,167,120,139,312
95,80,85,204,167,120,140,320
94,81,90,204,169,121,140,320
89,82,91,204,169,121,136,320
80,83,91,204,167,121,136,320
75,72,94,210,164,119,132,313
70,72,91,210,163,119,129,319
70,72,91,210,155,118,118,319
73,74,91,210,143,118,118,319
71,77,93,210,143,118,111,321
75,69,99,213,132,116,109,316
81,69,103,213,143,116,106,316
81,69,103,213,145,114,107,316
81,69,103,213,153,113,105,316
67,69,103,213,138,111,105,316
73,69,100,213,138,111,105,313
95,69,104,213,125,109,107,313
76,79,107,213,136,107,106,313
85,80,113,213,150,105,109,313
85,80,113,213,156,103,113,313
89,80,114,213,163,103,113,313
82,80,116,213,163,103,121,313
83,80,119,213,175,99,127,313
94,80,119,213,170,98,127,313
98,100,119,224,170,110,127,314
98,100,119,224,178,109,129,312
104,100,121,224,168,109,129,312
105,102,121,224,168,109,130,313
103,102,120,224,169,107,132,313
105,102,120,224,175,106,130,311
103,102,119,224,204,106,131,311
106,102,119,224,188,105,130,309
106,102,118,224,197,105,130,309
106,101,114,224,197,105,131,309
106,104,111,224,228,108,129,312
108,104,110,224,219,108,128,312
107,105,107,224,195,108,129,312
104,104,107,224,221,108,128,312
104,104,107,225,218,108,128,312
101,105,105,225,218,108,125,313
100,103,102,227,210,108,127,314
103,104,103,227,227,108,128,314
98,103,103,228,204,108,126,314
98,103,103,228,197,108,126,313
98,103,104,229,168,107,126,313
99,103,102,229,168,107,125,313
102,103,101,295,162,107,123,314
100,103,102,296,166,106,121,313
104,103,105,297,166,105,126,313
108,103,105,297,169,105,125,313
108,103,98,297,175,104,125,313
110,103,99,297,175,104,120,313
110,103,100,297,176,104,121,313
109,103,101,297,177,102,119,313
105,102,100,297,179,102,123,313
99,104,100,297,180,102,124,314
99,104,102,296,182,102,124,314
100,104,102,296,182,102,124,314
102,104,101,296,182,102,124,310
107,104,101,296,177,99,124,309
108,104,94,296,176,99,125,309
112,104,94,296,178,99,123,309
112,104,92,296,179,99,123,309
112,104,91,296,179,99,122,309
107,102,91,294,178,97,123,308
109,102,91,294,176,97,125,308
103,103,92,294,180,98,129,308
108,103,92,294,176,98,128,308
108,103,93,294,179,98,128,308
105,103,93,294,179,98,125,308
107,103,93,294,175,99,126,308
105,103,93,294,175,99,128,308
108,103,94,294,172,100,132,308
100,103,94,294,167,101,128,308
100,103,95,294,165,102,128,308
104,103,96,294,165,102,128,309
99,101,97,294,163,102,126,308
98,101,98,294,164,104,124,308
97,100,98,294,207,104,121,308
97,100,98,294,185,107,122,308
97,100,98,294,205,110,122,308
97,100,96,294,205,110,122,308
100,100,94,294,196,111,121,308
103,100,95,294,213,111,125,308
104,100,93,294,213,111,123,308
99,101,93,294,209,113,121,307
99,101,90,287,205,117,121,307
108,101,87,287,205,117,121,312
101,102,80,284,200,119,124,312
100,102,75,284,191,121,123,314
105,102,77,284,192,124,126,315
108,102,77,284,185,125,125,317
108,102,73,284,180,130,125,317
