Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo2,Ranging.truthDistTo2
118,118.07379913330078,152,160.49037170410156,250,249.34088134765625
118,118.04643249511719,153,160.24610900878906,250,249.34088134765625
114,118.05245971679688,154,160.470947265625,250,249.34088134765625
114,117.99860382080078,151,160.1425323486328,250,249.34088134765625
116,117.73109436035156,152,159.92422485351562,250,249.34088134765625
116,117.7706527709961,153,160.1528778076172,250,249.34088134765625
118,117.35847473144531,152,160.30589294433594,250,249.34088134765625
118,118.20027160644531,154,160.76412963867188,250,249.34088134765625
116,117.93692779541016,154,160.76412963867188,250,249.2679443359375
117,117.91261291503906,150,160.7525177001953,250,249.2679443359375
116,118.15078735351562,151,160.22885131835938,250,249.2679443359375
116,117.32396697998047,154,160.19773864746094,250,249.2679443359375
116,117.72252655029297,154,160.19773864746094,246,249.012939453125
117,117.89073944091797,154,160.19773864746094,249,249.2705841064453
116,117.52281951904297,151,160.98403930664062,249,249.2705841064453
116,117.94438171386719,153,160.98403930664062,249,249.2705841064453
115,117.5125732421875,152,160.4460906982422,249,249.2705841064453
116,117.5125732421875,155,160.4460906982422,249,249.2705841064453
117,117.5125732421875,155,160.4460906982422,247,249.26832580566406
116,117.5125732421875,155,160.4460906982422,251,249.2665557861328
116,117.94310760498047,153,160.2821502685547,251,249.2665557861328
116,117.34607696533203,154,159.84893798828125,251,249.2665557861328
116,117.50188446044922,152,160.28050231933594,251,249.2665557861328
117,117.50188446044922,152,160.28050231933594,251,249.31423950195312
119,117.90946960449219,152,160.28050231933594,251,249.02890014648438
119,117.74759674072266,153,159.87380981445312,251,249.02890014648438
117,117.77473449707031,154,160.13938903808594,251,249.02890014648438
117,117.33364868164062,152,160.11537170410156,251,249.02890014648438
119,118.2238540649414,152,160.11537170410156,251,249.48626708984375
118,117.78703308105469,153,160.17832946777344,251,249.48626708984375
117,117.91314697265625,152,160.5567626953125,251,249.48626708984375
116,117.50453186035156,153,160.28858947753906,251,249.48626708984375
116,117.93943786621094,153,160.28858947753906,249,249.26817321777344
117,117.97806549072266,153,160.28858947753906,251,249.27186584472656
