Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo2,Ranging.truthDistTo2
101,100.70842742919922,133,143.45309448242188,223,222.83665466308594
100,100.0841293334961,133,142.79571533203125,227,223.63137817382812
101,100.18316650390625,135,143.04750061035156,221,223.8462677001953
99,100.17181396484375,135,142.69961547851562,221,223.8462677001953
104,99.43990325927734,137,142.73873901367188,221,223.8462677001953
103,100.16419982910156,135,142.85098266601562,223,222.7852020263672
100,99.52687072753906,134,142.42433166503906,226,223.21746826171875
99,99.54409790039062,133,142.7373046875,228,222.7957763671875
99,100.3979721069336,136,142.90924072265625,228,222.7957763671875
100,100.40785217285156,136,143.07540893554688,228,223.2981719970703
99,100.17195129394531,137,142.69532775878906,228,223.2981719970703
100,99.26936340332031,136,142.70138549804688,231,222.56765747070312
101,100.1457290649414,137,142.5287322998047,231,222.56765747070312
102,99.47288513183594,136,142.72210693359375,231,222.56765747070312
103,99.47288513183594,137,142.40402221679688,223,222.80447387695312
103,100.76468658447266,136,143.7443084716797,224,222.8095245361328
99,99.49473571777344,136,142.71563720703125,226,222.8095245361328
101,99.48606872558594,135,142.7141876220703,226,222.8095245361328
100,99.48936462402344,135,142.41717529296875,227,223.24903869628906
100,99.48773193359375,136,142.73052978515625,227,223.24903869628906
100,99.48690795898438,136,142.73052978515625,227,223.24903869628906
100,101.02847290039062,136,143.1342315673828,227,222.96910095214844
98,99.87606048583984,133,143.1342315673828,227,223.76344299316406
99,100.10588836669922,133,142.89735412597656,227,223.76344299316406
103,99.41523742675781,134,142.5395965576172,224,223.23773193359375
101,100.0728530883789,133,143.11810302734375,224,223.63851928710938
98,99.8687973022461,135,143.11279296875,224,223.63851928710938
98,99.54436492919922,136,143.125732421875,224,223.2071533203125
98,100.18994903564453,134,142.8813934326172,224,223.2071533203125
98,99.68683624267578,134,143.1258087158203,225,223.0806427001953
98,100.18738555908203,133,142.9033203125,225,223.0832061767578
98,100.096435546875,133,142.8885040283203,225,223.0832061767578
100,100.09864807128906,131,143.0410614013672,225,223.0832061767578
100,100.43527221679688,131,142.79637145996094,225,223.0832061767578
98,99.93463134765625,132,143.05303955078125,225,223.0832061767578
99,99.29170227050781,132,142.4169158935547,225,223.0832061767578
100,99.3833236694336,132,142.4182586669922,225,223.50057983398438
100,99.92894744873047,131,142.52139282226562,225,223.50057983398438
99,99.91992950439453,136,142.4076385498047,228,223.486572265625
