Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7
-1,-1.0,116,120.6554946899414,-1,-1.0,136,143.97935485839844
-1,-1.0,116,119.38314056396484,-1,-1.0,136,144.01934814453125
-1,-1.0,117,119.85855865478516,-1,-1.0,135,143.5797576904297
-1,-1.0,118,118.90546417236328,-1,-1.0,135,143.50665283203125
-1,-1.0,122,119.85651397705078,-1,-1.0,138,143.87637329101562
-1,-1.0,122,121.2033920288086,-1,-1.0,138,143.4871368408203
-1,-1.0,124,120.35569763183594,-1,-1.0,135,143.9535675048828
-1,-1.0,123,120.0515365600586,-1,-1.0,134,143.8916778564453
-1,-1.0,119,121.96395111083984,-1,-1.0,136,143.37376403808594
-1,-1.0,119,121.96395111083984,-1,-1.0,136,143.3660888671875
-1,-1.0,122,120.3214340209961,-1,-1.0,137,143.88304138183594
-1,-1.0,121,120.3214340209961,-1,-1.0,137,143.88304138183594
-1,-1.0,120,121.54308319091797,-1,-1.0,137,143.74964904785156
-1,-1.0,119,120.35875701904297,-1,-1.0,137,143.80191040039062
-1,-1.0,119,122.33248901367188,-1,-1.0,138,143.37574768066406
-1,-1.0,118,119.14295959472656,-1,-1.0,137,143.383544921875
-1,-1.0,117,121.72870635986328,-1,-1.0,134,143.38426208496094
-1,-1.0,118,122.33000946044922,-1,-1.0,134,143.376953125
-1,-1.0,119,121.00164794921875,-1,-1.0,136,143.75408935546875
-1,-1.0,119,119.8655776977539,-1,-1.0,136,143.99118041992188
-1,-1.0,121,120.66710662841797,-1,-1.0,134,143.92478942871094
-1,-1.0,121,120.1085205078125,-1,-1.0,133,143.5091552734375
-1,-1.0,120,121.92720031738281,-1,-1.0,138,143.9661407470703
-1,-1.0,120,121.90721130371094,-1,-1.0,138,143.89614868164062
-1,-1.0,121,118.83378601074219,-1,-1.0,137,143.9848175048828
-1,-1.0,121,121.89979553222656,-1,-1.0,137,143.89157104492188
-1,-1.0,120,120.44591522216797,-1,-1.0,134,143.87771606445312
-1,-1.0,118,120.07295227050781,-1,-1.0,134,143.87771606445312
-1,-1.0,120,119.79975128173828,-1,-1.0,135,143.97486877441406
-1,-1.0,120,119.79975128173828,-1,-1.0,135,143.48577880859375
-1,-1.0,118,121.29523468017578,-1,-1.0,135,143.51641845703125
-1,-1.0,118,119.1265640258789,-1,-1.0,135,143.52088928222656
-1,-1.0,118,119.83564758300781,-1,-1.0,134,143.5446319580078
-1,-1.0,118,119.8504409790039,-1,-1.0,134,144.0311737060547
-1,-1.0,121,119.87420654296875,-1,-1.0,139,143.50411987304688
-1,-1.0,121,119.87420654296875,-1,-1.0,139,143.49667358398438
-1,-1.0,120,119.8373031616211,-1,-1.0,138,142.96560668945312
-1,-1.0,119,121.74087524414062,-1,-1.0,138,142.96560668945312
-1,-1.0,119,120.7895736694336,-1,-1.0,139,142.96560668945312
-1,-1.0,118,120.78810119628906,-1,-1.0,139,143.49270629882812
-1,-1.0,117,120.10653686523438,-1,-1.0,134,142.98443603515625
-1,-1.0,118,121.7177505493164,-1,-1.0,134,143.36451721191406
-1,-1.0,120,120.36942291259766,-1,-1.0,137,143.4769744873047
-1,-1.0,119,119.70584869384766,-1,-1.0,137,144.00271606445312
-1,-1.0,119,120.90887451171875,-1,-1.0,135,144.0328826904297
-1,-1.0,119,121.8990249633789,-1,-1.0,135,143.9056396484375
-1,-1.0,119,120.10555267333984,-1,-1.0,135,143.90435791015625
-1,-1.0,119,120.64582061767578,-1,-1.0,135,143.50039672851562
-1,-1.0,119,120.44004821777344,-1,-1.0,138,142.9824981689453
-1,-1.0,118,119.17329406738281,-1,-1.0,138,143.3554229736328
-1,-1.0,119,120.77438354492188,-1,-1.0,138,143.00807189941406
-1,-1.0,120,120.70327758789062,-1,-1.0,138,143.31390380859375
-1,-1.0,119,119.81526947021484,-1,-1.0,138,142.92221069335938
-1,-1.0,119,120.41123962402344,-1,-1.0,138,143.92581176757812
-1,-1.0,119,119.80976867675781,-1,-1.0,137,143.02845764160156
-1,-1.0,119,120.42362976074219,-1,-1.0,137,143.5254669189453
-1,-1.0,119,119.07019805908203,-1,-1.0,136,143.53041076660156
-1,-1.0,120,120.98072814941406,-1,-1.0,136,143.605224609375
-1,-1.0,118,120.54791259765625,-1,-1.0,136,143.5563201904297
-1,-1.0,118,121.85918426513672,-1,-1.0,136,143.91482543945312
-1,-1.0,120,119.8062744140625,-1,-1.0,137,143.895751953125
-1,-1.0,121,122.3182373046875,-1,-1.0,137,143.4755096435547
-1,-1.0,119,122.30953216552734,-1,-1.0,136,143.7619171142578
-1,-1.0,118,122.3140640258789,-1,-1.0,136,143.75314331054688
-1,-1.0,117,120.71592712402344,-1,-1.0,137,143.31687927246094
-1,-1.0,118,120.68526458740234,-1,-1.0,137,143.4062042236328
-1,-1.0,117,119.8123550415039,-1,-1.0,135,143.96340942382812
-1,-1.0,118,119.17171478271484,-1,-1.0,135,143.92364501953125
-1,-1.0,121,121.30120849609375,-1,-1.0,136,143.46580505371094
-1,-1.0,120,120.11544799804688,-1,-1.0,136,143.48727416992188
-1,-1.0,118,121.30426025390625,-1,-1.0,137,143.4757537841797
-1,-1.0,118,120.36483764648438,-1,-1.0,137,143.4674835205078
-1,-1.0,120,119.80239868164062,-1,-1.0,136,143.39752197265625
-1,-1.0,120,119.20820617675781,-1,-1.0,136,143.50892639160156
-1,-1.0,119,119.85184478759766,-1,-1.0,137,143.37432861328125
-1,-1.0,119,121.31060028076172,-1,-1.0,137,143.37277221679688
-1,-1.0,120,120.6476058959961,-1,-1.0,137,143.76339721679688
-1,-1.0,120,120.64649963378906,-1,-1.0,137,143.5259246826172
-1,-1.0,120,121.5559310913086,-1,-1.0,135,143.53677368164062
-1,-1.0,119,120.38204956054688,-1,-1.0,135,143.99610900878906
-1,-1.0,119,120.7825698852539,-1,-1.0,138,143.9292755126953
-1,-1.0,119,121.7273941040039,-1,-1.0,138,144.013671875
-1,-1.0,119,121.72515869140625,-1,-1.0,134,143.49778747558594
-1,-1.0,119,119.81430053710938,-1,-1.0,134,143.49778747558594
-1,-1.0,118,120.41547393798828,-1,-1.0,136,143.52313232421875
-1,-1.0,117,119.79939270019531,-1,-1.0,136,143.31442260742188
-1,-1.0,120,120.11219787597656,-1,-1.0,138,143.3530731201172
-1,-1.0,121,119.17064666748047,-1,-1.0,138,144.02645874023438
-1,-1.0,117,119.18045806884766,-1,-1.0,135,144.03269958496094
-1,-1.0,118,118.87451934814453,-1,-1.0,135,143.48760986328125
-1,-1.0,120,120.77870178222656,-1,-1.0,137,143.89028930664062
-1,-1.0,119,120.78862762451172,-1,-1.0,137,143.89028930664062
-1,-1.0,120,120.78339385986328,-1,-1.0,140,143.48004150390625
-1,-1.0,119,120.78994750976562,-1,-1.0,140,143.48004150390625
-1,-1.0,120,120.3613510131836,-1,-1.0,137,144.02162170410156
-1,-1.0,120,120.77928924560547,-1,-1.0,137,144.017333984375
-1,-1.0,121,120.6590347290039,-1,-1.0,136,144.0021514892578
-1,-1.0,120,122.27568054199219,-1,-1.0,136,143.42459106445312
-1,-1.0,119,121.31683349609375,-1,-1.0,135,143.9492645263672
-1,-1.0,120,121.71234130859375,-1,-1.0,135,143.89785766601562
-1,-1.0,119,120.37939453125,-1,-1.0,135,143.97882080078125
-1,-1.0,119,120.37211608886719,-1,-1.0,134,143.4716339111328
-1,-1.0,119,118.88231658935547,-1,-1.0,135,143.83827209472656
-1,-1.0,118,120.77120971679688,-1,-1.0,135,143.4676055908203
-1,-1.0,119,122.25749969482422,-1,-1.0,136,144.01116943359375
-1,-1.0,119,120.61380767822266,-1,-1.0,136,143.9620819091797
-1,-1.0,119,119.71098327636719,-1,-1.0,139,143.9620819091797
-1,-1.0,119,120.64363861083984,-1,-1.0,139,144.00946044921875
-1,-1.0,117,119.7079086303711,-1,-1.0,137,143.51531982421875
-1,-1.0,117,121.3070297241211,-1,-1.0,137,143.87037658691406
-1,-1.0,118,119.86920928955078,-1,-1.0,134,143.49322509765625
-1,-1.0,118,120.35250854492188,-1,-1.0,135,143.50115966796875
-1,-1.0,118,121.27763366699219,-1,-1.0,137,142.94944763183594
-1,-1.0,119,119.84432983398438,-1,-1.0,137,143.54273986816406
-1,-1.0,117,121.7020263671875,-1,-1.0,136,143.52786254882812
-1,-1.0,117,119.8028335571289,-1,-1.0,135,143.52053833007812
-1,-1.0,118,120.65811157226562,-1,-1.0,137,143.52053833007812
-1,-1.0,119,121.26859283447266,-1,-1.0,137,143.93087768554688
-1,-1.0,117,121.93366241455078,-1,-1.0,134,143.99583435058594
-1,-1.0,117,121.93397521972656,-1,-1.0,134,143.9146728515625
-1,-1.0,119,122.3361587524414,-1,-1.0,138,143.9141387939453
-1,-1.0,119,121.30736541748047,-1,-1.0,138,143.38360595703125
-1,-1.0,119,121.70634460449219,-1,-1.0,138,143.3745574951172
-1,-1.0,120,121.2815170288086,-1,-1.0,138,144.02845764160156
-1,-1.0,119,119.72853088378906,-1,-1.0,134,144.02444458007812
-1,-1.0,119,121.921875,-1,-1.0,135,143.45565795898438
-1,-1.0,119,121.9071044921875,-1,-1.0,134,143.44386291503906
-1,-1.0,119,121.2136459350586,-1,-1.0,134,143.9015350341797
-1,-1.0,119,121.9047622680664,-1,-1.0,134,143.9646453857422
-1,-1.0,118,119.1799087524414,-1,-1.0,135,144.0069122314453
-1,-1.0,118,120.1269760131836,-1,-1.0,134,144.0108184814453
-1,-1.0,119,118.8770523071289,-1,-1.0,134,144.01951599121094
-1,-1.0,119,119.7171859741211,-1,-1.0,134,143.39501953125
-1,-1.0,120,121.21102142333984,-1,-1.0,134,142.9679718017578
-1,-1.0,119,120.3470687866211,-1,-1.0,134,143.44044494628906
-1,-1.0,118,120.35794830322266,-1,-1.0,134,143.44044494628906
-1,-1.0,119,121.844970703125,-1,-1.0,135,143.44044494628906
-1,-1.0,120,120.1094970703125,-1,-1.0,135,143.42784118652344
-1,-1.0,120,119.85044860839844,-1,-1.0,138,143.34234619140625
-1,-1.0,121,122.31713104248047,-1,-1.0,138,142.98440551757812
-1,-1.0,119,120.35909271240234,-1,-1.0,137,142.9639434814453
-1,-1.0,120,120.354248046875,-1,-1.0,137,143.37429809570312
-1,-1.0,118,120.76073455810547,-1,-1.0,135,143.90475463867188
-1,-1.0,118,120.75892639160156,-1,-1.0,135,143.98635864257812
-1,-1.0,118,120.77053833007812,-1,-1.0,138,143.9889678955078
-1,-1.0,117,121.67953491210938,-1,-1.0,138,143.9970703125
-1,-1.0,120,120.7880859375,-1,-1.0,136,143.9873504638672
-1,-1.0,121,120.36415100097656,-1,-1.0,136,143.8793182373047
-1,-1.0,120,120.66027069091797,-1,-1.0,138,144.01417541503906
-1,-1.0,119,120.6595458984375,-1,-1.0,138,143.51187133789062
-1,-1.0,118,121.90351104736328,-1,-1.0,135,143.55621337890625
-1,-1.0,117,121.9097671508789,-1,-1.0,135,143.92141723632812
-1,-1.0,121,121.73908996582031,-1,-1.0,138,143.36863708496094
-1,-1.0,121,120.39443969726562,-1,-1.0,138,142.95428466796875
-1,-1.0,117,120.45928955078125,-1,-1.0,135,143.95411682128906
-1,-1.0,117,122.32611846923828,-1,-1.0,135,143.37612915039062
-1,-1.0,118,121.7166976928711,-1,-1.0,134,143.4694061279297
-1,-1.0,119,120.44390869140625,-1,-1.0,134,142.97976684570312
-1,-1.0,119,120.0436019897461,-1,-1.0,133,143.94287109375
-1,-1.0,119,120.9352035522461,-1,-1.0,133,143.89060974121094
-1,-1.0,120,119.93348693847656,-1,-1.0,133,143.89060974121094
-1,-1.0,120,120.11865234375,-1,-1.0,136,143.554443359375
-1,-1.0,119,120.76610565185547,-1,-1.0,134,143.9219970703125
-1,-1.0,120,119.78628540039062,-1,-1.0,134,144.01100158691406
-1,-1.0,120,119.94171142578125,-1,-1.0,136,143.5274200439453
-1,-1.0,120,119.71795654296875,-1,-1.0,136,144.03419494628906
-1,-1.0,119,119.72775268554688,-1,-1.0,137,143.47906494140625
-1,-1.0,119,119.93659973144531,-1,-1.0,137,143.54832458496094
-1,-1.0,120,120.10118103027344,-1,-1.0,135,143.5037078857422
-1,-1.0,120,121.7261734008789,-1,-1.0,135,143.5037078857422
-1,-1.0,118,120.66413116455078,-1,-1.0,135,142.9884796142578
-1,-1.0,118,122.29446411132812,-1,-1.0,135,143.92613220214844
-1,-1.0,119,119.186279296875,-1,-1.0,135,143.9094696044922
-1,-1.0,118,120.11296081542969,-1,-1.0,135,143.99317932128906
-1,-1.0,116,121.72280883789062,-1,-1.0,139,143.9095916748047
-1,-1.0,118,122.31910705566406,-1,-1.0,139,143.9310302734375
-1,-1.0,118,120.37102508544922,-1,-1.0,137,143.94467163085938
-1,-1.0,118,119.7349624633789,-1,-1.0,137,143.4776153564453
-1,-1.0,119,119.86054229736328,-1,-1.0,135,144.0243682861328
-1,-1.0,119,121.70752716064453,-1,-1.0,135,143.52276611328125
-1,-1.0,119,121.89993286132812,-1,-1.0,138,143.5115509033203
-1,-1.0,119,122.31523895263672,-1,-1.0,138,143.7654266357422
